time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,472,183,659.0,612.5,0.00015241643010366582,0.00016122779813927264
2021-01-02 16:15:00,389,142,781.0,757.0,0.00012880717929495786,0.00012883242439940958
2021-01-02 16:30:00,406,157,722.0,682.0,0.00013584528894560634,0.00014407727681099171
2021-01-02 16:45:00,366,145,830.0,751.5,0.00012066746913830569,0.00013119429331967706
2021-01-02 17:00:00,381,145,786.0,752.0,0.0001263519408951488,0.00013035805311596203
2021-01-02 17:15:00,373,136,800.5,778.5,0.00012694765094092714,0.00012777595613526588
2021-01-02 17:30:00,377,168,786.5,621.5,0.00012747032933667078,0.00015956673831339855
2021-01-02 17:45:00,421,155,730.5,665.5,0.00014087579907697911,0.0001484404179316025
2021-01-02 18:00:00,381,134,787.0,781.5,0.00012763075117229347,0.00012484720193196386
2021-01-02 18:15:00,348,119,867.0,854.5,0.00011711426414718435,0.00011392498374893613
2021-01-02 18:30:00,360,136,817.5,749.0,0.00012404857328634648,0.00013158009309291587
2021-01-02 18:45:00,315,109,937.0,908.5,0.0001086251844903927,0.00010642359127873315
2021-01-02 19:00:00,301,104,1013.5,1009.5,0.00010081003036357924,9.57805887743308e-05
2021-01-02 19:15:00,313,120,966.5,849.0,0.00010594403582465416,0.00011645962732919253
2021-01-02 19:30:00,296,112,1007.5,850.5,0.00010236862318697732,0.00011193295216165516
2021-01-02 19:45:00,299,130,961.5,749.5,0.00010494586337803536,0.0001317621874955657
2021-01-02 20:00:00,294,121,1008.5,807.5,0.00010244195130313828,0.00012111639285353225
2021-01-02 20:15:00,299,105,955.0,895.0,0.00010554749142912008,0.0001075532055464676
2021-01-02 20:30:00,370,137,769.0,711.0,0.00013087213544770828,0.000141894362236628
2021-01-02 20:45:00,330,135,867.5,703.0,0.000116275259478812,0.00014121412768895234
2021-01-02 21:00:00,308,111,928.0,841.0,0.00010721019917079176,0.00011366301067715508
2021-01-02 21:15:00,293,101,974.0,923.5,0.0001023122927346749,0.0001049371364213943
2021-01-02 21:30:00,295,111,982.5,816.5,0.00010190267845145235,0.00011615203988095986
2021-01-02 21:45:00,512,121,552.5,754.5,0.00017773877399126302,0.0001283806007363317
2021-01-02 22:00:00,426,102,688.0,904.5,0.00014416980360079318,0.00010593649418751382
2021-01-02 22:15:00,374,125,762.0,750.5,0.00012855091836569852,0.00013249876776145979
2021-01-02 22:30:00,341,101,849.5,873.5,0.0001164096664402197,0.00010887762263015996
2021-01-02 22:45:00,379,130,745.0,711.5,0.00013174987824434074,0.0001431429568710271
2021-01-02 23:00:00,342,124,818.0,738.0,0.00012029677425255076,0.00013699190090624562
2021-01-02 23:15:00,336,106,813.0,827.5,0.00011941299981092942,0.00011938604039302786
2021-01-02 23:30:00,349,125,787.0,709.5,0.00012448627119744375,0.00014068575866202216
2021-01-02 23:45:00,369,122,723.0,704.5,0.00013535095512290528,0.00014131868870157085
2021-01-03 00:00:00,352,121,771.0,711.5,0.0001286069781707923,0.00014052463303908326
2021-01-03 00:15:00,341,109,782.5,752.0,0.00012699954451483007,0.00013084621488309672
2021-01-03 00:30:00,316,96,824.5,827.5,0.00012034890518677122,0.00011773276134833445
2021-01-03 00:45:00,309,120,852.5,689.0,0.00011637256545015281,0.00014239486808895408
2021-01-03 01:00:00,327,101,763.0,808.0,0.00012761687774186033,0.00011915548256790681
2021-01-03 01:15:00,427,169,565.5,499.5,0.0001731586985278672,0.0002153022576161581
2021-01-03 01:30:00,362,139,658.0,572.0,0.00015161395568768027,0.00018063748136769864
2021-01-03 01:45:00,296,126,765.0,604.0,0.00012867897985391458,0.00017165183558478784
2021-01-03 02:00:00,405,111,554.0,678.0,0.00017526018564597442,0.00015345968641688226
2021-01-03 02:15:00,392,120,548.0,579.0,0.00017641637143926955,0.00017381328976413536
2021-01-03 02:30:00,312,95,675.5,701.5,0.0001449047854805405,0.00014232444279980644
2021-01-03 02:45:00,341,117,608.5,574.5,0.00016016488058557407,0.00017910639685385067
2021-01-03 03:00:00,348,116,615.0,649.5,0.0001563331783478548,0.00015932271365038552
2021-01-03 03:15:00,300,91,715.0,723.0,0.00013845244320103897,0.00013794316135408644
2021-01-03 03:30:00,326,115,633.5,585.0,0.00015168872357196233,0.00017669147517407948
2021-01-03 03:45:00,318,105,634.5,610.0,0.00015103157414795394,0.00016520655539611808
2021-01-03 04:00:00,297,90,695.0,756.5,0.00013773050730736858,0.00013402330516362008
2021-01-03 04:15:00,298,94,657.5,685.5,0.0001421239034282384,0.0001470365104169111
