time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,239,36,1238.5,2645.0,7.71769635482545e-05,3.171694389625035e-05
2021-01-02 16:15:00,184,28,1570.0,3204.5,6.092678917807774e-05,2.540357664213709e-05
2021-01-02 16:30:00,149,20,1873.0,4204.5,4.985455185442203e-05,1.8353793224330155e-05
2021-01-02 16:45:00,193,43,1509.5,2224.5,6.363065995544535e-05,3.890589388100768e-05
2021-01-02 17:00:00,168,37,1694.0,2518.5,5.5714241654553785e-05,3.3263779070969625e-05
2021-01-02 17:15:00,142,28,1929.0,3124.5,4.8328596336760465e-05,2.6306814498437092e-05
2021-01-02 17:30:00,156,24,1823.0,3473.0,5.2746343173794814e-05,2.279524833048551e-05
2021-01-02 17:45:00,191,30,1521.5,2876.0,6.391277345297626e-05,2.873040347063274e-05
2021-01-02 18:00:00,195,35,1474.5,2598.5,6.532282540314233e-05,3.260934378819952e-05
2021-01-02 18:15:00,209,40,1347.5,2280.5,7.033586553667107e-05,3.829411218451635e-05
2021-01-02 18:30:00,179,34,1550.0,2542.5,6.167970727293338e-05,3.289502327322897e-05
2021-01-02 18:45:00,160,21,1732.5,3815.0,5.5174696884008986e-05,2.050362767755409e-05
2021-01-02 19:00:00,173,42,1639.5,2264.0,5.794064868072827e-05,3.86806223896336e-05
2021-01-02 19:15:00,123,27,2242.5,3114.5,4.163295976495994e-05,2.6203416149068326e-05
2021-01-02 19:30:00,146,32,1898.5,2627.0,5.0492631707090165e-05,3.198084347475862e-05
2021-01-02 19:45:00,118,28,2239.0,2932.5,4.1416762135813285e-05,2.8379548075968e-05
2021-01-02 20:00:00,143,25,1914.0,3271.0,4.982720760662849e-05,2.5024048110233936e-05
2021-01-02 20:15:00,156,30,1726.0,2719.5,5.5068256397801796e-05,3.072948729899074e-05
2021-01-02 20:30:00,178,32,1513.0,2536.5,6.296010840457317e-05,3.3143208697606544e-05
2021-01-02 20:45:00,178,26,1501.0,3036.0,6.27181702643289e-05,2.719679496231675e-05
2021-01-02 21:00:00,141,24,1924.5,3321.5,4.907999377623909e-05,2.4575786092357848e-05
2021-01-02 21:15:00,138,32,1973.5,2542.5,4.8188042311894656e-05,3.324740955925364e-05
2021-01-02 21:30:00,177,31,1583.0,2606.0,6.114160707087141e-05,3.2438857984772574e-05
2021-01-02 21:45:00,161,22,1754.5,3495.5,5.589051291522137e-05,2.3341927406605764e-05
2021-01-02 22:00:00,125,22,2261.0,3608.5,4.230334612699329e-05,2.2849047765934353e-05
2021-01-02 22:15:00,132,15,2084.0,4758.5,4.537091236436418e-05,1.5899852131375178e-05
2021-01-02 22:30:00,129,17,2208.5,4223.5,4.403767440113884e-05,1.8325936482304157e-05
2021-01-02 22:45:00,131,33,2111.0,2380.5,4.553887612139482e-05,3.633628905187611e-05
2021-01-02 23:00:00,108,29,2463.5,2684.0,3.79884550271213e-05,3.203842843775099e-05
2021-01-02 23:15:00,134,24,2005.5,3100.5,4.762304159126352e-05,2.7030801598421406e-05
2021-01-02 23:30:00,128,29,2078.5,2630.5,4.565685591195646e-05,3.263909600958915e-05
2021-01-02 23:45:00,102,18,2486.0,3896.0,3.741408515592504e-05,2.0850298333018647e-05
2021-01-03 00:00:00,107,24,2353.0,3080.5,3.909359847805333e-05,2.7872654487090893e-05
2021-01-03 00:15:00,87,10,2785.5,6223.0,3.2401643321965445e-05,1.2004239897531807e-05
2021-01-03 00:30:00,87,8,2758.5,7382.0,3.313403402294018e-05,9.811063445694538e-06
2021-01-03 00:45:00,77,13,3046.0,4779.0,2.899898880149439e-05,1.542611070963669e-05
2021-01-03 01:00:00,72,17,3143.0,3927.0,2.8099129044079333e-05,2.005587330350907e-05
2021-01-03 01:15:00,80,16,2776.0,3912.0,3.2441910731216336e-05,2.0383645691470592e-05
2021-01-03 01:30:00,63,18,3288.5,3454.5,2.638585416664049e-05,2.339190406200414e-05
2021-01-03 01:45:00,60,11,3374.5,5154.0,2.6083576997415122e-05,1.4985477709783065e-05
2021-01-03 02:00:00,60,11,3399.5,5097.0,2.596447194755177e-05,1.5207716671943286e-05
2021-01-03 02:15:00,38,5,4851.0,9792.0,1.7101587027276128e-05,7.242220406838974e-06
2021-01-03 02:30:00,39,5,4609.0,9515.0,1.8113098185067567e-05,7.490760147358234e-06
2021-01-03 02:45:00,60,10,3183.5,5152.5,2.818150391535028e-05,1.5308239047337666e-05
2021-01-03 03:00:00,29,8,6092.5,6703.0,1.3027764862321235e-05,1.0987773355199002e-05
2021-01-03 03:15:00,37,8,4805.0,6290.5,1.7075801328128136e-05,1.2126871327831774e-05
2021-01-03 03:30:00,28,4,6135.0,11473.0,1.302847932519922e-05,6.1457904408375484e-06
2021-01-03 03:45:00,40,9,4431.0,5456.0,1.8997682282761506e-05,1.4160561891095838e-05
2021-01-03 04:00:00,23,4,7282.0,11680.5,1.0665998882388813e-05,5.956591340605337e-06
2021-01-03 04:15:00,39,2,4537.0,22880.0,1.8600108166782878e-05,3.1284363918491717e-06
2021-01-03 04:30:00,35,11,5021.5,4812.5,1.6235746753894377e-05,1.6595957828162436e-05
2021-01-03 04:45:00,33,9,5370.0,5772.0,1.4926561318313894e-05,1.3414136114729614e-05
2021-01-03 05:00:00,34,16,5413.5,3666.5,1.510705570593494e-05,2.2730307739953923e-05
2021-01-03 05:15:00,28,3,6310.0,15375.5,1.2526394903546761e-05,4.4057650904797286e-06
2021-01-03 05:30:00,34,7,5298.0,7161.5,1.5215251051642353e-05,1.0085016690702625e-05
2021-01-03 05:45:00,34,5,5353.5,9538.5,1.5365703749231714e-05,7.4585009009869096e-06
2021-01-03 06:00:00,28,5,6442.5,10087.0,1.2269556906862233e-05,6.822548249061217e-06
2021-01-03 06:15:00,35,5,5234.5,9835.5,1.5550869560194753e-05,7.2715849728333585e-06
2021-01-03 06:30:00,34,8,5478.5,6636.5,1.4792970206522916e-05,1.104961692359328e-05
2021-01-03 06:45:00,47,7,4217.5,7587.5,2.0413091480183667e-05,9.813886649609196e-06
2021-01-03 07:00:00,42,6,4809.5,9236.0,1.7029682737010613e-05,7.451833213069024e-06
2021-01-03 07:15:00,61,9,3505.5,6417.5,2.4652291551740507e-05,1.1709312416164576e-05
2021-01-03 07:30:00,71,21,3238.5,3256.0,2.736328186723952e-05,2.5349827621172174e-05
2021-01-03 07:45:00,66,13,3593.5,5040.0,2.443514099076352e-05,1.5615653130698212e-05
2021-01-03 08:00:00,96,17,2783.5,4272.5,3.320080677960474e-05,1.856622846727047e-05
2021-01-03 08:15:00,208,17,1359.0,4247.0,7.000939068269254e-05,1.9090355776853956e-05
2021-01-03 08:30:00,176,15,1668.5,4887.5,5.719907194505769e-05,1.5844763569719602e-05
2021-01-03 08:45:00,190,24,1557.5,3348.0,6.156783463009235e-05,2.514110444871843e-05
2021-01-03 09:00:00,173,24,1842.5,3547.5,5.185063301230898e-05,2.1963520422870982e-05
2021-01-03 09:15:00,200,26,1680.5,3299.0,5.635167956180934e-05,2.484025803295729e-05
2021-01-03 09:30:00,196,27,1726.0,3256.0,5.451972710094967e-05,2.558785732968912e-05
2021-01-03 09:45:00,164,21,1999.5,4031.0,4.524799487925131e-05,1.943530265393685e-05
2021-01-03 10:00:00,163,23,2189.0,4105.0,4.067152429387497e-05,1.9059172931333944e-05
2021-01-03 10:15:00,203,30,1881.5,3247.0,5.10356080213897e-05,2.506221695358728e-05
2021-01-03 10:30:00,262,44,1482.5,2396.0,6.601651319927111e-05,3.541814745379743e-05
2021-01-03 10:45:00,226,35,1638.5,2857.0,5.864420818382521e-05,2.9317529788704376e-05
2021-01-03 11:00:00,210,26,1721.5,3821.5,5.4673319107856394e-05,2.0616349558136123e-05
2021-01-03 11:15:00,207,33,1724.5,3010.5,5.465905031088325e-05,2.712325794711458e-05
2021-01-03 11:30:00,187,36,1849.5,2860.5,5.0143283762987985e-05,2.936495830583767e-05
2021-01-03 11:45:00,198,32,1799.5,3302.5,5.189519686364301e-05,2.4953660273071024e-05
2021-01-03 12:00:00,222,35,1640.0,3253.0,5.775303242442548e-05,2.536932297975021e-05
2021-01-03 12:15:00,243,32,1474.5,3339.5,6.341369213826795e-05,2.426199926455815e-05
2021-01-03 12:30:00,215,35,1642.5,3039.5,5.67398496367594e-05,2.707228687342159e-05
2021-01-03 12:45:00,255,33,1344.5,3139.0,6.935878483408971e-05,2.603570836850784e-05
2021-01-03 13:00:00,199,42,1722.5,2654.0,5.405606564742461e-05,3.1996708909940695e-05
2021-01-03 13:15:00,156,25,2159.0,4043.0,4.207827854525681e-05,1.929301145387504e-05
2021-01-03 13:30:00,190,32,1802.0,3308.5,5.093070502302738e-05,2.469913367788625e-05
2021-01-03 13:45:00,213,25,1658.0,3995.0,5.667570639748988e-05,1.950838860710105e-05
2021-01-03 14:00:00,201,26,1742.0,4006.0,5.3242113611253634e-05,1.9849358636684975e-05
2021-01-03 14:15:00,172,28,1979.0,3667.5,4.609142072516811e-05,2.1908256048047935e-05
2021-01-03 14:30:00,197,33,1770.0,3178.5,5.2510494768808555e-05,2.5653204435050367e-05
2021-01-03 14:45:00,176,36,1920.0,2889.0,4.806995051799469e-05,2.8897047845484276e-05
2021-01-03 15:00:00,182,30,1864.5,3446.0,4.986974953055304e-05,2.351486021591345e-05
2021-01-03 15:15:00,218,33,1570.0,3131.0,6.024640780793445e-05,2.6255970249598802e-05
2021-01-03 15:30:00,160,40,2074.5,2706.0,4.42977082857479e-05,3.137887401617424e-05
2021-01-03 15:45:00,163,25,2015.5,3893.0,4.544819588785839e-05,2.000059201752372e-05
2021-01-03 16:00:00,149,23,2207.5,4379.0,4.121874706074371e-05,1.7627141506093626e-05
2021-01-03 16:15:00,113,26,2889.0,3894.0,3.128101284044054e-05,2.0146324303130886e-05
2021-01-03 16:30:00,124,35,2537.5,2921.0,3.5580939176106136e-05,2.882036595277248e-05
2021-01-03 16:45:00,133,29,2383.0,3372.5,3.8441139534110727e-05,2.402052180856307e-05
2021-01-03 17:00:00,129,40,2397.0,2621.0,3.741630277620265e-05,3.28707865814875e-05
2021-01-03 17:15:00,147,38,2115.5,2664.0,4.293310817303269e-05,3.1834167444369785e-05
2021-01-03 17:30:00,138,34,2251.0,2907.0,4.0590181235159214e-05,2.8595338118847272e-05
2021-01-03 17:45:00,146,28,2121.0,3373.5,4.2969751355239474e-05,2.39785152503357e-05
2021-01-03 18:00:00,121,28,2470.5,3367.0,3.605439744460733e-05,2.3769725688876364e-05
2021-01-03 18:15:00,147,29,2087.5,3259.0,4.362222323776605e-05,2.509362518084716e-05
2021-01-03 18:30:00,152,32,2010.5,2911.5,4.543162585143201e-05,2.8127516094213115e-05
2021-01-03 18:45:00,112,15,2585.0,5529.0,3.3690289977138734e-05,1.3183405783472227e-05
2021-01-03 19:00:00,124,26,2474.0,3692.0,3.680155326297707e-05,2.1870536517907764e-05
2021-01-03 19:15:00,120,24,2517.5,3798.5,3.588216297678424e-05,2.1051006588965063e-05
2021-01-03 19:30:00,156,22,2006.0,4091.5,4.7094666619571995e-05,1.9126908778555605e-05
2021-01-03 19:45:00,154,23,2015.0,3886.0,4.661752049884379e-05,2.0185495931306123e-05
2021-01-03 20:00:00,118,18,2510.0,4708.0,3.628018634487576e-05,1.6200045360127012e-05
2021-01-03 20:15:00,146,19,2063.5,4399.0,4.47399322894833e-05,1.7436023558820886e-05
2021-01-03 20:30:00,254,20,1256.5,4272.0,7.69117102015208e-05,1.8228250507201072e-05
2021-01-03 20:45:00,218,22,1397.5,3817.0,6.729506261064713e-05,2.058645186887553e-05
2021-01-03 21:00:00,191,22,1622.5,3890.0,5.8742986210468434e-05,2.0426088199848846e-05
2021-01-03 21:15:00,199,21,1529.0,3991.5,6.154009816728021e-05,1.969587690264516e-05
2021-01-03 21:30:00,181,20,1637.0,4079.5,5.7482124170915625e-05,1.946301540497669e-05
2021-01-03 21:45:00,182,15,1627.0,5089.5,5.698200151471936e-05,1.4784646834212854e-05
2021-01-03 22:00:00,183,16,1777.5,4967.5,5.568491224909839e-05,1.527000227141284e-05
2021-01-03 22:15:00,148,17,2058.0,4664.0,4.580524538148496e-05,1.6405687562365742e-05
2021-01-03 22:30:00,133,16,2248.5,5010.0,4.108172823726336e-05,1.5014465499104294e-05
2021-01-03 22:45:00,109,15,2703.0,5394.5,3.331164510934624e-05,1.3676946867796808e-05
2021-01-03 23:00:00,113,18,2689.0,4716.5,3.3931518987987945e-05,1.6402480419539003e-05
2021-01-03 23:15:00,109,25,2724.5,3505.0,3.354446857868086e-05,2.314086306162875e-05
2021-01-03 23:30:00,128,17,2328.5,4661.5,4.0580259669277225e-05,1.6666029436129403e-05
2021-01-03 23:45:00,135,16,2158.5,4626.5,4.4491785168613975e-05,1.6832165426521813e-05
2021-01-04 00:00:00,100,19,2671.0,3925.0,3.4077343984547964e-05,2.046242936423232e-05
2021-01-04 00:15:00,89,17,2881.5,4064.5,3.1697956229752476e-05,1.9591957155847104e-05
2021-01-04 00:30:00,73,10,3269.0,6197.5,2.6949292138079314e-05,1.180866188966931e-05
2021-01-04 00:45:00,82,12,2884.0,5115.5,3.1311286114895616e-05,1.4931334525351542e-05
2021-01-04 01:00:00,40,7,5316.5,8160.0,1.5275087134825175e-05,8.683958495640652e-06
2021-01-04 01:15:00,50,3,4211.5,16494.0,2.0165355918531963e-05,3.939060113996399e-06
2021-01-04 01:30:00,50,6,4072.0,8676.5,2.0875772038239405e-05,8.182993557256407e-06
2021-01-04 01:45:00,61,14,3351.0,4105.5,2.612767696254191e-05,1.981588214645636e-05
2021-01-04 02:00:00,27,6,6707.5,8644.0,1.1572432066609206e-05,8.329712222325573e-06
2021-01-04 02:15:00,54,7,3668.0,7353.5,2.317694048934247e-05,9.842921041493536e-06
2021-01-04 02:30:00,65,11,3112.5,4971.0,2.817173664020401e-05,1.5944270426422265e-05
2021-01-04 02:45:00,33,2,5479.5,23232.0,1.4201977948201513e-05,2.9532587733935014e-06
2021-01-04 03:00:00,42,6,4591.5,8899.0,1.7568884668638285e-05,7.883440701415997e-06
2021-01-04 03:15:00,28,8,6267.0,6668.0,1.2263634862535602e-05,1.1553497749234219e-05
2021-01-04 03:30:00,26,3,6618.5,16039.5,1.1469544169435166e-05,4.329179245337474e-06
2021-01-04 03:45:00,42,7,4389.0,7374.0,1.892406762921083e-05,1.0298903608147315e-05
2021-01-04 04:00:00,27,5,6575.5,10174.0,1.1821195227914834e-05,6.959397483203495e-06
2021-01-04 04:15:00,27,2,6348.5,23345.5,1.2308124319349326e-05,2.988946874458254e-06
2021-01-04 04:30:00,25,3,6846.0,15392.5,1.1445665366286473e-05,4.459998275467334e-06
2021-01-04 04:45:00,31,6,5633.5,8245.5,1.443818013725586e-05,9.081937237759061e-06
2021-01-04 05:00:00,33,4,5565.5,12476.5,1.4632692805681384e-05,5.588098467883103e-06
2021-01-04 05:15:00,30,18,6075.0,3313.5,1.3203051489260198e-05,2.564942930019807e-05
2021-01-04 05:30:00,40,12,4789.0,4681.5,1.7527147360367788e-05,1.6478061520842688e-05
2021-01-04 05:45:00,33,4,5798.5,12593.0,1.426330052774212e-05,5.568835681757747e-06
2021-01-04 06:00:00,35,4,5688.0,13415.0,1.4302912808626208e-05,4.991931790244017e-06
