time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,298,120,1021.0,912.0,9.622901731121271e-05,0.00010572314632083452
2021-01-02 16:15:00,260,124,1141.0,874.5,8.609220209945768e-05,0.00011250155370089285
2021-01-02 16:30:00,273,109,1079.0,974.0,9.134424601514909e-05,0.00010002817307259934
2021-01-02 16:45:00,261,118,1142.0,918.5,8.604975258223438e-05,0.0001067650111153234
2021-01-02 17:00:00,228,91,1273.5,1151.5,7.561218510260872e-05,8.181091609346582e-05
2021-01-02 17:15:00,263,103,1095.5,995.5,8.951000589132396e-05,9.677149619067932e-05
2021-01-02 17:30:00,274,116,1077.0,880.0,9.264421813858832e-05,0.00011017703359734662
2021-01-02 17:45:00,287,119,1063.5,860.5,9.603647110473396e-05,0.00011396393376684322
2021-01-02 18:00:00,329,140,907.0,744.5,0.00011021133106478887,0.00013043737515279808
2021-01-02 18:15:00,287,106,1024.0,949.0,9.658561439724688e-05,0.00010147939728896832
2021-01-02 18:30:00,260,115,1093.0,868.0,8.959063626236135e-05,0.00011126257871827444
2021-01-02 18:45:00,260,116,1105.0,862.0,8.965888243651461e-05,0.00011325813383791785
2021-01-02 19:00:00,261,127,1162.5,846.0,8.741334858768832e-05,0.00011696283436865396
2021-01-02 19:15:00,249,103,1186.0,961.5,8.428135757296767e-05,9.99611801242236e-05
2021-01-02 19:30:00,250,85,1152.5,1110.0,8.645998579981193e-05,8.494911547982758e-05
2021-01-02 19:45:00,305,81,944.0,1151.0,0.00010705180043578858,8.209797836262171e-05
2021-01-02 20:00:00,290,97,1017.0,981.5,0.00010104818325819762,9.709330666770768e-05
2021-01-02 20:15:00,271,96,1037.0,970.5,9.566344540900182e-05,9.833435935677036e-05
2021-01-02 20:30:00,287,86,996.5,1069.5,0.00010151433209051964,8.907237337481759e-05
2021-01-02 20:45:00,328,102,872.5,904.5,0.00011557056093651616,0.00010669511869831956
2021-01-02 21:00:00,269,89,1052.5,1038.5,9.363488174332136e-05,9.113520675916036e-05
2021-01-02 21:15:00,257,77,1107.5,1178.0,8.974149908809368e-05,8.000157925195407e-05
2021-01-02 21:30:00,276,92,1075.0,979.5,9.53394550935622e-05,9.627015918061536e-05
2021-01-02 21:45:00,288,92,1008.5,978.5,9.997806037008543e-05,9.761169642762409e-05
2021-01-02 22:00:00,254,67,1163.5,1335.5,8.596039933005036e-05,6.958573637807281e-05
2021-01-02 22:15:00,233,81,1234.0,1103.0,8.008653470376403e-05,8.585920150942596e-05
2021-01-02 22:30:00,268,82,1095.0,1056.0,9.148912201166827e-05,8.839569362052592e-05
2021-01-02 22:45:00,255,70,1113.0,1220.5,8.864437718286778e-05,7.707697677670691e-05
2021-01-02 23:00:00,253,88,1107.5,1000.5,8.899147335057118e-05,9.722005870765818e-05
2021-01-02 23:15:00,253,64,1113.0,1321.5,8.991514569096768e-05,7.208213759579041e-05
2021-01-02 23:30:00,238,76,1174.0,1118.0,8.489321646129404e-05,8.553694126650947e-05
2021-01-02 23:45:00,232,76,1172.0,1079.5,8.509870349190792e-05,8.803459296163429e-05
2021-01-03 00:00:00,239,81,1136.0,1019.0,8.732121529210043e-05,9.407020889393176e-05
2021-01-03 00:15:00,210,80,1273.5,990.0,7.821086319095107e-05,9.603391918025446e-05
2021-01-03 00:30:00,205,54,1261.0,1417.0,7.807444798508891e-05,6.622467825843812e-05
2021-01-03 00:45:00,208,70,1254.5,1113.0,7.833493078845238e-05,8.306367305188987e-05
2021-01-03 01:00:00,221,82,1106.0,976.5,8.624871553807686e-05,9.674009475810257e-05
2021-01-03 01:15:00,213,75,1134.5,1013.5,8.637658732186351e-05,9.554833917876839e-05
2021-01-03 01:30:00,229,52,1015.0,1384.0,9.591048578032814e-05,6.757661173467862e-05
2021-01-03 01:45:00,215,65,1053.0,1101.0,9.346615090740416e-05,8.855055010326357e-05
2021-01-03 02:00:00,215,76,1069.5,945.5,9.30393578120605e-05,0.00010507149700615358
2021-01-03 02:15:00,248,59,886.0,1169.0,0.00011161035744117053,8.545820080069989e-05
2021-01-03 02:30:00,188,53,1105.0,1212.5,8.731442202032568e-05,7.940205756199728e-05
2021-01-03 02:45:00,201,56,1038.0,1129.5,9.440803811642342e-05,8.572613866509094e-05
2021-01-03 03:00:00,220,75,982.5,961.0,9.883131964519556e-05,0.00010301037520499064
2021-01-03 03:15:00,196,52,1076.0,1228.0,9.045559622467876e-05,7.882466363090654e-05
2021-01-03 03:30:00,208,73,995.5,878.5,9.678298927290849e-05,0.00011216067554528525
2021-01-03 03:45:00,205,66,997.0,938.5,9.73631216991527e-05,0.0001038441205347028
2021-01-03 04:00:00,190,50,1088.5,1290.5,8.811042555016845e-05,7.445739175756673e-05
2021-01-03 04:15:00,172,56,1177.5,1127.0,8.203124627401678e-05,8.759621897177679e-05
2021-01-03 04:30:00,162,62,1276.0,1044.0,7.514831354659683e-05,9.354085321327918e-05
2021-01-03 04:45:00,205,62,1044.0,1082.0,9.272560818952572e-05,9.240849323480402e-05
2021-01-03 05:00:00,219,72,976.5,977.0,9.730721175293388e-05,0.0001022863848297926
2021-01-03 05:15:00,203,56,1051.0,1186.0,9.0816363050714e-05,8.224094835562161e-05
2021-01-03 05:30:00,195,69,1076.0,1006.0,8.726393985500759e-05,9.940945023692584e-05
2021-01-03 05:45:00,225,65,924.5,1014.5,0.00010168480422285694,9.696051171282982e-05
2021-01-03 06:00:00,189,69,1141.5,1013.0,8.281950912132006e-05,9.41511658370448e-05
2021-01-03 06:15:00,224,58,947.0,1135.0,9.952556518524642e-05,8.435038568486695e-05
2021-01-03 06:30:00,208,61,1051.5,1151.5,9.049817067519902e-05,8.425332904239875e-05
2021-01-03 06:45:00,247,78,872.0,890.0,0.000107277310544795,0.00010935473695278819
2021-01-03 07:00:00,236,78,993.5,1000.0,9.569059823653579e-05,9.687383176989731e-05
2021-01-03 07:15:00,219,66,1059.5,1107.5,8.850576803001921e-05,8.586829105187356e-05
2021-01-03 07:30:00,211,62,1181.0,1258.5,8.131904892940196e-05,7.484234821488928e-05
2021-01-03 07:45:00,244,75,1051.5,1062.5,9.03359757840348e-05,9.009030652325892e-05
2021-01-03 08:00:00,258,72,1072.0,1226.5,8.922716822018776e-05,7.863343821432198e-05
2021-01-03 08:15:00,269,86,1075.0,1006.5,9.054099083482833e-05,9.65747409887906e-05
2021-01-03 08:30:00,280,86,1073.5,1082.0,9.099852354895542e-05,9.084331113305905e-05
