time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,2417,904,126.0,141.0,0.0007804883719503392,0.00079644770228362
2021-01-02 16:15:00,2299,901,134.0,141.5,0.0007612537408717431,0.0008174508055201973
2021-01-02 16:30:00,2297,865,130.0,139.5,0.000768563124896694,0.0007938015569522793
2021-01-02 16:45:00,2320,899,128.0,140.0,0.0007648866896198612,0.0008134046185819978
2021-01-02 17:00:00,2381,917,126.0,136.5,0.0007896167224969798,0.0008244023083264633
2021-01-02 17:15:00,2243,882,130.0,137.0,0.0007633876167841813,0.0008286646567007683
2021-01-02 17:30:00,2285,859,127.0,142.0,0.0007725986804623151,0.0008158799298286272
2021-01-02 17:45:00,2167,797,143.0,148.5,0.0007251255501183223,0.0007632710522031431
2021-01-02 18:00:00,2258,810,133.0,147.0,0.000756404819283566,0.0007546733848126174
2021-01-02 18:15:00,2301,861,131.0,138.5,0.0007743675913869862,0.0008242807647717143
2021-01-02 18:30:00,2328,905,118.0,132.0,0.0008021807739183738,0.0008755881194785945
2021-01-02 18:45:00,2241,878,127.0,131.0,0.0007727905982316508,0.0008572469095663093
2021-01-02 19:00:00,2192,890,134.0,136.0,0.0007341381613188231,0.000819660807780331
2021-01-02 19:15:00,2111,817,135.0,138.0,0.000714529902957971,0.0007928959627329193
2021-01-02 19:30:00,1995,785,141.0,142.5,0.0006899506866824992,0.0007845300664901724
2021-01-02 19:45:00,2134,801,131.0,136.0,0.0007490116135408946,0.0008118577860303702
2021-01-02 20:00:00,2173,801,127.0,140.0,0.0007571644904140119,0.0008017705014518952
2021-01-02 20:15:00,2169,737,129.0,144.0,0.0007656605649155903,0.0007549210713118725
2021-01-02 20:30:00,2107,741,130.0,145.0,0.0007452637551035713,0.0007674724264039515
2021-01-02 20:45:00,2136,691,132.0,149.0,0.0007526180431719467,0.0007228071276523412
2021-01-02 21:00:00,2107,738,134.5,142.0,0.0007334152261456436,0.000755705422340004
2021-01-02 21:15:00,2138,778,137.0,138.5,0.0007465654671219622,0.0008083276449093541
2021-01-02 21:30:00,2136,772,135.0,140.0,0.000737844478550177,0.0008078322052982072
2021-01-02 21:45:00,2015,723,143.0,143.0,0.0006994992765476465,0.0007671006143170893
2021-01-02 22:00:00,2079,764,142.0,135.0,0.0007035892527841526,0.000793485113326084
2021-01-02 22:15:00,1961,681,142.0,157.0,0.0006740330238372588,0.0007218532867644331
2021-01-02 22:30:00,1949,702,143.0,151.0,0.0006653443985102294,0.000756753377092795
2021-01-02 22:45:00,1950,658,146.0,148.0,0.0006778687666925184,0.0007245235817010447
2021-01-02 23:00:00,2149,710,127.0,136.5,0.0007558999060489227,0.0007843891100276966
2021-01-02 23:15:00,2044,630,134.0,147.0,0.000726429082183154,0.0007095585419585617
2021-01-02 23:30:00,2155,708,122.0,135.0,0.0007686759725802044,0.0007968441370616935
2021-01-02 23:45:00,2134,612,119.0,149.0,0.0007827613502229807,0.000708910143322634
2021-01-03 00:00:00,2050,599,124.0,150.0,0.0007489895035514892,0.0006956550015736438
2021-01-03 00:15:00,2043,597,123.0,147.0,0.0007608799690433954,0.000716653121882649
2021-01-03 00:30:00,1948,583,124.0,148.0,0.0007418976813412352,0.0007149812486049894
2021-01-03 00:45:00,1770,583,159.0,167.0,0.0006666001321901957,0.0006918017341321685
2021-01-03 01:00:00,1900,632,132.0,157.0,0.0007415047942187602,0.0007456065839892784
2021-01-03 01:15:00,1813,525,130.0,172.5,0.0007352148019461902,0.0006688383742513787
2021-01-03 01:30:00,1804,539,122.0,167.0,0.0007555568399463402,0.0007004575716344575
2021-01-03 01:45:00,1632,488,133.0,155.0,0.0007094732943296912,0.0006648102838521942
2021-01-03 02:00:00,1590,521,139.0,146.5,0.0006880585066101218,0.0007202927623711318
2021-01-03 02:15:00,1576,475,134.0,153.0,0.0007092658198680837,0.0006880109386497025
2021-01-03 02:30:00,1446,433,143.0,160.0,0.000671577948092505,0.000648699828761223
2021-01-03 02:45:00,1526,466,127.5,147.0,0.0007167495829137419,0.0007133639396059352
2021-01-03 03:00:00,1524,475,133.0,159.0,0.0006846315051785365,0.0006523990429649408
2021-01-03 03:15:00,1500,450,136.0,151.0,0.0006922622160051948,0.0006821365121905374
2021-01-03 03:30:00,1477,454,140.0,144.5,0.0006872522844042588,0.0006975472150350618
2021-01-03 03:45:00,1395,384,143.0,170.0,0.0006625441696113075,0.0006041839740200892
2021-01-03 04:00:00,1508,449,133.0,152.0,0.0006993185354192317,0.0006686273779829492
2021-01-03 04:15:00,1471,432,136.0,151.0,0.0007015579259830157,0.0006757422606394211
2021-01-03 04:30:00,1398,469,150.0,145.0,0.0006485021131984096,0.0007075912928552892
2021-01-03 04:45:00,1641,525,124.0,136.0,0.0007422571855561546,0.0007824912733592277
2021-01-03 05:00:00,1480,487,149.5,155.0,0.0006576012483759915,0.0006918537418348472
2021-01-03 05:15:00,1477,425,145.0,164.0,0.0006607673311620916,0.0006241500544846283
2021-01-03 05:30:00,1410,448,157.0,159.5,0.0006309854112592858,0.0006454410682049679
2021-01-03 05:45:00,1494,518,140.0,133.0,0.00067518710003977,0.0007727006933422437
2021-01-03 06:00:00,1567,483,141.0,153.5,0.0006866569883233256,0.0006590581608593136
2021-01-03 06:15:00,1505,438,145.0,159.0,0.0006686873910883742,0.0006369908436202023
2021-01-03 06:30:00,1531,476,148.0,153.0,0.0006661187466525466,0.0006574522069538001
2021-01-03 06:45:00,1514,480,142.0,150.0,0.0006575621383191079,0.0006729522274017735
2021-01-03 07:00:00,1621,506,146.0,170.0,0.0006572646599212903,0.0006284379343021544
2021-01-03 07:15:00,1614,545,148.0,149.5,0.0006522753863034293,0.0007090639185344103
2021-01-03 07:30:00,1663,538,152.0,163.0,0.0006409174330312582,0.0006494384409614588
2021-01-03 07:45:00,1741,587,150.0,153.0,0.0006445694009836255,0.0007051067990553731
2021-01-03 08:00:00,1710,574,165.0,172.5,0.0005913893707617094,0.0006268832435419559
2021-01-03 08:15:00,1870,624,155.5,157.0,0.0006294113489261299,0.0007007283532209922
2021-01-03 08:30:00,1941,604,151.0,165.0,0.0006308147650304374,0.0006380158130740426
2021-01-03 08:45:00,2184,772,135.0,129.0,0.0007077060570111668,0.0008087055264337763
2021-01-03 09:00:00,2183,757,146.0,158.0,0.0006542770628085,0.0006927660400047221
2021-01-03 09:15:00,2772,790,118.0,143.0,0.0007810342787266776,0.0007547616863860098
2021-01-03 09:30:00,2703,799,129.0,145.0,0.0007518715426217702,0.0007572110372748742
2021-01-03 09:45:00,2731,800,130.0,155.0,0.0007534894757026544,0.0007403924820547373
2021-01-03 10:00:00,2703,776,167.0,164.0,0.0006744486513272642,0.0006430399215093539
2021-01-03 10:15:00,2916,925,132.0,150.0,0.0007331026255683367,0.0007727516894022744
2021-01-03 10:30:00,3001,940,123.0,147.0,0.0007561662446985213,0.0007566604228765813
2021-01-03 10:45:00,2961,873,119.0,151.0,0.0007683429222668425,0.000731262957301112
2021-01-03 11:00:00,3029,993,118.0,138.0,0.0007885975408461764,0.0007873859658165067
2021-01-03 11:15:00,2955,920,120.0,143.0,0.0007802777471915942,0.0007561635548892549
2021-01-03 11:30:00,2879,943,121.0,142.0,0.0007719920532280343,0.0007691987689556923
2021-01-03 11:45:00,3145,1061,112.0,134.0,0.0008242949198795823,0.0008273697984290113
2021-01-03 12:00:00,3107,1109,121.0,142.0,0.000808282305147252,0.0008038451195583709
2021-01-03 12:15:00,3105,1058,118.0,141.0,0.0008102860662112015,0.0008021623506844537
2021-01-03 12:30:00,3138,1072,118.0,132.5,0.000828137898419307,0.0008291854722373697
2021-01-03 12:45:00,3011,1018,120.0,137.0,0.0008189776515115455,0.0008031621551254842
2021-01-03 13:00:00,3085,1037,114.0,139.0,0.0008380048367955022,0.0007900139795144881
2021-01-03 13:15:00,3051,1047,116.0,137.0,0.0008229540246255032,0.0008079913196882867
2021-01-03 13:30:00,2967,976,122.0,147.0,0.0007953231673859066,0.0007533235771755304
2021-01-03 13:45:00,2995,1087,121.0,135.0,0.0007969189702370055,0.0008482247366367537
2021-01-03 14:00:00,3068,1074,120.0,139.0,0.0008126706694493839,0.0008199311990692178
2021-01-03 14:15:00,3102,1069,119.0,139.0,0.0008312534133108808,0.00083642591840583
2021-01-03 14:30:00,3148,1095,116.0,134.0,0.0008391017133614686,0.0008512199653448531
2021-01-03 14:45:00,3067,1066,118.0,135.0,0.0008376735127198277,0.0008556736945357287
