time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,209,20,1393.0,4429.0,6.748947858403845e-05,1.7620524386805748e-05
2021-01-02 16:15:00,259,28,1144.5,3204.5,8.5761078245229e-05,2.540357664213709e-05
2021-01-02 16:30:00,270,28,1090.0,3195.0,9.034046309190568e-05,2.5695310514062217e-05
2021-01-02 16:45:00,357,35,848.5,2661.0,0.00011770023629064244,3.166758804268067e-05
2021-01-02 17:00:00,316,28,950.0,3222.5,0.00010479583549308928,2.517258956722025e-05
2021-01-02 17:15:00,388,28,766.0,3124.5,0.00013205278435678212,2.6306814498437092e-05
2021-01-02 17:30:00,305,33,966.5,2663.0,0.0001031258632564578,3.134346645441758e-05
2021-01-02 17:45:00,320,23,958.0,3598.5,0.00010707899217252568,2.2026642660818434e-05
2021-01-02 18:00:00,239,28,1206.0,3131.0,8.006233472487701e-05,2.608747503055961e-05
2021-01-02 18:15:00,276,33,1052.0,2662.5,9.288372673742208e-05,3.159264255222599e-05
2021-01-02 18:30:00,331,34,888.0,2542.5,0.0001140557715493908,3.289502327322897e-05
2021-01-02 18:45:00,323,29,910.5,2923.0,0.00011138391933459317,2.831453345947946e-05
2021-01-02 19:00:00,309,24,991.5,3599.0,0.00010348936671875744,2.210321279407634e-05
2021-01-02 19:15:00,281,28,1071.5,3024.0,9.511269669881093e-05,2.7173913043478265e-05
2021-01-02 19:30:00,546,33,546.0,2564.5,0.0001888286089867893,3.298024483334483e-05
2021-01-02 19:45:00,431,35,664.0,2378.5,0.00015127647864860615,3.547443509495999e-05
2021-01-02 20:00:00,423,24,685.5,3391.5,0.00014739097075247443,2.4023086185824577e-05
2021-01-02 20:15:00,506,33,573.5,2511.5,0.00017861883164928014,3.3802436028889806e-05
2021-01-02 20:30:00,434,26,648.5,3048.0,0.00015350947779541998,2.692885706680532e-05
2021-01-02 20:45:00,390,23,729.5,3366.0,0.0001374162157476869,2.4058703235895585e-05
2021-01-02 21:00:00,369,23,766.0,3449.0,0.00012844338796760442,2.355179500517628e-05
2021-01-02 21:15:00,382,24,743.5,3310.0,0.0001333900881387229,2.493555716944023e-05
2021-01-02 21:30:00,311,27,923.0,2926.5,0.00010742960338441248,2.8253198889963207e-05
2021-01-02 21:45:00,300,32,964.5,2528.0,0.00010414381288550568,3.3951894409608395e-05
2021-01-02 22:00:00,314,23,937.0,3470.5,0.00010626600547100717,2.3887640846204103e-05
2021-01-02 22:15:00,465,25,625.0,3116.0,0.0001598293503744647,2.6499753552291965e-05
2021-01-02 22:30:00,582,22,501.5,3383.0,0.00019868160078653332,2.3715917800628905e-05
2021-01-02 22:45:00,468,28,605.5,2768.5,0.00016268850400620442,3.0830790710682756e-05
2021-01-02 23:00:00,394,28,701.5,2767.5,0.00013858751185820176,3.093365504334578e-05
2021-01-02 23:15:00,366,14,743.5,4920.0,0.00013007487479404812,1.576796759907915e-05
2021-01-02 23:30:00,321,24,853.0,3095.0,0.00011449883396670333,2.7011665663108256e-05
2021-01-02 23:45:00,306,21,871.0,3413.5,0.0001122422554677751,2.4325348055188425e-05
2021-01-03 00:00:00,260,24,1054.5,3080.5,9.49937906943352e-05,2.7872654487090893e-05
2021-01-03 00:15:00,251,14,1076.5,4711.5,9.348060314727962e-05,1.680593585654453e-05
2021-01-03 00:30:00,258,15,1014.5,4345.0,9.825954917147777e-05,1.8395743960677262e-05
2021-01-03 00:45:00,198,14,1301.5,4486.0,7.456882834669986e-05,1.6612734610377977e-05
2021-01-03 01:00:00,194,12,1255.0,5217.0,7.571154214654709e-05,1.415708703777111e-05
2021-01-03 01:15:00,207,19,1168.5,3378.5,8.394344401702227e-05,2.4205579258621327e-05
2021-01-03 01:30:00,163,15,1409.0,4016.5,6.826816236765714e-05,1.9493253385003447e-05
2021-01-03 01:45:00,150,9,1481.0,6119.5,6.52089424935378e-05,1.2260845398913415e-05
2021-01-03 02:00:00,134,7,1666.5,7473.0,5.798732068286561e-05,9.677637882145726e-06
2021-01-03 02:15:00,128,11,1659.5,4872.5,5.760534577608803e-05,1.5932884895045747e-05
2021-01-03 02:30:00,106,1,1905.0,67927.0,4.923047199018363e-05,1.4981520294716464e-06
