time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,90,28,3028.0,3333.5,2.9062454892648134e-05,2.4668734141528048e-05
2021-01-02 16:15:00,98,25,2729.0,3502.5,3.2450137714410984e-05,2.2681764859050974e-05
2021-01-02 16:30:00,78,19,3335.5,4398.5,2.609835600432831e-05,1.7436103563113648e-05
2021-01-02 16:45:00,43,15,5472.0,5397.0,1.4176779161057772e-05,1.3571823446863145e-05
2021-01-02 17:00:00,57,17,4341.5,4881.5,1.890304627565218e-05,1.5283357951526583e-05
2021-01-02 17:15:00,78,23,3262.5,3668.5,2.6546693762445888e-05,2.1609169052287613e-05
2021-01-02 17:30:00,75,27,3403.5,3158.5,2.5358818833555194e-05,2.56446543717962e-05
2021-01-02 17:45:00,66,27,3731.5,3143.5,2.208504213558342e-05,2.5857363123569465e-05
2021-01-02 18:00:00,118,29,2335.5,3035.0,3.952868409010664e-05,2.7019170567365313e-05
2021-01-02 18:15:00,139,35,1988.0,2528.0,4.67783986105133e-05,3.350734816145181e-05
2021-01-02 18:30:00,121,29,2190.5,2929.0,4.1694103799022015e-05,2.805751985069529e-05
2021-01-02 18:45:00,96,25,2690.5,3316.5,3.31048181304054e-05,2.4409080568516776e-05
2021-01-02 19:00:00,89,25,2961.5,3492.0,2.980761695135732e-05,2.3024179993829518e-05
2021-01-02 19:15:00,122,24,2257.0,3445.0,4.129448041727734e-05,2.329192546583851e-05
2021-01-02 19:30:00,108,25,2430.0,3252.5,3.735071386551875e-05,2.498503396465517e-05
2021-01-02 19:45:00,145,20,1864.0,3865.0,5.089347889570277e-05,2.027110576854857e-05
2021-01-02 20:00:00,103,21,2531.0,3800.0,3.5889527157221915e-05,2.1020200412596507e-05
2021-01-02 20:15:00,151,24,1787.5,3279.0,5.3303248179923526e-05,2.4583589839192596e-05
2021-01-02 20:30:00,152,27,1776.5,2935.5,5.376368807581529e-05,2.7964582338605518e-05
2021-01-02 20:45:00,125,17,2111.5,4358.0,4.4043658893489396e-05,1.778251978305326e-05
2021-01-02 21:00:00,120,32,2240.5,2649.0,4.177020746913965e-05,3.276771478981047e-05
2021-01-02 21:15:00,115,25,2290.0,3185.0,4.0156701926578886e-05,2.5974538718166904e-05
2021-01-02 21:30:00,110,23,2426.0,3374.0,3.799760891410088e-05,2.406753979515384e-05
2021-01-02 21:45:00,106,18,2524.0,4162.5,3.6797480552878666e-05,1.9097940605404722e-05
2021-01-02 22:00:00,77,21,3459.5,3755.0,2.605886121422787e-05,2.1810454685664607e-05
2021-01-02 22:15:00,144,20,1926.5,3762.5,4.9495540761124545e-05,2.119980284183357e-05
2021-01-02 22:30:00,128,16,2228.0,4450.0,4.3696297080199765e-05,1.72479402186392e-05
2021-01-02 22:45:00,118,21,2307.0,3485.5,4.1019751010111374e-05,2.312309303301207e-05
2021-01-02 23:00:00,97,17,2715.5,4194.5,3.41192605336182e-05,1.878114770488851e-05
2021-01-02 23:15:00,105,25,2502.0,3007.5,3.731656244091544e-05,2.815708499835563e-05
2021-01-02 23:30:00,136,26,1966.0,2903.5,4.851040940645374e-05,2.926263780170061e-05
2021-01-02 23:45:00,113,15,2276.5,4551.0,4.144893747666205e-05,1.7375248610848873e-05
2021-01-03 00:00:00,109,13,2313.5,5102.5,3.982431994493283e-05,1.5097687847174235e-05
2021-01-03 00:15:00,72,21,3334.0,3336.5,2.6815153094040368e-05,2.52089037848168e-05
2021-01-03 00:30:00,81,13,2938.5,4912.5,3.084892822825465e-05,1.5942978099253626e-05
2021-01-03 00:45:00,74,12,3139.0,5111.5,2.7869158068968634e-05,1.4239486808895407e-05
2021-01-03 01:00:00,65,12,3443.0,5217.0,2.536726927590496e-05,1.415708703777111e-05
2021-01-03 01:15:00,68,13,3194.0,4675.5,2.7575624121533893e-05,1.6561712124319856e-05
2021-01-03 01:30:00,68,4,3070.5,12517.0,2.8479969576691327e-05,5.198200902667586e-06
2021-01-03 01:45:00,68,14,3040.5,4229.5,2.9561387263737128e-05,1.9072426176087533e-05
2021-01-03 02:00:00,36,6,5211.0,8571.0,1.557868316853106e-05,8.295118184696336e-06
2021-01-03 02:15:00,62,10,3181.5,5280.0,2.790258936029264e-05,1.4484440813677948e-05
2021-01-03 02:30:00,47,7,3959.5,7099.0,2.182860550508142e-05,1.0487064206301527e-05
2021-01-03 02:45:00,42,13,4299.5,4087.0,1.9727052740745195e-05,1.9900710761538972e-05
2021-01-03 03:00:00,29,7,6092.5,7530.0,1.3027764862321235e-05,9.614301685799128e-06
2021-01-03 03:15:00,24,6,6864.5,8072.5,1.1076195456083115e-05,9.095153495873833e-06
2021-01-03 03:30:00,26,3,6499.5,15059.5,1.2097873659113561e-05,4.609342830628162e-06
2021-01-03 03:45:00,17,7,9043.0,6788.0,8.074014970173641e-06,1.1013770359741207e-05
2021-01-03 04:00:00,23,2,7282.0,23145.0,1.0665998882388813e-05,2.9782956703026687e-06
2021-01-03 04:15:00,25,7,6598.0,6905.5,1.1923146260758254e-05,1.0949527371472099e-05
2021-01-03 04:30:00,24,3,7005.0,15159.5,1.1133083488384717e-05,4.526170316771574e-06
2021-01-03 04:45:00,21,2,7963.0,23323.0,9.498720838927024e-06,2.980919136606581e-06
2021-01-03 05:00:00,44,9,4363.0,5987.5,1.9550307384151103e-05,1.2785798103724075e-05
2021-01-03 05:15:00,24,7,7185.5,7232.0,1.0736909917325794e-05,1.02801185444527e-05
2021-01-03 05:30:00,32,2,5580.0,23480.0,1.4320236283898685e-05,2.8814333402007492e-06
2021-01-03 05:45:00,36,6,5088.0,8064.0,1.626956867565711e-05,8.95020108118429e-06
2021-01-03 06:00:00,30,3,6034.0,16095.0,1.3145953828780965e-05,4.093528949436731e-06
2021-01-03 06:15:00,39,5,4803.0,9835.5,1.732811179564558e-05,7.2715849728333585e-06
2021-01-03 06:30:00,48,7,4111.0,7436.0,2.088419323273824e-05,9.66841480814412e-06
2021-01-03 06:45:00,32,5,5809.5,10206.5,1.3898275050337815e-05,7.009919035435141e-06
2021-01-03 07:00:00,51,8,4106.5,7294.5,2.0678900466370025e-05,9.935777617425367e-06
2021-01-03 07:15:00,46,11,4491.5,5449.0,1.8590252645574813e-05,1.4311381841978928e-05
2021-01-03 07:30:00,42,7,5019.0,8270.0,1.618673011864873e-05,8.449942540390725e-06
2021-01-03 07:45:00,48,12,4757.0,5391.5,1.777101162964619e-05,1.4414449043721426e-05
2021-01-03 08:00:00,52,10,4739.5,6708.0,1.798377033895257e-05,1.0921310863100277e-05
2021-01-03 08:15:00,47,5,5207.5,12008.0,1.5819429625416103e-05,5.6148105226041054e-06
2021-01-03 08:30:00,73,18,3658.0,4165.5,2.372461506812052e-05,1.901371628366352e-05
2021-01-03 08:45:00,57,7,4517.0,9429.0,1.8470350389027703e-05,7.33282213087621e-06
2021-01-03 09:00:00,66,22,4197.0,3828.0,1.978116635151672e-05,2.01332270542984e-05
2021-01-03 09:15:00,68,13,4257.0,5947.0,1.9159571051015174e-05,1.2420129016478646e-05
