time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,62,31,4117.5,3040.0,2.0020802259379827e-05,2.7311812799548915e-05
2021-01-02 16:15:00,63,26,3965.5,3387.5,2.0860802816407056e-05,2.3589035453413016e-05
2021-01-02 16:30:00,48,18,5010.5,4608.5,1.6060526771894346e-05,1.651841390189714e-05
2021-01-02 16:45:00,57,21,4333.5,4108.0,1.8792474701867278e-05,1.9000552825608402e-05
2021-01-02 17:00:00,78,18,3311.0,4659.5,2.5867326482471407e-05,1.6182379007498734e-05
2021-01-02 17:15:00,50,16,4739.5,4987.5,1.7017111386183263e-05,1.503246542767834e-05
2021-01-02 17:30:00,58,20,4226.5,4062.5,1.9610819897949352e-05,1.8996040275404592e-05
2021-01-02 17:45:00,62,30,3921.5,2876.0,2.074655473342685e-05,2.873040347063274e-05
2021-01-02 18:00:00,83,29,3100.0,3035.0,2.7804074402363146e-05,2.7019170567365313e-05
2021-01-02 18:15:00,62,15,3935.5,5126.0,2.0865184991739745e-05,1.436029206919363e-05
2021-01-02 18:30:00,63,26,3820.5,3237.0,2.1708500325110643e-05,2.515501779717509e-05
2021-01-02 18:45:00,78,22,3230.5,3672.0,2.6897664730954386e-05,2.1479990900294766e-05
2021-01-02 19:00:00,55,22,4348.5,3859.0,1.842043744185003e-05,2.0261278394569975e-05
2021-01-02 19:15:00,62,23,3994.0,3574.0,2.0985719556321275e-05,2.232142857142857e-05
2021-01-02 19:30:00,54,20,4375.5,3930.5,1.8675356932759374e-05,1.998802717172414e-05
2021-01-02 19:45:00,55,19,4232.5,4047.5,1.9304423029404502e-05,1.925755048012114e-05
2021-01-02 20:00:00,49,17,4702.5,4533.0,1.7073658550523047e-05,1.7016352714959075e-05
2021-01-02 20:15:00,74,21,3334.5,3682.0,2.6122121624598286e-05,2.151064110929352e-05
2021-01-02 20:30:00,69,23,3562.0,3404.0,2.4405884718626682e-05,2.3821681251404706e-05
2021-01-02 20:45:00,54,12,4375.5,5783.5,1.902686064198742e-05,1.2552366905684653e-05
2021-01-02 21:00:00,67,25,3759.0,3210.0,2.3321699170269643e-05,2.559977717953943e-05
2021-01-02 21:15:00,67,22,3707.0,3573.0,2.3395643731137266e-05,2.285759407198688e-05
2021-01-02 21:30:00,71,20,3590.5,3842.0,2.452572939001057e-05,2.092829547404682e-05
2021-01-02 21:45:00,69,21,3668.0,3636.0,2.3953076963666308e-05,2.2280930706305505e-05
2021-01-02 22:00:00,63,17,4139.5,4456.0,2.132088644800462e-05,1.7656082364585636e-05
2021-01-02 22:15:00,131,25,2099.0,3116.0,4.502719333130081e-05,2.6499753552291965e-05
2021-01-02 22:30:00,92,17,2910.5,4223.5,3.1406713526393586e-05,1.8325936482304157e-05
2021-01-02 22:45:00,84,26,3114.5,2951.0,2.9200500719062328e-05,2.8628591374205415e-05
2021-01-02 23:00:00,70,13,3626.0,5256.5,2.4622146776837875e-05,1.4362054127267685e-05
2021-01-02 23:15:00,63,22,3932.5,3354.0,2.2389937464549265e-05,2.477823479855295e-05
2021-01-02 23:30:00,56,16,4308.5,4409.0,1.997487446148095e-05,1.8007777108738838e-05
2021-01-02 23:45:00,46,13,4984.5,5142.0,1.687301879580933e-05,1.5058548796069024e-05
2021-01-03 00:00:00,59,14,4080.5,4801.5,2.155628327294529e-05,1.6259048450803023e-05
2021-01-03 00:15:00,238,16,1125.0,4188.0,8.863897828307789e-05,1.920678383605089e-05
2021-01-03 00:30:00,141,12,1779.5,5242.0,5.369998617510994e-05,1.4716595168541806e-05
2021-01-03 00:45:00,127,14,1965.5,4486.0,4.782950101025698e-05,1.6612734610377977e-05
2021-01-03 01:00:00,101,10,2333.0,6117.0,3.941683379794463e-05,1.1797572531475924e-05
2021-01-03 01:15:00,106,16,2142.0,3912.0,4.298553171886165e-05,2.0383645691470592e-05
2021-01-03 01:30:00,84,16,2549.0,3799.0,3.5181138888853984e-05,2.0792803610670345e-05
2021-01-03 01:45:00,82,21,2564.0,2987.0,3.564755522980066e-05,2.8608639264131306e-05
2021-01-03 02:00:00,61,10,3354.5,5509.0,2.639721314667763e-05,1.3825196974493896e-05
2021-01-03 02:15:00,59,16,3323.0,3514.5,2.655246406866557e-05,2.317510530188472e-05
2021-01-03 02:30:00,59,18,3267.5,3121.0,2.740186648510221e-05,2.696673653048964e-05
2021-01-03 02:45:00,51,9,3661.5,5619.0,2.395427832804773e-05,1.37774151426039e-05
2021-01-03 03:00:00,50,10,3851.5,5507.0,2.2461663555726266e-05,1.3734716693998752e-05
2021-01-03 03:15:00,62,16,3087.5,3466.5,2.861350492821472e-05,2.425374265566355e-05
2021-01-03 03:30:00,58,13,3272.0,4061.0,2.6987564316484093e-05,1.9973818932722033e-05
2021-01-03 03:45:00,68,15,2801.5,3557.0,3.2296059880694564e-05,2.3600936485159728e-05
2021-01-03 04:00:00,78,18,2599.5,3247.5,3.617164838375337e-05,2.6804661032724028e-05
2021-01-03 04:15:00,64,15,2954.5,3565.5,3.0523254427541134e-05,2.346327293886879e-05
2021-01-03 04:30:00,60,10,3194.5,5214.5,2.783270872096179e-05,1.5087234389238576e-05
2021-01-03 04:45:00,70,21,2828.5,2761.0,3.1662402796423416e-05,3.12996509343691e-05
2021-01-03 05:00:00,51,12,3838.0,4701.5,2.266058355890241e-05,1.7047730804965437e-05
2021-01-03 05:15:00,57,17,3492.5,3422.5,2.550016105364876e-05,2.496600217938513e-05
2021-01-03 05:30:00,61,17,3300.5,3386.5,2.7297950416181868e-05,2.4492183391706367e-05
2021-01-03 05:45:00,68,15,2968.5,3721.0,3.073140749846343e-05,2.2375502702960725e-05
2021-01-03 06:00:00,74,8,2787.0,6696.0,3.242668611099304e-05,1.0916077198497947e-05
2021-01-03 06:15:00,72,23,2816.5,2624.0,3.1990360238114916e-05,3.344929087503345e-05
2021-01-03 06:30:00,67,14,3098.0,4120.0,2.915085305403045e-05,1.933682961628824e-05
2021-01-03 06:45:00,62,10,3289.5,5657.5,2.692790791002952e-05,1.401983807087028e-05
2021-01-03 07:00:00,71,13,3065.5,4806.0,2.878827319827984e-05,1.614563862831622e-05
2021-01-03 07:15:00,92,25,2450.0,2639.0,3.7180505291149627e-05,3.2525867822679384e-05
2021-01-03 07:30:00,95,19,2526.0,3563.0,3.661284193503879e-05,2.2935558323917684e-05
2021-01-03 07:45:00,93,16,2696.0,4168.5,3.4431335032439504e-05,1.9219265391628568e-05
2021-01-03 08:00:00,105,20,2547.5,3756.5,3.631338241519269e-05,2.1842621726200554e-05
2021-01-03 08:15:00,84,17,3172.0,4247.0,2.8273023160318134e-05,1.9090355776853956e-05
2021-01-03 08:30:00,101,14,2778.5,5193.5,3.282446742301606e-05,1.4788445998404959e-05
2021-01-03 08:45:00,101,18,2773.5,4251.0,3.272816472441751e-05,1.8855828336538824e-05
2021-01-03 09:00:00,115,20,2619.0,4161.5,3.4467183794309444e-05,1.8302933685725816e-05
2021-01-03 09:15:00,128,32,2492.0,2761.5,3.606507491955798e-05,3.057262527133205e-05
2021-01-03 09:30:00,116,20,2733.0,4153.5,3.226677726382736e-05,1.8953968392362308e-05
2021-01-03 09:45:00,130,18,2490.0,4577.0,3.5867313014040666e-05,1.665883084623159e-05
2021-01-03 10:00:00,95,21,3511.5,4422.0,2.3704262625264552e-05,1.7401853546000557e-05
2021-01-03 10:15:00,309,25,1276.0,3788.0,7.768474324438137e-05,2.088518079465607e-05
2021-01-03 10:30:00,181,25,2055.0,3866.5,4.560682782087049e-05,2.012394741693036e-05
2021-01-03 10:45:00,160,18,2219.5,4913.5,4.15180234929736e-05,1.5077586748476535e-05
2021-01-03 11:00:00,127,16,2698.0,5704.0,3.306434060332268e-05,1.2686984343468386e-05
2021-01-03 11:15:00,109,18,3045.5,5005.5,2.8781818762735627e-05,1.479450433478977e-05
2021-01-03 11:30:00,115,13,2887.0,6591.5,3.0836778784725226e-05,1.0604012721552492e-05
2021-01-03 11:45:00,120,22,2833.5,4475.0,3.1451634462813946e-05,1.7155641437736328e-05
2021-01-03 12:00:00,134,27,2581.0,4015.0,3.485993849041899e-05,1.957062058437873e-05
2021-01-03 12:15:00,108,23,3131.0,4389.5,2.818386317256353e-05,1.7438311971401167e-05
2021-01-03 12:30:00,112,35,2966.5,3039.5,2.9557503066590943e-05,2.707228687342159e-05
2021-01-03 12:45:00,102,23,3131.5,4267.5,2.774351393363588e-05,1.814609977199031e-05
2021-01-03 13:00:00,88,16,3572.0,5869.0,2.390418983403701e-05,1.2189222441882168e-05
2021-01-03 13:15:00,108,18,2990.5,5275.5,2.913111591594702e-05,1.389096824679003e-05
2021-01-03 13:30:00,103,20,3109.5,4866.0,2.7609803249325374e-05,1.5436958548678907e-05
2021-01-03 13:45:00,110,18,2918.5,5226.5,2.926914414893844e-05,1.4046039797112756e-05
2021-01-03 14:00:00,109,26,2994.5,4006.0,2.8872588973266893e-05,1.9849358636684975e-05
2021-01-03 14:15:00,110,13,2900.5,6691.5,2.947707139400286e-05,1.0171690308022256e-05
2021-01-03 14:30:00,88,14,3559.0,6385.0,2.3456464668300267e-05,1.0883177639112274e-05
2021-01-03 14:45:00,76,16,3938.0,5607.0,2.0757478632770436e-05,1.2843132375770787e-05
2021-01-03 15:00:00,86,13,3589.0,6812.0,2.356482670125033e-05,1.018977276022916e-05
2021-01-03 15:15:00,96,12,3214.0,7121.0,2.6530528208998654e-05,9.547625545308653e-06
2021-01-03 15:30:00,109,16,2896.5,5705.5,3.017781376966576e-05,1.2551549606469694e-05
2021-01-03 15:45:00,117,16,2709.0,5624.0,3.2622324655702035e-05,1.2800378891215179e-05
2021-01-03 16:00:00,94,17,3326.5,5567.5,2.600377331348932e-05,1.3028756765373551e-05
2021-01-03 16:15:00,102,12,3148.5,7207.5,2.823595849314101e-05,9.298303524521953e-06
2021-01-03 16:30:00,61,10,4614.5,8025.5,1.7503526530181243e-05,8.234390272220709e-06
2021-01-03 16:45:00,81,11,3610.0,7337.5,2.3411521069646385e-05,9.111232410144613e-06
2021-01-03 17:00:00,85,14,3448.0,6198.0,2.4654152992071514e-05,1.1504775303520625e-05
2021-01-03 17:15:00,93,9,3159.5,8580.0,2.7161762313551293e-05,7.539671236824423e-06
2021-01-03 17:30:00,100,16,2955.0,5421.5,2.9413174808086383e-05,1.3456629702986953e-05
2021-01-03 17:45:00,106,18,2810.5,4835.0,3.1197216737365644e-05,1.5414759803787234e-05
2021-01-03 18:00:00,146,15,2064.0,5663.0,4.350365311498075e-05,1.2733781619040907e-05
2021-01-03 18:15:00,164,24,1892.5,3797.0,4.866697014281382e-05,2.0767138080701102e-05
2021-01-03 18:30:00,138,14,2184.5,5832.0,4.124713399669485e-05,1.2305788291218234e-05
2021-01-03 18:45:00,174,21,1779.0,4167.0,5.23402719287691e-05,1.845676809686112e-05
2021-01-03 19:00:00,140,22,2241.5,4226.0,4.1550140780780575e-05,1.85058385920758e-05
2021-01-03 19:15:00,115,18,2618.5,4764.5,3.438707285275156e-05,1.5788254941723794e-05
2021-01-03 19:30:00,119,11,2538.0,7108.5,3.5924777741853006e-05,9.563454389277803e-06
2021-01-03 19:45:00,105,12,2850.5,6544.5,3.17846730673935e-05,1.0531563094594501e-05
2021-01-03 20:00:00,110,19,2673.0,4515.5,3.382051269437571e-05,1.7100047880134064e-05
2021-01-03 20:15:00,101,25,2913.0,3526.0,3.0950227131765836e-05,2.294213626160643e-05
2021-01-03 20:30:00,104,20,2854.5,4272.0,3.149140890141009e-05,1.8228250507201072e-05
2021-01-03 20:45:00,93,18,3056.0,4553.5,2.8708444141239367e-05,1.6843460619989072e-05
2021-01-03 21:00:00,103,14,2832.5,5650.0,3.1678154867425386e-05,1.2998419763540176e-05
2021-01-03 21:15:00,98,19,2929.0,4332.5,3.0306178996952064e-05,1.7820079102393234e-05
2021-01-03 21:30:00,124,22,2303.5,3761.5,3.938001876902508e-05,2.1409316945474367e-05
2021-01-03 21:45:00,102,18,2778.5,4349.5,3.1934967881875676e-05,1.7741576201055427e-05
2021-01-03 22:00:00,103,18,2884.0,4506.0,3.134178121124117e-05,1.7178752555339443e-05
2021-01-03 22:15:00,76,12,3672.5,6231.0,2.352161249319498e-05,1.1580485338140522e-05
2021-01-03 22:30:00,98,15,2928.0,5295.5,3.027074712219405e-05,1.4076061405410276e-05
2021-01-03 22:45:00,83,12,3454.0,6425.5,2.5365748110786585e-05,1.0941557494237446e-05
2021-01-03 23:00:00,85,24,3461.5,3718.5,2.552370897326527e-05,2.1869973892718667e-05
2021-01-03 23:15:00,85,18,3382.5,4607.0,2.615853054300801e-05,1.66614214043727e-05
2021-01-03 23:30:00,75,20,3662.5,4069.5,2.3777495899967126e-05,1.9607093454269887e-05
2021-01-03 23:45:00,66,14,3987.5,5159.0,2.1751539415766834e-05,1.4728144748206585e-05
2021-01-04 00:00:00,60,15,4182.5,4759.0,2.044640639072878e-05,1.6154549498078148e-05
2021-01-04 00:15:00,72,14,3454.5,4838.0,2.564329043305819e-05,1.6134552951874086e-05
2021-01-04 00:30:00,67,12,3523.5,5355.5,2.473428182536047e-05,1.4170394267603174e-05
2021-01-04 00:45:00,77,19,3040.0,3487.5,2.9402061351792232e-05,2.3641279665139936e-05
2021-01-04 01:00:00,56,15,3977.5,4311.5,2.1385121988755244e-05,1.8608482490658547e-05
