time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,212,97,1374.5,1122.5,6.845822708046004e-05,8.545954327600789e-05
2021-01-02 16:15:00,171,86,1676.5,1193.5,5.6622179073104856e-05,7.802527111513536e-05
2021-01-02 16:30:00,218,90,1298.5,1150.5,7.294155908902015e-05,8.25920695094857e-05
2021-01-02 16:45:00,196,95,1484.0,1107.0,6.461973757133311e-05,8.595488183013324e-05
2021-01-02 17:00:00,213,82,1349.0,1254.5,7.0637699240595e-05,7.371972658971646e-05
2021-01-02 17:15:00,187,92,1483.0,1114.0,6.36439965843254e-05,8.643667620915045e-05
2021-01-02 17:30:00,237,98,1230.5,1038.5,8.013386751403442e-05,9.30805973494825e-05
2021-01-02 17:45:00,207,79,1410.5,1246.0,6.926672306160255e-05,7.565672913933289e-05
2021-01-02 18:00:00,217,88,1319.5,1156.0,7.269258006400967e-05,8.198920723890165e-05
2021-01-02 18:15:00,203,71,1398.0,1367.5,6.831665408585754e-05,6.797204912751653e-05
2021-01-02 18:30:00,201,74,1385.0,1299.0,6.926045341821012e-05,7.159505065349833e-05
2021-01-02 18:45:00,208,78,1355.5,1233.5,7.172710594921171e-05,7.615633137377234e-05
2021-01-02 19:00:00,194,83,1496.0,1245.5,6.497390661307101e-05,7.6440277579514e-05
2021-01-02 19:15:00,165,73,1722.0,1297.5,5.5849092367629184e-05,7.084627329192546e-05
2021-01-02 19:30:00,190,73,1479.0,1267.5,6.570958920785707e-05,7.295629917679309e-05
2021-01-02 19:45:00,204,86,1371.0,1088.5,7.16018599636094e-05,8.716575480475884e-05
2021-01-02 20:00:00,180,86,1525.5,1108.0,6.271956202232956e-05,8.608272549920472e-05
2021-01-02 20:15:00,212,99,1309.5,944.0,7.483634843803832e-05,0.00010140730808666944
2021-01-02 20:30:00,188,67,1429.0,1320.0,6.649719314640312e-05,6.939359321061368e-05
2021-01-02 20:45:00,189,64,1421.0,1388.5,6.659401224695597e-05,6.694595683031815e-05
2021-01-02 21:00:00,218,87,1280.5,1060.0,7.588254356893703e-05,8.908722458479722e-05
