time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,288,116,1055.0,946.5,9.299985565647404e-05,0.00010219904144347337
2021-01-02 16:15:00,269,99,1103.5,1072.0,8.907231678751583e-05,8.981978884184187e-05
2021-01-02 16:30:00,261,91,1124.5,1141.0,8.732911432217551e-05,8.35097591707022e-05
2021-01-02 16:45:00,267,97,1120.5,1094.0,8.802790781400991e-05,8.7764458289715e-05
2021-01-02 17:00:00,242,86,1203.5,1200.5,8.025503857382154e-05,7.731581081360506e-05
2021-01-02 17:15:00,257,93,1116.5,1102.0,8.746795252498197e-05,8.737620529838033e-05
2021-01-02 17:30:00,216,90,1355.0,1116.5,7.303339824063897e-05,8.548218123932065e-05
2021-01-02 17:45:00,251,101,1191.0,1003.5,8.399008448532481e-05,9.672569168446356e-05
2021-01-02 18:00:00,204,85,1403.5,1199.5,6.833772503713351e-05,7.919412062848455e-05
2021-01-02 18:15:00,245,103,1171.5,983.0,8.245113424155221e-05,9.860733887512959e-05
2021-01-02 18:30:00,240,95,1173.0,1023.0,8.269904885756433e-05,9.191256502813975e-05
2021-01-02 18:45:00,248,98,1157.5,1001.0,8.552078017021394e-05,9.568359582858575e-05
2021-01-02 19:00:00,196,79,1487.0,1300.0,6.564374070186556e-05,7.275640878050128e-05
2021-01-02 19:15:00,253,85,1168.0,1136.0,8.56352749636981e-05,8.249223602484471e-05
2021-01-02 19:30:00,216,68,1312.0,1337.5,7.470142773103751e-05,6.795929238386207e-05
2021-01-02 19:45:00,217,84,1286.0,1112.5,7.61647235887414e-05,8.513864422790398e-05
2021-01-02 20:00:00,220,87,1278.5,1093.5,7.665724247173612e-05,8.708368742361409e-05
2021-01-02 20:15:00,177,68,1525.0,1339.5,6.248129091289048e-05,6.965350454437902e-05
2021-01-02 20:30:00,194,87,1382.5,1056.5,6.861944399150109e-05,9.010809864661778e-05
2021-01-02 20:45:00,220,97,1252.5,956.5,7.751683965254135e-05,0.00010146496582095094
2021-01-02 21:00:00,269,89,1052.5,1038.5,9.363488174332136e-05,9.113520675916036e-05
2021-01-02 21:15:00,241,88,1175.5,1045.5,8.415447968961314e-05,9.143037628794752e-05
2021-01-02 21:30:00,218,84,1305.5,1075.5,7.530435221158174e-05,8.789884099099664e-05
2021-01-02 21:45:00,186,56,1504.5,1521.0,6.456916398901353e-05,5.9415815216814673e-05
2021-01-02 22:00:00,229,77,1272.5,1184.5,7.749973010465171e-05,7.997166718077024e-05
2021-01-02 22:15:00,238,77,1212.0,1143.0,8.180512986908086e-05,8.161924094105925e-05
2021-01-02 22:30:00,233,104,1244.5,849.0,7.954091577880115e-05,0.0001121116114211548
2021-01-02 22:45:00,240,74,1179.5,1171.0,8.34300020544638e-05,8.148137544966158e-05
2021-01-02 23:00:00,230,74,1217.0,1164.0,8.090133940961016e-05,8.175323118598529e-05
2021-01-02 23:15:00,238,89,1182.0,966.0,8.458420819940833e-05,0.00010023922259414602
2021-01-02 23:30:00,208,68,1332.0,1232.5,7.419239085692923e-05,7.653305271214005e-05
2021-01-02 23:45:00,184,56,1435.5,1434.0,6.749207518323732e-05,6.486759481383579e-05
2021-01-03 00:00:00,182,72,1458.0,1132.0,6.649565348603463e-05,8.361796346127269e-05
2021-01-03 00:15:00,181,54,1437.0,1432.0,6.74103154169626e-05,6.482289544667176e-05
2021-01-03 00:30:00,183,58,1409.0,1331.0,6.969572673790865e-05,7.11302099812854e-05
