time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,974,560,298.0,210.0,0.0003145203451715476,0.0004933746828305612
2021-01-02 16:15:00,1061,570,271.0,204.0,0.0003513224093366331,0.0005171442387863623
2021-01-02 16:30:00,1019,579,279.0,195.0,0.00034095159959500704,0.000531342313844358
2021-01-02 16:45:00,1010,543,285.5,214.0,0.000332989464015543,0.0004913000087764458
2021-01-02 17:00:00,958,479,298.0,240.5,0.00031770383038727697,0.0004306310858106608
2021-01-02 17:15:00,936,514,300.0,212.0,0.00031856032514935065,0.0004829179518641666
2021-01-02 17:30:00,920,471,302.0,233.0,0.00031106817769161035,0.0004473567484857781
2021-01-02 17:45:00,935,476,313.5,223.0,0.0003128714302540985,0.0004558557350673729
2021-01-02 18:00:00,1036,535,294.0,208.0,0.00034704844675720743,0.0004984571121910497
2021-01-02 18:15:00,929,503,326.0,215.0,0.00031264123963429386,0.0004815484607202932
2021-01-02 18:30:00,893,504,323.5,214.0,0.00030770937762418727,0.00048762034499139415
2021-01-02 18:45:00,798,459,366.0,230.0,0.00027518380070899485,0.000448150719237968
2021-01-02 19:00:00,1275,840,235.0,144.0,0.0004270192316065234,0.0007736124477926719
2021-01-02 19:15:00,1246,758,228.0,149.0,0.00042174526721252105,0.000735636645962733
2021-01-02 19:30:00,1067,653,263.0,165.0,0.00036901121939359735,0.0006526090871567931
2021-01-02 19:45:00,995,604,274.0,176.0,0.0003492345620774086,0.0006121873942101668
2021-01-02 20:00:00,1110,761,250.0,146.0,0.00038677063247103235,0.000761732024475521
2021-01-02 20:15:00,1040,620,260.0,169.0,0.0003671217093186786,0.0006350760708458086
2021-01-02 20:30:00,1143,696,241.5,152.0,0.0004042887859911637,0.0007208647891729423
2021-01-02 20:45:00,940,565,279.0,177.0,0.00033120831487904026,0.0005910072751426523
2021-01-02 21:00:00,944,549,276.0,185.0,0.0003285922987572319,0.0005621711068626859
2021-01-02 21:15:00,1013,613,266.5,163.5,0.0003537281656662992,0.0006368956893694525
2021-01-02 21:30:00,874,523,301.0,190.0,0.00030190827446294704,0.0005472749266463244
2021-01-02 21:45:00,834,478,322.0,201.5,0.0002895197998217058,0.0005071564227435252
2021-01-02 22:00:00,887,534,308.0,187.0,0.0003001845441171444,0.000554608704864043
2021-01-02 22:15:00,901,495,311.0,203.0,0.0003096908487900918,0.0005246951203353808
2021-01-02 22:30:00,850,472,326.0,209.5,0.0002901707227982017,0.0005088142364498566
2021-01-02 22:45:00,884,524,310.5,184.0,0.000307300507567275,0.000576976226157063
2021-01-02 23:00:00,718,365,375.5,260.5,0.00025255287693956563,0.0004032422889579004
2021-01-02 23:15:00,758,411,347.5,221.5,0.0002693900412401324,0.0004629024773729665
2021-01-02 23:30:00,835,463,316.0,197.0,0.00029783964598815353,0.0005211000500841301
2021-01-02 23:45:00,854,488,297.0,181.5,0.0003132512619917645,0.0005652747548062834
2021-01-03 00:00:00,743,350,349.5,249.0,0.0002714630249457348,0.00040647621127007556
2021-01-03 00:15:00,652,313,395.5,267.0,0.00024282610857381,0.0003757327087927456
2021-01-03 00:30:00,675,322,367.5,260.0,0.0002570744019021221,0.0003948953036892051
2021-01-03 00:45:00,701,308,363.0,287.5,0.00026400378116685154,0.0003654801614283154
2021-01-03 01:00:00,689,278,354.0,318.0,0.00026889305432459254,0.0003279725163750307
2021-01-03 01:15:00,642,299,368.5,274.0,0.0002603463336180111,0.0003809193788593567
2021-01-03 01:30:00,636,296,365.0,270.5,0.00026637148015846594,0.00038466686679740136
2021-01-03 01:45:00,600,272,353.0,283.5,0.0002608357699741512,0.00037054999427827215
