time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,358,183,860.5,612.5,0.0001156039872396448,0.00016122779813927264
2021-01-02 16:15:00,397,213,767.5,526.0,0.00013145617012878732,0.00019324863659911436
2021-01-02 16:30:00,352,203,842.0,533.5,0.0001177771963272252,0.00018629100122695107
2021-01-02 16:45:00,342,192,883.5,569.0,0.00011275484821120369,0.00017371934011984824
2021-01-02 17:00:00,360,211,835.5,535.0,0.00011938766068832957,0.00018969344281012405
2021-01-02 17:15:00,326,187,909.0,567.5,0.00011095156623791486,0.0001756919396859906
2021-01-02 17:30:00,325,189,926.5,557.5,0.00010988821494540584,0.00017951258060257342
2021-01-02 17:45:00,354,214,879.0,504.0,0.00011845613509085652,0.00020494354475718017
2021-01-02 18:00:00,345,193,862.5,564.5,0.00011557115263632873,0.0001798172386035002
2021-01-02 18:15:00,337,176,889.5,596.5,0.00011341237648735958,0.00016849409361187193
2021-01-02 18:30:00,335,197,876.0,545.5,0.0001154340890303502,0.00019059763484782663
2021-01-02 18:45:00,339,200,861.5,522.0,0.00011690138902299407,0.00019527264454813418
2021-01-02 19:00:00,342,206,902.0,555.5,0.00011454162918386743,0.00018971924314915525
2021-01-02 19:15:00,314,179,964.0,592.0,0.00010628251517233675,0.0001737189440993789
2021-01-02 19:30:00,336,171,884.5,595.0,0.00011620222091494725,0.00017089763231824135
2021-01-02 19:45:00,358,191,799.0,529.0,0.000125654244445942,0.00019358906008963884
2021-01-02 20:00:00,309,198,963.0,526.5,0.00010766858147166574,0.0001981904610330528
2021-01-02 20:15:00,293,173,973.0,577.0,0.00010342948156766617,0.00017720671009084662
2021-01-02 20:30:00,356,207,794.5,486.0,0.0001259202168091463,0.0002143951312626423
2021-01-02 20:45:00,363,211,783.5,465.5,0.00012790278542669322,0.00022071245142495517
2021-01-02 21:00:00,346,192,835.0,513.5,0.0001204374315360193,0.0001966062887388628
2021-01-02 21:15:00,353,181,813.0,539.0,0.00012326361547897692,0.0001880556603195284
2021-01-02 21:30:00,333,193,853.0,507.5,0.00011502912516723267,0.00020195805132455183
2021-01-02 21:45:00,389,212,721.5,461.5,0.00013503981070820572,0.00022493130046365558
2021-01-02 22:00:00,407,206,720.0,486.5,0.00013773969498949017,0.00021395017453556717
2021-01-02 22:15:00,390,168,732.0,578.5,0.00013405042289471234,0.000178078343871402
2021-01-02 22:30:00,470,188,607.5,508.0,0.00016044734084135853,0.00020266329756901065
2021-01-02 22:45:00,527,199,544.5,484.5,0.0001831983795112601,0.0002191188339794953
2021-01-02 23:00:00,553,197,500.0,487.0,0.0001945149595370192,0.00021764035869782568
2021-01-02 23:15:00,604,209,454.0,438.5,0.00021465908299345645,0.00023539323058625303
2021-01-02 23:30:00,657,257,410.0,364.0,0.00023434808073558906,0.0002892499198091176
2021-01-02 23:45:00,519,229,513.5,401.0,0.0001903716685875009,0.0002652621287922928
2021-01-03 00:00:00,453,224,597.0,404.5,0.00016550841224820712,0.00026014477521284836
2021-01-03 00:15:00,459,221,568.5,392.0,0.00017094660097450735,0.00026529370173545294
2021-01-03 00:30:00,413,214,632.5,404.5,0.00015729144886752062,0.0002624459471723289
2021-01-03 00:45:00,448,224,590.0,398.0,0.00016872138939051282,0.0002658037537660477
2021-01-03 01:00:00,454,229,542.0,389.5,0.00017718061925016694,0.0002701644109707986
2021-01-03 01:15:00,407,219,596.5,384.0,0.0001650482208450631,0.0002790011504020037
2021-01-03 01:30:00,477,246,496.5,329.5,0.0001997786101188494,0.00031968935551405657
2021-01-03 01:45:00,445,230,492.0,343.0,0.0001934531960641621,0.0003133327157500096
2021-01-03 02:00:00,420,211,536.5,355.5,0.0001817513036328624,0.00029171165616182117
2021-01-03 02:15:00,396,211,538.5,344.5,0.00017821653849477232,0.0003056217011686047
2021-01-03 02:30:00,399,204,511.0,336.5,0.0001853109275856912,0.00030562301401221585
2021-01-03 02:45:00,361,176,573.5,385.0,0.00016955871522402418,0.00026942500723314296
2021-01-03 03:00:00,444,225,472.5,329.5,0.00019945957237484923,0.000309031125614972
2021-01-03 03:15:00,403,164,523.5,423.5,0.00018598778203339562,0.00024860086222055144
2021-01-03 03:30:00,368,145,549.5,474.0,0.00017123144255976118,0.00022278490348036112
2021-01-03 03:45:00,390,159,518.0,421.0,0.00018522740225692462,0.0002501699267426932
2021-01-03 04:00:00,410,166,483.0,426.5,0.00019013302355562662,0.0002471985406351216
2021-01-03 04:15:00,447,225,431.0,285.0,0.0002131858551423576,0.00035194909408303184
2021-01-03 04:30:00,376,171,546.5,404.0,0.00017441830798469387,0.0002579917080559797
2021-01-03 04:45:00,358,164,580.5,429.5,0.0001619305743017083,0.00024443536920173964
2021-01-03 05:00:00,397,179,535.5,409.5,0.0001763970916251815,0.00025429531784073445
2021-01-03 05:15:00,406,160,514.5,455.0,0.000181632726101428,0.0002349741381589189
2021-01-03 05:30:00,375,173,551.5,433.5,0.00016781526895193768,0.00024924398392736483
2021-01-03 05:45:00,408,165,503.0,424.5,0.0001843884449907806,0.00024613052973256804
2021-01-03 06:00:00,360,179,574.0,439.5,0.00015775144594537156,0.0002442472273163916
2021-01-03 06:15:00,390,202,517.0,339.5,0.00017328111795645578,0.0002937720329024677
2021-01-03 06:30:00,375,198,549.0,370.0,0.00016315775963076742,0.0002734780188589337
2021-01-03 06:45:00,383,172,548.0,441.0,0.00016634497950873074,0.00024114121481896885
2021-01-03 07:00:00,403,168,567.5,510.0,0.00016340386054798276,0.00020865132996593272
2021-01-03 07:15:00,433,190,525.0,412.0,0.00017499085642464987,0.00024719659545236334
2021-01-03 07:30:00,435,199,568.5,429.0,0.00016764827622886186,0.00024021979507682202
2021-01-03 07:45:00,450,215,565.0,390.5,0.00016660323402793308,0.0002582588787000089
2021-01-03 08:00:00,458,236,604.5,388.5,0.00015839551567769762,0.0002577429363691665
2021-01-03 08:15:00,469,226,621.0,409.5,0.0001578577126451096,0.0002537894356217055
2021-01-03 08:30:00,559,234,537.5,418.5,0.00018167205237095031,0.00024717831168762577
2021-01-03 08:45:00,471,222,629.5,445.5,0.00015262342163564998,0.00023255521615064552
2021-01-03 09:00:00,510,239,649.5,483.0,0.0001528544672617201,0.0002187200575444235
2021-01-03 09:15:00,556,247,652.5,437.0,0.00015665766918182995,0.0002359824513130943
2021-01-03 09:30:00,579,249,624.5,436.0,0.00016105572444617276,0.00023597690648491075
2021-01-03 09:45:00,627,236,569.5,465.5,0.00017299080969079616,0.0002184157822061475
2021-01-03 10:00:00,680,307,583.0,395.0,0.00016967261668610414,0.0002543985256486748
2021-01-03 10:15:00,599,270,681.0,438.5,0.00015059275470350952,0.00022555995258228555
2021-01-03 10:30:00,622,253,635.0,510.5,0.0001567262259921627,0.0002036543478593352
2021-01-03 10:45:00,631,225,594.5,541.5,0.0001637367051504146,0.0001884698343559567
2021-01-03 11:00:00,627,242,591.5,530.5,0.00016323890990774267,0.0001918906381949593
2021-01-03 11:15:00,597,249,611.5,510.5,0.00015763986973718502,0.00020465730996459185
2021-01-03 11:30:00,560,211,639.5,591.5,0.0001501617053864881,0.0001721112834036597
2021-01-03 11:45:00,491,201,755.0,654.0,0.0001286896043436804,0.00015674017859022737
2021-01-03 12:00:00,486,229,757.0,609.0,0.00012643231422644497,0.0001659878560675085
2021-01-03 12:15:00,527,258,704.5,518.5,0.00013752681381426837,0.00019561236907050008
2021-01-03 12:30:00,522,223,692.5,585.0,0.0001377590767925042,0.00017248914207922898
2021-01-03 12:45:00,471,194,757.0,646.0,0.00012810975551708333,0.00015305840677244003
2021-01-03 13:00:00,441,205,808.5,636.5,0.00011979258769102641,0.00015617441253661527
2021-01-03 13:15:00,414,174,874.0,744.5,0.00011166927767779693,0.00013427935971897027
2021-01-03 13:30:00,385,199,955.0,643.5,0.00010320169175718706,0.00015359773755935512
2021-01-03 13:45:00,396,199,940.5,644.5,0.00010536891893617836,0.00015528677331252443
2021-01-03 14:00:00,374,187,977.5,686.5,9.906741537616347e-05,0.0001427626948100035
2021-01-03 14:15:00,404,223,902.0,587.5,0.00010826124402888324,0.00017448361066838176
2021-01-03 14:30:00,334,174,1100.5,720.0,8.90279454455942e-05,0.00013526235065753828
2021-01-03 14:45:00,367,213,978.0,587.5,0.000100236771818773,0.00017097419975244858
2021-01-03 15:00:00,332,178,1092.5,708.5,9.09711914513385e-05,0.0001395215039477531
2021-01-03 15:15:00,363,206,976.0,605.5,0.00010031855979027616,0.00016390090519446523
2021-01-03 15:30:00,335,182,1047.0,698.0,9.274832672328469e-05,0.00014277387677359278
2021-01-03 15:45:00,359,201,971.5,629.5,0.00010009756026835069,0.0001608047598208907
2021-01-03 16:00:00,346,200,1025.5,654.0,9.57160166645458e-05,0.00015327949135733588
2021-01-03 16:15:00,345,207,1014.0,631.0,9.550397725621226e-05,0.00016039573579800366
2021-01-03 16:30:00,332,189,1026.0,645.5,9.526509521344546e-05,0.00015562997614497137
2021-01-03 16:45:00,344,205,991.0,583.0,9.9426706764918e-05,0.00016980024037087686
2021-01-03 17:00:00,361,197,924.5,612.0,0.00010470763800162137,0.00016188862391382596
2021-01-03 17:15:00,385,225,865.5,538.0,0.00011244385473889516,0.00018849178092061064
2021-01-03 17:30:00,366,221,894.5,548.0,0.0001076522197975962,0.00018586969777250727
2021-01-03 17:45:00,421,242,792.5,503.0,0.00012390592685312206,0.0002072428818064728
2021-01-03 18:00:00,379,218,850.5,559.0,0.00011293071596286101,0.00018506429286339453
2021-01-03 18:15:00,383,227,846.5,520.0,0.0001136551802725469,0.00019642251434663126
2021-01-03 18:30:00,376,192,861.5,594.0,0.00011238349552722656,0.0001687650965652787
2021-01-03 18:45:00,395,200,822.0,580.5,0.00011881843340151606,0.00017577874377962968
2021-01-03 19:00:00,413,224,814.0,544.5,0.00012257291530330268,0.00018842308384659
2021-01-03 19:15:00,387,200,870.5,576.0,0.00011571997560012915,0.0001754250549080422
