time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,172,49,1714.5,2023.0,5.5541580461505334e-05,4.317028474767409e-05
2021-01-02 16:15:00,158,48,1813.0,2007.0,5.231756896813198e-05,4.354898852937788e-05
2021-01-02 16:30:00,169,49,1685.0,1965.0,5.654643800937801e-05,4.496679339960888e-05
2021-01-02 16:45:00,175,59,1676.0,1703.5,5.769619426011883e-05,5.33825055576617e-05
2021-01-02 17:00:00,174,49,1638.5,1984.0,5.770403599935928e-05,4.4052031742635434e-05
2021-01-02 17:15:00,163,41,1709.5,2237.5,5.547578311895743e-05,3.8520692658425744e-05
2021-01-02 17:30:00,156,39,1823.0,2316.5,5.2746343173794814e-05,3.7042278537038956e-05
2021-01-02 17:45:00,120,37,2277.5,2392.5,4.015462206469713e-05,3.5434164280447054e-05
2021-01-02 18:00:00,161,48,1762.0,1962.0,5.393320456362008e-05,4.472138576667362e-05
2021-01-02 18:15:00,131,45,2103.0,2044.5,4.4086116676095256e-05,4.308087620758089e-05
2021-01-02 18:30:00,194,82,1433.0,1180.5,6.684839782653117e-05,7.933505612955222e-05
2021-01-02 18:45:00,137,50,1983.0,1806.5,4.7243334206932706e-05,4.881816113703355e-05
2021-01-02 19:00:00,144,56,1942.5,1742.5,4.822805439320735e-05,5.157416318617812e-05
2021-01-02 19:15:00,114,37,2395.0,2381.0,3.858664563581653e-05,3.5908385093167704e-05
2021-01-02 19:30:00,147,59,1888.0,1540.0,5.0838471650289425e-05,5.8964680156586204e-05
2021-01-02 19:45:00,190,53,1443.0,1657.0,6.66880068288519e-05,5.371843028665371e-05
2021-01-02 20:00:00,168,32,1633.0,2637.5,5.8538257887507594e-05,3.203078158109944e-05
2021-01-02 20:15:00,186,47,1451.0,1843.0,6.565830570507138e-05,4.8142863435085495e-05
2021-01-02 20:30:00,177,62,1521.5,1414.0,6.260639993039017e-05,6.421496685161268e-05
2021-01-02 20:45:00,195,54,1386.5,1598.5,6.870810787384345e-05,5.6485651075580946e-05
2021-01-02 21:00:00,254,49,1121.5,1795.0,8.841360580967892e-05,5.017556327189729e-05
2021-01-02 21:15:00,216,51,1288.5,1696.5,7.542476187948729e-05,5.298805898506048e-05
2021-01-02 21:30:00,229,48,1245.5,1778.0,7.910411310299182e-05,5.022790913771237e-05
2021-01-02 21:45:00,227,47,1244.5,1771.5,7.880215175003263e-05,4.986684491411232e-05
2021-01-02 22:00:00,201,38,1434.5,2243.5,6.802378057220523e-05,3.946653705025025e-05
2021-01-02 22:15:00,182,33,1554.5,2416.0,6.255686401753242e-05,3.497967468902539e-05
2021-01-02 22:30:00,180,37,1586.5,2147.5,6.144791776903093e-05,3.9885861755603164e-05
2021-01-02 22:45:00,152,33,1819.5,2380.5,5.283900130116041e-05,3.633628905187611e-05
2021-01-02 23:00:00,155,35,1766.0,2278.5,5.4520467862998153e-05,3.8667068804182235e-05
2021-01-02 23:15:00,148,37,1834.0,2118.0,5.259858325005225e-05,4.1672485797566335e-05
2021-01-02 23:30:00,158,45,1716.5,1808.5,5.6357681516321265e-05,5.064687311832798e-05
2021-01-02 23:45:00,146,42,1792.5,1831.5,5.355349443887309e-05,4.865069611037685e-05
2021-01-03 00:00:00,148,39,1755.0,1996.0,5.4073388549083115e-05,4.529306354152271e-05
2021-01-03 00:15:00,129,41,1983.5,1834.5,4.804381596015566e-05,4.921738357988042e-05
2021-01-03 00:30:00,131,52,1910.5,1473.0,4.989147651730072e-05,6.377191239701449e-05
2021-01-03 00:45:00,105,34,2336.5,2091.5,3.954407563840144e-05,4.034521262520365e-05
2021-01-03 01:00:00,112,37,2123.5,2011.0,4.370975629079008e-05,4.365101836646092e-05
2021-01-03 01:15:00,113,27,2029.5,2478.0,4.582419890784308e-05,3.439740210435662e-05
2021-01-03 01:30:00,108,35,2049.0,1951.5,4.523289285709799e-05,4.548425789834138e-05
2021-01-03 01:45:00,101,19,2111.5,3252.0,4.390735461231545e-05,2.5884006953261654e-05
2021-01-03 02:00:00,112,38,1945.5,1781.5,4.846701430209663e-05,5.253574850307679e-05
2021-01-03 02:15:00,100,34,2106.5,1882.5,4.500417638756877e-05,4.9247098766505016e-05
2021-01-03 02:30:00,108,35,1875.0,1755.0,5.0159348820187096e-05,5.243532103150763e-05
2021-01-03 02:45:00,92,29,2175.5,2048.5,4.321163933687042e-05,4.439389323727923e-05
2021-01-03 03:00:00,83,30,2483.5,2163.5,3.7286361502505605e-05,4.120415008199625e-05
2021-01-03 03:15:00,86,28,2309.0,2132.0,3.9689700384297825e-05,4.244404964741122e-05
2021-01-03 03:30:00,94,33,2120.0,1798.0,4.373846630602595e-05,5.0702771136909777e-05
2021-01-03 03:45:00,96,42,2069.0,1412.0,4.5594437478627615e-05,6.608262215844725e-05
2021-01-03 04:00:00,94,32,2165.0,1954.0,4.3591473693241245e-05,4.765273072484271e-05
2021-01-03 04:15:00,104,28,1908.0,2074.0,4.960028844475434e-05,4.3798109485888397e-05
2021-01-03 04:30:00,105,34,1927.5,1814.5,4.870724026168313e-05,5.129659692341117e-05
2021-01-03 04:45:00,92,39,2252.0,1627.0,4.161344367529934e-05,5.812792316382835e-05
