time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,492,171,631.5,661.0,0.00015887475341314314,0.00015065548350718915
2021-01-02 16:15:00,473,183,640.5,613.0,0.00015662158305016725,0.00016603051876825316
2021-01-02 16:30:00,439,180,675.0,601.0,0.0001468869011012837,0.0001651841390189714
2021-01-02 16:45:00,482,166,640.5,669.5,0.00015891180361929876,0.00015019484614528546
2021-01-02 17:00:00,431,181,700.5,603.0,0.00014293356043519454,0.0001627228111309595
2021-01-02 17:15:00,409,130,717.0,809.0,0.00013919997113897908,0.0001221387815998865
2021-01-02 17:30:00,486,154,596.5,678.5,0.00016432514604143767,0.00014626951012061535
2021-01-02 17:45:00,476,171,653.5,605.5,0.00015928000085663194,0.00016376329978260665
2021-01-02 18:00:00,404,157,741.0,665.5,0.00013533549468138206,0.00014627619927849497
2021-01-02 18:15:00,407,168,736.5,626.0,0.00013696984341351735,0.00016083527117496867
2021-01-02 18:30:00,417,160,698.5,652.5,0.00014368959739001805,0.00015480010952107748
2021-01-02 18:45:00,437,167,657.5,623.0,0.00015069589086444957,0.00016305265819769208
2021-01-02 19:00:00,392,157,780.5,699.5,0.00013128748140373112,0.00014459185036124942
2021-01-02 19:15:00,403,163,749.5,633.0,0.00013640717711608827,0.00015819099378881987
2021-01-02 19:30:00,384,153,774.5,657.5,0.0001328025381885111,0.00015290840786368965
2021-01-02 19:45:00,427,154,671.0,644.0,0.000149872520610104,0.00015608751441782394
2021-01-02 20:00:00,416,167,694.5,607.0,0.00014495187667382833,0.00016716064137636268
2021-01-02 20:15:00,401,180,709.5,554.5,0.00014155365907383665,0.00018437692379394448
2021-01-02 20:30:00,402,178,704.5,563.0,0.0001421908066215641,0.0001843590983804364
2021-01-02 20:45:00,375,169,758.5,581.0,0.00013213097668046821,0.00017677916725505882
2021-01-02 21:00:00,366,148,777.0,671.0,0.00012739913278087594,0.00015155068090287342
2021-01-02 21:15:00,361,146,792.5,663.5,0.00012605712517821721,0.00015169130611409468
2021-01-02 21:30:00,370,162,767.5,596.0,0.00012781013907470296,0.00016951919333977925
2021-01-02 21:45:00,368,161,768.5,593.5,0.00012774974380622028,0.0001708204687483422
2021-01-02 22:00:00,355,171,835.0,581.0,0.00012014150300066097,0.00017759941672612612
2021-01-02 22:15:00,338,139,854.5,681.5,0.00011617703317541737,0.0001473386297507433
2021-01-02 22:30:00,341,144,849.5,648.0,0.0001164096664402197,0.00015523146196775282
2021-01-02 22:45:00,377,177,748.0,536.5,0.0001310546282272202,0.00019489464127824454
2021-01-02 23:00:00,345,139,812.0,657.0,0.00012135200911441524,0.00015356350182232372
2021-01-02 23:15:00,327,137,846.0,662.5,0.0001162144373159938,0.00015430082579098882
2021-01-02 23:30:00,370,170,737.5,545.0,0.00013197684912049913,0.00019133263178035013
2021-01-02 23:45:00,339,154,792.0,580.5,0.00012434681242998614,0.00017838588573804842
2021-01-03 00:00:00,300,123,909.5,699.5,0.00010960822003192524,0.00014284735424634085
2021-01-03 00:15:00,344,165,778.0,517.5,0.00012811684256041508,0.00019806995830927483
2021-01-03 00:30:00,318,159,817.0,524.5,0.00012111060711833306,0.0001949948859831789
2021-01-03 00:45:00,292,133,898.5,628.5,0.00010997019129917352,0.00015782097879859077
2021-01-03 01:00:00,287,126,859.0,654.5,0.00011200625049514959,0.00014864941389659662
2021-01-03 01:15:00,293,116,819.0,677.5,0.00011881849805307983,0.00014778143126316178
2021-01-03 01:30:00,277,122,848.0,646.5,0.00011601399371681611,0.0001585451275313614
2021-01-03 01:45:00,268,108,830.5,690.0,0.00011650664392178753,0.00014713014478696102
2021-01-03 02:00:00,262,113,896.5,665.5,0.00011337819417097605,0.000156224725811781
2021-01-03 02:15:00,249,126,882.5,554.5,0.00011206039920504621,0.0001825039542523421
2021-01-03 02:30:00,270,116,773.0,583.0,0.00012539837205046773,0.00017378563541871103
2021-01-03 02:45:00,230,99,903.5,670.5,0.00010802909834217607,0.0001515515665686429
2021-01-03 03:00:00,233,113,926.5,663.0,0.00010467135216968441,0.00015520229864218591
2021-01-03 03:15:00,219,98,978.5,676.0,0.00010107028353675844,0.00014855417376593926
2021-01-03 03:30:00,230,103,901.5,631.5,0.00010701965159985075,0.00015825410385156687
2021-01-03 03:45:00,224,87,910.5,727.5,0.00010638702078346441,0.00013688543161392643
2021-01-03 04:00:00,207,93,1017.0,734.5,9.599398994149931e-05,0.00013849074866907412
2021-01-03 04:15:00,231,100,877.5,640.0,0.00011016987144940627,0.00015642181959245856
2021-01-03 04:30:00,212,74,972.5,893.0,9.834223748073164e-05,0.00011164553448036548
2021-01-03 04:45:00,183,82,1153.0,846.0,8.277456731064978e-05,0.00012221768460086982
2021-01-03 05:00:00,191,71,1104.5,985.0,8.486610705392864e-05,0.0001008657405960455
2021-01-03 05:15:00,180,59,1181.5,1132.5,8.052682437994344e-05,8.664671344610133e-05
2021-01-03 05:30:00,205,85,1017.0,816.0,9.173901369372596e-05,0.00012246091695853183
2021-01-03 05:45:00,197,87,1080.0,750.5,8.903069525290141e-05,0.00012977791567717222
2021-01-03 06:00:00,198,89,1084.5,804.0,8.676329526995436e-05,0.00012144135883328968
2021-01-03 06:15:00,208,77,1024.0,864.5,9.241659624344308e-05,0.00011198240858163372
2021-01-03 06:30:00,243,98,898.0,743.0,0.00010572622824073732,0.00013535780731401768
2021-01-03 06:45:00,214,92,1024.5,759.5,9.294471439913414e-05,0.0001289825102520066
2021-01-03 07:00:00,239,114,982.5,712.0,9.690700414632228e-05,0.00014158483104831148
2021-01-03 07:15:00,223,96,1038.0,766.0,9.012231173833008e-05,0.0001248993324390888
2021-01-03 07:30:00,217,111,1155.5,738.5,8.36314389463518e-05,0.00013399194599762436
2021-01-03 07:45:00,233,95,1106.5,853.0,8.626345228557424e-05,0.00011411438826279464
2021-01-03 08:00:00,233,103,1188.5,868.5,8.058112478799902e-05,0.00011248950188993284
2021-01-03 08:15:00,217,88,1300.5,987.0,7.30386431641552e-05,9.882066519783223e-05
2021-01-03 08:30:00,263,133,1129.5,715.0,8.547361319062599e-05,0.00014049023698484712
