time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,467,287,666.0,397.5,0.00015080184927629645,0.0002528545249506625
2021-01-02 16:15:00,451,297,675.0,382.0,0.00014933685825713623,0.0002694593665255256
2021-01-02 16:30:00,437,271,676.0,412.5,0.00014621771248578811,0.0002486938981896736
2021-01-02 16:45:00,379,254,798.5,448.5,0.00012495347214048594,0.00022981621036688262
2021-01-02 17:00:00,443,289,677.0,400.0,0.00014691314912480553,0.0002598170851759519
2021-01-02 17:15:00,433,270,678.5,409.0,0.00014736818460434704,0.00025367285409207195
2021-01-02 17:30:00,455,278,639.5,394.5,0.0001538435009235682,0.00026404495982812384
2021-01-02 17:45:00,398,238,767.0,456.5,0.0001331794965145788,0.00022792786753368644
2021-01-02 18:00:00,495,254,596.0,444.0,0.00016581947986951516,0.0002366506663486479
2021-01-02 18:15:00,507,280,592.0,390.0,0.00017062336759374273,0.00026805878529161445
2021-01-02 18:30:00,526,284,554.5,372.5,0.00018124874874616184,0.0002747701943999125
2021-01-02 18:45:00,477,253,604.0,420.5,0.00016448956508545182,0.0002470198953533898
2021-01-02 19:00:00,479,284,633.0,404.0,0.0001604252642662939,0.00026155468472990336
2021-01-02 19:15:00,427,244,705.0,450.5,0.00014453068146047068,0.0002368012422360249
2021-01-02 19:30:00,448,256,659.0,417.0,0.000154936294553263,0.00025584674779806897
2021-01-02 19:45:00,417,233,684.0,444.0,0.00014636262551384862,0.0002361583822035908
2021-01-02 20:00:00,425,231,682.5,457.0,0.00014808785477494482,0.00023122220453856157
2021-01-02 20:15:00,409,229,695.0,453.0,0.00014437767222244186,0.0002345684197156293
2021-01-02 20:30:00,416,240,688.0,425.5,0.00014714272526012605,0.0002485740652320491
2021-01-02 20:45:00,368,216,773.5,452.0,0.00012966453178243277,0.00022594260430232378
2021-01-02 21:00:00,371,204,762.0,486.5,0.00012913955809209008,0.00020889418178504171
2021-01-02 21:15:00,374,229,762.0,438.0,0.00013059657843948264,0.00023792677465840883
2021-01-02 21:30:00,368,218,774.0,450.5,0.00012711927345808295,0.0002281184206671104
2021-01-02 21:45:00,385,217,733.5,448.5,0.00013365122653639894,0.00023023628396515687
2021-01-02 22:00:00,354,208,840.0,484.0,0.000119803076231645,0.00021602736069610665
2021-01-02 22:15:00,352,198,812.0,492.5,0.00012098909963830447,0.00020987804813415238
2021-01-02 22:30:00,394,242,725.0,399.5,0.00013450266444998992,0.000260875095806918
2021-01-02 22:45:00,331,201,851.0,478.5,0.000115063877833448,0.00022132103331597267
2021-01-02 23:00:00,335,194,838.0,490.5,0.00011783455957486699,0.00021432603851461007
2021-01-02 23:15:00,382,221,717.0,409.5,0.00013576120811837808,0.00024890863138546366
2021-01-02 23:30:00,411,221,664.0,427.5,0.00014660131077979768,0.00024873242131445516
2021-01-02 23:45:00,351,191,759.0,472.0,0.0001287484695071538,0.00022124483231147562
2021-01-03 00:00:00,356,187,761.0,478.5,0.00013006842110455127,0.00021717443287858326
2021-01-03 00:15:00,346,197,773.5,448.5,0.00012886170792413844,0.00023648352598137665
2021-01-03 00:30:00,309,179,844.0,476.0,0.00011768294842630477,0.00021952254459741528
2021-01-03 00:45:00,329,185,799.5,471.0,0.00012390477033365785,0.00021952542163713754
2021-01-03 01:00:00,307,160,800.5,534.5,0.00011981156411850496,0.00018876116050361478
2021-01-03 01:15:00,364,166,661.0,507.5,0.00014761069382703432,0.00021148032404900736
2021-01-03 01:30:00,289,151,824.5,538.0,0.00012103987070093811,0.0001962320840757014
2021-01-03 01:45:00,288,153,780.0,510.5,0.00012520116958759255,0.00020843437178152808
2021-01-03 02:00:00,297,163,782.5,463.0,0.00012852413614038125,0.0002253507106842505
2021-01-03 02:15:00,260,151,843.0,483.5,0.0001170108586076788,0.000218715056286537
2021-01-03 02:30:00,316,152,664.0,464.5,0.00014676253914054743,0.00022771910847969032
2021-01-03 02:45:00,261,129,794.0,518.5,0.0001225895420317737,0.0001974762837106559
2021-01-03 03:00:00,308,124,689.5,619.0,0.0001383638475032738,0.00017031048700558453
2021-01-03 03:15:00,302,138,712.5,494.5,0.00013937545948904584,0.00020918853040509811
2021-01-03 03:30:00,261,121,801.0,557.5,0.00012144403942417844,0.00018591016083533584
2021-01-03 03:45:00,243,123,828.0,535.0,0.00011541091986777613,0.00019352767917830982
2021-01-03 04:00:00,256,134,806.0,525.0,0.0001187172049518059,0.00019954580991027885
2021-01-03 04:15:00,260,127,769.0,530.5,0.00012400072111188584,0.0001986557108824224
2021-01-03 04:30:00,227,122,906.5,567.5,0.00010530041466097209,0.00018406425954871065
2021-01-03 04:45:00,243,115,883.5,598.0,0.00010991376970758414,0.0001714028503548784
2021-01-03 05:00:00,295,146,718.0,503.0,0.00013107592450737672,0.00020741405812707943
2021-01-03 05:15:00,306,127,677.0,551.5,0.00013689560144590387,0.00018651072216364188
2021-01-03 05:30:00,254,119,821.5,603.5,0.0001136668755034458,0.0001714452837419446
2021-01-03 05:45:00,283,133,732.0,513.5,0.0001278968870891934,0.00019839612396625175
2021-01-03 06:00:00,299,164,706.0,486.5,0.00013102133982685027,0.00022377958256920792
2021-01-03 06:15:00,266,121,797.0,568.5,0.0001181866086574801,0.00017597235634256729
2021-01-03 06:30:00,296,139,727.5,547.5,0.00012878585826855244,0.00019198709404743324
2021-01-03 06:45:00,291,116,743.5,621.0,0.0001263874387390095,0.0001626301216220953
2021-01-03 07:00:00,293,141,808.5,611.5,0.00011880231052247879,0.0001751180805071221
2021-01-03 07:15:00,305,148,750.5,530.0,0.00012326145775870255,0.00019255313751026192
2021-01-03 07:30:00,316,151,772.0,557.0,0.00012178587422602381,0.00018227733194271423
2021-01-03 07:45:00,328,172,790.0,479.5,0.00012143524613591565,0.00020660710296000712
2021-01-03 08:00:00,350,153,793.5,616.0,0.00012104460805064228,0.00016709605620543423
2021-01-03 08:15:00,398,172,732.0,523.5,0.00013396027640245976,0.0001931494819775812
2021-01-03 08:30:00,458,199,651.5,487.0,0.00014884758494793419,0.00021020719669161334
2021-01-03 08:45:00,435,169,678.5,561.5,0.00014095793717942194,0.00017703527715972562
2021-01-03 09:00:00,492,221,679.0,516.0,0.00014745960371130646,0.0002022474172272703
2021-01-03 09:15:00,454,198,803.0,545.0,0.0001279183126053072,0.00018916811886636703
2021-01-03 09:30:00,422,212,835.0,517.5,0.0001173843103908202,0.00020091206495904048
2021-01-03 09:45:00,423,198,832.5,554.0,0.00011670671849953235,0.00018324713930854743
2021-01-03 10:00:00,470,253,841.0,492.5,0.000117273720356572,0.00020965090224467337
2021-01-03 10:15:00,437,223,930.5,543.5,0.00010986483106082415,0.0001862958126883321
2021-01-03 10:30:00,440,230,922.5,567.0,0.00011086742674686748,0.0001851403162357593
2021-01-03 10:45:00,475,234,806.0,522.5,0.00012325663224476536,0.00019600862773019498
2021-01-03 11:00:00,502,256,743.0,500.5,0.00013069526758163768,0.00020299174949549412
2021-01-03 11:15:00,492,281,735.5,445.0,0.00012991426450702687,0.00023095865100421806
2021-01-03 11:30:00,566,322,631.0,378.5,0.00015177058080134332,0.0002626532381799925
2021-01-03 11:45:00,537,264,691.5,500.5,0.00014074606422109244,0.00020586769725283597
2021-01-03 12:00:00,584,314,625.5,437.0,0.00015192689610749762,0.00022759906901833043
2021-01-03 12:15:00,618,317,589.0,424.0,0.00016127432815411354,0.00024034543021452914
2021-01-03 12:30:00,578,294,626.0,447.5,0.0001525378283257997,0.00022740720973674132
2021-01-03 12:45:00,576,316,615.5,402.5,0.00015666925515464967,0.00024931163164995386
2021-01-03 13:00:00,537,308,663.5,429.5,0.00014586988569179404,0.00023464253200623173
2021-01-03 13:15:00,596,317,611.0,420.0,0.00016076060264726315,0.0002446353852351355
2021-01-03 13:30:00,552,292,644.5,449.0,0.00014796710090900586,0.00022537959481071202
2021-01-03 13:45:00,571,281,647.0,456.5,0.00015193346644585314,0.00021927428794381583
2021-01-03 14:00:00,555,309,667.0,428.5,0.00014701180624002868,0.00023590199302829447
2021-01-03 14:15:00,512,299,710.0,436.5,0.00013720236867026788,0.00023394887708451192
2021-01-03 14:30:00,614,313,604.0,425.5,0.00016366215120836781,0.00024331675721729585
2021-01-03 14:45:00,587,311,617.5,416.5,0.00016032420996626637,0.0002496383855540447
2021-01-03 15:00:00,635,302,558.5,435.5,0.00017399610413132514,0.00023671625950686206
2021-01-03 15:15:00,659,329,528.5,393.0,0.000182121021768022,0.00026176406703387893
2021-01-03 15:30:00,580,319,607.0,403.0,0.00016057919253583615,0.0002502465202789896
2021-01-03 15:45:00,601,315,589.5,406.0,0.00016757279588099934,0.00025200745942079893
2021-01-03 16:00:00,622,332,573.5,403.0,0.00017206752128713144,0.00025444395565317755
2021-01-03 16:15:00,687,336,517.0,404.0,0.0001901774851449792,0.0002603524986866146
2021-01-03 16:30:00,530,270,646.0,459.0,0.00015207982067206655,0.00022232853734995914
2021-01-03 16:45:00,577,328,583.0,383.0,0.00016677095873069092,0.00027168038459340297
2021-01-03 17:00:00,633,318,536.0,394.5,0.00018360092757625026,0.00026132275332282564
2021-01-03 17:15:00,649,333,513.0,375.0,0.00018954821227413755,0.0002789678357625037
2021-01-03 17:30:00,572,326,579.0,386.5,0.00016824335990225413,0.0002741788301983592
2021-01-03 17:45:00,593,317,562.0,390.0,0.00017452782570997948,0.0002714710476555863
2021-01-03 18:00:00,560,306,586.0,402.0,0.0001668633270163645,0.00025976914502843455
2021-01-03 18:15:00,536,293,620.5,415.5,0.00015905790241797687,0.00025353214406855927
2021-01-03 18:30:00,496,272,673.0,434.0,0.00014825056856783075,0.00023908388680081148
2021-01-03 18:45:00,533,285,622.5,413.5,0.0001603296835519191,0.0002504847098859723
2021-01-03 19:00:00,528,310,633.0,396.0,0.00015670338808751528,0.0002607640892519772
2021-01-03 19:15:00,579,307,568.5,383.5,0.00017313143636298395,0.0002692774592838448
2021-01-03 19:30:00,531,235,627.0,519.5,0.000160302999839697,0.00020431016195275305
2021-01-03 19:45:00,560,295,577.0,412.5,0.000169518256359432,0.0002589009260754481
2021-01-03 20:00:00,546,293,576.0,398.5,0.00016787272664662854,0.0002637007383620674
2021-01-03 20:15:00,550,294,574.5,388.0,0.00016854084081654666,0.0002697995224364916
2021-01-03 20:30:00,544,297,580.5,389.5,0.00016472429271506816,0.00027068952003193587
2021-01-03 20:45:00,513,266,611.0,417.0,0.00015835948219844944,0.0002489089180509496
2021-01-03 21:00:00,468,259,684.0,435.0,0.00014393569396072893,0.00024047076562549327
2021-01-03 21:15:00,478,264,660.5,414.0,0.00014781993429125598,0.0002476053096332534
2021-01-03 21:30:00,536,288,559.5,367.0,0.00017022330693707612,0.0002802674218316644
2021-01-03 21:45:00,474,271,658.0,396.0,0.00014840367427459874,0.00026710928613811225
2021-01-03 22:00:00,461,244,706.0,451.0,0.00014027729260565226,0.00023286753463904575
2021-01-03 22:15:00,434,245,744.5,445.0,0.00013432078713219238,0.00023643490898703565
2021-01-03 22:30:00,456,257,707.0,442.5,0.0001408516396706172,0.00024116985207936275
2021-01-03 22:45:00,472,262,688.0,451.5,0.00014424859166615986,0.00023889067195751758
2021-01-03 23:00:00,504,288,654.5,411.0,0.00015134058026500816,0.00026243968671262405
2021-01-03 23:15:00,464,254,687.5,464.0,0.00014279480202300846,0.0002351111687061481
2021-01-03 23:30:00,497,276,625.5,401.5,0.00015756553949711547,0.00027057788966892445
2021-01-03 23:45:00,465,233,632.5,434.5,0.00015324948224744816,0.0002451184090237238
2021-01-04 00:00:00,417,214,686.0,464.5,0.00014210252441556503,0.00023047157283924825
2021-01-04 00:15:00,396,208,690.0,438.5,0.00014103809738182004,0.0002397133581421293
2021-01-04 00:30:00,405,209,646.5,426.0,0.00014951319610852218,0.0002468010334940886
2021-01-04 00:45:00,410,192,606.0,444.0,0.00015655643057447811,0.00023890135240562467
2021-01-04 01:00:00,359,168,693.0,498.0,0.00013709390703505595,0.00020841500389537568
2021-01-04 01:15:00,329,157,726.0,504.0,0.00013268804194394032,0.0002061441459658116
2021-01-04 01:30:00,325,150,700.5,499.5,0.00013569251824855613,0.00020457483893141014
2021-01-04 01:45:00,339,162,661.5,461.5,0.00014520135230002796,0.0002292980648375664
2021-01-04 02:00:00,354,194,625.0,389.5,0.0001517274426510985,0.0002693273618551935
2021-01-04 02:15:00,297,160,759.0,463.5,0.0001274731726913836,0.00022498105237699512
2021-01-04 02:30:00,317,171,723.5,411.5,0.00013739139253761035,0.00024786093117438253
2021-01-04 02:45:00,248,127,922.5,556.0,0.000106730016095575,0.00018753193211048727
2021-01-04 03:00:00,275,152,852.0,521.5,0.00011503436390179829,0.0001997138311025386
2021-01-04 03:15:00,274,130,807.5,556.0,0.00012000842686909841,0.00018774433842505607
2021-01-04 03:30:00,264,116,827.5,602.5,0.00011645998695118784,0.00016739493081971565
2021-01-04 03:45:00,326,147,637.5,483.0,0.00014688681064577933,0.0002162769757710936
2021-01-04 04:00:00,303,154,707.0,475.0,0.00013266007977993314,0.00021434944248266766
2021-01-04 04:15:00,307,123,670.5,539.0,0.0001399479320755646,0.00018382023277918258
2021-01-04 04:30:00,262,121,780.0,552.0,0.00011995057303868222,0.00017988659711051582
2021-01-04 04:45:00,277,124,726.5,533.0,0.00012901212574257655,0.000187693369580354
2021-01-04 05:00:00,308,133,706.5,539.0,0.00013657179951969298,0.0001858042740571132
2021-01-04 05:15:00,246,114,899.0,613.5,0.00010826502221193362,0.0001624463855679211
2021-01-04 05:30:00,260,129,835.0,579.0,0.00011392645784239065,0.0001771391613490589
2021-01-04 05:45:00,300,132,721.0,557.5,0.00012966636843401926,0.0001837715774980057
2021-01-04 06:00:00,316,134,735.5,627.0,0.00012913486992931092,0.00016722971497317457
2021-01-04 06:15:00,336,149,694.0,514.0,0.0001379743638704273,0.00019833848259080645
2021-01-04 06:30:00,363,172,666.5,485.5,0.00014267779894143294,0.00021175433542379186
2021-01-04 06:45:00,346,152,696.0,526.5,0.00013547901817650726,0.000193060736653724
2021-01-04 07:00:00,338,160,795.5,586.5,0.00012340301709423866,0.00017748886534696298
2021-01-04 07:15:00,362,171,722.5,505.0,0.00013142283736823228,0.00020124394649970875
2021-01-04 07:30:00,342,172,824.5,526.5,0.00011711823393922044,0.0001878996965201413
2021-01-04 07:45:00,371,163,755.0,555.5,0.0001257781889771521,0.0001795031616783876
2021-01-04 08:00:00,393,198,769.0,507.5,0.00012350986758987936,0.000195337163783306
2021-01-04 08:15:00,421,218,741.0,458.5,0.0001303098557893945,0.00022153458429238502
2021-01-04 08:30:00,392,191,832.5,551.5,0.00011581176216163836,0.00017881919413398144
2021-01-04 08:45:00,424,211,782.0,505.5,0.00012355896443599996,0.00019895168491333346
2021-01-04 09:00:00,425,221,841.5,552.0,0.00011537995841977781,0.00018216497717579995
2021-01-04 09:15:00,479,234,743.0,493.5,0.00012925443398026208,0.00020274274544868531
2021-01-04 09:30:00,464,228,794.5,518.5,0.00012216959509468012,0.00019287789898443015
2021-01-04 09:45:00,531,262,711.0,468.0,0.0001373501661005822,0.0002176623890191817
2021-01-04 10:00:00,508,270,906.0,502.5,0.00010958008179247128,0.0001949012392109532
2021-01-04 10:15:00,546,297,815.0,457.0,0.00012814888929414605,0.00022507553671421543
2021-01-04 10:30:00,523,283,835.5,494.5,0.0001225570892246073,0.00020812863673536628
2021-01-04 10:45:00,516,290,831.0,455.0,0.00012222966812513192,0.00021963307643836944
2021-01-04 11:00:00,637,334,639.0,423.5,0.0001481560043186196,0.0002343096703950433
2021-01-04 11:15:00,593,326,662.5,410.5,0.00014235647742377508,0.0002442778293142387
2021-01-04 11:30:00,550,306,719.0,433.5,0.00013350713534953382,0.000228391104091858
2021-01-04 11:45:00,589,347,668.0,389.5,0.0001425438782244502,0.00025743042887019197
2021-01-04 12:00:00,559,295,707.5,477.5,0.0001348264417083065,0.0002063947386832715
2021-01-04 12:15:00,569,318,676.0,422.0,0.00014142960223483626,0.0002372119981530286
2021-01-04 12:30:00,578,317,644.0,426.0,0.00014395383913432439,0.00023496780496337982
2021-01-04 12:45:00,576,329,657.5,411.0,0.0001443320720146878,0.0002450255712856842
2021-01-04 13:00:00,561,326,675.0,434.0,0.00014062920665574725,0.00022962613906187158
2021-01-04 13:15:00,581,341,667.0,416.0,0.00014499285517135358,0.00024924750642853905
2021-01-04 13:30:00,595,371,641.5,370.5,0.00015002684093650033,0.00027390848208188164
2021-01-04 13:45:00,520,304,721.0,441.5,0.0001343162874771501,0.00022702136763944823
2021-01-04 14:00:00,646,339,562.0,417.5,0.0001696335468982926,0.00024672614780424644
2021-01-04 14:15:00,610,334,581.0,404.5,0.0001646014580451121,0.00025607900113855484
2021-01-04 14:30:00,628,337,556.0,391.5,0.00017058037255513915,0.00025841140629480987
2021-01-04 14:45:00,592,354,591.0,361.5,0.00016180296607795348,0.0002740165013665992
2021-01-04 15:00:00,596,342,595.0,438.5,0.00016005044274356535,0.00024121113379812318
2021-01-04 15:15:00,593,366,653.0,415.0,0.00015106213493848103,0.00025154016807831556
