time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,34,11,6802.0,7159.0,1.097914962611152e-05,9.691288412743164e-06
2021-01-02 16:15:00,42,10,5563.0,7499.5,1.3907201877604707e-05,9.072705943620391e-06
2021-01-02 16:30:00,42,16,5554.0,5081.0,1.4052960925407554e-05,1.4683034579464124e-05
2021-01-02 16:45:00,43,12,5472.0,6488.5,1.4176779161057772e-05,1.0857458757490517e-05
2021-01-02 17:00:00,46,16,5154.5,5149.0,1.525508997684211e-05,1.438433689555443e-05
2021-01-02 17:15:00,30,10,7111.0,7269.0,1.0210266831709958e-05,9.39529089229896e-06
2021-01-02 17:30:00,42,9,5446.5,7832.0,1.4200938546790908e-05,8.548218123932069e-06
2021-01-02 17:45:00,59,11,4079.0,6621.0,1.974268918180942e-05,1.0534481272565338e-05
2021-01-02 18:00:00,37,4,6024.0,15785.0,1.239458738418598e-05,3.726782147222802e-06
2021-01-02 18:15:00,34,8,6369.0,8664.0,1.1442198221276632e-05,7.65882243690327e-06
2021-01-02 18:30:00,60,12,3975.0,6155.0,2.0674762214391086e-05,1.1610008214080812e-05
2021-01-02 18:45:00,66,11,3693.5,6567.5,2.275956246465371e-05,1.0739995450147383e-05
2021-01-02 19:00:00,36,7,6115.0,9840.0,1.2057013598301836e-05,6.446770398272265e-06
2021-01-02 19:15:00,44,10,5218.0,7058.5,1.4893091298034452e-05,9.704968944099381e-06
2021-01-02 19:30:00,39,6,5630.0,10597.5,1.3487757784770661e-05,5.996408151517241e-06
2021-01-02 19:45:00,49,5,4656.0,12134.0,1.7198485971651277e-05,5.067776442137142e-06
2021-01-02 20:00:00,47,6,4854.5,10652.0,1.6376774528052717e-05,6.005771546456144e-06
2021-01-02 20:15:00,36,8,6004.0,8124.0,1.2708059168723489e-05,8.19452994639753e-06
2021-01-02 20:30:00,31,7,6816.0,9043.5,1.0964962699672855e-05,7.250076902601431e-06
2021-01-02 20:45:00,46,16,5002.5,4584.5,1.6208066472804096e-05,1.6736489207579533e-05
2021-01-02 21:00:00,32,5,6840.5,12423.5,1.1138721991770573e-05,5.119955435907887e-06
2021-01-02 21:15:00,49,14,4779.0,5216.0,1.7110246907846654e-05,1.4545741682173469e-05
2021-01-02 21:30:00,62,14,4026.0,5167.5,2.1416834115220494e-05,1.4649806831832776e-05
2021-01-02 21:45:00,41,7,5623.5,9117.0,1.423298776101911e-05,7.426976902101834e-06
