time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,179,78,1648.0,1335.5,5.78019936198224e-05,6.872004510854245e-05
2021-01-02 16:15:00,184,90,1570.0,1158.5,6.092678917807774e-05,8.165435349258351e-05
2021-01-02 16:30:00,187,80,1525.0,1277.0,6.256913554883839e-05,7.341517289732062e-05
2021-01-02 16:45:00,171,81,1715.5,1280.5,5.6377424105601846e-05,7.328784661306098e-05
2021-01-02 17:00:00,146,64,1936.0,1569.0,4.841832905693366e-05,5.753734758221772e-05
2021-01-02 17:15:00,192,90,1445.5,1132.0,6.534570772294373e-05,8.455761803069065e-05
2021-01-02 17:30:00,192,76,1503.0,1286.5,6.491857621390129e-05,7.218495304653745e-05
2021-01-02 17:45:00,177,94,1636.5,1076.0,5.922806754542826e-05,9.002193087464925e-05
2021-01-02 18:00:00,167,64,1710.0,1544.5,5.5943137652947535e-05,5.962851435556483e-05
2021-01-02 18:15:00,158,72,1777.5,1352.0,5.317256820475612e-05,6.892940193212943e-05
2021-01-02 18:30:00,164,75,1685.0,1279.5,5.651101671933562e-05,7.256255133800508e-05
2021-01-02 18:45:00,200,80,1408.0,1212.0,6.896837110501124e-05,7.810905781925369e-05
2021-01-02 19:00:00,264,106,1145.5,996.0,8.841809972088013e-05,9.762252317383716e-05
2021-01-02 19:15:00,232,81,1278.0,1192.5,7.852720866236346e-05,7.861024844720497e-05
2021-01-02 19:30:00,200,77,1411.5,1214.0,6.916798863984955e-05,7.695390461113793e-05
2021-01-02 19:45:00,184,78,1479.0,1185.0,6.458206977109869e-05,7.905731249733942e-05
2021-01-02 20:00:00,155,69,1777.5,1326.0,5.400851174145045e-05,6.906637278424566e-05
2021-01-02 20:15:00,144,73,1870.5,1249.5,5.0832236674893954e-05,7.477508576087746e-05
2021-01-02 20:30:00,195,89,1375.0,1030.0,6.89731524656841e-05,9.21795491902182e-05
2021-01-02 20:45:00,132,54,2014.5,1598.5,4.65101037915248e-05,5.6485651075580946e-05
2021-01-02 21:00:00,158,81,1712.0,1137.0,5.499743983436721e-05,8.294327806170777e-05
2021-01-02 21:15:00,146,67,1870.0,1329.5,5.098155201113493e-05,6.961176376468729e-05
2021-01-02 21:30:00,144,60,1927.0,1450.0,4.974232439664115e-05,6.278488642214046e-05
2021-01-02 21:45:00,133,65,2055.5,1350.0,4.617042371257418e-05,6.896478551951704e-05
2021-01-02 22:00:00,115,51,2441.0,1718.5,3.891907843683383e-05,5.296824709375691e-05
2021-01-02 22:15:00,133,74,2069.0,1185.5,4.5714631397427536e-05,7.843927051478421e-05
2021-01-02 22:30:00,116,57,2395.0,1458.0,3.9599769228931046e-05,6.144578702890215e-05
2021-01-02 22:45:00,142,71,1958.5,1209.0,4.936275121555775e-05,7.817807644494557e-05
2021-01-02 23:00:00,131,62,2073.0,1357.0,4.607858896808232e-05,6.849595045312281e-05
2021-01-02 23:15:00,114,63,2333.5,1338.5,4.0515124935851054e-05,7.095585419585618e-05
2021-01-02 23:30:00,117,64,2261.0,1307.5,4.1733219857022706e-05,7.203110843495535e-05
