time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,267,31,1127.0,3040.0,8.62186161815228e-05,2.7311812799548915e-05
2021-01-02 16:15:00,286,34,1042.0,2686.0,9.470142230940346e-05,3.0847200208309334e-05
2021-01-02 16:30:00,236,34,1216.0,2700.5,7.896425662848054e-05,3.120144848136126e-05
2021-01-02 16:45:00,258,34,1154.5,2733.0,8.506067496634664e-05,3.0762799812889795e-05
2021-01-02 17:00:00,248,44,1181.0,2183.5,8.224483291862702e-05,3.955692646277469e-05
2021-01-02 17:15:00,230,31,1223.0,2866.0,7.8278712376443e-05,2.9125401766126783e-05
2021-01-02 17:30:00,238,33,1224.0,2663.0,8.047198509848181e-05,3.134346645441758e-05
2021-01-02 17:45:00,220,26,1344.0,3234.5,7.36168071186114e-05,2.489968300788171e-05
2021-01-02 18:00:00,214,35,1347.0,2598.5,7.168761351934593e-05,3.260934378819952e-05
2021-01-02 18:15:00,201,26,1409.5,3238.5,6.764358360225303e-05,2.4891172919935626e-05
2021-01-02 18:30:00,206,30,1357.5,2843.0,7.098335026940938e-05,2.9025020535202032e-05
2021-01-02 18:45:00,250,35,1146.5,2514.0,8.621046388126405e-05,3.417271279592349e-05
2021-01-02 19:00:00,227,44,1303.0,2161.5,7.602616907818103e-05,4.0522556789139957e-05
2021-01-02 19:15:00,214,29,1363.0,2937.0,7.243458040407664e-05,2.81444099378882e-05
2021-01-02 19:30:00,216,33,1312.0,2564.5,7.470142773103751e-05,3.298024483334483e-05
2021-01-02 19:45:00,215,38,1297.0,2226.0,7.546274456949031e-05,3.851510096024228e-05
2021-01-02 20:00:00,220,35,1278.5,2437.5,7.665724247173612e-05,3.503366735432751e-05
2021-01-02 20:15:00,194,31,1406.0,2650.5,6.848231885367659e-05,3.175380354229043e-05
2021-01-02 20:30:00,155,22,1750.0,3540.0,5.482481349836428e-05,2.2785955979604502e-05
2021-01-02 20:45:00,172,25,1550.0,3146.5,6.060407463744141e-05,2.615076438684303e-05
2021-01-02 21:00:00,188,29,1452.5,2857.5,6.543999170165212e-05,2.9695741528265735e-05
2021-01-02 21:15:00,157,23,1731.0,3436.0,5.4822627847590295e-05,2.3896575620713556e-05
2021-01-02 21:30:00,179,28,1570.5,2832.0,6.183247268749143e-05,2.9299613663665553e-05
2021-01-02 21:45:00,196,37,1438.5,2203.0,6.804062441853038e-05,3.9256877911109706e-05
2021-01-02 22:00:00,219,37,1324.0,2295.0,7.411546241449224e-05,3.8427943969980514e-05
2021-01-02 22:15:00,192,30,1469.0,2628.0,6.599405434816607e-05,3.179970426275036e-05
2021-01-02 22:30:00,180,29,1586.5,2680.5,6.144791776903093e-05,3.126189164628355e-05
2021-01-02 22:45:00,175,32,1592.0,2453.5,6.083437649804652e-05,3.523518938363744e-05
2021-01-02 23:00:00,174,22,1591.5,3355.5,6.120362198813987e-05,2.4305014676914545e-05
2021-01-02 23:15:00,190,24,1464.5,3100.5,6.752520822641842e-05,2.7030801598421406e-05
2021-01-02 23:30:00,167,12,1625.5,5604.0,5.956792919763069e-05,1.3505832831554128e-05
2021-01-02 23:45:00,170,28,1552.5,2654.0,6.235680859320839e-05,3.2433797406917894e-05
2021-01-03 00:00:00,177,28,1484.0,2695.5,6.466884981883588e-05,3.2518096901606045e-05
2021-01-03 00:15:00,171,20,1512.0,3474.5,6.368598859834587e-05,2.400847979506361e-05
2021-01-03 00:30:00,152,19,1639.5,3525.0,5.788934679870008e-05,2.330127568352453e-05
2021-01-03 00:45:00,167,17,1516.0,3817.5,6.289391077726705e-05,2.0172606312601826e-05
2021-01-03 01:00:00,150,30,1601.5,2403.0,5.8539852175165296e-05,3.539271759442777e-05
2021-01-03 01:15:00,158,25,1484.5,2639.0,6.407277369415226e-05,3.1849446392922795e-05
2021-01-03 01:30:00,148,24,1533.5,2679.5,6.198581613750465e-05,3.118920541600552e-05
2021-01-03 01:45:00,117,10,1846.0,5582.5,5.086297514495948e-05,1.3623161554348241e-05
2021-01-03 02:00:00,123,21,1798.0,2996.0,5.3227167492481124e-05,2.9032913646437182e-05
2021-01-03 02:15:00,130,27,1634.5,2274.0,5.85054293038394e-05,3.9107990196930456e-05
2021-01-03 02:30:00,137,23,1496.5,2520.0,6.362806285523733e-05,3.445749667784788e-05
2021-01-03 02:45:00,128,19,1586.0,2940.0,6.0120541686080594e-05,2.908565418994157e-05
2021-01-03 03:00:00,141,22,1537.0,2842.5,6.334189122714806e-05,3.0216376726797253e-05
2021-01-03 03:15:00,140,20,1473.0,2876.0,6.461114016048484e-05,3.0317178319579437e-05
2021-01-03 03:30:00,128,14,1562.0,3808.5,5.955876262948214e-05,2.1510266542931423e-05
2021-01-03 03:45:00,147,21,1381.5,2665.0,6.981648238914852e-05,3.3041311079223623e-05
2021-01-03 04:00:00,168,25,1239.0,2439.5,7.790816574962263e-05,3.7228695878783365e-05
2021-01-03 04:15:00,152,24,1313.5,2340.5,7.249272926541021e-05,3.754123670219006e-05
2021-01-03 04:30:00,154,26,1339.5,2304.0,7.143728571713525e-05,3.922680941202029e-05
2021-01-03 04:45:00,147,18,1426.0,3162.5,6.649104587248917e-05,2.682827222945923e-05
2021-01-03 05:00:00,146,18,1444.5,3326.0,6.487147450195594e-05,2.5571596207448154e-05
2021-01-03 05:15:00,151,21,1410.0,2850.0,6.755305822984145e-05,3.0840355633358106e-05
2021-01-03 05:30:00,151,19,1418.5,3073.5,6.757361496464691e-05,2.737361673190712e-05
2021-01-03 05:45:00,140,18,1495.5,3190.0,6.327054484977765e-05,2.685060324355287e-05
2021-01-03 06:00:00,179,28,1203.5,2304.0,7.84375245117264e-05,3.820627019474282e-05
2021-01-03 06:15:00,150,19,1418.5,3094.5,6.664658382940607e-05,2.7632022896766767e-05
2021-01-03 06:30:00,170,20,1254.0,3054.5,7.396485103261459e-05,2.7624042308983196e-05
2021-01-03 06:45:00,151,27,1455.0,2365.5,6.558248539378156e-05,3.785356279134976e-05
