time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,151,59,1947.0,1720.0,4.876034098655409e-05,5.198054694107697e-05
2021-01-02 16:15:00,152,63,1872.5,1591.5,5.033082584275988e-05,5.715804744480846e-05
2021-01-02 16:30:00,162,60,1745.0,1627.5,5.420427785514342e-05,5.506137967299047e-05
2021-01-02 16:45:00,138,50,2048.0,1959.0,4.5497570330836576e-05,4.523941148954381e-05
2021-01-02 17:00:00,127,55,2186.5,1795.5,4.211731363171626e-05,4.944615807846836e-05
2021-01-02 17:15:00,134,66,2017.5,1470.5,4.5605858514971144e-05,6.200891988917316e-05
2021-01-02 17:30:00,142,59,1992.5,1608.0,4.801269699153117e-05,5.6038318812443555e-05
2021-01-02 17:45:00,117,46,2330.5,1976.0,3.915075651307971e-05,4.405328532163687e-05
2021-01-02 18:00:00,235,66,1219.5,1497.5,7.872237933199204e-05,6.149190542917624e-05
2021-01-02 18:15:00,209,64,1347.5,1489.5,7.033586553667107e-05,6.127057949522617e-05
2021-01-02 18:30:00,185,50,1498.0,1846.5,6.37471834943725e-05,4.837503422533672e-05
2021-01-02 18:45:00,209,66,1346.5,1422.5,7.207194780473675e-05,6.443997270088429e-05
2021-01-02 19:00:00,181,57,1582.0,1714.5,6.0619985035906456e-05,5.24951303859313e-05
2021-01-02 19:15:00,187,53,1535.5,1729.5,6.329563801664641e-05,5.143633540372671e-05
2021-01-02 19:30:00,161,50,1741.5,1788.0,5.5680230855078884e-05,4.997006792931034e-05
2021-01-02 19:45:00,148,49,1820.0,1775.0,5.194644742457938e-05,4.9664209132943985e-05
2021-01-02 20:00:00,135,44,2024.5,1978.5,4.703967151674717e-05,4.404232467401173e-05
2021-01-02 20:15:00,181,71,1485.0,1283.5,6.38932974871931e-05,7.272645327427809e-05
2021-01-02 20:30:00,137,50,1968.0,1735.0,4.845806096307036e-05,5.178626359001022e-05
2021-01-02 20:45:00,147,54,1849.5,1598.5,5.1795342858743534e-05,5.6485651075580946e-05
2021-01-02 21:00:00,130,51,2078.0,1732.5,4.525105809156795e-05,5.2223545446260435e-05
2021-01-02 21:15:00,151,61,1804.0,1452.5,5.27274955731601e-05,6.337787447232725e-05
2021-01-02 21:30:00,129,45,2091.0,1880.5,4.456083227199103e-05,4.708866481660535e-05
2021-01-02 21:45:00,127,39,2143.5,2111.0,4.408754745486407e-05,4.1378871311710224e-05
2021-01-02 22:00:00,127,40,2227.5,2130.5,4.298019966502519e-05,4.1543723210789736e-05
2021-01-02 22:15:00,145,58,1913.0,1459.0,4.983925979418792e-05,6.147942824131735e-05
2021-01-02 22:30:00,116,36,2395.0,2197.5,3.9599769228931046e-05,3.8807865491938205e-05
2021-01-02 22:45:00,119,49,2290.5,1691.0,4.1367376018671636e-05,5.395388374369482e-05
2021-01-02 23:00:00,117,37,2311.0,2170.0,4.1154159612714734e-05,4.087661559299264e-05
2021-01-02 23:15:00,133,46,2019.0,1760.0,4.72676457584929e-05,5.1809036396974354e-05
2021-01-02 23:30:00,121,45,2200.0,1808.5,4.3159996604271335e-05,5.064687311832798e-05
2021-01-02 23:45:00,117,36,2209.5,2128.0,4.29161565023846e-05,4.1700596666037295e-05
2021-01-03 00:00:00,174,56,1507.0,1441.0,6.357276761851662e-05,6.503619380321209e-05
2021-01-03 00:15:00,130,53,1972.5,1453.5,4.841624864201733e-05,6.362247145691858e-05
2021-01-03 00:30:00,136,61,1845.5,1270.5,5.179573134620533e-05,7.480935877342085e-05
2021-01-03 00:45:00,125,40,1989.0,1817.5,4.707628052190648e-05,4.7464956029651364e-05
2021-01-03 01:00:00,184,45,1315.5,1651.0,7.180888533486942e-05,5.308907639164166e-05
2021-01-03 01:15:00,206,46,1174.0,1579.0,8.353792013288206e-05,5.8602981362977954e-05
2021-01-03 01:30:00,170,38,1353.0,1825.5,7.119992394172831e-05,4.938290857534208e-05
2021-01-03 01:45:00,173,36,1310.5,1860.5,7.52076470092136e-05,4.904338159565367e-05
2021-01-03 02:00:00,175,46,1304.0,1475.0,7.572970984702599e-05,6.359590608267191e-05
2021-01-03 02:15:00,176,45,1212.5,1460.0,7.920735044212103e-05,6.517998366155077e-05
2021-01-03 02:30:00,136,48,1507.0,1331.5,6.31636244402356e-05,7.191129741463904e-05
2021-01-03 02:45:00,144,38,1408.5,1624.5,6.763560939684066e-05,5.817130837988314e-05
2021-01-03 03:00:00,141,44,1537.0,1551.5,6.334189122714806e-05,6.0432753453594505e-05
2021-01-03 03:15:00,127,37,1609.5,1651.0,5.861153428843982e-05,5.6086779891221974e-05
2021-01-03 03:30:00,132,34,1521.0,1746.0,6.141997396165345e-05,5.223921874711916e-05
2021-01-03 03:45:00,144,40,1405.5,1491.0,6.839165621794141e-05,6.293583062709261e-05
