time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,2494,1001,117.5,129.0,0.0008053529166918272,0.0008819072455596279
2021-01-02 16:15:00,2391,1017,124.0,122.0,0.0007917171354607822,0.0009226941944661935
2021-01-02 16:30:00,2287,996,131.0,124.0,0.000765217181819216,0.0009140189025716416
2021-01-02 16:45:00,2380,953,124.0,131.0,0.0007846682419376162,0.0008622631829907051
2021-01-02 17:00:00,2461,1031,117.0,122.0,0.0008161473137610529,0.0009268907087072887
2021-01-02 17:15:00,2309,977,125.0,122.0,0.0007858502038139432,0.0009179199201776086
2021-01-02 17:30:00,2302,983,125.0,122.0,0.0007783466793979207,0.0009336553795361355
2021-01-02 17:45:00,2273,960,134.0,124.0,0.0007605954662754713,0.0009193729110602476
2021-01-02 18:00:00,2369,994,122.0,121.0,0.000793588581436124,0.0009261053635848664
2021-01-02 18:15:00,2340,965,126.0,118.0,0.0007874924658172742,0.000923845456451457
2021-01-02 18:30:00,2308,921,120.0,128.0,0.000795289186513577,0.0008910681304307023
2021-01-02 18:45:00,2500,985,112.0,114.0,0.0008621046388126405,0.0009617177743995609
2021-01-02 19:00:00,2895,994,98.0,115.0,0.000969584843530106,0.0009154413965546617
2021-01-02 19:15:00,2586,997,108.0,112.0,0.0008753075931072067,0.000967585403726708
2021-01-02 19:30:00,2298,901,117.0,122.0,0.0007947401894718713,0.0009004606240861722
2021-01-02 19:45:00,2247,972,124.0,109.0,0.0007886734281285799,0.0009851757403514603
2021-01-02 20:00:00,2216,938,124.0,113.0,0.0007721474968971239,0.0009389022850959773
2021-01-02 20:15:00,2180,889,128.0,119.0,0.0007695435829949223,0.0009106171402934256
2021-01-02 20:30:00,2064,871,133.0,122.0,0.0007300542907137023,0.0009021167117379779
2021-01-02 20:45:00,2069,893,134.0,115.0,0.0007290106420050366,0.0009341053038980328
2021-01-02 21:00:00,1968,844,141.0,126.0,0.0006850314024938902,0.0008642484775812512
2021-01-02 21:15:00,2517,848,110.0,123.0,0.00087890798912347,0.0008810563533202212
2021-01-02 21:30:00,2644,826,103.0,130.0,0.0009133243451716613,0.0008643386030781337
2021-01-02 21:45:00,2453,778,107.0,131.0,0.0008515492433604848,0.0008254554328336039
2021-01-02 22:00:00,2566,823,103.0,128.0,0.0008684030892949183,0.0008547621050619987
2021-01-02 22:15:00,2872,826,91.0,136.0,0.0009871610629579842,0.0008755518573677264
2021-01-02 22:30:00,2867,853,94.0,123.0,0.0009787287791322872,0.0009195308129062023
2021-01-02 22:45:00,2544,761,102.0,126.0,0.0008843580217773162,0.0008379368475296277
2021-01-02 23:00:00,2475,815,104.0,116.0,0.0008705687610381964,0.0009003903164402434
2021-01-02 23:15:00,2230,744,122.0,130.0,0.0007925327070784898,0.0008379548495510634
2021-01-02 23:30:00,2292,738,108.0,131.0,0.0008175430761734704,0.0008306087191405787
2021-01-02 23:45:00,2154,714,117.0,130.0,0.0007900974453515934,0.0008270618338764063
2021-01-03 00:00:00,2024,747,129.0,126.0,0.0007394901244820555,0.0008675363709107043
2021-01-03 00:15:00,1825,648,142.0,139.0,0.0006796896443975512,0.0007778747453600611
2021-01-03 00:30:00,1885,722,130.0,123.0,0.0007179040704970371,0.000885448475973932
2021-01-03 00:45:00,1764,631,161.0,157.5,0.0006643404707251442,0.0007487596813677503
2021-01-03 01:00:00,1750,692,155.0,147.0,0.000682964942043595,0.0008163920191781339
2021-01-03 01:15:00,1671,649,145.0,146.0,0.0006776304103982813,0.0008268116283602758
2021-01-03 01:30:00,1560,564,153.0,163.5,0.0006533640079358598,0.0007329463272761298
2021-01-03 01:45:00,1583,576,139.0,138.0,0.0006881717064484689,0.0007846941055304588
2021-01-03 02:00:00,1640,614,135.0,125.0,0.0007096955665664151,0.0008488670942339251
2021-01-03 02:15:00,1405,494,150.0,148.0,0.0006323086782453411,0.0007155313761956906
2021-01-03 02:30:00,1428,516,145.0,141.5,0.0006632180566224738,0.0007730464472073698
2021-01-03 02:45:00,1384,473,144.0,143.0,0.0006500533569807463,0.0007240797069390718
2021-01-03 03:00:00,1490,604,137.0,126.5,0.0006693575739606428,0.0008295768883175246
2021-01-03 03:15:00,1478,508,138.0,136.0,0.0006821090368371185,0.0007700563293173177
2021-01-03 03:30:00,1297,426,165.0,150.0,0.0006034977744565496,0.0006545266819491988
