time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,4.0,3.0,34613.5,21435.0,1.2916646618954727e-06,2.643078658020863e-06
2021-01-02 16:15:00,2.0,1.0,63565.0,91408.0,6.622477084573667e-07,9.072705943620392e-07
2021-01-02 16:30:00,10.0,5.0,16362.5,13018.0,3.3459430774779886e-06,4.588448306082539e-06
2021-01-02 16:45:00,7.0,3.0,21616.0,20737.5,2.307847770404753e-06,2.7143646893726288e-06
2021-01-02 17:00:00,24.0,4.0,8609.5,16106.0,7.95917737922197e-06,3.5960842238886077e-06
2021-01-02 17:15:00,9.0,2.0,17482.5,30628.5,3.0630800495129868e-06,1.8790581784597924e-06
2021-01-02 17:30:00,8.0,1.0,19144.0,88820.0,2.704940675579221e-06,9.498020137702295e-07
2021-01-02 17:45:00,9.0,2.0,17280.0,29890.0,3.011596654852285e-06,1.9153602313755157e-06
2021-01-02 18:00:00,7.0,1.0,21285.0,90959.5,2.344921937548699e-06,9.316955368057005e-07
2021-01-02 18:15:00,13.0,2.0,13179.5,30190.5,4.374958143429302e-06,1.9147056092258177e-06
2021-01-02 18:30:00,4.0,2.0,32415.5,29807.5,1.3783174809594057e-06,1.935001369013469e-06
2021-01-02 18:45:00,3.0,0.0,40977.5,189908.0,1.0345255665751686e-06,0.0
2021-01-02 19:00:00,8.0,7.0,19116.5,9840.0,2.679336355178186e-06,6.446770398272265e-06
2021-01-02 19:15:00,4.0,0.0,32658.5,189834.0,1.3539173907304044e-06,0.0
2021-01-02 19:30:00,3.0,1.0,40954.0,85505.5,1.037519829597743e-06,9.99401358586207e-07
2021-01-02 19:45:00,8.0,0.0,18777.0,185764.0,2.8079160770042907e-06,0.0
2021-01-02 20:00:00,4.0,3.0,32509.0,19446.0,1.3937680449406568e-06,3.002885773228072e-06
2021-01-02 20:15:00,6.0,1.0,23377.5,84020.5,2.1180098614539148e-06,1.0243162432996913e-06
2021-01-02 20:30:00,5.0,0.0,27010.0,185727.5,1.768542370914977e-06,0.0
2021-01-02 20:45:00,8.0,2.0,19104.5,28483.5,2.8187941691833216e-06,2.0920611509474417e-06
2021-01-02 21:00:00,10.0,0.0,16525.5,191200.0,3.4808506224283037e-06,0.0
2021-01-02 21:15:00,16.0,4.0,11575.5,14679.5,5.58701939848054e-06,4.155926194906705e-06
2021-01-02 21:30:00,11.0,2.0,15499.5,28844.0,3.799760891410088e-06,2.0928295474046817e-06
2021-01-02 21:45:00,7.0,3.0,21803.0,19242.0,2.430022300661799e-06,3.182990100900786e-06
2021-01-02 22:00:00,10.0,3.0,17029.0,19324.0,3.384267690159463e-06,3.1157792408092307e-06
2021-01-02 22:15:00,6.0,2.0,24638.5,28482.0,2.0623141983801897e-06,2.119980284183357e-06
2021-01-02 22:30:00,8.0,1.0,19872.0,82776.5,2.7310185675124853e-06,1.07799626366495e-06
2021-01-02 22:45:00,3.0,2.0,42896.0,27702.0,1.0428750256807976e-06,2.20219933647734e-06
2021-01-02 23:00:00,7.0,3.0,21921.5,18611.5,2.462214677683788e-06,3.31432018321562e-06
2021-01-02 23:15:00,2.0,1.0,62803.0,81038.0,7.107916655412466e-07,1.1262833999342252e-06
2021-01-02 23:30:00,6.0,3.0,24483.0,18366.0,2.1401651208729593e-06,3.376458207888532e-06
2021-01-02 23:45:00,4.0,2.0,33195.0,27286.5,1.4672190257225504e-06,2.31669981477985e-06
2021-01-03 00:00:00,6.0,1.0,24287.5,80055.5,2.1921644006385044e-06,1.1613606036287874e-06
2021-01-03 00:15:00,2.0,1.0,62048.5,77678.0,7.448653637233436e-07,1.200423989753181e-06
2021-01-03 00:30:00,9.0,5.0,17426.0,11068.5,3.4276586920282938e-06,6.131914653559087e-06
2021-01-03 00:45:00,4.0,0.0,32322.0,174845.0,1.5064409767010073e-06,0.0
2021-01-03 01:00:00,4.0,2.0,32404.5,26150.0,1.5610627246710742e-06,2.359514506295184e-06
2021-01-03 01:15:00,4.0,1.0,31729.5,73289.0,1.622095536560817e-06,1.273977855716912e-06
2021-01-03 01:30:00,5.0,0.0,26004.5,169710.5,2.0941154100508328e-06,0.0
2021-01-03 01:45:00,6.0,0.0,22163.0,166904.0,2.608357699741512e-06,0.0
2021-01-03 02:00:00,5.0,0.0,25880.0,167810.5,2.1637059956293137e-06,0.0
2021-01-03 02:15:00,7.0,1.0,19163.0,69383.5,3.1502923471298137e-06,1.4484440813677945e-06
2021-01-03 02:30:00,,,,,,
2021-01-03 02:45:00,2.0,1.0,55370.5,66474.0,9.393834638450093e-07,1.530823904733767e-06
2021-01-03 03:00:00,2.0,0.0,56702.5,167486.5,8.984665422290504e-07,0.0
2021-01-03 03:15:00,,,,,,
2021-01-03 03:30:00,5.0,0.0,24591.0,160415.5,2.326514165214146e-06,0.0
2021-01-03 03:45:00,2.0,1.0,55537.5,66722.0,9.49884114138075e-07,1.5733957656773153e-06
2021-01-03 04:00:00,5.0,1.0,24842.5,69331.5,2.3186954092149597e-06,1.4891478351513348e-06
2021-01-03 04:15:00,,,,,,
2021-01-03 04:30:00,,,,,,
2021-01-03 04:45:00,,,,,,
2021-01-03 05:00:00,,,,,,
2021-01-03 05:15:00,,,,,,
2021-01-03 05:30:00,2.0,1.0,57812.0,70096.0,8.950147677436678e-07,1.4407166701003746e-06
2021-01-03 05:45:00,2.0,0.0,58201.5,166131.0,9.038649264253951e-07,0.0
2021-01-03 06:00:00,,,,,,
2021-01-03 06:15:00,,,,,,
2021-01-03 06:30:00,,,,,,
2021-01-03 06:45:00,3.0,1.0,40717.0,73655.0,1.3029632859691702e-06,1.4019838070870279e-06
2021-01-03 07:00:00,2.0,0.0,62673.5,185516.0,8.109372731909814e-07,0.0
2021-01-03 07:15:00,5.0,1.0,28062.0,78219.0,2.020679635388566e-06,1.301034712907175e-06
2021-01-03 07:30:00,3.0,0.0,43899.0,188116.0,1.1561950084749095e-06,0.0
2021-01-03 07:45:00,,,,,,
2021-01-03 08:00:00,4.0,0.0,36473.5,200214.0,1.3833669491501976e-06,0.0
2021-01-03 08:15:00,2.0,0.0,69295.0,199779.5,6.731672181028128e-07,0.0
2021-01-03 08:30:00,2.0,1.0,70986.5,89441.5,6.499894539211101e-07,1.05631757131464e-06
2021-01-03 08:45:00,7.0,3.0,24266.5,20014.5,2.2682886442665603e-06,3.142638056089804e-06
2021-01-03 09:00:00,2.0,1.0,72896.5,96860.5,5.994292833792945e-07,9.151466842862908e-07
2021-01-03 09:15:00,4.0,2.0,39289.5,31067.0,1.1270335912361868e-06,1.910789079458253e-06
