time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,29.0,5.0,7697.0,13599.0,9.364568798742177e-06,4.405131096701438e-06
2021-01-02 16:15:00,27.0,6.0,7817.5,11273.5,8.940344064174452e-06,5.443623566172235e-06
2021-01-02 16:30:00,23.0,7.0,8790.0,9942.5,7.695669078199374e-06,6.423827628515554e-06
2021-01-02 16:45:00,22.0,6.0,9219.5,11313.0,7.253235849843512e-06,5.4287293787452576e-06
2021-01-02 17:00:00,21.0,3.0,9502.0,20900.0,6.964280206819223e-06,2.6970631679164556e-06
2021-01-02 17:15:00,23.0,5.0,8733.0,12776.0,7.827871237644301e-06,4.6976454461494814e-06
2021-01-02 17:30:00,23.0,4.0,8747.5,15501.0,7.77670444229026e-06,3.799208055080918e-06
2021-01-02 17:45:00,20.0,4.0,9536.5,15331.0,6.692437010782855e-06,3.830720462751031e-06
2021-01-02 18:00:00,19.0,9.0,10132.0,8005.0,6.3647881162036124e-06,8.385259831251302e-06
2021-01-02 18:15:00,19.0,9.0,9925.5,7866.5,6.394169594242824e-06,8.616175241516179e-06
2021-01-02 18:30:00,15.0,3.0,11795.0,19726.5,5.1686905535977716e-06,2.902502053520203e-06
2021-01-02 18:45:00,14.0,6.0,12367.5,10713.5,4.827785977350787e-06,5.858179336444026e-06
2021-01-02 19:00:00,11.0,1.0,15048.0,89360.5,3.684087488370006e-06,9.209671997531807e-07
2021-01-02 19:15:00,16.0,5.0,11231.0,12438.0,5.415669562921617e-06,4.8524844720496905e-06
2021-01-02 19:30:00,19.0,9.0,9832.0,7558.0,6.570958920785708e-06,8.994612227275862e-06
2021-01-02 19:45:00,18.0,7.0,10201.0,9120.5,6.3178111732596525e-06,7.094887018991998e-06
2021-01-02 20:00:00,12.0,4.0,14069.5,15073.0,4.18130413482197e-06,4.00384769763743e-06
2021-01-02 20:15:00,10.0,1.0,15893.0,84020.5,3.5300164357565246e-06,1.0243162432996913e-06
2021-01-02 20:30:00,12.0,6.0,13887.5,10317.5,4.244501690195943e-06,6.214351630801226e-06
2021-01-02 20:45:00,14.0,4.0,12594.5,14632.0,4.9328897960708124e-06,4.184122301894883e-06
2021-01-02 21:00:00,11.0,4.0,15359.5,15092.5,3.828935684671135e-06,4.095964348726309e-06
2021-01-02 21:15:00,9.0,1.0,17802.0,84813.0,3.142698411645304e-06,1.0389815487266762e-06
2021-01-02 21:30:00,8.0,1.0,19752.0,84418.0,2.763462466480064e-06,1.0464147737023408e-06
2021-01-02 21:45:00,15.0,4.0,12344.5,14758.0,5.207190644275283e-06,4.2439868012010494e-06
2021-01-02 22:00:00,9.0,2.0,18444.5,28958.5,3.045840921143517e-06,2.0771861605394867e-06
2021-01-02 22:15:00,13.0,8.0,13675.5,8003.5,4.468347429823745e-06,8.479921136733428e-06
2021-01-02 22:30:00,15.0,4.0,12295.5,14537.0,5.120659814085911e-06,4.3119850546598e-06
2021-01-02 22:45:00,10.0,4.0,16849.5,14341.5,3.476250085602658e-06,4.40439867295468e-06
2021-01-02 23:00:00,35.0,5.0,6344.5,11777.5,1.2311073388418938e-05,5.5238669720260325e-06
2021-01-02 23:15:00,16.0,3.0,11599.0,18209.5,5.686333324329973e-06,3.3788501998026758e-06
2021-01-02 23:30:00,14.0,2.0,12884.5,27922.5,4.9937186153702385e-06,2.2509721385923548e-06
2021-01-02 23:45:00,15.0,3.0,12019.0,18015.5,5.502071346459563e-06,3.4750497221697745e-06
2021-01-03 00:00:00,3.0,1.0,42317.5,80055.5,1.0960822003192522e-06,1.1613606036287874e-06
2021-01-03 00:15:00,9.0,2.0,17584.0,26486.0,3.351894136755046e-06,2.400847979506362e-06
2021-01-03 00:30:00,12.0,5.0,13908.5,11068.5,4.570211589371058e-06,6.131914653559087e-06
2021-01-03 00:45:00,5.0,2.0,26993.0,25825.0,1.8830512208762593e-06,2.373247801482568e-06
2021-01-03 01:00:00,10.0,3.0,15669.5,17314.0,3.9026568116776866e-06,3.5392717594427775e-06
2021-01-03 01:15:00,3.0,0.0,40515.5,171172.0,1.2165716524206126e-06,0.0
2021-01-03 01:30:00,4.0,1.0,31120.0,73029.0,1.675292328040666e-06,1.2995502256668968e-06
2021-01-03 01:45:00,13.0,6.0,12034.0,8553.0,5.651441682773277e-06,8.173896932608944e-06
2021-01-03 02:00:00,6.0,2.0,22330.5,24396.0,2.596447194755177e-06,2.7650393948987788e-06
2021-01-03 02:15:00,7.0,3.0,19163.0,15670.5,3.1502923471298137e-06,4.345332244103384e-06
2021-01-03 02:30:00,7.0,2.0,18808.5,23175.0,3.251068905012126e-06,2.996304058943293e-06
2021-01-03 02:45:00,6.0,1.0,21089.0,66474.0,2.818150391535028e-06,1.530823904733767e-06
2021-01-03 03:00:00,,,,,,
2021-01-03 03:15:00,6.0,2.0,21166.0,22939.5,2.769048864020779e-06,3.0317178319579436e-06
2021-01-03 03:30:00,4.0,1.0,29603.0,67838.5,1.861211332171317e-06,1.5364476102093871e-06
2021-01-03 03:45:00,12.0,5.0,12068.5,9172.5,5.699304684828452e-06,7.866978828386577e-06
2021-01-03 04:00:00,6.0,2.0,21412.5,23145.0,2.782434491057951e-06,2.9782956703026687e-06
2021-01-03 04:15:00,8.0,2.0,16827.5,22880.0,3.815406803442643e-06,3.1284363918491717e-06
2021-01-03 04:30:00,6.0,1.0,21417.5,68447.5,2.7832708720961792e-06,1.5087234389238575e-06
2021-01-03 04:45:00,9.0,4.0,15769.5,11681.5,4.070880359540154e-06,5.961838273213162e-06
2021-01-03 05:00:00,5.0,1.0,25789.5,71223.5,2.22162583910808e-06,1.4206442337471197e-06
2021-01-03 05:15:00,7.0,4.0,19663.5,11807.0,3.1315987258866903e-06,5.874353453972973e-06
2021-01-03 05:30:00,12.0,4.0,12606.0,11786.5,5.370088606462007e-06,5.7628666804014984e-06
2021-01-03 05:45:00,8.0,4.0,17408.5,11722.5,3.6154597057015802e-06,5.966800720789527e-06
2021-01-03 06:00:00,8.0,5.0,17911.5,10087.0,3.5055876876749238e-06,6.822548249061217e-06
2021-01-03 06:15:00,10.0,5.0,14856.0,9835.5,4.443105588627072e-06,7.2715849728333585e-06
2021-01-03 06:30:00,9.0,7.0,16180.5,7436.0,3.915786231138418e-06,9.66841480814412e-06
2021-01-03 06:45:00,7.0,2.0,20174.0,24866.0,3.040247667261397e-06,2.8039676141740557e-06
2021-01-03 07:00:00,9.0,3.0,17258.5,17489.0,3.6492177293594164e-06,3.725916606534512e-06
2021-01-03 07:15:00,8.0,1.0,19247.5,78219.0,3.233087416621706e-06,1.301034712907175e-06
2021-01-03 07:30:00,10.0,6.0,16247.5,9477.5,3.853983361583031e-06,7.2428078917634785e-06
2021-01-03 07:45:00,8.0,4.0,20067.5,13874.0,2.961835271607699e-06,4.804816347907142e-06
2021-01-03 08:00:00,13.0,0.0,14442.5,200214.0,4.495942584738143e-06,0.0
2021-01-03 08:15:00,11.0,4.0,16603.5,14571.5,3.702419699565471e-06,4.491848418083284e-06
2021-01-03 08:30:00,7.0,4.0,24091.5,15005.5,2.2749630887238855e-06,4.22527028525856e-06
2021-01-03 08:45:00,7.0,0.0,24266.5,208190.5,2.2682886442665603e-06,0.0
2021-01-03 09:00:00,11.0,6.0,17628.5,11405.5,3.29686105858612e-06,5.490880105717746e-06
2021-01-03 09:15:00,17.0,5.0,12906.5,13131.0,4.789892762753794e-06,4.776972698645633e-06
2021-01-03 09:30:00,6.0,4.0,28442.0,15876.0,1.6689712377841738e-06,3.7907936784724618e-06
2021-01-03 09:45:00,16.0,5.0,13692.5,13403.0,4.414438524805007e-06,4.627453012842108e-06
2021-01-03 10:00:00,24.0,6.0,10607.5,12331.0,5.988445294803676e-06,4.97195815600016e-06
2021-01-03 10:15:00,8.0,5.0,24012.5,14331.0,2.011255488527673e-06,4.177036158931214e-06
2021-01-03 10:30:00,27.0,6.0,9678.0,12292.0,6.803228459466869e-06,4.829747380063287e-06
2021-01-03 10:45:00,18.0,4.0,13046.5,17171.5,4.670777642959529e-06,3.350574832994785e-06
2021-01-03 11:00:00,9.0,1.0,21970.0,104311.5,2.34314224747956e-06,7.929365214667741e-07
2021-01-03 11:15:00,6.0,2.0,29729.5,34222.0,1.5843202988661811e-06,1.6438338149766414e-06
2021-01-03 11:30:00,8.0,2.0,23468.0,34597.5,2.1451672198069725e-06,1.6313865725465376e-06
2021-01-03 11:45:00,19.0,9.0,12517.5,9127.5,4.979842123278875e-06,7.0182169518012264e-06
