time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,1653,750,175.0,160.5,0.0005337804215283041,0.0006607696645052157
2021-01-02 16:15:00,1702,724,172.0,162.5,0.0005635727998972191,0.0006568639103181162
2021-01-02 16:30:00,1690,757,171.0,156.5,0.0005654643800937801,0.0006946910735408962
2021-01-02 16:45:00,1756,781,168.0,156.5,0.000578940097832964,0.0007066396074666744
2021-01-02 17:00:00,1676,740,175.0,159.5,0.0005558158869823341,0.0006652755814193925
2021-01-02 17:15:00,1588,703,178.0,157.0,0.0005404634576251804,0.000660488949728617
2021-01-02 17:30:00,1568,681,182.0,166.5,0.0005301683724135271,0.0006468151713775262
2021-01-02 17:45:00,1710,708,172.0,160.0,0.0005722033644219341,0.0006780375219069326
2021-01-02 18:00:00,1687,722,174.0,156.0,0.0005651261869492365,0.0006726841775737157
2021-01-02 18:15:00,1845,641,171.0,175.5,0.0006209075211251585,0.0006136631477568745
2021-01-02 18:30:00,1789,711,164.0,158.0,0.0006164524933590941,0.0006878929866842879
2021-01-02 18:45:00,1780,720,162.0,154.5,0.0006138185028346,0.0007029815203732832
2021-01-02 19:00:00,1695,708,180.0,167.0,0.0005676843902533783,0.000652044777425252
2021-01-02 19:15:00,1670,678,172.0,169.0,0.0005652605106299439,0.0006579968944099379
2021-01-02 19:30:00,1788,654,159.0,163.0,0.0006183618184402549,0.0006536084885153793
2021-01-02 19:45:00,1783,674,156.0,160.0,0.0006258142956623312,0.0006831362644000868
2021-01-02 20:00:00,1847,595,152.0,177.0,0.0006435723947513483,0.0005955723450235676
2021-01-02 20:15:00,1787,646,151.0,164.0,0.000630813937069691,0.0006617082931716006
2021-01-02 20:30:00,1726,578,160.0,177.0,0.00061050082643985,0.0005986492071005183
2021-01-02 20:45:00,1709,593,162.0,171.0,0.000602164904391787,0.0006202961312559166
2021-01-02 21:00:00,1683,626,165.0,161.0,0.0005858271597546836,0.0006410184205756673
2021-01-02 21:15:00,1693,632,163.0,159.0,0.0005911764901017221,0.0006566363387952594
2021-01-02 21:30:00,1675,583,168.0,171.0,0.0005785999539192634,0.0006100598130684647
2021-01-02 21:45:00,1747,606,161.0,161.0,0.0006064641370365948,0.0006429640003819588
2021-01-02 22:00:00,1740,581,167.0,170.0,0.0005888625780877466,0.0006034225796367209
2021-01-02 22:15:00,1648,554,173.0,181.5,0.0005664489664884254,0.0005872345387187898
2021-01-02 22:30:00,1668,580,174.0,175.0,0.0005694173713263533,0.0006252378329256711
2021-01-02 22:45:00,1743,577,159.5,171.0,0.0006059103899205433,0.0006353345085737125
2021-01-02 23:00:00,1692,571,162.0,169.5,0.000595152462091567,0.000630825608205373
2021-01-02 23:15:00,1744,587,157.0,159.0,0.000619810332351967,0.00066112835576139
2021-01-02 23:30:00,1652,528,164.0,175.0,0.0005892587966136879,0.0005942566445883816
2021-01-02 23:45:00,1613,538,164.0,169.5,0.0005916560721226184,0.0006231922501757796
