time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,395,102,773.0,1069.0,0.00012755188536217794,8.986467437270933e-05
2021-01-02 16:15:00,404,106,757.5,1003.0,0.00013377403710838808,9.617068300237614e-05
2021-01-02 16:30:00,443,110,672.5,964.0,0.0001482252783322749,0.00010094586273381586
2021-01-02 16:45:00,406,93,747.0,1135.0,0.0001338551706834757,8.414530537055149e-05
2021-01-02 17:00:00,379,100,792.5,1071.0,0.00012568867611354695,8.99021055972152e-05
2021-01-02 17:15:00,387,103,768.5,995.5,0.00013171244212905846,9.677149619067932e-05
2021-01-02 17:30:00,418,100,704.5,1020.0,0.00014133315029901428,9.498020137702296e-05
2021-01-02 17:45:00,388,98,789.0,1034.5,0.00012983327800918738,9.385265133740028e-05
2021-01-02 18:00:00,367,103,811.0,1013.5,0.00012294090729719607,9.596464029098716e-05
2021-01-02 18:15:00,361,108,830.5,937.0,0.00012148922229061367,0.00010339410289819416
2021-01-02 18:30:00,331,88,888.0,1108.5,0.0001140557715493908,8.514006023659261e-05
2021-01-02 18:45:00,336,72,871.5,1331.0,0.00011586686345641888,7.029815203732832e-05
2021-01-02 19:00:00,274,86,1103.0,1204.0,9.176727016485288e-05,7.920317917877355e-05
2021-01-02 19:15:00,398,96,761.5,1025.0,0.00013471478037767527,9.316770186335404e-05
2021-01-02 19:30:00,322,95,933.5,1011.5,0.00011136046171015777,9.494312906568966e-05
2021-01-02 19:45:00,337,83,867.0,1125.0,0.00011828346474380574,8.412508893947656e-05
2021-01-02 20:00:00,398,105,729.5,898.0,0.00013867992047159535,0.00010510100206298252
2021-01-02 20:15:00,368,83,778.0,1111.0,0.00012990460483584013,8.501824819387438e-05
2021-01-02 20:30:00,295,73,970.0,1221.0,0.00010434399988398362,7.560794484141493e-05
2021-01-02 20:45:00,318,100,899.0,924.5,0.00011204706822503701,0.00010460305754737212
2021-01-02 21:00:00,357,99,800.5,936.5,0.00012426636722069043,0.00010137511763097614
2021-01-02 21:15:00,336,105,846.0,888.5,0.00011732740736809136,0.000109093062616301
2021-01-02 21:30:00,322,81,887.0,1118.5,0.00011122936427582259,8.475959666988962e-05
2021-01-02 21:45:00,362,98,789.0,908.5,0.00012566686754851022,0.00010397767662942568
2021-01-02 22:00:00,383,71,778.5,1272.5,0.00012961745253310745,7.374010869915178e-05
2021-01-02 22:15:00,326,83,884.5,1083.0,0.00011205240477865695,8.797918179360932e-05
2021-01-02 22:30:00,333,90,870.0,982.0,0.00011367864787270726,9.701966372984553e-05
2021-01-02 22:45:00,316,94,899.0,922.0,0.000109849502705044,0.00010350336881443498
2021-01-02 23:00:00,402,86,681.5,1028.5,0.00014140147148984034,9.501051191884775e-05
