time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,659,237,463.5,483.0,0.0002128017530472791,0.00020880321398364816
2021-01-02 16:15:00,678,193,432.0,585.5,0.00022450197316704732,0.0001751032247118735
2021-01-02 16:30:00,670,230,439.5,473.5,0.00022417818619102525,0.0002110686220797968
2021-01-02 16:45:00,705,227,425.0,494.5,0.0002324332397336216,0.0002053869281625289
2021-01-02 17:00:00,721,253,408.5,458.5,0.00023910695376746005,0.00022745232716095445
2021-01-02 17:15:00,692,227,416.0,480.0,0.00023551682158477638,0.00021327310325518645
2021-01-02 17:30:00,699,228,403.5,475.0,0.00023634419152873443,0.0002165548591396124
2021-01-02 17:45:00,639,171,472.0,605.5,0.0002138233624945122,0.00016376329978260665
2021-01-02 18:00:00,683,207,435.0,521.0,0.00022879738333510878,0.00019286097611878
2021-01-02 18:15:00,638,199,477.0,533.5,0.00021470948426983798,0.00019051320811796886
2021-01-02 18:30:00,646,220,457.0,486.5,0.000222598273174944,0.00021285015059148158
2021-01-02 18:45:00,652,196,445.5,531.5,0.00022483688980233662,0.00019136719165717156
2021-01-02 19:00:00,701,200,447.0,568.5,0.00023477684812248852,0.00018419343995063612
2021-01-02 19:15:00,667,212,458.0,514.0,0.00022576572490429496,0.00020574534161490684
2021-01-02 19:30:00,628,203,476.5,512.5,0.0002171874843291276,0.000202878475793
2021-01-02 19:45:00,595,161,487.5,613.0,0.0002088387582271941,0.00016318240143681597
2021-01-02 20:00:00,589,209,505.0,508.5,0.00020523234461751168,0.00020920104220155568
2021-01-02 20:15:00,570,169,504.0,589.5,0.00020121093683812192,0.00017310944511764786
2021-01-02 20:30:00,578,184,485.0,543.5,0.0002044434980777713,0.0001905734500112376
2021-01-02 20:45:00,565,201,500.0,487.0,0.00019907733819857207,0.00021025214567021796
2021-01-02 21:00:00,553,184,512.0,539.0,0.00019249103942028522,0.00018841436004141018
2021-01-02 21:15:00,518,177,545.0,550.0,0.00018087975302580748,0.00018389973412462167
2021-01-02 21:30:00,517,180,556.0,542.0,0.00017858876189627413,0.00018835465926642135
2021-01-02 21:45:00,509,171,555.5,555.5,0.00017669733586240795,0.0001814304357513448
2021-01-02 22:00:00,506,180,580.5,552.0,0.00017124394512206884,0.00018694675444855382
2021-01-02 22:15:00,505,162,563.0,602.0,0.0001735781116969993,0.00017171840301885192
2021-01-02 22:30:00,536,171,540.5,554.5,0.00018297824402333654,0.00018433736108670648
2021-01-02 22:45:00,530,166,540.0,569.0,0.00018424125453694092,0.00018278254492761918
2021-01-02 23:00:00,504,178,545.0,526.5,0.00017727945679323268,0.0001966496642041268
2021-01-02 23:15:00,549,165,501.0,554.0,0.00019511231219107217,0.00018583676098914717
2021-01-02 23:30:00,513,185,527.0,499.0,0.00018298411783463798,0.00020821492281979283
2021-01-02 23:45:00,516,155,517.0,576.0,0.00018927125431820896,0.00017954423564543834
2021-01-03 00:00:00,526,194,512.0,466.0,0.00019217974578930892,0.00022530395710398477
2021-01-03 00:15:00,468,142,559.0,606.5,0.0001742984951112624,0.00017046020654495168
2021-01-03 00:30:00,446,166,580.5,503.5,0.00016985953073829103,0.00020357956649816165
2021-01-03 00:45:00,444,150,594.0,557.0,0.00016721494841381182,0.0001779935851111926
2021-01-03 01:00:00,452,134,547.0,615.0,0.0001764000878878314,0.00015808747192177738
2021-01-03 01:15:00,403,131,605.0,614.5,0.0001634261253085023,0.00016689109909891547
2021-01-03 01:30:00,474,140,498.5,568.5,0.0001985221408728189,0.00018193703159336555
2021-01-03 01:45:00,414,129,539.0,593.0,0.00017997668128216432,0.0001757387840510923
2021-01-03 02:00:00,367,117,614.5,641.5,0.00015881602007919164,0.00016175480460157857
2021-01-03 02:15:00,391,131,550.5,535.0,0.00017596632967539387,0.0001897461746591811
2021-01-03 02:30:00,456,155,448.0,452.0,0.00021178391724078997,0.00023221356456810523
2021-01-03 02:45:00,405,134,501.0,506.0,0.00019022515142861441,0.00020513040323432477
2021-01-03 03:00:00,425,143,495.0,541.5,0.00019092414022367325,0.00019640644872418215
2021-01-03 03:15:00,450,156,460.0,440.5,0.00020767866480155843,0.00023647399089271964
2021-01-03 03:30:00,459,161,445.0,429.0,0.00021357400036665865,0.00024736806524371135
2021-01-03 03:45:00,447,140,435.0,476.0,0.00021229909950985982,0.00022027540719482417
2021-01-03 04:00:00,504,160,392.5,444.0,0.0002337244972488679,0.00023826365362421357
2021-01-03 04:15:00,527,166,349.0,406.0,0.000251339923176784,0.00025966022052348125
2021-01-03 04:30:00,643,250,301.0,262.5,0.00029827386179297384,0.0003771808597309645
2021-01-03 04:45:00,715,249,284.5,263.0,0.00032340882856346775,0.00037112443250751935
2021-01-03 05:00:00,811,289,258.0,248.0,0.00036034771110333053,0.00041056618355291756
2021-01-03 05:15:00,693,243,287.0,280.0,0.00031002827386278234,0.00035686697232885806
2021-01-03 05:30:00,759,269,272.0,265.0,0.00033965810435872187,0.0003875527842570008
2021-01-03 05:45:00,688,247,289.0,275.0,0.0003109295346903359,0.0003684499445087533
2021-01-03 06:00:00,673,244,300.0,291.0,0.00029490756422565287,0.0003329403545541873
2021-01-03 06:15:00,705,261,282.0,254.0,0.00031323894399820857,0.0003795767355819013
2021-01-03 06:30:00,694,261,287.0,271.0,0.00030195062715667365,0.0003604937521322308
2021-01-03 06:45:00,714,252,291.0,280.0,0.0003101052620606625,0.0003532999193859311
2021-01-03 07:00:00,645,259,342.5,312.0,0.0002615272706040915,0.00032167080036414624
2021-01-03 07:15:00,644,254,343.0,302.5,0.0002602635370380474,0.00033046281707842245
2021-01-03 07:30:00,680,257,342.0,321.5,0.00026207086858764613,0.00031023360469720234
2021-01-03 07:45:00,670,241,356.5,339.5,0.00024805370399714485,0.00028949018496140534
2021-01-03 08:00:00,767,261,330.0,344.5,0.0002652606124995504,0.0002850462135269172
2021-01-03 08:15:00,810,281,335.0,319.0,0.0002726327233316392,0.00031555235137035065
2021-01-03 08:30:00,740,243,384.5,402.5,0.00024049609795081075,0.0002566851698294575
2021-01-03 08:45:00,726,268,390.0,366.5,0.00023525393653393183,0.00028074233301068923
2021-01-03 09:00:00,785,297,395.5,390.5,0.0002352759937263731,0.0002717985652330284
2021-01-03 09:15:00,780,251,445.0,429.5,0.00021977155029105644,0.00023980402947201075
2021-01-03 09:30:00,748,257,472.5,419.0,0.00020806508097709364,0.00024355849384185568
2021-01-03 09:45:00,770,274,453.0,394.0,0.00021244485400624086,0.0002535844251037475
2021-01-03 10:00:00,759,273,513.5,454.0,0.00018938458244816624,0.00022622409609800723
2021-01-03 10:15:00,867,327,446.0,364.5,0.00021796981356918656,0.00027317816479410133
2021-01-03 10:30:00,857,302,450.0,422.5,0.0002159395107319669,0.0002430972847965187
2021-01-03 10:45:00,925,291,406.0,427.5,0.0002400260733187536,0.00024375431910037066
2021-01-03 11:00:00,940,329,387.5,393.0,0.00024472819029230957,0.00026087611556256863
2021-01-03 11:15:00,986,311,356.5,396.0,0.00026035663578034243,0.0002556161582288677
2021-01-03 11:30:00,992,330,350.0,366.5,0.0002660007352560646,0.00026917878447017867
2021-01-03 11:45:00,991,300,362.0,431.0,0.00025973808127207184,0.00023394056506004086
2021-01-03 12:00:00,971,318,370.0,430.5,0.0002526044796581853,0.00023049842021601616
2021-01-03 12:15:00,990,336,362.5,398.5,0.00025835207908183244,0.00025475099227786056
2021-01-03 12:30:00,924,303,386.5,430.0,0.0002438494002993753,0.00023436865493276407
2021-01-03 12:45:00,984,307,352.5,420.5,0.00026764331088919316,0.00024221098391308808
2021-01-03 13:00:00,890,312,389.0,423.0,0.00024175828354878345,0.00023768983761670228
2021-01-03 13:15:00,912,317,386.0,420.0,0.00024599608995688597,0.0002446353852351355
2021-01-03 13:30:00,946,344,376.5,387.0,0.00025358129974623105,0.0002655156870372772
2021-01-03 13:45:00,918,354,393.0,376.5,0.00024426431207932257,0.00027623878267655095
2021-01-03 14:00:00,893,318,402.5,420.0,0.00023654332067089303,0.00024277292486407003
2021-01-03 14:15:00,896,330,403.5,398.5,0.0002401041451729688,0.00025820444628056496
2021-01-03 14:30:00,857,282,432.5,469.5,0.00022843397978106054,0.00021921829244497584
2021-01-03 14:45:00,948,355,372.0,363.5,0.00025892223347192595,0.0002849569995874144
2021-01-03 15:00:00,949,323,370.0,409.0,0.00026003512255216935,0.0002531766616580014
2021-01-03 15:15:00,905,310,386.5,417.0,0.0002501055003035811,0.0002466469932538069
2021-01-03 15:30:00,968,344,360.0,376.0,0.00026800113512877484,0.00026985831653909847
2021-01-03 15:45:00,849,301,411.0,423.5,0.00023672097121958145,0.0002408071278909856
2021-01-03 16:00:00,846,283,426.0,479.0,0.00023403395982140386,0.00021689048027063028
2021-01-03 16:15:00,826,345,440.0,392.0,0.00022865589916994586,0.0002673262263300061
2021-01-03 16:30:00,821,313,418.0,391.5,0.00023558025051276723,0.0002577364155205081
2021-01-03 16:45:00,764,298,448.0,419.5,0.00022081977897789922,0.00024683156892937224
2021-01-03 17:00:00,848,346,394.0,361.0,0.00024596143220325463,0.0002843323039298669
2021-01-03 17:15:00,898,385,369.5,322.5,0.0002622716404039684,0.00032253038068637816
2021-01-03 17:30:00,788,316,428.0,401.0,0.00023177581748772076,0.00026576843663399236
2021-01-03 17:45:00,797,316,426.0,392.5,0.00023456775226113598,0.00027061467211093144
2021-01-03 18:00:00,720,306,454.5,402.0,0.0002145385633067544,0.00025976914502843455
2021-01-03 18:15:00,769,310,433.5,388.5,0.0002282006099989258,0.00026824220020905585
2021-01-03 18:30:00,706,298,461.0,402.0,0.0002110179463888881,0.0002619374936273596
2021-01-03 18:45:00,760,316,435.5,375.5,0.0002286126819877271,0.0002777304151718149
2021-01-03 19:00:00,664,330,490.5,369.0,0.000197066381988845,0.000277587578881137
2021-01-03 19:15:00,614,285,532.0,420.5,0.0001835970672312127,0.0002499807032439601
2021-01-03 19:30:00,577,270,568.5,463.0,0.000174189888714699,0.0002347393350095461
2021-01-03 19:45:00,611,296,525.5,409.0,0.00018495652613502312,0.00025977855633333097
2021-01-03 20:00:00,543,262,579.0,443.5,0.00016695034902769102,0.00023580066024184867
2021-01-03 20:15:00,558,266,557.5,435.0,0.00017099234395569644,0.0002441043298234924
2021-01-03 20:30:00,606,278,526.0,412.5,0.00018349801725244728,0.00025337268205009487
2021-01-03 20:45:00,559,276,538.0,402.5,0.00017255935779519148,0.00025826639617316567
2021-01-03 21:00:00,562,295,553.0,375.0,0.00017284585471352492,0.0002738952735888822
2021-01-03 21:15:00,525,262,590.5,418.0,0.00016235453034081464,0.00024572951183300147
2021-01-03 21:30:00,504,265,598.0,402.0,0.00016006072144829543,0.0002578849541159412
2021-01-03 21:45:00,523,281,592.5,387.0,0.00016374498237471552,0.00027696571736092083
2021-01-03 22:00:00,594,326,548.0,328.5,0.00018074774795608987,0.00031112629628003664
2021-01-03 22:15:00,503,264,636.5,416.0,0.00015567593531680358,0.00025477067743909145
2021-01-03 22:30:00,478,253,665.0,451.0,0.00014764711351437506,0.00023741623570458663
2021-01-03 22:45:00,486,250,666.0,480.0,0.00014852715158846118,0.00022794911446328013
2021-01-03 23:00:00,466,249,710.5,485.0,0.00013992998095931308,0.0002269009791369561
2021-01-03 23:15:00,520,295,618.5,392.5,0.0001600286574395784,0.0002730621841272192
2021-01-03 23:30:00,481,283,644.0,389.0,0.00015249300703845583,0.0002774403723779189
2021-01-03 23:45:00,596,341,488.0,294.0,0.00019642299229995504,0.00035873552565274616
2021-01-04 00:00:00,509,275,564.0,355.0,0.00017345368088134917,0.0002961667407980993
2021-01-04 00:15:00,571,278,467.5,331.0,0.0002033655394066143,0.0003203861229014997
2021-01-04 00:30:00,541,255,476.0,342.5,0.00019972009653014943,0.0003011208781865674
2021-01-04 00:45:00,506,256,480.0,334.0,0.00019321354602606317,0.00031853513654083284
2021-01-04 01:00:00,558,263,436.0,318.5,0.0002130874655308112,0.00032626872633621307
2021-01-04 01:15:00,467,220,504.0,369.5,0.00018834442427908846,0.000288864408359736
2021-01-04 01:30:00,490,222,455.5,347.0,0.00020458256597474616,0.0003027707616184871
2021-01-04 01:45:00,476,215,454.0,344.5,0.00020388154482245814,0.00030431533296343687
2021-01-04 02:00:00,522,239,417.0,311.0,0.00022373368662111128,0.0003318002035226353
2021-01-04 02:15:00,508,231,444.5,320.5,0.000218034921640481,0.00032481639436928665
2021-01-04 02:30:00,534,236,411.5,298.5,0.00023144165178259917,0.0003420770746032413
2021-01-04 02:45:00,448,222,497.0,313.0,0.00019280260972103871,0.0003278117238466786
2021-01-04 03:00:00,537,279,429.5,274.0,0.00022463073969187524,0.0003665799926158439
2021-01-04 03:15:00,547,247,390.0,284.5,0.00023957886677882046,0.00035671424300760655
2021-01-04 03:30:00,542,265,391.5,262.0,0.0002390958823013023,0.0003824108333381435
2021-01-04 03:45:00,525,236,391.0,292.0,0.00023655084536513535,0.0003472201787889666
2021-01-04 04:00:00,557,249,371.0,290.0,0.00024386687933142823,0.00034657799466353403
2021-01-04 04:15:00,517,235,385.5,285.0,0.00023567778789272597,0.0003512012577488448
2021-01-04 04:30:00,525,221,373.5,301.0,0.0002403589726920159,0.00032855320629276026
2021-01-04 04:45:00,535,213,356.0,296.0,0.0002491750443042544,0.00032240877194044667
2021-01-04 05:00:00,525,189,384.0,384.0,0.0002327928400903857,0.00026403765260747664
2021-01-04 05:15:00,506,221,403.5,318.0,0.00022269146845218867,0.0003149179930746541
2021-01-04 05:30:00,460,192,454.0,383.5,0.0002015621946442296,0.000263648984333483
2021-01-04 05:45:00,507,210,411.5,339.0,0.00021913616265349255,0.0002923638732922817
2021-01-04 06:00:00,542,245,414.5,326.0,0.00022149082120786874,0.00030575582215244617
2021-01-04 06:15:00,510,201,441.5,382.5,0.00020942537373189857,0.0002675572818842422
2021-01-04 06:30:00,517,234,438.5,357.0,0.0002032077742499196,0.00028808438656492615
2021-01-04 06:45:00,627,299,360.0,260.0,0.0002455067757129192,0.0003797707911806808
2021-01-04 07:00:00,543,242,455.5,357.5,0.00019824804225494552,0.00026845190883728154
2021-01-04 07:15:00,631,270,386.0,300.0,0.00022908234911423912,0.0003177535997363822
2021-01-04 07:30:00,657,323,394.5,268.0,0.00022499029151481817,0.0003528581510232886
2021-01-04 07:45:00,724,360,364.5,246.5,0.00024545393212791947,0.0003964487006393837
2021-01-04 08:00:00,750,397,373.0,251.0,0.00023570585417915908,0.0003916608788988509
2021-01-04 08:15:00,809,424,357.5,232.5,0.0002504053998423282,0.00043087460431179465
2021-01-04 08:30:00,795,403,384.0,257.0,0.00023487334417985332,0.0003772991373612279
2021-01-04 08:45:00,808,405,387.0,259.0,0.00023546142279313198,0.0003818740871559244
2021-01-04 09:00:00,803,428,422.0,288.0,0.0002180002508496037,0.0003527900915440831
2021-01-04 09:15:00,832,409,410.0,277.0,0.0002245087454521463,0.00035436659354065077
2021-01-04 09:30:00,858,453,403.5,254.5,0.00022590843230869726,0.00038321793087696003
2021-01-04 09:45:00,839,439,434.5,273.5,0.00021701843570317984,0.00036470911747870516
2021-01-04 10:00:00,820,406,555.0,331.0,0.00017688123438942217,0.0002930737152579518
2021-01-04 10:15:00,856,424,494.5,307.0,0.00020090741618276382,0.00032131995813746583
2021-01-04 10:30:00,940,422,428.5,322.0,0.0002202746919142081,0.00031035436290574055
2021-01-04 10:45:00,998,478,405.0,272.0,0.00023640544338930552,0.00036201589840531237
2021-01-04 11:00:00,968,447,415.5,314.0,0.00022514130640568882,0.00031358210379216873
2021-01-04 11:15:00,1005,462,385.0,286.0,0.00024126182092899483,0.00034618514461097634
2021-01-04 11:30:00,924,396,411.0,327.5,0.0002242919873872168,0.00029556495823652214
2021-01-04 11:45:00,990,430,386.5,309.0,0.00023958988020747997,0.00031900600695729844
2021-01-04 12:00:00,1030,453,363.0,312.0,0.0002484279695161998,0.0003169383614356678
2021-01-04 12:15:00,902,414,412.0,325.5,0.00022419947489599702,0.00030882316740677313
2021-01-04 12:30:00,936,408,393.0,325.5,0.00023311555956700278,0.0003024191306784195
2021-01-04 12:45:00,904,428,423.0,316.0,0.0002265211685786072,0.00031875667024399036
2021-01-04 13:00:00,970,456,380.5,313.0,0.00024315566926216543,0.00032119484482274064
2021-01-04 13:15:00,869,359,446.0,392.5,0.0002168653892321967,0.00026240426629866724
