time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,685,335,432.0,342.5,0.0002211975733495997,0.00029514378347899635
2021-01-02 16:15:00,685,329,422.5,345.0,0.0002268198401466481,0.00029849202554511087
2021-01-02 16:30:00,702,298,413.5,379.5,0.00023488520403895484,0.0002734715190425193
2021-01-02 16:45:00,805,359,365.0,315.0,0.00026540249359654664,0.00032481897449492463
2021-01-02 17:00:00,839,315,341.0,366.0,0.00027823957588196804,0.0002831916326312278
2021-01-02 17:15:00,641,275,458.0,402.5,0.00021815936797086943,0.00025837049953822145
2021-01-02 17:30:00,603,267,469.5,410.0,0.00020388490342178377,0.0002535971376766513
2021-01-02 17:45:00,557,261,552.0,418.0,0.0001863843707503025,0.00024995451019450485
2021-01-02 18:00:00,505,225,587.5,491.0,0.00016916936835172756,0.00020963149578128264
2021-01-02 18:15:00,448,218,661.0,494.5,0.00015076778832740975,0.00020870291140561407
2021-01-02 18:30:00,454,199,642.0,538.5,0.00015643903408889254,0.0001925326362168401
2021-01-02 18:45:00,406,200,712.0,522.0,0.00014000579334317282,0.00019527264454813418
2021-01-02 19:00:00,467,260,650.0,449.0,0.0001564062597335266,0.00023945147193582701
2021-01-02 19:15:00,455,232,664.5,470.0,0.00015400810319558353,0.0002251552795031056
2021-01-02 19:30:00,570,298,519.5,354.0,0.00019712876762357118,0.00029782160485868964
2021-01-02 19:45:00,494,238,586.5,436.5,0.00017338881775501498,0.00024122615864572797
2021-01-02 20:00:00,492,247,592.5,431.5,0.00017143346952770081,0.00024723759532911134
2021-01-02 20:15:00,488,219,588.0,464.5,0.0001722648020649184,0.00022432525728263242
2021-01-02 20:30:00,479,217,601.5,465.0,0.00016942635913365475,0.0002247523839806444
2021-01-02 20:45:00,415,200,679.5,490.5,0.0001462249475263848,0.00020920611509474423
2021-01-02 21:00:00,402,191,700.5,516.5,0.00013993019502161786,0.00019558229765168124
2021-01-02 21:15:00,462,202,612.5,487.0,0.00016132518513112558,0.0002098742728427886
2021-01-02 21:30:00,483,213,593.0,462.0,0.00016684404641373386,0.00022288634679859862
2021-01-02 21:45:00,452,207,614.0,471.5,0.00015691001141416192,0.00021962631696215425
2021-01-02 22:00:00,458,209,637.0,481.5,0.00015499946020930343,0.00021706595377637638
2021-01-02 22:15:00,449,217,648.0,458.0,0.00015432984584545087,0.00023001786083389424
2021-01-02 22:30:00,392,183,731.5,526.0,0.0001338199098081118,0.00019727331625068588
2021-01-02 22:45:00,402,193,706.0,495.5,0.0001397452534412269,0.0002125122359700633
2021-01-02 23:00:00,359,163,774.0,570.5,0.00012627643846978282,0.00018007806328804868
2021-01-02 23:15:00,397,163,691.0,560.5,0.00014109214560993746,0.00018358419418927868
2021-01-02 23:30:00,551,262,494.0,351.0,0.00019653849693350008,0.00029487735015559845
2021-01-02 23:45:00,498,190,538.0,475.5,0.00018266876870245752,0.00022008648240408573
2021-01-03 00:00:00,467,170,580.5,527.5,0.0001706234625163636,0.00019743130261689384
2021-01-03 00:15:00,398,168,666.5,507.5,0.00014822820738094537,0.0002016712302785344
2021-01-03 00:30:00,401,184,658.5,466.0,0.00015272123727814955,0.00022565445925097443
2021-01-03 00:45:00,353,146,754.5,572.0,0.00013294341619386388,0.00017324708950822745
2021-01-03 01:00:00,386,178,645.0,492.0,0.0001506425529307587,0.00020999679106027143
2021-01-03 01:15:00,418,197,579.5,431.0,0.00016950898357060538,0.00025097363757623165
2021-01-03 01:30:00,396,166,600.5,492.5,0.00016585394047602593,0.0002157253374607049
2021-01-03 01:45:00,377,171,603.5,456.5,0.00016389180880042498,0.00023295606257935488
2021-01-03 02:00:00,367,148,614.5,502.5,0.00015881602007919164,0.00020461291522250963
2021-01-03 02:15:00,309,125,699.0,559.0,0.00013906290503758748,0.00018105551017097438
2021-01-03 02:30:00,313,128,672.0,534.0,0.00014536922389554223,0.0001917634597723708
2021-01-03 02:45:00,296,123,697.5,550.0,0.00013902875264906135,0.00018829134028225327
2021-01-03 03:00:00,289,126,743.5,610.5,0.0001298284153520978,0.0001730574303443843
2021-01-03 03:15:00,311,140,693.5,490.0,0.00014352903278507705,0.00021222024823705607
2021-01-03 03:30:00,321,135,644.0,506.5,0.0001493622094067482,0.0002074204273782673
2021-01-03 03:45:00,276,109,726.0,590.0,0.00013108400775105436,0.00017150013845882738
2021-01-03 04:00:00,287,96,722.5,704.0,0.00013309311648893867,0.00014295819217452813
2021-01-03 04:15:00,287,123,685.0,544.5,0.00013687771907350477,0.00019239883809872408
2021-01-03 04:30:00,271,107,752.0,637.5,0.00012571106772301074,0.00016143340796485282
2021-01-03 04:45:00,278,112,757.0,613.5,0.00012574497110579586,0.00016693147164996856
2021-01-03 05:00:00,258,85,825.0,815.0,0.00011463589329797688,0.00012075475986850516
2021-01-03 05:15:00,288,121,742.0,570.5,0.0001288429190079095,0.0001776991919826824
2021-01-03 05:30:00,308,132,668.0,567.5,0.00013783227423252482,0.0001901746004532495
2021-01-03 05:45:00,308,133,650.0,513.5,0.00013919519866951083,0.00019839612396625175
2021-01-03 06:00:00,314,134,678.5,583.0,0.00013759431674124074,0.00018284429307484061
2021-01-03 06:15:00,291,112,712.0,602.0,0.00012929437262904775,0.00016288350339146724
2021-01-03 06:30:00,333,151,634.0,503.5,0.0001448840905521215,0.00020856151943282318
2021-01-03 06:45:00,313,141,682.5,525.0,0.00013594250283611675,0.00019767971679927098
2021-01-03 07:00:00,331,169,690.5,506.5,0.0001342101187131074,0.00020989330216811088
2021-01-03 07:15:00,358,152,627.5,514.5,0.00014468066189382136,0.0001977572763618906
2021-01-03 07:30:00,384,151,629.5,557.0,0.00014799296108478842,0.00018227733194271423
2021-01-03 07:45:00,350,158,732.5,523.0,0.00012958029313283684,0.0001897902457423321
2021-01-03 08:00:00,426,167,649.5,561.5,0.00014732858008449605,0.00018238589141377458
2021-01-03 08:15:00,386,171,750.5,527.5,0.0001299212730938429,0.00019202651987306035
2021-01-03 08:30:00,434,170,686.0,572.0,0.0001410477115008809,0.0001795739871234888
2021-01-03 08:45:00,462,214,638.5,458.5,0.00014970705052159297,0.00022417484800107265
2021-01-03 09:00:00,492,217,679.0,527.0,0.00014745960371130646,0.0001985868304901251
2021-01-03 09:15:00,420,175,854.0,601.0,0.00011833852707979961,0.0001671940444525971
2021-01-03 09:30:00,515,223,705.0,482.5,0.00014325336457647492,0.00021133674757483972
2021-01-03 09:45:00,487,195,725.5,567.0,0.00013436447259875236,0.00018047066750084218
2021-01-03 10:00:00,566,234,707.5,527.0,0.0001412275015357867,0.00019390636808400618
2021-01-03 10:15:00,600,248,678.0,490.5,0.0001508441616395755,0.00020718099348298816
2021-01-03 10:30:00,589,250,676.0,520.0,0.00014841116898614762,0.0002012394741693036
