time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,2996,1439,97.5,87.0,0.0009674568317597092,0.001267796729630674
2021-01-02 16:15:00,2894,1395,101.0,89.0,0.0009582724341378097,0.0012656424791350446
2021-01-02 16:30:00,2782,1373,101.0,87.5,0.0009308413641543763,0.0012599879048502652
2021-01-02 16:45:00,3018,1472,98.0,83.0,0.0009950120815830784,0.0013318482742521699
2021-01-02 17:00:00,2730,1351,105.0,91.0,0.0009053564268864992,0.0012145774466183774
2021-01-02 17:15:00,2767,1341,99.0,88.0,0.0009417269441113819,0.0012599085086572909
2021-01-02 17:30:00,2822,1327,98.0,85.0,0.0009541678233105699,0.0012603872722730947
2021-01-02 17:45:00,3083,1254,94.0,93.0,0.001031639165212177,0.0012009308650724484
2021-01-02 18:00:00,3319,1278,88.0,90.0,0.0011118279872463046,0.0011907068960376852
2021-01-02 18:15:00,3395,1343,83.0,83.0,0.001142537145918652,0.0012857248165951366
2021-01-02 18:30:00,3059,1354,90.0,84.0,0.0010540682935637053,0.0013099959268221182
2021-01-02 18:45:00,3035,1250,91.0,92.0,0.0010465950315185458,0.0012204540284258387
2021-01-02 19:00:00,3034,1350,95.0,90.0,0.001016138312701327,0.001243305719666794
2021-01-02 19:15:00,3161,1335,92.0,86.0,0.0010699332180247024,0.001295613354037267
2021-01-02 19:30:00,3003,1280,93.0,85.0,0.0010385573494273409,0.001279233738990345
2021-01-02 19:45:00,2826,1207,95.0,87.5,0.0009918963542017657,0.0012233612331319062
2021-01-02 20:00:00,2716,1178,99.0,90.0,0.000946368502514706,0.001179133146954223
2021-01-02 20:15:00,2776,1211,94.0,88.0,0.0009799325625660113,0.0012404469706359265
2021-01-02 20:30:00,2690,1135,97.0,93.0,0.0009514757955522574,0.0011755481834932321
2021-01-02 20:45:00,2670,1129,99.0,91.0,0.0009407725539649336,0.001180968519709831
2021-01-02 21:00:00,2847,1228,91.0,88.0,0.0009909981722053382,0.0012574610550589768
2021-01-02 21:15:00,2712,1115,101.0,95.0,0.0009469997880424515,0.001158464426830244
2021-01-02 21:30:00,2681,1154,101.0,89.0,0.0009261053590791314,0.0012075626488525016
2021-01-02 21:45:00,2549,1111,102.0,90.0,0.0008848752634838466,0.0011787673340335912
2021-01-02 22:00:00,2731,1147,99.0,89.0,0.0009242435061825496,0.0011912662630693958
2021-01-02 22:15:00,2679,1120,101.0,92.0,0.0009208232895767547,0.00118718895914268
2021-01-02 22:30:00,2600,1035,101.0,96.0,0.0008875810344415578,0.0011157261328932234
2021-01-02 22:45:00,2509,1055,104.0,96.0,0.0008721911464777068,0.0011616601499917967
2021-01-02 23:00:00,2484,1031,103.0,96.0,0.0008737344656237898,0.001139021369631768
2021-01-02 23:15:00,2404,993,105.0,97.0,0.0008543715819805782,0.0011183994161346855
2021-01-02 23:30:00,2518,1006,101.0,94.0,0.0008981559623930183,0.0011322389857119546
2021-01-02 23:45:00,2444,1010,100.0,90.0,0.0008964708247164783,0.001169933406463824
2021-01-03 00:00:00,2486,1007,100.0,91.0,0.0009082867833312203,0.0011694901278541886
2021-01-03 00:15:00,2410,953,103.0,97.0,0.0008975627632866291,0.0011440040622347812
2021-01-03 00:30:00,2340,954,103.0,94.0,0.0008911912599273565,0.0011699693158990735
2021-01-03 00:45:00,2356,899,103.0,117.5,0.0008872937352768931,0.0010667748867664144
2021-01-03 01:00:00,2324,937,100.0,116.0,0.0009069774430338943,0.0011054325461992939
2021-01-03 01:15:00,2355,880,95.0,97.0,0.0009550087471501806,0.0011211005130308824
2021-01-03 01:30:00,2274,886,94.0,95.5,0.0009524036884911186,0.0011514014999408704
2021-01-03 01:45:00,2166,839,93.0,93.0,0.0009416171296066856,0.0011429832544098176
2021-01-03 02:00:00,2094,809,97.0,96.0,0.0009061600709695569,0.0011184584352365561
2021-01-03 02:15:00,2088,787,96.0,94.0,0.000939687202972436,0.0011399254920364545
2021-01-03 02:30:00,2057,775,93.0,92.0,0.0009553498196585633,0.0011610678228405262
2021-01-03 02:45:00,1965,705,94.5,100.0,0.0009229442532277216,0.0010792308528373056
2021-01-03 03:00:00,1959,750,106.0,99.0,0.0008800479781133551,0.0010301037520499064
2021-01-03 03:15:00,2172,718,94.0,96.0,0.001002395688775522,0.0010883867016729019
2021-01-03 03:30:00,1999,731,97.0,90.0,0.0009301403632526156,0.0011231432030630619
2021-01-03 03:45:00,1999,731,96.0,90.0,0.000949409172081006,0.0011501523047101176
2021-01-03 04:00:00,1987,780,98.0,87.0,0.0009214495556220248,0.001161535311418041
2021-01-03 04:15:00,2033,765,94.0,89.0,0.0009695902539248614,0.0011966269198823082
2021-01-03 04:30:00,1979,742,101.0,92.0,0.0009180155093130562,0.0011194727916815023
2021-01-03 04:45:00,1922,695,106.0,98.0,0.0008693591167817972,0.001035869399970787
2021-01-03 05:00:00,1987,730,103.5,98.0,0.0008828741084615508,0.0010370702906353974
2021-01-03 05:15:00,2160,796,97.0,91.0,0.0009663218925593213,0.0011689963373406214
2021-01-03 05:30:00,2047,691,101.0,104.0,0.000916047614785644,0.000995535219039359
2021-01-03 05:45:00,2022,767,99.5,92.0,0.0009138074406160744,0.0011441340382113915
2021-01-03 06:00:00,2065,770,104.0,96.5,0.0009048798218810897,0.0010506724303554274
2021-01-03 06:15:00,2081,755,96.0,95.0,0.0009246102729932935,0.0010980093308978374
2021-01-03 06:30:00,2154,798,94.0,96.0,0.0009371781713191284,0.0011021992881284296
2021-01-03 06:45:00,2110,822,97.0,87.0,0.0009164175111316496,0.0011524306894255374
2021-01-03 07:00:00,2266,796,99.0,112.0,0.0009187919305253821,0.000988609872933824
2021-01-03 07:15:00,2385,841,102.0,101.0,0.0009638641860803463,0.0010941701935549342
2021-01-03 07:30:00,2381,851,107.0,106.0,0.0009176334383929197,0.0010272715859817867
2021-01-03 07:45:00,2546,981,103.0,97.0,0.0009426040751891504,0.0011783812093242266
2021-01-03 08:00:00,2845,1010,92.0,98.0,0.000983919742583078,0.001103052397173128
2021-01-03 08:15:00,2820,1048,96.0,88.0,0.000949165777524966,0.0011768642855378205
2021-01-03 08:30:00,2820,1050,98.0,93.0,0.0009164851300287652,0.001109133449880372
2021-01-03 08:45:00,2802,1080,99.0,89.0,0.0009079635401764147,0.0011313497001923295
2021-01-03 09:00:00,2891,1134,104.0,97.5,0.0008664750291247702,0.001037776339980654
2021-01-03 09:15:00,2890,1111,116.0,98.0,0.000814281769668145,0.0010614433336390595
2021-01-03 09:30:00,2933,1122,112.0,101.0,0.0008158487734034968,0.0010633176268115257
2021-01-03 09:45:00,3038,1167,109.0,100.0,0.0008381915148973505,0.0010800475331973476
2021-01-03 10:00:00,3049,1243,146.0,103.0,0.0007607820709940171,0.0010300239979846996
2021-01-03 10:15:00,3213,1280,117.0,104.0,0.0008077704855799267,0.001069321256686391
2021-01-03 10:30:00,3284,1408,111.0,96.0,0.000827474157810711,0.0011333807185215175
2021-01-03 10:45:00,3311,1433,108.0,87.0,0.0008591635986577223,0.001200343433920382
2021-01-03 11:00:00,3235,1403,111.0,95.0,0.0008422294633995972,0.001112489939617884
2021-01-03 11:15:00,3371,1449,104.0,89.0,0.0008901239545796494,0.0011909575989505765
2021-01-03 11:30:00,3331,1467,103.0,88.0,0.0008931940011471283,0.0011966220509628852
2021-01-03 11:45:00,3453,1541,102.0,90.0,0.0009050207816674713,0.0012016747025250765
2021-01-03 12:00:00,3496,1688,103.0,88.0,0.0009094801862873489,0.0012235262054233814
2021-01-03 12:15:00,3502,1632,101.0,88.0,0.0009138878595399768,0.0012373619624924655
2021-01-03 12:30:00,3618,1627,97.0,88.0,0.0009548129115618397,0.0012584745926587696
2021-01-03 12:45:00,3428,1537,101.0,94.0,0.0009323996643578804,0.0012126328412847439
2021-01-03 13:00:00,3491,1636,99.0,86.0,0.000948290076257082,0.0012463479946824515
2021-01-03 13:15:00,3257,1542,108.5,93.0,0.0008785189309096245,0.0011899929464750125
2021-01-03 13:30:00,3376,1573,101.0,93.0,0.0009049582113565287,0.0012141167898535956
2021-01-03 13:45:00,3528,1663,99.0,85.0,0.0009387412777950436,0.0012976980101443618
2021-01-03 14:00:00,3389,1583,104.0,91.0,0.000897699119544968,0.001208520566225858
2021-01-03 14:15:00,3378,1540,104.0,92.0,0.0009052140651721973,0.0012049540826426365
2021-01-03 14:30:00,3376,1639,109.0,89.0,0.0008998752809111556,0.0012741091536075011
2021-01-03 14:45:00,3480,1513,100.0,89.0,0.0009504740216058039,0.0012144787052838252
