time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,79,35,3363.5,2708.0,2.551037707243559e-05,3.083591767691007e-05
2021-01-02 16:15:00,73,20,3514.0,4266.0,2.417204135869389e-05,1.8145411887240782e-05
2021-01-02 16:30:00,82,29,3196.5,3099.5,2.743673323531951e-05,2.6613000175278728e-05
2021-01-02 16:45:00,96,30,2802.0,3052.0,3.165048370840805e-05,2.714364689372629e-05
2021-01-02 17:00:00,78,37,3311.0,2518.5,2.5867326482471407e-05,3.3263779070969625e-05
2021-01-02 17:15:00,99,35,2648.5,2579.0,3.369388054464286e-05,3.288351812304637e-05
2021-01-02 17:30:00,82,32,3142.5,2742.0,2.7725641924687013e-05,3.039366444064735e-05
2021-01-02 17:45:00,63,21,3870.0,3900.5,2.1081176583965993e-05,2.011128242944292e-05
2021-01-02 18:00:00,61,25,4029.0,3456.5,2.0434319741495807e-05,2.3292388420142512e-05
2021-01-02 18:15:00,60,29,4036.5,2965.5,2.0192114508135235e-05,2.7763231333774353e-05
2021-01-02 18:30:00,71,28,3468.5,3025.0,2.446513528702945e-05,2.709001916618856e-05
2021-01-02 18:45:00,71,31,3473.0,2771.5,2.448377174227899e-05,3.0267259904960804e-05
2021-01-02 19:00:00,63,14,3923.0,5550.0,2.1099773797028212e-05,1.2893540796544533e-05
2021-01-02 19:15:00,60,26,4102.0,3212.5,2.030876086095607e-05,2.5232919254658388e-05
2021-01-02 19:30:00,78,27,3227.0,3051.5,2.6975515569541322e-05,2.6983836681827586e-05
2021-01-02 19:45:00,62,20,3839.0,3865.0,2.1761349596783248e-05,2.027110576854857e-05
2021-01-02 20:00:00,65,29,3738.5,2876.5,2.264873073028567e-05,2.902789580787136e-05
2021-01-02 20:15:00,125,26,2142.5,3062.5,4.412520544695656e-05,2.663222232579197e-05
2021-01-02 20:30:00,127,25,2095.5,3164.5,4.492097622124041e-05,2.589313179500511e-05
2021-01-02 20:45:00,123,30,2135.0,2681.0,4.333896035119357e-05,3.138091726421164e-05
2021-01-02 21:00:00,126,24,2134.0,3321.5,4.385871784259663e-05,2.4575786092357848e-05
2021-01-02 21:15:00,103,26,2520.5,3068.5,3.596643737771848e-05,2.701352026689358e-05
2021-01-02 21:30:00,79,16,3264.0,4623.5,2.728919185649063e-05,1.6742636379237453e-05
2021-01-02 21:45:00,93,21,2842.0,3636.0,3.2284581994506764e-05,2.2280930706305505e-05
2021-01-02 22:00:00,83,20,3231.0,3915.5,2.8089421828323548e-05,2.0771861605394868e-05
2021-01-02 22:15:00,81,18,3204.5,4117.5,2.784124167813256e-05,1.907982255765021e-05
2021-01-02 22:30:00,119,31,2357.0,2518.5,4.062390119174823e-05,3.341788417361346e-05
2021-01-02 22:45:00,88,20,2999.5,3637.5,3.059100075330339e-05,2.20219933647734e-05
2021-01-02 23:00:00,75,26,3405.0,2933.5,2.638087154661201e-05,2.872410825453537e-05
2021-01-02 23:15:00,71,19,3518.0,3816.5,2.523310412671425e-05,2.139938459875028e-05
2021-01-02 23:30:00,62,11,3973.0,6035.0,2.2115039582353912e-05,1.238034676225795e-05
2021-01-02 23:45:00,67,17,3607.0,4088.5,2.457591868085272e-05,1.9691948425628725e-05
2021-01-03 00:00:00,55,13,4321.0,5102.5,2.0094840339186292e-05,1.5097687847174235e-05
2021-01-03 00:15:00,71,19,3379.0,3625.0,2.64427204121787e-05,2.2808055805310435e-05
2021-01-03 00:30:00,62,12,3701.0,5242.0,2.3612759878417137e-05,1.4716595168541806e-05
2021-01-03 00:45:00,68,16,3368.0,4016.5,2.560949660391712e-05,1.8985982411860543e-05
2021-01-03 01:00:00,60,10,3658.0,6117.0,2.3415940870066118e-05,1.1797572531475924e-05
2021-01-03 01:15:00,44,14,4637.5,4390.5,1.7843050902168983e-05,1.7835689980036767e-05
2021-01-03 01:30:00,33,13,5750.5,4529.0,1.3821161706335495e-05,1.6894152933669656e-05
2021-01-03 01:45:00,38,7,4990.0,7511.0,1.6519598765029575e-05,9.536213088043767e-06
2021-01-03 02:00:00,40,12,4752.0,4746.5,1.730964796503451e-05,1.6590236369392672e-05
2021-01-03 02:15:00,44,18,4272.5,3194.0,1.9801837610530254e-05,2.6071993464620307e-05
2021-01-03 02:30:00,25,3,6779.5,15195.5,1.1610960375043307e-05,4.49445608841494e-06
2021-01-03 02:45:00,23,6,7154.5,7914.0,1.0802909834217606e-05,9.1849434284026e-06
2021-01-03 03:00:00,29,9,6092.5,6038.5,1.3027764862321235e-05,1.2361245024598876e-05
2021-01-03 03:15:00,21,7,7717.0,7064.5,9.691671024072729e-06,1.0611012411852803e-05
2021-01-03 03:30:00,19,8,8435.0,6264.5,8.840753827813756e-06,1.2291580881675095e-05
2021-01-03 03:45:00,17,6,9043.0,7793.5,8.074014970173641e-06,9.440374594063894e-06
2021-01-03 04:00:00,18,5,8904.5,9603.5,8.347303473173852e-06,7.445739175756672e-06
2021-01-03 04:15:00,20,5,7923.0,9300.5,9.538517008606604e-06,7.82109097962293e-06
2021-01-03 04:30:00,12,3,12352.5,15159.5,5.5665417441923584e-06,4.526170316771574e-06
2021-01-03 04:45:00,12,3,12552.0,15201.5,5.427840479386871e-06,4.471378704909872e-06
2021-01-03 05:00:00,23,4,7493.0,12186.0,1.0219478859897166e-05,5.682576934988479e-06
2021-01-03 05:15:00,10,3,14798.0,15375.5,4.4737124655524136e-06,4.4057650904797286e-06
2021-01-03 05:30:00,19,7,8682.0,7161.5,8.502640293564841e-06,1.0085016690702625e-05
2021-01-03 05:45:00,21,3,8029.5,15381.5,9.490581727466647e-06,4.475100540592145e-06
2021-01-03 06:00:00,19,6,8905.5,8608.5,8.325770758227942e-06,8.187057898873462e-06
2021-01-03 06:15:00,23,7,7558.0,7353.5,1.0219142853842264e-05,1.0180218961966704e-05
2021-01-03 06:30:00,23,7,7614.0,7436.0,1.0007009257353736e-05,9.66841480814412e-06
2021-01-03 06:45:00,33,10,5650.0,5657.5,1.4332596145660873e-05,1.401983807087028e-05
2021-01-03 07:00:00,27,8,7019.0,7294.5,1.0947653188078247e-05,9.935777617425367e-06
2021-01-03 07:15:00,38,14,5273.0,4446.5,1.5357165228953107e-05,1.8214485980700447e-05
2021-01-03 07:30:00,31,12,6459.5,5229.5,1.1947348420907395e-05,1.4485615783526957e-05
2021-01-03 07:45:00,55,16,4226.0,4168.5,2.0362617492302925e-05,1.9219265391628568e-05
2021-01-03 08:00:00,40,9,5886.0,7342.0,1.3833669491501975e-05,9.829179776790248e-06
2021-01-03 08:15:00,47,17,5207.5,4247.0,1.5819429625416103e-05,1.9090355776853956e-05
2021-01-03 08:30:00,48,10,5150.0,6877.0,1.5599746894106642e-05,1.05631757131464e-05
2021-01-03 08:45:00,68,15,3884.5,5000.0,2.2034803972875158e-05,1.571319028044902e-05
2021-01-03 09:00:00,71,11,3949.5,6898.0,2.127973955996496e-05,1.00666135271492e-05
2021-01-03 09:15:00,70,17,4160.5,4786.5,1.9723087846633272e-05,1.624170717539515e-05
2021-01-03 09:30:00,74,23,4035.0,3722.0,2.0583978599338143e-05,2.1797063651216654e-05
2021-01-03 09:45:00,71,25,4121.0,3490.5,1.9589070953822213e-05,2.313726506421054e-05
2021-01-03 10:00:00,77,27,4107.5,3600.0,1.9212928654161794e-05,2.237381170200072e-05
2021-01-03 10:15:00,64,24,4838.0,3925.5,1.6090043908221385e-05,2.0049773562869824e-05
2021-01-03 10:30:00,59,22,5246.0,4282.5,1.4866314041057232e-05,1.7709073726898714e-05
2021-01-03 10:45:00,79,27,4024.0,3527.0,2.049952409965571e-05,2.2616380122714804e-05
2021-01-03 11:00:00,82,28,3929.0,3602.5,2.134862936592488e-05,2.2202222601069676e-05
2021-01-03 11:15:00,83,33,3818.0,3010.5,2.1916430800982173e-05,2.712325794711458e-05
2021-01-03 11:30:00,67,25,4554.5,3894.5,1.7965775465883393e-05,2.039233215683172e-05
2021-01-03 11:45:00,69,31,4565.0,3387.0,1.808468981611802e-05,2.4173858389537555e-05
2021-01-03 12:00:00,58,24,5296.0,4409.5,1.5088630092867913e-05,1.7396107186114426e-05
2021-01-03 12:15:00,84,29,3873.5,3638.0,2.192078246754941e-05,2.1987436833505818e-05
2021-01-03 12:30:00,95,38,3425.0,2844.5,2.507109635112625e-05,2.939276860542915e-05
