time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,298,178,1021.0,631.0,9.622901731121271e-05,0.0001568226670425712
2021-01-02 16:15:00,295,180,1010.0,623.0,9.76815369974616e-05,0.00016330870698516705
2021-01-02 16:30:00,300,186,979.5,588.0,0.00010037829232433964,0.00017069027698627043
2021-01-02 16:45:00,275,169,1084.0,655.0,9.066544812304391e-05,0.00015290921083465812
2021-01-02 17:00:00,290,185,1017.0,590.0,9.617339333226548e-05,0.00016631889535484809
2021-01-02 17:15:00,269,171,1075.5,616.5,9.155205925766596e-05,0.00016065947425831224
2021-01-02 17:30:00,541,193,537.0,542.0,0.00018292161318604483,0.0001833117886576543
2021-01-02 17:45:00,506,165,609.5,629.5,0.00016931865637280619,0.00015801721908848007
2021-01-02 18:00:00,407,173,737.0,615.5,0.0001363404612260458,0.00016118332786738615
2021-01-02 18:15:00,416,182,717.0,579.5,0.00013999866058973765,0.00017423821043954942
2021-01-02 18:30:00,368,170,802.0,625.5,0.0001268052082482653,0.00016447511636614486
2021-01-02 18:45:00,387,170,753.0,610.5,0.00013345379808819675,0.00016598174786591408
2021-01-02 19:00:00,478,177,636.0,633.5,0.00016009034722189657,0.000163011194356313
2021-01-02 19:15:00,383,149,788.5,692.0,0.00012963759016243622,0.00014460403726708075
2021-01-02 19:30:00,369,154,806.5,654.5,0.0001276149390405224,0.00015390780922227586
2021-01-02 19:45:00,325,155,895.0,639.5,0.00011407159062829929,0.00015710106970625142
2021-01-02 20:00:00,339,158,860.5,649.0,0.00011812184180872065,0.0001581519840566785
2021-01-02 20:15:00,325,151,872.5,653.0,0.00011472553416208706,0.00015467175273825343
2021-01-02 20:30:00,330,148,873.0,659.5,0.00011672379648038845,0.00015328734022643025
2021-01-02 20:45:00,316,138,905.0,694.5,0.00011134236968274121,0.0001443522194153735
2021-01-02 21:00:00,310,162,919.5,616.5,0.00010790636929527744,0.0001658865561234155
2021-01-02 21:15:00,300,139,943.5,690.0,0.00010475661372151012,0.00014441843527300798
2021-01-02 21:30:00,344,155,826.0,617.0,0.00011882888605864275,0.00016219428992386286
2021-01-02 21:45:00,276,141,1053.5,657.5,9.581230785466523e-05,0.00014960053474233698
2021-01-02 22:00:00,287,142,1029.5,688.0,9.71284827075766e-05,0.00014748021739830356
2021-01-02 22:15:00,300,164,970.0,593.5,0.00010311570991900949,0.00017383838330303528
2021-01-02 22:30:00,249,118,1177.0,762.0,8.500295291382612e-05,0.00012720355911246409
2021-01-02 22:45:00,312,158,909.5,591.5,0.00010845900267080294,0.00017397374758170984
2021-01-02 23:00:00,280,127,1015.5,718.5,9.84885871073515e-05,0.00014030622108946123
2021-01-02 23:15:00,280,150,1002.5,611.0,9.951083317577452e-05,0.00016894250999013375
2021-01-02 23:30:00,265,113,1065.0,765.5,9.452395950522236e-05,0.00012717992583046803
2021-01-02 23:45:00,277,150,974.0,594.0,0.0001016049175312866,0.00017375248610848877
2021-01-03 00:00:00,249,125,1098.0,687.0,9.097482262649794e-05,0.0001451700754535984
2021-01-03 00:15:00,244,124,1101.5,671.5,9.087357437424792e-05,0.0001488525747293944
2021-01-03 00:30:00,235,121,1107.0,665.5,8.949997695851656e-05,0.00014839233461612987
2021-01-03 00:45:00,213,110,1227.5,740.0,8.021798200932864e-05,0.00013052862908154123
2021-01-03 01:00:00,227,102,1078.0,801.0,8.859030962508347e-05,0.00012033523982105442
2021-01-03 01:15:00,259,118,926.0,672.5,0.00010503068599231288,0.00015032938697459561
2021-01-03 01:30:00,252,139,929.5,572.0,0.00010554341666656196,0.00018063748136769864
2021-01-03 01:45:00,221,93,1025.0,781.5,9.607450860714567e-05,0.00012669540245543865
2021-01-03 02:00:00,195,100,1174.0,734.0,8.438453382954324e-05,0.0001382519697449389
2021-01-03 02:15:00,203,97,1060.0,710.0,9.13584780667646e-05,0.00014049907589267608
2021-01-03 02:30:00,227,103,926.0,646.0,0.00010542752020539324,0.00015430965903557962
2021-01-03 02:45:00,206,98,1007.5,681.0,9.675649677603596e-05,0.00015002074266390913
2021-01-03 03:00:00,212,102,1026.5,725.0,9.523745347627936e-05,0.00014009411027878727
2021-01-03 03:15:00,203,84,1044.0,775.5,9.368615323270304e-05,0.00012733214894223365
2021-01-03 03:30:00,216,92,961.0,701.0,0.00010050541193725113,0.0001413531801392636
2021-01-03 03:45:00,223,108,916.0,596.5,0.00010591207872639538,0.00016992674269315008
2021-01-03 04:00:00,186,87,1122.5,779.0,8.625546922279649e-05,0.00012955586165816613
2021-01-03 04:15:00,230,102,884.5,629.0,0.00010969294559897594,0.00015955025598430775
2021-01-03 04:30:00,207,107,1000.5,637.5,9.602284508731817e-05,0.00016143340796485282
2021-01-03 04:45:00,202,87,1056.0,804.0,9.1368648069679e-05,0.0001296699824423863
2021-01-03 05:00:00,207,92,1021.0,749.0,9.197530973907448e-05,0.000130699269504735
2021-01-03 05:15:00,220,128,972.5,545.5,9.842167424215313e-05,0.00018797931052713508
2021-01-03 05:30:00,221,106,953.0,670.5,9.889913183567529e-05,0.00015271596703063972
2021-01-03 05:45:00,207,95,1017.5,691.5,9.355001988502838e-05,0.00014171151711875126
2021-01-03 06:00:00,223,87,968.0,816.5,9.771825679393848e-05,0.00011871233953366519
2021-01-03 06:15:00,212,121,1001.0,568.5,9.419383847889393e-05,0.00017597235634256729
2021-01-03 06:30:00,231,116,953.0,647.5,0.00010050517993255276,0.00016021944539210256
2021-01-03 06:45:00,212,106,1034.5,658.5,9.207607220848804e-05,0.00014861028355122498
2021-01-03 07:00:00,248,121,949.0,682.0,0.00010055622187568168,0.0001502786364635587
2021-01-03 07:15:00,204,88,1144.0,838.0,8.244372912385352e-05,0.0001144910547358314
2021-01-03 07:30:00,242,129,1051.5,644.5,9.326639735030936e-05,0.00015572036967291482
2021-01-03 07:45:00,248,124,1033.5,652.5,9.181689341983868e-05,0.00014894930678512142
2021-01-03 08:00:00,271,151,1017.5,624.0,9.372311080492587e-05,0.00016491179403281417
