time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,79,18,3363.5,4817.5,2.551037707243559e-05,1.5858471948125176e-05
2021-01-02 16:15:00,83,25,3152.0,3502.5,2.7483279900980724e-05,2.2681764859050974e-05
2021-01-02 16:30:00,103,24,2585.5,3615.5,3.4463213698023285e-05,2.2024551869196186e-05
2021-01-02 16:45:00,89,33,3007.0,2802.5,2.934263593800329e-05,2.985801158309892e-05
2021-01-02 17:00:00,101,23,2655.0,3791.5,3.349487147089246e-05,2.0677484287359494e-05
2021-01-02 17:15:00,75,26,3363.5,3326.5,2.552566707927489e-05,2.44277563199773e-05
2021-01-02 17:30:00,74,31,3442.0,2817.0,2.502070124910779e-05,2.9443862426877118e-05
2021-01-02 17:45:00,260,24,1157.5,3467.5,8.700168114017711e-05,2.298432277650619e-05
2021-01-02 18:00:00,306,19,966.0,4375.0,0.00010250658755570028,1.770221519930831e-05
2021-01-02 18:15:00,185,15,1527.5,5126.0,6.225901973341697e-05,1.436029206919363e-05
2021-01-02 18:30:00,150,25,1812.0,3347.0,5.16869055359777e-05,2.418751711266836e-05
2021-01-02 18:45:00,144,16,1899.5,4787.5,4.965722719560809e-05,1.5621811563850738e-05
2021-01-02 19:00:00,156,28,1810.0,3183.5,5.2247058925974624e-05,2.5787081593089065e-05
2021-01-02 19:15:00,141,17,1988.0,4624.0,4.772558802324676e-05,1.6498447204968946e-05
2021-01-02 19:30:00,158,22,1771.0,3621.5,5.464271102548114e-05,2.198682988889655e-05
2021-01-02 19:45:00,155,26,1743.5,3125.5,5.440337399195813e-05,2.635243749911314e-05
2021-01-02 20:00:00,154,24,1789.5,3391.5,5.3660069730215286e-05,2.4023086185824577e-05
2021-01-02 20:15:00,143,19,1884.5,4007.0,5.0479235031318296e-05,1.9462008622694136e-05
2021-01-02 20:30:00,121,19,2190.0,3999.5,4.279872537614243e-05,1.9678780164203883e-05
2021-01-02 20:45:00,119,11,2211.5,6204.0,4.1929563266601904e-05,1.1506336330210933e-05
2021-01-02 21:00:00,115,21,2321.5,3734.5,4.0029782157925497e-05,2.150381283081312e-05
2021-01-02 21:15:00,103,15,2520.5,4921.0,3.596643737771848e-05,1.558472323090014e-05
2021-01-02 21:30:00,118,19,2281.0,4006.5,4.076107138058094e-05,1.9881880700344478e-05
2021-01-02 21:45:00,128,21,2128.5,3636.0,4.443469349781576e-05,2.2280930706305505e-05
2021-01-02 22:00:00,97,20,2823.5,3915.5,3.2827396594546804e-05,2.0771861605394868e-05
2021-01-02 22:15:00,97,17,2735.0,4317.5,3.3340746207146396e-05,1.8019832415558532e-05
2021-01-02 22:30:00,133,15,2147.0,4709.0,4.540318368489508e-05,1.6169943954974252e-05
2021-01-02 22:45:00,108,16,2509.0,4394.5,3.754350092450871e-05,1.761759469181872e-05
2021-01-02 23:00:00,123,24,2196.5,3111.0,4.3264629336443694e-05,2.651456146572496e-05
2021-01-02 23:15:00,93,10,2772.5,6470.5,3.3051812447667965e-05,1.126283399934225e-05
2021-01-02 23:30:00,108,17,2440.5,4190.0,3.852297217571327e-05,1.9133263178035013e-05
2021-01-02 23:45:00,96,18,2613.5,3896.0,3.521325661734121e-05,2.0850298333018647e-05
2021-01-03 00:00:00,93,19,2660.0,3737.5,3.397854820989681e-05,2.206585146894696e-05
2021-01-03 00:15:00,85,18,2849.5,3781.5,3.16567779582421e-05,2.160763181555725e-05
2021-01-03 00:30:00,68,13,3405.0,4912.5,2.5897865673102666e-05,1.5942978099253626e-05
2021-01-03 00:45:00,78,17,3014.5,3817.5,2.9375599045669642e-05,2.0172606312601826e-05
2021-01-03 01:00:00,68,16,3301.0,4126.5,2.6538066319408264e-05,1.887611605036148e-05
2021-01-03 01:15:00,64,17,3356.5,3721.0,2.595352858497307e-05,2.1657623547187506e-05
2021-01-03 01:30:00,61,10,3391.0,5696.0,2.554820800262016e-05,1.2995502256668969e-05
2021-01-03 01:45:00,59,13,3419.0,4485.5,2.5648850714124866e-05,1.7710110020652712e-05
2021-01-03 02:00:00,51,8,3907.5,6661.0,2.2069801155419002e-05,1.1060157579595115e-05
2021-01-03 02:15:00,52,9,3686.5,5754.0,2.340217172153576e-05,1.3035996732310154e-05
2021-01-03 02:30:00,39,9,4609.0,5669.0,1.8113098185067567e-05,1.348336826524482e-05
2021-01-03 02:45:00,46,11,3987.5,4728.5,2.160581966843521e-05,1.6839062952071435e-05
2021-01-03 03:00:00,36,12,5080.5,4761.0,1.617239776012291e-05,1.6481660032798504e-05
2021-01-03 03:15:00,51,14,3660.0,3899.5,2.353691534417662e-05,2.122202482370561e-05
2021-01-03 03:30:00,50,14,3697.5,3808.5,2.3265141652141465e-05,2.1510266542931423e-05
2021-01-03 03:45:00,39,15,4535.0,3557.0,1.8522740225692465e-05,2.3600936485159728e-05
2021-01-03 04:00:00,48,10,3908.0,5293.0,2.2259475928463612e-05,1.4891478351513345e-05
2021-01-03 04:15:00,58,12,3241.0,4372.0,2.766169932495915e-05,1.877061835109503e-05
2021-01-03 04:30:00,40,12,4513.0,4481.0,1.8555139147307854e-05,1.810468126708629e-05
2021-01-03 04:45:00,39,11,4685.0,4867.0,1.764048155800733e-05,1.6395055251336195e-05
2021-01-03 05:00:00,61,18,3300.5,3326.0,2.710383523711857e-05,2.5571596207448154e-05
2021-01-03 05:15:00,78,23,2635.5,2620.5,3.4894957231308834e-05,3.3777532360344594e-05
2021-01-03 05:30:00,68,20,3014.5,2952.5,3.0430502103284706e-05,2.8814333402007488e-05
2021-01-03 05:45:00,43,9,4343.5,5739.0,1.9433095918145996e-05,1.3425301621776435e-05
2021-01-03 06:00:00,46,13,4198.0,4454.5,2.015712920413081e-05,1.7738625447559167e-05
2021-01-03 06:15:00,60,17,3319.0,3435.5,2.665863353176243e-05,2.472338890763342e-05
2021-01-03 06:30:00,59,14,3460.0,4120.0,2.567015418190741e-05,1.933682961628824e-05
2021-01-03 06:45:00,52,16,3875.5,3744.5,2.258469695679895e-05,2.243174091339245e-05
2021-01-03 07:00:00,72,13,3027.0,4806.0,2.919374183487533e-05,1.614563862831622e-05
2021-01-03 07:15:00,57,16,3737.0,3953.5,2.3035747843429654e-05,2.08165554065148e-05
2021-01-03 07:30:00,65,25,3529.5,2793.5,2.5050891850289707e-05,3.0178366215681157e-05
