time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,545,115,572.0,957.5,0.00017598931018325816,0.00010131801522413308
2021-01-02 16:15:00,555,138,539.5,778.5,0.00018377373909691928,0.0001252033420219614
2021-01-02 16:30:00,586,117,513.5,892.0,0.00019607226434021014,0.0001073696903623314
2021-01-02 16:45:00,585,145,523.0,751.5,0.0001928701350981116,0.00013119429331967706
2021-01-02 17:00:00,575,139,524.0,782.5,0.0001906886247105264,0.0001249639267801291
2021-01-02 17:15:00,594,159,494.0,662.5,0.0002021632832678572,0.0001493851251875535
2021-01-02 17:30:00,501,128,583.0,801.0,0.00016939690980814868,0.0001215746577625894
2021-01-02 17:45:00,527,121,577.5,841.0,0.00017634571523412822,0.00011587929399821872
2021-01-02 18:00:00,532,125,550.5,839.5,0.00017821406725370111,0.00011646194210071255
2021-01-02 18:15:00,520,129,575.0,797.0,0.00017499832573717204,0.00012349851179506522
2021-01-02 18:30:00,452,102,646.0,963.0,0.00015574987534841282,9.868506981968688e-05
2021-01-02 18:45:00,497,114,580.0,874.5,0.00017138640219595294,0.00011130540739243652
2021-01-02 19:00:00,445,113,684.0,935.5,0.0001490380847567866,0.00010406929357210943
2021-01-02 19:15:00,514,153,583.5,674.5,0.00017397838470885698,0.00014848602484472052
2021-01-02 19:30:00,452,117,653.0,815.5,0.00015631965432605997,0.00011692995895458621
2021-01-02 19:45:00,435,117,653.0,820.0,0.0001526804366871083,0.00011858596874600913
2021-01-02 20:00:00,435,111,670.0,867.0,0.00015157227488729643,0.00011110677360943868
2021-01-02 20:15:00,456,133,631.5,732.0,0.00016096874947049754,0.00013623406035885894
2021-01-02 20:30:00,418,107,686.5,869.5,0.00014785014220849204,0.00011082260408262187
2021-01-02 20:45:00,397,94,712.5,983.0,0.00013988266064572232,9.832687409452978e-05
2021-01-02 21:00:00,408,103,689.5,892.0,0.0001420187053950748,0.00010547108197970244
2021-01-02 21:15:00,402,136,702.5,703.0,0.00014037386238682358,0.00014130149062682796
2021-01-02 21:30:00,438,101,644.5,892.0,0.0001512995700397835,0.00010568789214393644
2021-01-02 21:45:00,418,97,665.0,922.0,0.00014510704595380457,0.0001029166799291254
2021-01-02 22:00:00,388,92,772.5,995.5,0.00013130958637818722,9.555056338481641e-05
2021-01-02 22:15:00,438,137,668.5,691.5,0.00015054893648175382,0.00014521864946655995
2021-01-02 22:30:00,498,81,580.0,1067.0,0.00017000590582765224,8.731769735686095e-05
2021-01-02 22:45:00,551,113,515.0,786.0,0.00019154137971670647,0.0001244242625109697
2021-01-02 23:00:00,483,109,579.0,821.5,0.00016989281276018133,0.00012042029999016753
2021-01-02 23:15:00,447,121,616.5,738.0,0.0001588619372484686,0.00013628029139204124
2021-01-02 23:30:00,465,103,581.5,845.0,0.00016586279686765432,0.00011592506513750625
2021-01-02 23:45:00,464,122,573.0,704.5,0.00017019740698381584,0.00014131868870157085
2021-01-03 00:00:00,387,106,708.5,796.0,0.00014139460384118353,0.00012310422398465146
2021-01-03 00:15:00,462,130,566.5,646.5,0.00017206389902009236,0.00015605511866791352
2021-01-03 00:30:00,486,107,535.5,743.5,0.0001850935693695279,0.00013122297358616442
2021-01-03 00:45:00,569,102,460.5,784.5,0.00021429122893571828,0.00012103563787561096
2021-01-03 01:00:00,384,112,649.0,734.0,0.00014986202156842314,0.00013213281235253038
2021-01-03 01:15:00,404,155,602.5,533.5,0.0001638316491926425,0.00019746656763612136
2021-01-03 01:30:00,381,134,627.0,590.0,0.00015957159424587344,0.00017413973023936414
2021-01-03 01:45:00,389,104,576.5,716.0,0.00016910852419990802,0.00014168088016522167
2021-01-03 02:00:00,354,87,643.5,832.5,0.00015319038449055546,0.00012027921367809687
2021-01-03 02:15:00,378,134,572.5,529.5,0.00017011578674500994,0.00019409150690328448
2021-01-03 02:30:00,338,99,622.5,672.0,0.00015698018427058553,0.00014831705091769302
2021-01-03 02:45:00,355,87,582.5,757.5,0.00016674056483248915,0.00013318167971183772
2021-01-03 03:00:00,336,115,633.5,654.5,0.0001509423790944805,0.00015794924198098565
2021-01-03 03:15:00,346,105,619.0,640.0,0.00015968181782519825,0.00015916518617779205
2021-01-03 03:30:00,321,90,644.0,715.5,0.0001493622094067482,0.00013828028491884485
2021-01-03 03:45:00,359,94,564.0,668.5,0.00017050419848778448,0.00014789920197366766
2021-01-03 04:00:00,320,71,636.0,952.5,0.0001483965061897574,0.00010572949629574477
2021-01-03 04:15:00,320,76,613.0,838.0,0.00015261627213770566,0.00011888058289026854
2021-01-03 04:30:00,340,95,599.0,699.0,0.00015771868275211683,0.0001433287266977665
2021-01-03 04:45:00,359,111,578.5,618.5,0.00016238289434165724,0.00016544101208166526
2021-01-03 05:00:00,423,101,504.0,686.5,0.00018794954598854352,0.0001434850676084591
2021-01-03 05:15:00,358,105,582.5,665.0,0.00016015890626677642,0.00015420177816679052
2021-01-03 05:30:00,348,83,589.0,840.5,0.0001557325695873982,0.0001195794836183311
2021-01-03 05:45:00,334,79,603.0,837.0,0.00015094544271304096,0.00011784431423559316
2021-01-03 06:00:00,357,86,582.0,824.0,0.00015643685056249346,0.00011734782988385294
2021-01-03 06:15:00,363,93,556.5,727.0,0.0001612847328671627,0.00013525148049470047
2021-01-03 06:30:00,367,93,559.0,772.5,0.00015967706075864442,0.00012845179673677187
2021-01-03 06:45:00,368,95,578.5,734.0,0.00015983016307888486,0.00013318846167326766
2021-01-03 07:00:00,390,108,586.5,742.0,0.00015813276827224138,0.00013413299783524246
2021-01-03 07:15:00,407,92,564.5,801.0,0.00016448332232062932,0.00011969519358746013
2021-01-03 07:30:00,480,121,518.5,683.5,0.0001849912013559855,0.00014606329248389682
2021-01-03 07:45:00,492,123,527.0,658.0,0.00018215286920387352,0.00014774810269814462
2021-01-03 08:00:00,455,114,611.0,799.0,0.00015735799046583498,0.00012450294383934316
2021-01-03 08:15:00,479,110,606.0,811.0,0.00016122354873562367,0.0001235258314972903
2021-01-03 08:30:00,472,117,636.5,823.0,0.00015339751112538198,0.00012358915584381288
2021-01-03 08:45:00,461,110,641.0,855.0,0.00014938300928669774,0.00011523006205662617
2021-01-03 09:00:00,455,111,732.0,931.0,0.0001363701619687895,0.00010158128195577828
2021-01-03 09:15:00,678,134,516.5,769.0,0.0001910321937145337,0.00012802286832370294
2021-01-03 09:30:00,648,149,556.0,701.5,0.00018024889368069077,0.0001412070645230992
2021-01-03 09:45:00,657,135,544.0,791.0,0.00018126788192480558,0.0001249412313467369
2021-01-03 10:00:00,661,156,595.0,777.0,0.00016493176416105125,0.00012927091205600414
2021-01-03 10:15:00,934,127,411.0,906.5,0.00023481407828560585,0.00010609671843685282
2021-01-03 10:30:00,778,165,493.5,763.5,0.00019603376820241569,0.00013281805295174037
2021-01-03 10:45:00,665,138,561.5,849.5,0.00017255928514267152,0.00011559483173832012
2021-01-03 11:00:00,705,160,524.0,783.0,0.00018354614271923216,0.00012686984343468382
2021-01-03 11:15:00,675,190,538.0,635.0,0.00017823603362244537,0.00015616421242278092
2021-01-03 11:30:00,650,172,542.5,712.0,0.00017429483660931654,0.0001402992452390022
2021-01-03 11:45:00,597,147,624.0,880.5,0.00015647188145249938,0.00011463087687942002
2021-01-03 12:00:00,565,166,655.5,830.5,0.0001469840690081099,0.00012032307470395813
2021-01-03 12:15:00,640,195,569.5,675.5,0.00016701548546704315,0.0001478465580184012
2021-01-03 12:30:00,598,149,609.0,853.0,0.00015781595387340518,0.00011525059268970903
2021-01-03 12:45:00,574,148,620.0,844.5,0.00015612526468536273,0.0001167662072284594
2021-01-03 13:00:00,540,152,660.5,848.0,0.00014668480125431803,0.00011579761319788059
2021-01-03 13:15:00,521,155,692.5,825.0,0.00014053066103896666,0.00011961667101402524
2021-01-03 13:30:00,541,153,665.5,818.0,0.0001450184811445148,0.00011809273289739363
2021-01-03 13:45:00,560,152,661.5,830.5,0.0001490065520309593,0.00011861100273117438
2021-01-03 14:00:00,597,169,617.5,762.0,0.00015813702400954441,0.00012902083113845234
2021-01-03 14:15:00,628,174,586.0,712.5,0.00016828728032212544,0.00013614416258429788
2021-01-03 14:30:00,567,128,655.0,984.5,0.00015113426666961652,9.95033384147408e-05
