time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,102,50,2709.0,1978.0,3.2937448878334554e-05,4.4051310967014375e-05
2021-01-02 16:15:00,101,35,2659.5,2610.5,3.344350927709702e-05,3.1754470802671365e-05
2021-01-02 16:30:00,89,25,2959.0,3502.5,2.9778893389554103e-05,2.294224153041269e-05
2021-01-02 16:45:00,74,32,3516.5,2881.5,2.4397247858564534e-05,2.8953223353308046e-05
2021-01-02 17:00:00,77,35,3344.0,2653.0,2.553569409167049e-05,3.146573695902532e-05
2021-01-02 17:15:00,95,45,2755.5,2077.0,3.23325116337482e-05,4.2278809015345334e-05
2021-01-02 17:30:00,91,36,2885.5,2479.5,3.076870018471364e-05,3.4192872495728275e-05
2021-01-02 17:45:00,102,42,2606.5,2140.0,3.413142875499256e-05,4.022256485888584e-05
2021-01-02 18:00:00,63,22,3910.0,3858.5,2.1104297437938293e-05,2.049730180972541e-05
2021-01-02 18:15:00,74,25,3411.5,3348.0,2.490360789336679e-05,2.3933820115322722e-05
2021-01-02 18:30:00,92,40,2788.0,2234.0,3.1701302062066325e-05,3.870002738026937e-05
2021-01-02 18:45:00,91,47,2834.0,1910.0,3.138060885278012e-05,4.588907146881154e-05
2021-01-02 19:00:00,79,40,3273.0,2349.0,2.645844650738459e-05,3.6838687990127225e-05
2021-01-02 19:15:00,101,42,2637.5,2131.0,3.418641411594272e-05,4.07608695652174e-05
2021-01-02 19:30:00,126,55,2162.5,1633.5,4.357583284310521e-05,5.496707472224138e-05
2021-01-02 19:45:00,103,41,2509.0,2079.0,3.615191949143024e-05,4.155576682552457e-05
2021-01-02 20:00:00,117,47,2267.0,1874.0,4.076771531451421e-05,4.70452104472398e-05
2021-01-02 20:15:00,116,45,2285.0,1918.5,4.094819065477569e-05,4.609423094848611e-05
2021-01-02 20:30:00,108,62,2397.5,1414.0,3.8200515211763504e-05,6.421496685161268e-05
2021-01-02 20:45:00,75,35,3312.0,2345.0,2.642619533609364e-05,3.661107014158024e-05
2021-01-02 21:00:00,79,36,3225.0,2371.5,2.7498719917183606e-05,3.686367913853678e-05
2021-01-02 21:15:00,92,38,2805.0,2179.5,3.212536154126311e-05,3.9481298851613693e-05
2021-01-02 21:30:00,82,44,3156.5,1927.0,2.8325490281420647e-05,4.6042250042903006e-05
2021-01-02 21:45:00,54,23,4507.0,3368.5,1.8745886319391026e-05,2.4402924106906023e-05
2021-01-02 22:00:00,90,37,3007.5,2295.0,3.045840921143517e-05,3.8427943969980514e-05
2021-01-02 22:15:00,80,25,3240.5,3116.0,2.7497522645069195e-05,2.6499753552291965e-05
2021-01-02 22:30:00,72,25,3618.0,3044.5,2.4579167107612368e-05,2.694990659162375e-05
2021-01-02 22:45:00,66,22,3838.5,3356.5,2.2943250564977546e-05,2.422419270125074e-05
2021-01-02 23:00:00,58,25,4229.5,3014.0,2.0401207329379955e-05,2.7619334860130165e-05
2021-01-02 23:15:00,58,26,4217.5,2923.5,2.061295830069615e-05,2.928336839828985e-05
2021-01-02 23:30:00,55,26,4364.5,2903.5,1.961818027466879e-05,2.926263780170061e-05
2021-01-02 23:45:00,60,25,3990.5,2946.5,2.2008285385838252e-05,2.895874768474812e-05
2021-01-03 00:00:00,57,24,4205.5,3080.5,2.082556180606579e-05,2.7872654487090893e-05
2021-01-03 00:15:00,87,23,2785.5,3083.5,3.2401643321965445e-05,2.7609751764323162e-05
2021-01-03 00:30:00,56,18,4038.5,3696.5,2.132765408373161e-05,2.2074892752812708e-05
2021-01-03 00:45:00,51,14,4295.0,4486.0,1.9207122452937846e-05,1.6612734610377977e-05
2021-01-03 01:00:00,55,18,3935.5,3745.5,2.1464612464227273e-05,2.1235630556656666e-05
2021-01-03 01:15:00,63,22,3405.0,2955.0,2.5548004700832866e-05,2.8027512825772063e-05
2021-01-03 01:30:00,38,16,5119.5,3799.0,1.5915277116386332e-05,2.0792803610670345e-05
2021-01-03 01:45:00,48,15,4094.0,3989.5,2.0866861597932086e-05,2.043474233152236e-05
2021-01-03 02:00:00,41,16,4653.0,3761.5,1.7742389164160377e-05,2.212031515919023e-05
2021-01-03 02:15:00,51,20,3744.5,2933.0,2.295212995766007e-05,2.896888162735589e-05
2021-01-03 02:30:00,43,21,4257.5,2734.5,1.997085184507449e-05,3.146119261890458e-05
2021-01-03 02:45:00,41,11,4388.5,4728.5,1.9257361008822688e-05,1.6839062952071435e-05
2021-01-03 03:00:00,48,11,3969.0,5100.5,2.1563197013497215e-05,1.5108188363398626e-05
2021-01-03 03:15:00,41,5,4406.0,9438.5,1.8921833904141985e-05,7.579294579894859e-06
2021-01-03 03:30:00,34,13,5204.0,4061.0,1.5820296323456194e-05,1.9973818932722033e-05
2021-01-03 03:45:00,49,17,3690.0,3177.5,2.327216079638284e-05,2.674772801651436e-05
2021-01-03 04:00:00,62,14,3193.5,3980.5,2.875182307426549e-05,2.0848069692118685e-05
2021-01-03 04:15:00,41,16,4358.5,3365.5,1.9553959867643536e-05,2.502749113479337e-05
2021-01-03 04:30:00,46,14,3990.5,3908.5,2.133841001940404e-05,2.1122128144934007e-05
2021-01-03 04:45:00,52,15,3678.5,3723.0,2.3520642077343108e-05,2.2356893524549358e-05
2021-01-03 05:00:00,47,15,4120.0,3878.5,2.0883282887615947e-05,2.1309663506206797e-05
2021-01-03 05:15:00,40,12,4694.5,4559.0,1.7894849862209658e-05,1.7623060361918918e-05
