time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,1128,376,261.0,298.5,0.0003642494346545233,0.0003312658584719481
2021-01-02 16:15:00,1089,393,265.0,285.0,0.00036059387725503617,0.0003565573435842814
2021-01-02 16:30:00,1139,381,251.0,292.5,0.0003811029165247429,0.0003496397609234895
2021-01-02 16:45:00,1172,391,247.0,295.0,0.0003863996552734816,0.0003537721978482326
2021-01-02 17:00:00,1112,351,257.5,322.5,0.000368775218570618,0.0003155563906462253
2021-01-02 17:15:00,1095,395,254.0,265.5,0.00037267473935741343,0.00037111399024580897
2021-01-02 17:30:00,1143,407,245.5,267.0,0.0003864683990233812,0.00038656941960448345
2021-01-02 17:45:00,1152,356,254.5,306.0,0.00038548437182109237,0.0003409341211848418
2021-01-02 18:00:00,1163,391,249.0,287.5,0.00038959203048130527,0.0003642929548910289
2021-01-02 18:15:00,1103,381,276.5,283.0,0.00037119837170788614,0.0003647514185575183
2021-01-02 18:30:00,1158,391,251.0,267.0,0.0003990229107377479,0.0003782927676421331
2021-01-02 18:45:00,1140,389,251.0,264.0,0.00039311971529856413,0.00037980529364612113
2021-01-02 19:00:00,985,380,299.0,303.0,0.00032989328873131413,0.0003499675359062087
2021-01-02 19:15:00,1023,355,278.0,300.0,0.000346264372679301,0.000344526397515528
2021-01-02 19:30:00,992,369,284.0,282.5,0.00034307322365365376,0.0003687791013183103
2021-01-02 19:45:00,992,382,278.0,264.0,0.00034818159354853197,0.0003871781201792777
2021-01-02 20:00:00,1067,357,259.0,285.5,0.0003717876259879202,0.00035734340701414064
2021-01-02 20:15:00,1016,372,266.5,281.5,0.0003586496698728629,0.0003810456425074852
2021-01-02 20:30:00,993,337,269.0,299.0,0.0003512325148637144,0.0003490394165966689
2021-01-02 20:45:00,944,332,276.5,295.5,0.000332617711963632,0.0003472821510572754
2021-01-02 21:00:00,937,323,278.5,314.5,0.00032615570332153216,0.00033074912115964945
2021-01-02 21:15:00,899,338,291.0,292.0,0.00031392065245212534,0.0003511757634696165
2021-01-02 21:30:00,981,352,276.0,279.0,0.00033886958495211783,0.00036833800034322405
2021-01-02 21:45:00,937,339,282.0,290.0,0.0003252758422457294,0.00035967788140178883
2021-01-02 22:00:00,896,309,304.0,321.0,0.0003032303850382879,0.0003209252618033507
2021-01-02 22:15:00,977,350,286.0,286.0,0.0003358134953029076,0.0003709965497320875
2021-01-02 22:30:00,958,352,292.0,277.0,0.00032703947345962014,0.0003794546848100624
2021-01-02 22:45:00,971,340,284.0,278.5,0.00033754388331201814,0.0003743738872011478
2021-01-02 23:00:00,1061,310,255.0,303.5,0.00037320139614607117,0.0003424797522656141
2021-01-02 23:15:00,949,309,278.5,298.0,0.0003372706452993215,0.00034802157057967553
2021-01-02 23:30:00,1012,362,258.0,248.0,0.0003609745170539058,0.0004074259570852162
2021-01-02 23:45:00,913,291,271.0,303.5,0.0003348927426211721,0.00033707982305046817
2021-01-03 00:00:00,899,325,281.0,267.5,0.0003284592993623359,0.0003774421961793559
2021-01-03 00:15:00,898,322,277.0,262.0,0.00033444454831178127,0.00038653652470052417
2021-01-03 00:30:00,946,302,257.0,277.0,0.0003602850136287518,0.0003703676450749688
2021-01-03 00:45:00,966,323,278.0,275.5,0.00036380549587329325,0.00038327951993943465
2021-01-03 01:00:00,902,295,277.0,294.0,0.00035201964441332724,0.0003480283896785397
2021-01-03 01:15:00,925,294,269.0,280.5,0.00037510959282968887,0.00037454948958077214
2021-01-03 01:30:00,862,251,264.5,321.5,0.00036102549669276353,0.00032618710664239107
2021-01-03 01:45:00,828,253,255.5,313.5,0.00035995336256432864,0.0003446659873250105
2021-01-03 02:00:00,893,248,244.5,297.5,0.00038643789081939546,0.00034286488496744857
2021-01-03 02:15:00,859,230,243.0,309.5,0.0003865858751692157,0.00033314213871459285
2021-01-03 02:30:00,775,220,252.0,306.5,0.00035993977162634256,0.00032959344648376233
2021-01-03 02:45:00,729,236,261.0,279.0,0.00034240527257150584,0.0003612744415171689
2021-01-03 03:00:00,743,215,272.0,344.5,0.00033378032043809234,0.0002952964089209732
2021-01-03 03:15:00,667,205,293.5,330.0,0.00030782593205030994,0.00031075107777568927
2021-01-03 03:30:00,731,217,265.0,300.5,0.00034013637095430823,0.000333409131415437
2021-01-03 03:45:00,766,217,251.5,298.0,0.0003638056157148828,0.00034142688115197737
2021-01-03 04:00:00,694,203,274.5,342.5,0.00032183492279903636,0.0003022970105357209
2021-01-03 04:15:00,720,224,260.5,287.0,0.00034338661230983776,0.00035038487588710717
2021-01-03 04:30:00,820,214,251.0,315.0,0.0003803803525198111,0.00032286681592970563
2021-01-03 04:45:00,808,211,261.0,324.5,0.000365474592278716,0.00031448696891199436
2021-01-03 05:00:00,736,217,279.0,327.5,0.0003270233235167093,0.000308279798723125
2021-01-03 05:15:00,807,215,254.0,321.0,0.0003610285959700798,0.00031574649815104726
2021-01-03 05:30:00,753,220,274.0,325.5,0.00033697306005549087,0.00031695766742208237
2021-01-03 05:45:00,766,208,265.0,320.5,0.00034618026682092627,0.00031027363748105537
2021-01-03 06:00:00,821,210,254.0,343.0,0.0003597609364476391,0.00028654702646057115
2021-01-03 06:15:00,755,236,267.0,278.0,0.0003354544719413439,0.00034321881071773454
2021-01-03 06:30:00,792,222,266.5,317.5,0.00034458918834018087,0.00030662686962971346
2021-01-03 06:45:00,773,250,271.0,281.0,0.00033573020668472284,0.00035049595177175704
2021-01-03 07:00:00,881,248,266.5,323.0,0.00035721786884062727,0.00030800910614018636
2021-01-03 07:15:00,846,222,272.0,346.5,0.00034189899430774544,0.00028882970626539284
2021-01-03 07:30:00,975,267,259.0,309.0,0.0003757633777543456,0.0003223049511834748
2021-01-03 07:45:00,1079,297,243.0,286.0,0.0003994775322580884,0.00035675761383210534
2021-01-03 08:00:00,1095,316,258.0,285.5,0.0003786967023298666,0.00034511342327396875
2021-01-03 08:15:00,1097,305,265.0,291.5,0.00036923221912939284,0.0003425034418788504
2021-01-03 08:30:00,1155,290,261.0,322.5,0.00037536890963944114,0.0003063320956812456
2021-01-03 08:45:00,1131,334,257.0,282.0,0.0003664906366664971,0.00034988037024466485
2021-01-03 09:00:00,1141,314,277.0,371.0,0.0003419744061678876,0.0002873560588658953
2021-01-03 09:15:00,1240,357,285.0,304.0,0.00034938041328321786,0.0003410758506832982
2021-01-03 09:30:00,1237,349,279.0,306.0,0.0003440862368565038,0.00033074674844672233
2021-01-03 09:45:00,1203,365,295.5,295.0,0.00033191059658377634,0.00033780406993747387
2021-01-03 10:00:00,1165,324,357.5,372.0,0.00029068911535192843,0.00026848574042400857
2021-01-03 10:15:00,1538,364,270.0,321.0,0.0003866638676694451,0.00030408823237019236
2021-01-03 10:30:00,1522,428,265.0,301.5,0.0003835005079743917,0.0003445219797778477
2021-01-03 10:45:00,1444,386,262.0,312.0,0.0003747001620240867,0.0003233304713839968
2021-01-03 11:00:00,1362,413,270.0,314.0,0.00035459552678524013,0.00032748278336577766
2021-01-03 11:15:00,1309,417,273.0,290.5,0.00034564587853597184,0.00034273935042262966
2021-01-03 11:30:00,1326,440,264.0,273.0,0.00035556146668300567,0.00035890504596023824
2021-01-03 11:45:00,1337,465,269.0,274.5,0.00035042362730651873,0.0003626078758430633
2021-01-03 12:00:00,1324,469,271.0,298.0,0.0003444370041889159,0.00033994892792865277
2021-01-03 12:15:00,1337,468,265.0,282.0,0.0003489057876084948,0.0003548317392441629
2021-01-03 12:30:00,1295,475,271.0,271.0,0.0003417586292074578,0.00036740960756786436
2021-01-03 12:45:00,1265,442,273.0,289.0,0.00034407397182401365,0.0003487206999660747
2021-01-03 13:00:00,1230,484,283.0,271.0,0.0003341153806348355,0.00036872397886693564
2021-01-03 13:15:00,1166,438,306.0,295.0,0.0003145081588703169,0.00033801356067189066
2021-01-03 13:30:00,1182,449,307.0,289.0,0.00031684259651167557,0.00034655971941784135
2021-01-03 13:45:00,1176,464,308.0,273.0,0.0003129137592650145,0.0003620756925477955
2021-01-03 14:00:00,1105,447,329.0,291.0,0.00029269918179321026,0.0003412562811768532
2021-01-03 14:15:00,1114,439,330.5,283.0,0.0002985223412083563,0.00034349015732475154
