time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,262,129,1144.0,855.0,8.460403535415345e-05,0.00011365238229489709
2021-01-02 16:15:00,244,104,1195.5,1022.5,8.079422043179875e-05,9.435614181365206e-05
2021-01-02 16:30:00,259,115,1128.5,917.0,8.66599257066799e-05,0.0001055343110398984
2021-01-02 16:45:00,292,135,1028.0,808.0,9.627022127974116e-05,0.00012214641102176828
2021-01-02 17:00:00,255,100,1160.5,1071.0,8.456625965423343e-05,8.99021055972152e-05
2021-01-02 17:15:00,242,105,1176.0,978.0,8.2362819109127e-05,9.86505543691391e-05
2021-01-02 17:30:00,267,122,1102.5,836.0,9.027739504745649e-05,0.000115875845679968
2021-01-02 17:45:00,254,101,1181.0,1003.5,8.499395003694225e-05,9.672569168446356e-05
2021-01-02 18:00:00,273,109,1074.0,958.5,9.145195556439926e-05,0.00010155481351182137
2021-01-02 18:15:00,300,140,986.5,735.0,0.00010096057254067616,0.00013402939264580725
2021-01-02 18:30:00,288,115,1005.5,868.0,9.92388586290772e-05,0.00011126257871827444
2021-01-02 18:45:00,272,113,1070.5,880.5,9.37969847028153e-05,0.00011032904416969585
2021-01-02 19:00:00,268,119,1133.0,889.0,8.975776789846923e-05,0.00010959509677062852
2021-01-02 19:15:00,340,149,893.5,692.0,0.0001150829782120844,0.00014460403726708075
2021-01-02 19:30:00,291,123,1029.0,782.5,0.00010063942347098108,0.00012292636710610345
2021-01-02 19:45:00,277,116,1027.5,828.0,9.722409416627356e-05,0.00011757241345758171
2021-01-02 20:00:00,260,107,1108.0,883.5,9.059492292114267e-05,0.00010710292591180124
2021-01-02 20:15:00,229,96,1221.5,970.5,8.083737637882441e-05,9.833435935677036e-05
2021-01-02 20:30:00,228,87,1227.0,1056.5,8.064553211372293e-05,9.010809864661778e-05
2021-01-02 20:45:00,231,123,1196.5,765.5,8.13926816351684e-05,0.0001286617607832677
2021-01-02 21:00:00,242,97,1165.5,961.5,8.423658506276497e-05,9.9327135456613e-05
2021-01-02 21:15:00,247,110,1147.5,849.0,8.624961196404333e-05,0.00011428797035993437
2021-01-02 21:30:00,231,89,1237.5,1010.5,7.979497871961184e-05,9.313091485950836e-05
2021-01-02 21:45:00,250,81,1153.0,1092.0,8.678651073792142e-05,8.594073272432123e-05
2021-01-02 22:00:00,250,77,1183.0,1184.5,8.460669225398658e-05,7.997166718077024e-05
2021-01-02 22:15:00,255,86,1129.5,1041.5,8.764835343115806e-05,9.115915221988436e-05
2021-01-02 22:30:00,319,112,915.5,796.5,0.00010889936537956038,0.00012073558153047438
2021-01-02 22:45:00,294,88,966.5,988.0,0.00010220175251671816,9.689677080500296e-05
2021-01-02 23:00:00,301,81,939.0,1075.5,0.00010587523114040285,8.948664494682173e-05
2021-01-02 23:15:00,310,79,886.0,1085.5,0.0001101727081588932,8.897638859480378e-05
2021-01-02 23:30:00,317,95,862.5,909.0,0.00011307205721945468,0.00010692117658313684
2021-01-02 23:45:00,350,77,762.0,1067.0,0.00012838166475072317,8.919294286902421e-05
2021-01-03 00:00:00,321,83,858.0,993.5,0.00011728079543416002,9.639293010118935e-05
2021-01-03 00:15:00,351,106,763.0,778.0,0.0001307238713334468,0.00012724494291383717
2021-01-03 00:30:00,312,83,837.0,956.0,0.00011882550132364751,0.00010178978324908084
2021-01-03 00:45:00,287,71,914.0,1097.5,0.00010808714007829728,8.425029695263116e-05
2021-01-03 01:00:00,269,83,913.5,966.5,0.00010498146823412976,9.791985201125016e-05
