time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,538,160,579.5,690.0,0.00017372889702494106,0.00014096419509444598
2021-01-02 16:15:00,512,150,592.5,729.0,0.0001695354133650859,0.00013609058915430586
2021-01-02 16:30:00,484,145,623.0,739.0,0.00016194364494993466,0.00013306500087639363
2021-01-02 16:45:00,460,127,670.0,852.5,0.00015165856776945525,0.00011490810518344131
2021-01-02 17:00:00,475,172,640.0,643.0,0.00015752538563043483,0.00015463162162721012
2021-01-02 17:15:00,419,137,696.0,771.0,0.00014260339341621577,0.0001287154852244958
2021-01-02 17:30:00,444,144,658.0,728.0,0.00015012420749464675,0.0001367714899829131
2021-01-02 17:45:00,468,156,663.5,659.5,0.00015660302605231884,0.00014939809804729023
2021-01-02 18:00:00,476,135,618.0,776.0,0.00015945469175331154,0.00012577889746876958
2021-01-02 18:15:00,442,127,670.0,809.0,0.00014874857687659622,0.00012158380618583943
2021-01-02 18:30:00,411,134,711.0,762.5,0.0001416221211685789,0.00012964509172390235
2021-01-02 18:45:00,420,148,690.0,689.5,0.00014483357932052357,0.00014450175696561931
2021-01-02 19:00:00,419,147,722.5,740.5,0.00014033024160245748,0.00013538217836371757
2021-01-02 19:15:00,411,138,735.5,740.5,0.00013911501189754907,0.00013392857142857144
2021-01-02 19:30:00,386,144,770.5,685.5,0.00013349421807490962,0.00014391379563641376
2021-01-02 19:45:00,426,162,672.5,609.5,0.00014952153110047846,0.00016419595672524342
2021-01-02 20:00:00,427,133,681.0,734.0,0.00014878473879741512,0.00013312793594644453
2021-01-02 20:15:00,421,133,675.5,732.0,0.00014861369194534967,0.00013623406035885894
2021-01-02 20:30:00,419,126,684.5,766.0,0.00014820385068267504,0.00013050138424682575
2021-01-02 20:45:00,450,129,622.0,732.0,0.00015855717201656184,0.00013493794423611002
2021-01-02 21:00:00,433,140,653.0,696.5,0.00015072083195114555,0.0001433587522054208
2021-01-02 21:15:00,459,153,615.5,631.5,0.0001602776189939105,0.00015896417695518148
2021-01-02 21:30:00,433,148,653.0,645.5,0.00014957240599823348,0.0001548693865079465
2021-01-02 21:45:00,408,130,685.5,702.5,0.00014163558552428773,0.00013792957103903408
2021-01-02 22:00:00,415,108,703.5,867.5,0.00014044710914161773,0.00011216805266913228
2021-01-02 22:15:00,422,125,687.5,750.5,0.00014504943195274,0.00013249876776145979
2021-01-02 22:30:00,429,122,679.5,737.0,0.0001464508706828571,0.00013151554416712392
2021-01-02 22:45:00,422,104,672.0,843.0,0.00014669775361243216,0.00011451436549682167
2021-01-02 23:00:00,402,111,681.5,806.0,0.00014140147148984034,0.00012262984677897793
2021-01-02 23:15:00,396,116,693.5,764.0,0.0001407367497771668,0.00013064887439237011
2021-01-02 23:30:00,395,128,694.5,697.0,0.00014089420379080313,0.0001440622168699107
2021-01-02 23:45:00,406,111,660.5,767.5,0.0001489227311108389,0.00012857683972028163
2021-01-03 00:00:00,400,139,681.5,631.0,0.00014614429337590033,0.00016142912390440143
2021-01-03 00:15:00,409,107,649.5,769.0,0.00015232496688142376,0.00012844536690359034
2021-01-03 00:30:00,369,94,704.5,850.5,0.00014053400637316002,0.00011527999548691082
2021-01-03 00:45:00,399,95,671.0,838.5,0.00015026748742592548,0.00011272927057042197
2021-01-03 01:00:00,373,107,670.0,762.0,0.00014556909907557767,0.00012623402608679242
2021-01-03 01:15:00,383,101,629.5,756.5,0.00015531564762569819,0.0001286717634274081
2021-01-03 01:30:00,372,101,649.0,764.0,0.00015580218650778195,0.00013125457279235657
2021-01-03 01:45:00,335,101,668.5,730.5,0.0001456333049022344,0.00013759393169891724
2021-01-03 02:00:00,297,77,782.5,935.5,0.00012852413614038125,0.000106454016703603
2021-01-03 02:15:00,318,90,682.0,771.5,0.00014311328091246868,0.0001303599673231015
2021-01-03 02:30:00,290,75,725.5,883.0,0.00013468714035050239,0.0001123614022103735
2021-01-03 02:45:00,334,86,618.5,765.5,0.00015687703846211653,0.00013165085580710395
2021-01-03 03:00:00,267,86,807.5,837.5,0.00011994528338757825,0.00011811856356838929
2021-01-03 03:15:00,312,96,691.5,687.0,0.00014399054092908048,0.00014552245593398133
2021-01-03 03:30:00,285,87,726.5,737.5,0.00013261130741720634,0.00013367094208821667
2021-01-03 03:45:00,307,87,661.0,727.5,0.00014580721152019453,0.00013688543161392643
2021-01-03 04:00:00,325,93,623.0,734.5,0.00015071520159897238,0.00013849074866907412
2021-01-03 04:15:00,337,94,581.0,685.5,0.00016072401159502128,0.0001470365104169111
2021-01-03 04:30:00,298,90,678.0,741.5,0.00013823578664744354,0.0001357851095031472
2021-01-03 04:45:00,327,88,644.5,793.0,0.00014790865306329223,0.00013116044201068956
2021-01-03 05:00:00,323,98,660.0,708.0,0.0001435170292063819,0.00013922313490721773
2021-01-03 05:15:00,291,89,728.5,780.5,0.00013018503274757524,0.00013070436435089864
2021-01-03 05:30:00,303,92,680.0,755.0,0.00013559473731316566,0.00013254593364923448
2021-01-03 05:45:00,345,103,582.5,646.0,0.00015591669980838063,0.00015364511856033033
2021-01-03 06:00:00,330,95,634.0,762.5,0.00014460549211659058,0.00012962841673216314
2021-01-03 06:15:00,301,103,681.5,650.5,0.00013373747821767486,0.0001497946504403672
2021-01-03 06:30:00,337,111,626.0,672.0,0.000146624439988183,0.00015331343481485676
2021-01-03 06:45:00,339,113,636.5,632.0,0.00014723485131451622,0.00015842417020083417
2021-01-03 07:00:00,320,73,709.5,1065.5,0.00012974996371055701,9.066397075900649e-05
2021-01-03 07:15:00,315,98,726.5,747.0,0.00012730281702947972,0.00012750140186490314
2021-01-03 07:30:00,341,108,712.5,764.5,0.00013142083262998136,0.00013037054205174262
2021-01-03 07:45:00,373,112,679.0,718.5,0.00013809556953870897,0.00013453485774139994
2021-01-03 08:00:00,358,107,775.5,841.5,0.0001238113419489427,0.00011685802623517295
2021-01-03 08:15:00,407,128,712.0,687.0,0.0001369895288839224,0.00014373914937866508
2021-01-03 08:30:00,430,128,694.5,757.0,0.00013974773259303868,0.00013520864912827392
2021-01-03 08:45:00,433,131,686.5,724.0,0.00014030985470963152,0.00013722852844925477
2021-01-03 09:00:00,436,126,759.5,835.5,0.00013067558377668622,0.00011530848222007263
2021-01-03 09:15:00,457,151,794.5,687.5,0.00012876358779873433,0.0001442645754990981
2021-01-03 09:30:00,461,139,769.5,746.0,0.0001282326234364173,0.00013173008032691804
2021-01-03 09:45:00,506,162,704.0,653.5,0.00013960661834695832,0.00014992947761608428
