time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,209,60,1393.0,1694.0,6.748947858403845e-05,5.286157316041725e-05
2021-01-02 16:15:00,197,65,1464.5,1539.5,6.523139928305063e-05,5.8972588633532546e-05
2021-01-02 16:30:00,216,67,1312.0,1480.0,7.227237047352455e-05,6.148520730150602e-05
2021-01-02 16:45:00,191,71,1528.5,1437.0,6.297127487818685e-05,6.423996431515222e-05
2021-01-02 17:00:00,234,72,1241.0,1406.5,7.760197944741421e-05,6.472951602999494e-05
2021-01-02 17:15:00,190,73,1456.5,1356.5,6.46650232674964e-05,6.858562351378242e-05
2021-01-02 17:30:00,194,70,1484.5,1381.0,6.559481138279611e-05,6.648614096391608e-05
2021-01-02 17:45:00,189,71,1539.0,1348.0,6.324352975189799e-05,6.799528821383081e-05
2021-01-02 18:00:00,185,91,1559.0,1122.5,6.19729369209299e-05,8.478429384931875e-05
2021-01-02 18:15:00,193,74,1476.0,1324.0,6.495130166783501e-05,7.084410754135523e-05
2021-01-02 18:30:00,178,67,1558.0,1423.0,6.133512790269354e-05,6.482254586195118e-05
2021-01-02 18:45:00,151,65,1824.0,1442.5,5.207112018428349e-05,6.346360947814363e-05
2021-01-02 19:00:00,164,57,1736.5,1714.5,5.492639528115281e-05,5.24951303859313e-05
2021-01-02 19:15:00,191,61,1498.0,1529.5,6.464955540737683e-05,5.9200310559006214e-05
2021-01-02 19:30:00,189,73,1484.0,1267.5,6.536374926465782e-05,7.295629917679309e-05
2021-01-02 19:45:00,199,71,1398.0,1285.5,6.984691241548173e-05,7.196242547834742e-05
2021-01-02 20:00:00,155,51,1777.5,1746.5,5.400851174145045e-05,5.1049058144877224e-05
2021-01-02 20:15:00,135,42,1993.5,2039.5,4.7655221882713094e-05,4.302128221858704e-05
2021-01-02 20:30:00,142,53,1894.0,1630.0,5.022660333398533e-05,5.489343940541084e-05
2021-01-02 20:45:00,152,54,1782.0,1598.5,5.3557089214483114e-05,5.6485651075580946e-05
2021-01-02 21:00:00,163,67,1657.5,1357.0,5.673786514558136e-05,6.860740284116567e-05
2021-01-02 21:15:00,139,54,1959.5,1620.5,4.8537231024299686e-05,5.610500363124052e-05
2021-01-02 21:30:00,151,53,1841.5,1623.0,5.2160354054811214e-05,5.545998300622409e-05
2021-01-02 21:45:00,143,56,1933.0,1521.0,4.964188414209104e-05,5.9415815216814673e-05
2021-01-02 22:00:00,160,56,1798.5,1577.0,5.414828304255141e-05,5.8161212495105626e-05
2021-01-02 22:15:00,115,42,2351.0,1937.5,3.9527688802286966e-05,4.45195859678505e-05
2021-01-02 22:30:00,124,50,2287.0,1653.0,4.2330787796443534e-05,5.389981318324751e-05
2021-01-02 22:45:00,127,51,2162.0,1635.0,4.414837608715376e-05,5.6156083080172166e-05
2021-01-02 23:00:00,172,50,1610.0,1641.0,6.050013208023021e-05,5.523866972026033e-05
2021-01-02 23:15:00,144,60,1876.5,1398.0,5.117699991896975e-05,6.757700399605352e-05
2021-01-02 23:30:00,142,42,1892.0,1924.5,5.0650574527326705e-05,4.727041491043945e-05
2021-01-02 23:45:00,148,53,1767.0,1500.5,5.4287103951734363e-05,6.139254509166602e-05
2021-01-03 00:00:00,159,50,1637.5,1602.5,5.809235661692037e-05,5.8068030181439366e-05
2021-01-03 00:15:00,141,52,1842.0,1481.0,5.251300814249572e-05,6.242204746716539e-05
2021-01-03 00:30:00,172,64,1480.5,1213.5,6.55063661143185e-05,7.84885075655563e-05
2021-01-03 00:45:00,158,41,1601.0,1777.5,5.9504418579689794e-05,4.865157993039264e-05
2021-01-03 01:00:00,170,43,1421.5,1729.5,6.634516579852065e-05,5.072956188534647e-05
2021-01-03 01:15:00,158,39,1484.5,1825.0,6.407277369415226e-05,4.968513637295957e-05
2021-01-03 01:30:00,174,50,1322.0,1429.0,7.287521626976898e-05,6.497751128334483e-05
2021-01-03 01:45:00,170,54,1330.0,1320.5,7.390346815934284e-05,7.356507239348051e-05
2021-01-03 02:00:00,161,51,1405.0,1351.0,6.96713330592639e-05,7.050850456991886e-05
2021-01-03 02:15:00,159,45,1346.5,1460.0,7.155664045623434e-05,6.517998366155077e-05
2021-01-03 02:30:00,154,40,1340.0,1567.0,7.152351591026679e-05,5.992608117886587e-05
2021-01-03 02:45:00,153,49,1332.5,1295.0,7.186283498414321e-05,7.501037133195457e-05
2021-01-03 03:00:00,155,45,1405.0,1520.0,6.963115702275142e-05,6.18062251229944e-05
2021-01-03 03:15:00,174,56,1220.0,1163.5,8.030241705660258e-05,8.488809929482244e-05
2021-01-03 03:30:00,156,32,1322.0,1852.5,7.258724195468136e-05,4.916632352670039e-05
2021-01-03 03:45:00,153,46,1332.0,1306.0,7.266613473156274e-05,7.23762052211565e-05
2021-01-03 04:00:00,130,45,1580.0,1439.5,6.028608063958895e-05,6.701165258181004e-05
2021-01-03 04:15:00,168,35,1199.0,1706.0,8.012354287229549e-05,5.47476368573605e-05
2021-01-03 04:30:00,172,53,1198.0,1198.5,7.978709833342379e-05,7.996234226296446e-05
2021-01-03 04:45:00,184,50,1144.5,1294.5,8.32268873505987e-05,7.452297841516454e-05
2021-01-03 05:00:00,191,69,1104.5,1006.0,8.486610705392864e-05,9.802445212855124e-05
2021-01-03 05:15:00,207,52,1028.0,1278.5,9.260584803693496e-05,7.636659490164863e-05
2021-01-03 05:30:00,146,41,1475.0,1609.0,6.533607804528775e-05,5.9069383474115356e-05
2021-01-03 05:45:00,168,51,1243.5,1272.0,7.592465381973318e-05,7.607670919006648e-05
2021-01-03 06:00:00,206,58,1041.0,1205.0,9.026888295762929e-05,7.914155968911013e-05
2021-01-03 06:15:00,184,58,1147.5,1135.0,8.175314283073811e-05,8.435038568486695e-05
2021-01-03 06:30:00,163,41,1314.0,1638.0,7.091923951950692e-05,5.6629286733415565e-05
2021-01-03 06:45:00,199,57,1093.5,1201.5,8.642989796928829e-05,7.99130770039606e-05
2021-01-03 07:00:00,198,55,1188.5,1372.5,8.028279004590717e-05,6.830847111979939e-05
2021-01-03 07:15:00,216,74,1075.5,993.0,8.729336024878609e-05,9.627656875513096e-05
2021-01-03 07:30:00,203,69,1228.0,1147.0,7.823586224013553e-05,8.329229075528e-05
2021-01-03 07:45:00,214,59,1212.5,1332.5,7.922909351550595e-05,7.087104113163035e-05
2021-01-03 08:00:00,227,68,1227.5,1295.0,7.85060743642737e-05,7.426491386908188e-05
2021-01-03 08:15:00,203,55,1396.5,1537.5,6.832647263743549e-05,6.176291574864515e-05
2021-01-03 08:30:00,231,64,1276.0,1419.0,7.507378192788822e-05,6.760432456413696e-05
2021-01-03 08:45:00,233,72,1269.5,1281.5,7.550160773058693e-05,7.54233133461553e-05
2021-01-03 09:00:00,257,69,1294.0,1451.5,7.702666291423936e-05,6.314512121575406e-05
2021-01-03 09:15:00,254,81,1338.5,1238.5,7.156663304349787e-05,7.738695771805924e-05
2021-01-03 09:30:00,259,84,1354.0,1200.0,7.204392509768349e-05,7.960666724792169e-05
2021-01-03 09:45:00,354,119,991.0,888.0,9.766945236131075e-05,0.00011013338170564216
2021-01-03 10:00:00,315,88,1241.0,1316.5,7.859834449429825e-05,7.292205295466899e-05
2021-01-03 10:15:00,562,164,722.0,719.0,0.00014129069806906902,0.0001370067860129438
2021-01-03 10:30:00,1134,446,333.0,291.0,0.0002857355952976085,0.0003590112219180376
2021-01-03 10:45:00,1292,631,292.0,206.0,0.00033525803970576174,0.0005285531799049273
2021-01-03 11:00:00,1168,529,317.0,248.0,0.0003040877938951251,0.0004194634198559233
2021-01-03 11:15:00,822,369,436.0,335.0,0.00021705188094466686,0.00030328733886319034
2021-01-03 11:30:00,695,329,507.0,368.5,0.00018636140222073078,0.0002683630911839054
2021-01-03 11:45:00,653,265,569.5,497.0,0.00017114931086847926,0.0002066474991363694
2021-01-03 12:00:00,647,285,565.0,487.0,0.00016831627017388867,0.00020657877283510883
2021-01-03 12:15:00,557,235,673.0,567.5,0.00014535566469553598,0.0001781740570990989
2021-01-03 12:30:00,547,173,663.5,723.0,0.00014435673372701109,0.00013381444654576958
2021-01-03 12:45:00,486,165,736.5,760.0,0.00013218968403673568,0.00013017854184253918
2021-01-03 13:00:00,450,175,801.0,742.0,0.00012223733437859835,0.0001333196204580862
2021-01-03 13:15:00,491,220,740.5,596.0,0.00013243868439564806,0.00016977850079410038
2021-01-03 13:30:00,421,144,876.5,875.5,0.0001128517200773396,0.00011114610155048811
2021-01-03 13:45:00,460,152,793.5,830.5,0.000122398239168288,0.00011861100273117438
2021-01-03 14:00:00,415,143,893.0,889.0,0.00010992774700830976,0.00010917147250176736
2021-01-03 14:15:00,373,131,980.0,946.5,9.99540693633006e-05,0.00010249934079622428
2021-01-03 14:30:00,390,141,929.5,886.5,0.00010395478659814892,0.00010960914622248792
2021-01-03 14:45:00,382,107,935.0,1107.5,0.00010433364260155663,8.588844776296715e-05
