time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,450,161,689.5,685.0,0.0001453122744632407,0.00014184522131378632
2021-01-02 16:15:00,411,132,740.0,819.5,0.0001360919040879889,0.00011975971845578915
2021-01-02 16:30:00,391,157,747.5,682.0,0.00013082637432938936,0.00014407727681099171
2021-01-02 16:45:00,435,168,696.0,661.0,0.00014341625430372396,0.00015200442260486721
2021-01-02 17:00:00,404,138,746.5,787.5,0.00013397948588356984,0.00012406490572415695
2021-01-02 17:15:00,411,154,711.0,681.5,0.00013988065559442645,0.00014468747974140402
2021-01-02 17:30:00,375,127,791.0,809.5,0.000126794094167776,0.00012062485574881917
2021-01-02 17:45:00,392,127,780.5,804.0,0.00013117176541134397,0.00012162537469234528
2021-01-02 18:00:00,384,145,780.5,719.0,0.0001286357177169572,0.00013509585283682658
2021-01-02 18:15:00,397,134,747.0,762.0,0.0001336044909954948,0.00012828527581812977
2021-01-02 18:30:00,368,129,802.0,789.0,0.0001268052082482653,0.00012480758830136872
2021-01-02 18:45:00,359,123,815.0,806.0,0.00012379822613349517,0.00012009267639710254
2021-01-02 19:00:00,338,115,909.5,921.5,0.00011320196100627837,0.0001059112279716158
2021-01-02 19:15:00,312,104,969.0,954.0,0.00010560555647697156,0.00010093167701863355
2021-01-02 19:30:00,332,125,899.0,774.5,0.00011481886114215025,0.00012492516982327582
2021-01-02 19:45:00,355,123,812.5,782.5,0.00012460127591706538,0.0001246673004765737
2021-01-02 20:00:00,332,117,881.0,832.5,0.00011568274773007451,0.00011711254515589482
2021-01-02 20:15:00,317,112,898.5,842.0,0.00011190152101348184,0.00011472341924956544
2021-01-02 20:30:00,311,103,922.0,900.5,0.00011000333547091154,0.00010667970299542106
2021-01-02 20:45:00,325,124,878.5,759.0,0.00011451351312307244,0.0001297077913587414
2021-01-02 21:00:00,317,114,906.5,824.5,0.00011034296473097724,0.0001167349839386998
2021-01-02 21:15:00,296,111,963.5,838.5,0.00010335985887189,0.00011532695190866104
2021-01-02 21:30:00,289,95,1013.0,950.5,9.98300816015923e-05,9.940940350172241e-05
2021-01-02 21:45:00,345,99,827.5,896.5,0.00011976538481833151,0.00010503867332972594
2021-01-02 22:00:00,347,113,853.5,831.5,0.00011743408884853338,0.000117361018070481
2021-01-02 22:15:00,320,109,899.5,827.0,0.00010999009058027678,0.00011553892548799297
2021-01-02 22:30:00,323,111,902.0,802.0,0.0001102648746633166,0.00011965758526680945
2021-01-02 22:45:00,331,87,851.0,1001.0,0.000115063877833448,9.579567113676429e-05
2021-01-02 23:00:00,328,102,853.0,869.0,0.00011537234489718321,0.00011268688622933108
2021-01-02 23:15:00,297,83,923.5,1035.5,0.00010555256233287512,9.348152219454068e-05
2021-01-02 23:30:00,334,104,818.5,835.0,0.00011913585839526138,0.00011705055120680244
2021-01-02 23:45:00,347,112,772.0,760.5,0.00012728125048143125,0.00012973518962767157
2021-01-03 00:00:00,366,92,743.0,902.5,0.00013372202843894878,0.00010684517553384844
2021-01-03 00:15:00,365,104,727.0,801.0,0.0001359379288795102,0.00012484409493433078
2021-01-03 00:30:00,356,99,725.0,799.0,0.00013558294381800807,0.0001214119101404699
2021-01-03 00:45:00,341,93,778.5,859.5,0.0001284240932637609,0.0001103560227689394
2021-01-03 01:00:00,314,104,784.5,788.5,0.00012254342388667933,0.0001226947543273496
2021-01-03 01:15:00,299,90,803.5,840.5,0.00012125164135792107,0.00011465800701452207
2021-01-03 01:30:00,302,108,783.5,713.0,0.00012648457076707028,0.00014035142437202484
2021-01-03 01:45:00,313,98,725.0,749.0,0.00013606932666984886,0.00013350698323261277
2021-01-03 02:00:00,313,92,733.5,791.5,0.00013544799532639505,0.00012719181216534382
2021-01-03 02:15:00,282,88,766.0,786.0,0.00012691177741294392,0.00012746307916036598
2021-01-03 02:30:00,311,104,679.5,639.5,0.00014444034706553876,0.00015580781106505127
2021-01-03 02:45:00,300,112,687.0,602.0,0.00014090751957675143,0.00017145227733018187
2021-01-03 03:00:00,311,80,682.5,897.0,0.00013971154731661737,0.00010987773355199002
2021-01-03 03:15:00,314,86,684.5,763.5,0.00014491355721708745,0.0001303638667741916
2021-01-03 03:30:00,317,97,660.5,664.5,0.00014750099807457688,0.00014903541819031056
2021-01-03 03:45:00,273,83,732.0,759.5,0.00012965918157984725,0.00013059184855121722
2021-01-03 04:00:00,312,97,654.5,696.5,0.00014468659353501347,0.00014444734000967945
2021-01-03 04:15:00,328,91,599.5,705.0,0.00015643167894114832,0.0001423438558291373
2021-01-03 04:30:00,364,115,566.5,596.5,0.0001688517662405015,0.00017350319547624363
2021-01-03 04:45:00,335,88,622.5,793.0,0.00015152721338288348,0.00013116044201068956
2021-01-03 05:00:00,357,109,583.0,639.0,0.00015862408491231687,0.00015485022147843604
2021-01-03 05:15:00,282,65,759.0,1045.0,0.00012615869152857807,9.54582436270608e-05
2021-01-03 05:30:00,284,91,729.0,764.5,0.00012709209701960083,0.00013110521697913408
2021-01-03 05:45:00,280,83,744.0,793.0,0.0001265410896995553,0.00012381111495638272
2021-01-03 06:00:00,316,104,675.0,706.5,0.00013847071366315946,0.0001419090035804733
2021-01-03 06:15:00,268,93,789.0,727.0,0.00011907522977520552,0.00013525148049470047
2021-01-03 06:30:00,293,96,736.5,754.5,0.0001274805961915063,0.00013259540308311937
2021-01-03 06:45:00,297,89,728.5,783.0,0.00012899336531094785,0.0001247765588307455
2021-01-03 07:00:00,315,83,729.0,933.5,0.00012772262052757958,0.00010308369278078818
2021-01-03 07:15:00,284,82,821.0,888.0,0.00011477460329007058,0.00010668484645838835
2021-01-03 07:30:00,329,103,741.5,809.0,0.00012679605259608174,0.0001243348688086064
2021-01-03 07:45:00,329,107,785.0,754.5,0.00012180547554486663,0.00012852883730651605
2021-01-03 08:00:00,341,110,818.5,821.0,0.00011793203241505437,0.00012013441949410305
2021-01-03 08:15:00,386,120,750.5,739.0,0.0001299212730938429,0.0001347554525424985
2021-01-03 08:30:00,437,120,681.0,807.5,0.00014202269568176255,0.00012675810855775681
2021-01-03 08:45:00,394,122,762.5,783.5,0.0001276722465487178,0.00012780061428098536
2021-01-03 09:00:00,357,121,937.5,869.5,0.00010699812708320408,0.00011073274879864118
2021-01-03 09:15:00,417,153,862.5,676.0,0.00011749325188637249,0.00014617536457855638
2021-01-03 09:30:00,398,163,885.0,650.5,0.00011070842543968352,0.00015447484239775283
2021-01-03 09:45:00,423,145,832.5,728.5,0.00011670671849953235,0.00013419613737242108
2021-01-03 10:00:00,418,139,941.0,863.0,0.00010429875555116404,0.00011518369728067036
2021-01-03 10:15:00,398,142,1031.5,818.5,0.00010005996055425175,0.00011862782691364646
2021-01-03 10:30:00,420,155,967.5,806.5,0.00010582799825837352,0.00012476847398496823
2021-01-03 10:45:00,447,140,852.0,840.0,0.00011599097813349497,0.0001172701191548175
2021-01-03 11:00:00,461,172,797.0,730.0,0.00012002095289867524,0.00013638508169228514
2021-01-03 11:15:00,403,147,901.5,812.0,0.0001064135134071785,0.00012082178540078313
2021-01-03 11:30:00,442,167,816.0,732.5,0.00011852048889433522,0.00013622077880763586
2021-01-03 11:45:00,410,145,902.5,892.0,0.00010745975108128098,0.00011307127311235307
2021-01-03 12:00:00,438,172,855.5,796.5,0.00011394517208062324,0.00012467210150048674
2021-01-03 12:15:00,477,199,778.5,657.5,0.0001244787290121556,0.00015087930792647097
2021-01-03 12:30:00,436,168,841.0,754.5,0.00011506313693780046,0.00012994697699242363
2021-01-03 12:45:00,426,141,835.0,877.5,0.00011586996995812632,0.00011124348121089712
2021-01-03 13:00:00,396,159,895.5,816.0,0.00010756885425316656,0.00012113039801620403
2021-01-03 13:15:00,368,158,982.0,804.5,9.92615801580417e-05,0.00012193183238849026
2021-01-03 13:30:00,431,183,853.5,689.5,0.0001155322834996042,0.00014124817072041197
2021-01-03 13:45:00,391,170,946.0,748.5,0.0001040385032930448,0.00013265704252828715
2021-01-03 14:00:00,346,138,1060.5,924.5,9.165060352981967e-05,0.0001053542881485587
2021-01-03 14:15:00,401,164,907.0,763.5,0.00010745732389995589,0.00012831978542428076
2021-01-03 14:30:00,369,169,986.5,744.0,9.835722116594089e-05,0.00013137550150071247
2021-01-03 14:45:00,331,154,1088.0,798.5,9.040428194009228e-05,0.00012361514911679385
2021-01-03 15:00:00,342,161,1054.0,782.0,9.371128757939084e-05,0.00012619641649206886
2021-01-03 15:15:00,354,169,993.0,738.5,9.783132277068256e-05,0.00013446239309643026
2021-01-03 15:30:00,328,138,1071.5,896.0,9.08103019857832e-05,0.00010825711535580113
2021-01-03 15:45:00,328,151,1067.5,823.5,9.145403835102792e-05,0.00012080357578584324
2021-01-03 16:00:00,343,174,1037.5,739.0,9.488610900560464e-05,0.0001333531574808822
2021-01-03 16:15:00,309,138,1149.0,931.0,8.553834484686837e-05,0.00010693049053200244
2021-01-03 16:30:00,332,141,1026.0,842.0,9.526509521344546e-05,0.00011610490283831199
2021-01-03 16:45:00,309,146,1104.0,815.5,8.93106174138362e-05,0.00012093090289828303
2021-01-03 17:00:00,315,153,1059.5,776.5,9.136539050002974e-05,0.0001257307586741897
2021-01-03 17:15:00,337,152,983.5,769.5,9.842488064157836e-05,0.00012733666977747914
2021-01-03 17:30:00,287,127,1154.0,919.5,8.441581169920794e-05,0.00010681199826745892
2021-01-03 17:45:00,314,128,1042.0,886.0,9.241439675030954e-05,0.00010961606971582033
2021-01-03 18:00:00,309,129,1048.0,879.5,9.207280008581544e-05,0.00010951052192375182
2021-01-03 18:15:00,323,135,1029.0,836.0,9.58501911959077e-05,0.00011681515170394368
2021-01-03 18:30:00,315,147,1035.0,772.0,9.415106673158606e-05,0.0001292107770577915
2021-01-03 18:45:00,257,118,1260.5,939.0,7.730718325111297e-05,0.00010370945882998152
2021-01-03 19:00:00,289,116,1158.0,1006.5,8.577136204032559e-05,9.757623984912694e-05
2021-01-03 19:15:00,334,135,994.5,830.5,9.98720202853828e-05,0.0001184119120629285
2021-01-03 19:30:00,287,114,1122.5,987.0,8.6642111024469e-05,9.911216367069724e-05
2021-01-03 19:45:00,304,129,1069.5,874.0,9.202419630940592e-05,0.00011321430326689087
2021-01-03 20:00:00,306,126,1042.5,864.0,9.408251713162696e-05,0.00011340031752088906
2021-01-03 20:15:00,334,129,976.0,849.5,0.00010235025605950289,0.00011838142310988916
2021-01-03 20:30:00,318,141,1013.5,777.0,9.629103875623468e-05,0.00012850916607576752
2021-01-03 20:45:00,321,129,975.5,815.0,9.909043622943913e-05,0.00012071146777658833
2021-01-03 21:00:00,281,105,1112.5,976.5,8.642292735676246e-05,9.748814822655131e-05
2021-01-03 21:15:00,339,122,922.5,854.5,0.00010483463959149743,0.00011442366581536709
2021-01-03 21:30:00,319,113,936.0,870.0,0.00010130827409128224,0.00010996603703811831
2021-01-03 21:45:00,290,108,1059.0,899.0,9.079549691905832e-05,0.00010644945720633255
2021-01-03 22:00:00,298,116,1090.5,899.5,9.067816311601814e-05,0.0001107075164677431
2021-01-03 22:15:00,266,101,1181.5,990.5,8.232564372618243e-05,9.74690849293494e-05
2021-01-03 22:30:00,310,129,1029.5,838.0,9.575440416204241e-05,0.00012105412808652837
2021-01-03 22:45:00,301,122,1067.0,929.5,9.198903832947908e-05,0.00011123916785808072
2021-01-03 23:00:00,302,125,1097.0,904.5,9.0684236587366e-05,0.00011390611402457639
2021-01-03 23:15:00,313,118,1021.0,939.5,9.632494188190009e-05,0.00010922487365088769
2021-01-03 23:30:00,311,99,990.5,1044.5,9.8597349665197e-05,9.705511259863594e-05
2021-01-03 23:45:00,318,120,923.5,792.5,0.00010480287173051292,0.0001262412406989136
2021-01-04 00:00:00,289,101,997.0,908.5,9.848352411534364e-05,0.00010877396662039286
2021-01-04 00:15:00,275,109,1000.5,798.0,9.794312318181949e-05,0.00012561901941101966
2021-01-04 00:30:00,291,116,917.0,742.5,0.00010742800016686412,0.00013698047792016398
2021-01-04 00:45:00,270,90,934.5,866.0,0.00010309813720758314,0.00011198500894013655
2021-01-04 01:00:00,301,102,828.0,788.0,0.00011494503068955945,0.00012653768093647807
2021-01-04 01:15:00,275,90,876.0,804.5,0.00011090945755192581,0.00011817180341989199
2021-01-04 01:30:00,262,100,880.0,726.0,0.00010938904548037448,0.00013638322595427342
2021-01-04 01:45:00,289,77,785.5,893.0,0.0001237852236422067,0.00010898735180550995
2021-01-04 02:00:00,257,74,879.5,939.5,0.00011015240893031723,0.00010273311740868204
2021-01-04 02:15:00,279,98,818.0,720.5,0.00011974752586160276,0.0001378008945809095
2021-01-04 02:30:00,259,71,888.5,962.0,0.00011225353522788984,0.00010291301820690733
2021-01-04 02:45:00,250,83,915.5,808.0,0.00010759074203182964,0.00012256023909583028
2021-01-04 03:00:00,288,87,819.0,874.0,0.00012047235201351967,0.00011430989017053195
2021-01-04 03:15:00,236,89,939.5,771.5,0.00010336492241280008,0.00012853266246023068
2021-01-04 03:30:00,260,102,840.5,668.0,0.00011469544169435164,0.00014719209434147412
2021-01-04 03:45:00,243,88,885.5,770.5,0.00010948924842614838,0.00012947193107385198
2021-01-04 04:00:00,262,103,849.5,675.5,0.00011470937591532173,0.00014336358815399198
2021-01-04 04:15:00,258,83,812.0,788.0,0.00011761096571822692,0.0001240412952900175
2021-01-04 04:30:00,229,84,914.0,776.5,0.00010484229475518408,0.00012487995171308534
2021-01-04 04:45:00,246,82,824.5,767.0,0.0001145739456053207,0.00012411980891604052
2021-01-04 05:00:00,218,92,1018.0,748.5,9.666445550419824e-05,0.00012852626476131135
2021-01-04 05:15:00,262,91,841.5,748.5,0.00011530664967287241,0.0001296721147954458
2021-01-04 05:30:00,281,119,768.5,620.5,0.00012312821020658368,0.0001634074434150233
2021-01-04 05:45:00,264,101,846.0,688.5,0.00011410640422193696,0.0001406131009643831
2021-01-04 06:00:00,251,87,927.5,904.5,0.00010257231757043367,0.0001085745164378074
2021-01-04 06:15:00,264,92,900.5,810.5,0.00010840842875533572,0.00012246402951915565
2021-01-04 06:30:00,248,86,996.0,926.0,9.747684335392662e-05,0.00010587716771189593
2021-01-04 06:45:00,248,97,1008.0,793.0,9.710634828836356e-05,0.00012320323325928434
2021-01-04 07:00:00,282,96,967.0,919.0,0.0001029575468064358,0.00010649331920817779
2021-01-04 07:15:00,320,116,839.5,713.0,0.0001161748838614208,0.00013651636136822345
2021-01-04 07:30:00,387,119,703.0,756.5,0.00013252852787859154,0.00013000037142963264
2021-01-04 07:45:00,442,128,617.0,693.0,0.00014984894751455857,0.0001409595380051142
2021-01-04 08:00:00,520,170,563.0,578.5,0.00016342272556421698,0.00016771372648061622
2021-01-04 08:15:00,456,132,678.0,727.0,0.0001411432167220045,0.0001341402070027285
2021-01-04 08:30:00,473,127,683.0,824.0,0.00013974225383279324,0.0001189007207068882
2021-01-04 08:45:00,465,136,705.5,764.5,0.00013550688316683955,0.00012823426136594003
2021-01-04 09:00:00,496,143,706.5,799.0,0.00013465519853225833,0.00011787145581963523
2021-01-04 09:15:00,550,155,632.0,725.5,0.00014841323317149098,0.0001342954083100266
2021-01-04 09:30:00,532,136,692.0,832.0,0.0001400737598930384,0.000115049974832818
2021-01-04 09:45:00,537,144,703.5,806.0,0.00013890214537855494,0.00011963123671283269
2021-01-04 10:00:00,525,175,859.5,780.5,0.0001132471317737154,0.00012632487726635852
2021-01-04 10:15:00,586,191,742.5,681.0,0.00013753708631203222,0.00014474554717984898
2021-01-04 10:30:00,560,168,762.0,797.5,0.00013122747603399636,0.00012355339565915736
2021-01-04 10:45:00,548,161,772.0,826.5,0.00012980980258250443,0.00012193422519509475
2021-01-04 11:00:00,528,193,801.5,720.0,0.0001228043489485575,0.00013539451013845315
2021-01-04 11:15:00,574,191,697.0,690.0,0.00013779530866989356,0.00014311983251233003
2021-01-04 11:30:00,505,160,801.0,805.0,0.00012258382427548104,0.00011942018514606953
2021-01-04 11:45:00,499,170,807.0,765.5,0.00012076298002377022,0.00012611865391335054
2021-01-04 12:00:00,514,198,780.0,689.0,0.00012397279255468608,0.00013852935003148394
2021-01-04 12:15:00,444,156,893.0,815.0,0.00011035983021488103,0.00011636815003733479
2021-01-04 12:30:00,461,186,845.5,717.0,0.00011481439418844904,0.00013786754486810302
2021-01-04 12:45:00,534,208,715.0,653.0,0.00013380785843028348,0.00015490978366997663
2021-01-04 13:00:00,509,180,745.0,787.0,0.0001275940573757136,0.00012678743874581862
2021-01-04 13:15:00,509,187,758.5,729.5,0.00012702472165614285,0.00013668411642855368
2021-01-04 13:30:00,485,186,789.5,736.5,0.0001222907863095843,0.0001373233899386253
2021-01-04 13:45:00,469,157,795.5,823.0,0.00012114295928227575,0.00011724458789274136
2021-01-04 14:00:00,541,181,679.0,741.0,0.00014206153076157322,0.00013173283997807849
2021-01-04 14:15:00,481,178,743.0,721.5,0.0001297922972454081,0.00013647324012773282
2021-01-04 14:30:00,459,170,767.5,742.0,0.0001246757818516065,0.00013035590228521564
2021-01-04 14:45:00,465,169,755.0,746.0,0.00012709185680109524,0.00013081578737557986
2021-01-04 15:00:00,441,167,824.5,849.0,0.00011842658598978577,0.00011778438404762155
2021-01-04 15:15:00,442,166,885.0,881.5,0.00011259606010591672,0.00011408652431967319
2021-01-04 15:30:00,446,180,863.0,798.5,0.00011374776967657888,0.00012517524534348088
2021-01-04 15:45:00,436,200,876.5,695.0,0.00011542239035534742,0.00014371408944190072
2021-01-04 16:00:00,519,200,691.5,673.5,0.00014095680610888873,0.0001474119618910596
2021-01-04 16:15:00,484,158,706.5,788.0,0.0001376650024560688,0.00012423776592189532
2021-01-04 16:30:00,482,169,714.5,742.0,0.00013709625579317008,0.00013421795407363404
2021-01-04 16:45:00,474,180,728.5,735.0,0.0001341817925498532,0.0001387573049939525
2021-01-04 17:00:00,421,166,848.5,796.5,0.00011670070206144444,0.00012513521764858865
2021-01-04 17:15:00,429,161,809.0,773.5,0.000121937666260871,0.00012916227434708872
2021-01-04 17:30:00,402,151,862.5,775.5,0.0001155863274600911,0.0001235415349094833
2021-01-04 17:45:00,401,145,870.0,796.0,0.00011525005381688921,0.00012240563369818653
2021-01-04 18:00:00,424,151,814.0,762.5,0.00012394515076290577,0.00012715575316626246
2021-01-04 18:15:00,429,153,787.0,730.5,0.00012707180356654122,0.00013375622447266828
2021-01-04 18:30:00,395,136,862.5,816.0,0.00011568579270101724,0.0001184610171794606
2021-01-04 18:45:00,392,139,868.0,799.0,0.00011588177457565691,0.00012165471416393454
2021-01-04 19:00:00,428,147,756.0,769.0,0.0001287350845515793,0.00012706073935520563
2021-01-04 19:15:00,452,149,711.5,745.0,0.0001362633983548908,0.0001337748201671377
2021-01-04 19:30:00,447,146,706.5,748.5,0.00013639892199080177,0.00013101326195204374
