time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,2585,1259,113.0,100.0,0.0008347382877499492,0.0011092120101494221
2021-01-02 16:15:00,2598,1314,109.0,93.0,0.0008602597732861195,0.0011921535609917193
2021-01-02 16:30:00,2544,1273,111.0,95.0,0.0008512079189104003,0.0011682189387286145
2021-01-02 16:45:00,2591,1320,109.5,93.0,0.000854233367588388,0.001194320463323957
2021-01-02 17:00:00,2598,1283,110.0,97.0,0.0008615809513007782,0.0011534440148122712
2021-01-02 17:15:00,2542,1274,108.0,94.0,0.0008651499428735572,0.0011969600596788874
2021-01-02 17:30:00,2524,1246,111.0,93.0,0.0008534087831452441,0.001183453309157706
2021-01-02 17:45:00,2507,1280,115.0,89.5,0.0008388969793016308,0.0012258305480803305
2021-01-02 18:00:00,2488,1225,107.0,93.0,0.0008334522543744519,0.0011413270325869832
2021-01-02 18:15:00,2631,1323,106.0,85.0,0.00088542422118173,0.0012665777605028784
2021-01-02 18:30:00,2614,1239,104.0,91.0,0.0009007304738069717,0.0011987333481038435
2021-01-02 18:45:00,2668,1223,103.0,93.0,0.00092003807054085,0.0011940922214118408
2021-01-02 19:00:00,2645,1287,105.0,94.0,0.0008858555824307877,0.0011852847860823435
2021-01-02 19:15:00,2747,1265,101.0,89.0,0.0009298027680841053,0.0012276785714285714
2021-01-02 19:30:00,2660,1216,103.0,92.0,0.0009199342489099988,0.0012152720520408275
2021-01-02 19:45:00,2553,1160,108.0,93.0,0.0008960762180739943,0.001175724134575817
2021-01-02 20:00:00,2631,1169,100.0,91.0,0.0009167509315597172,0.0011701244896345391
2021-01-02 20:15:00,2574,1136,106.0,94.0,0.0009086262305637297,0.0011636232523884495
2021-01-02 20:30:00,2458,1029,107.0,102.0,0.0008694154295418025,0.0010657613046824103
2021-01-02 20:45:00,2529,1093,104.0,95.0,0.0008910913067330773,0.0011433114189927773
2021-01-02 21:00:00,2464,1035,111.0,102.0,0.0008576815933663343,0.0010598307752329324
2021-01-02 21:15:00,2482,1142,112.0,89.0,0.0008666863841892939,0.001186516928645864
2021-01-02 21:30:00,2434,1066,112.0,97.5,0.0008407834554265594,0.0011154781487666956
2021-01-02 21:45:00,2379,1034,112.0,96.0,0.0008258604361820602,0.001097070588110471
2021-01-02 22:00:00,2443,1071,116.0,99.5,0.0008267765967059569,0.0011123331889688949
2021-01-02 22:15:00,2394,1076,115.0,95.0,0.0008228633651536957,0.001140549392890646
2021-01-02 22:30:00,2218,965,128.0,107.0,0.0007571748978428368,0.0010402663944366767
2021-01-02 22:45:00,2308,1026,113.0,97.0,0.0008023185197570937,0.0011297282596128757
2021-01-02 23:00:00,2293,940,115.0,106.0,0.0008065511794184178,0.0010384869907408944
2021-01-02 23:15:00,2262,977,117.0,99.0,0.0008039053737271499,0.0011003788817357382
2021-01-02 23:30:00,2265,998,111.0,96.0,0.000807912333129542,0.001123235097157585
2021-01-02 23:45:00,2224,914,111.0,104.5,0.0008157737783017379,0.0010587318153543917
2021-01-03 00:00:00,2170,943,114.0,96.0,0.0007928327915642591,0.0010951630492219463
2021-01-03 00:15:00,2137,895,116.0,103.0,0.0007958886411383926,0.0010743794708290972
2021-01-03 00:30:00,1901,853,127.0,104.5,0.0007239976859495319,0.0010461046398971801
2021-01-03 00:45:00,1953,862,132.0,124.0,0.0007355198068742667,0.0010228698024389868
2021-01-03 01:00:00,1908,780,130.0,130.0,0.0007446269196681025,0.0009202106574551221
2021-01-03 01:15:00,1866,789,125.0,108.0,0.000756707567805621,0.0010051685281606436
2021-01-03 01:30:00,1865,772,118.0,107.0,0.0007811050479489606,0.0010032527742148444
2021-01-03 01:45:00,1828,768,116.0,101.5,0.0007946796458545807,0.0010462588073739448
2021-01-03 02:00:00,1716,730,123.0,107.0,0.0007425838976999804,0.0010092393791380544
2021-01-03 02:15:00,1665,670,118.0,111.5,0.0007493195368530201,0.0009704575345164224
