time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,329,80,930.5,1308.5,0.00010623941844090264,7.048209754722299e-05
2021-01-02 16:15:00,328,89,910.0,1167.5,0.00010860862418700815,8.074708289822148e-05
2021-01-02 16:30:00,298,80,984.5,1277.0,9.970910370884406e-05,7.341517289732062e-05
2021-01-02 16:45:00,317,82,958.0,1267.5,0.0001045125347454724,7.419263484285186e-05
2021-01-02 17:00:00,249,67,1177.0,1494.5,8.257646530942794e-05,6.023441075013418e-05
2021-01-02 17:15:00,294,101,995.0,1019.0,0.00010006061495075758,9.489243801221952e-05
2021-01-02 17:30:00,302,91,976.5,1105.0,0.00010211151050311558,8.643198325309091e-05
2021-01-02 17:45:00,304,101,1016.0,1003.5,0.0001017250425638994,9.672569168446356e-05
2021-01-02 18:00:00,300,80,984.0,1261.5,0.0001004966544663728,7.453564294445603e-05
2021-01-02 18:15:00,290,95,1013.5,1057.0,9.759522012265364e-05,9.094851643822631e-05
2021-01-02 18:30:00,232,84,1209.5,1161.0,7.994241389564551e-05,8.127005749856568e-05
2021-01-02 18:45:00,269,95,1078.0,1032.0,9.276245913624013e-05,9.275450616036376e-05
2021-01-02 19:00:00,265,92,1140.5,1123.5,8.875301676527741e-05,8.472898237729264e-05
2021-01-02 19:15:00,238,67,1243.5,1397.5,8.055808474845907e-05,6.502329192546583e-05
2021-01-02 19:30:00,234,103,1225.0,931.0,8.092654670862397e-05,0.00010293833993437929
2021-01-02 19:45:00,245,96,1157.5,985.5,8.599242985825641e-05,9.730130768903312e-05
2021-01-02 20:00:00,239,84,1195.0,1129.5,8.327764068520424e-05,8.408080165038601e-05
2021-01-02 20:15:00,233,80,1204.0,1151.0,8.224938295312703e-05,8.194529946397531e-05
2021-01-02 20:30:00,241,89,1158.5,1030.0,8.524374227810187e-05,9.21795491902182e-05
2021-01-02 20:45:00,252,72,1119.5,1253.0,8.879201632927462e-05,7.531420143410792e-05
2021-01-02 21:00:00,232,85,1207.5,1088.0,8.075573444033664e-05,8.703924241043406e-05
2021-01-02 21:15:00,232,80,1212.0,1139.0,8.101178127796783e-05,8.311852389813409e-05
2021-01-02 21:30:00,235,84,1216.0,1075.5,8.117670995285186e-05,8.789884099099664e-05
2021-01-02 21:45:00,232,82,1225.5,1082.5,8.053788196479105e-05,8.70017294246215e-05
2021-01-02 22:00:00,255,94,1159.0,973.5,8.629882609906632e-05,9.762774954535588e-05
2021-01-02 22:15:00,239,73,1204.0,1201.0,8.214884890214423e-05,7.737928037269253e-05
2021-01-02 22:30:00,220,77,1315.0,1114.0,7.510301060659336e-05,8.300571230220116e-05
2021-01-02 22:45:00,202,68,1397.0,1246.5,7.022025172917371e-05,7.487477744022956e-05
2021-01-02 23:00:00,196,69,1427.5,1232.5,6.894201097514605e-05,7.622936421395925e-05
2021-01-02 23:15:00,204,65,1365.5,1305.0,7.250074988520715e-05,7.320842099572463e-05
2021-01-02 23:30:00,216,69,1274.0,1215.0,7.704594435142653e-05,7.765853878143623e-05
2021-01-02 23:45:00,207,68,1297.5,1205.0,7.592858458114198e-05,7.87677937025149e-05
2021-01-03 00:00:00,232,67,1164.0,1212.5,8.476369015802218e-05,7.781116044312876e-05
2021-01-03 00:15:00,255,79,1055.5,1000.0,9.497033387472632e-05,9.483349519050128e-05
2021-01-03 00:30:00,198,63,1315.5,1234.5,7.540849122462247e-05,7.726212463484448e-05
2021-01-03 00:45:00,176,49,1456.5,1535.5,6.628340297484432e-05,5.814457113632291e-05
2021-01-03 01:00:00,198,70,1225.5,1121.5,7.727260487121818e-05,8.258300772033146e-05
2021-01-03 01:15:00,210,53,1155.5,1378.5,8.516001566944288e-05,6.752082635299633e-05
2021-01-03 01:30:00,188,70,1220.5,1054.0,7.873873941791129e-05,9.096851579668276e-05
2021-01-03 01:45:00,209,66,1086.5,1082.5,9.085779320766264e-05,8.991286625869839e-05
2021-01-03 02:00:00,203,76,1131.5,945.5,8.784646342255013e-05,0.00010507149700615358
2021-01-03 02:15:00,197,58,1086.5,1186.0,8.865822748351047e-05,8.40097567193321e-05
2021-01-03 02:30:00,219,60,963.5,1081.0,0.0001017120128853794,8.988912176829879e-05
2021-01-03 02:45:00,181,62,1161.5,1036.0,8.501420347797333e-05,9.491108209349354e-05
2021-01-03 03:00:00,173,51,1247.5,1361.0,7.771735590281288e-05,7.004705513939364e-05
2021-01-03 03:15:00,187,61,1128.0,1060.0,8.630202292864762e-05,9.246739387471729e-05
2021-01-03 03:30:00,164,63,1247.0,1015.5,7.6309664619024e-05,9.67961994431914e-05
2021-01-03 03:45:00,170,48,1210.5,1255.0,8.074014970173639e-05,7.552299675251115e-05
2021-01-03 04:00:00,140,38,1487.5,1664.5,6.492347145801887e-05,5.658761773575072e-05
2021-01-03 04:15:00,201,70,1006.5,912.5,9.586209593649638e-05,0.000109495273714721
2021-01-03 04:30:00,152,51,1359.0,1247.0,7.050952875976985e-05,7.694489538511675e-05
2021-01-03 04:45:00,189,65,1106.0,1041.0,8.548848755034323e-05,9.687987193971388e-05
2021-01-03 05:00:00,153,51,1377.0,1359.5,6.798175067670724e-05,7.245285592110311e-05
2021-01-03 05:15:00,153,50,1380.0,1329.0,6.844780072295194e-05,7.342941817466215e-05
2021-01-03 05:30:00,157,40,1364.5,1649.0,7.025865926787792e-05,5.762866680401499e-05
2021-01-03 05:45:00,164,40,1271.0,1574.0,7.411692396688241e-05,5.9668007207895276e-05
2021-01-03 06:00:00,165,54,1309.5,1276.5,7.230274605829529e-05,7.368352108986114e-05
2021-01-03 06:15:00,154,41,1377.0,1588.5,6.842382606485689e-05,5.962699677723354e-05
2021-01-03 06:30:00,173,59,1230.5,1188.5,7.527011310966072e-05,8.149092481150045e-05
2021-01-03 06:45:00,153,53,1430.0,1297.5,6.645112758442767e-05,7.430514177561249e-05
2021-01-03 07:00:00,165,56,1411.5,1347.5,6.690232503825597e-05,6.955044332197758e-05
2021-01-03 07:15:00,157,52,1478.5,1396.5,6.344934055120099e-05,6.765380507117311e-05
2021-01-03 07:30:00,171,55,1448.0,1395.5,6.590311548306984e-05,6.639240567449856e-05
2021-01-03 07:45:00,209,59,1237.5,1332.5,7.737794647075114e-05,7.087104113163035e-05
2021-01-03 08:00:00,264,74,1044.0,1194.0,9.130221864391303e-05,8.081770038694204e-05
2021-01-03 08:15:00,233,79,1232.0,1087.0,7.842398090897769e-05,8.871400625714485e-05
2021-01-03 08:30:00,214,65,1383.0,1397.5,6.954887156955879e-05,6.866064213545159e-05
2021-01-03 08:45:00,205,72,1443.0,1281.5,6.64284531535207e-05,7.54233133461553e-05
2021-01-03 09:00:00,230,64,1424.0,1535.0,6.893436758861887e-05,5.856938779432262e-05
2021-01-03 09:15:00,256,82,1328.5,1217.5,7.213014983911596e-05,7.834235225778837e-05
2021-01-03 09:30:00,255,90,1373.0,1134.0,7.093127760582738e-05,8.529285776563038e-05
2021-01-03 09:45:00,256,78,1346.0,1285.0,7.063101639688009e-05,7.218826700033686e-05
2021-01-03 10:00:00,323,126,1219.5,954.0,8.059449292589947e-05,0.00010441112127600336
2021-01-03 10:15:00,302,94,1307.0,1182.0,7.592489469191967e-05,7.852827978790681e-05
2021-01-03 10:30:00,263,95,1477.0,1237.5,6.62684846236958e-05,7.647100018433537e-05
2021-01-03 10:45:00,266,82,1410.5,1361.0,6.902371405706861e-05,6.868678407639311e-05
2021-01-03 11:00:00,323,96,1168.5,1255.0,8.409277177065534e-05,7.612190606081032e-05
2021-01-03 11:15:00,330,93,1112.5,1226.0,8.713761643763996e-05,7.643827239641382e-05
2021-01-03 11:30:00,338,100,1059.0,1160.0,9.06333150368446e-05,8.156932862732687e-05
2021-01-03 11:45:00,315,95,1175.0,1280.0,8.256054046488661e-05,7.408117893567958e-05
2021-01-03 12:00:00,304,111,1210.5,1225.0,7.908523359020425e-05,8.045699573577922e-05
2021-01-03 12:15:00,319,118,1144.5,1094.5,8.324678103747932e-05,8.946612228805817e-05
2021-01-03 12:30:00,307,105,1166.0,1173.5,8.101922715574482e-05,8.121686062026477e-05
2021-01-03 12:45:00,320,123,1086.0,990.0,8.703847508591649e-05,9.704218573716558e-05
2021-01-03 13:00:00,311,108,1121.0,1152.0,8.447957998165354e-05,8.227725148270464e-05
2021-01-03 13:15:00,292,94,1220.0,1319.0,7.876190599496786e-05,7.254172306657017e-05
2021-01-03 13:30:00,294,107,1212.5,1159.0,7.880856461457919e-05,8.258772823543214e-05
2021-01-03 13:45:00,268,105,1335.5,1168.5,7.13102784719591e-05,8.193523214982441e-05
2021-01-03 14:00:00,293,96,1229.5,1295.5,7.761163824924038e-05,7.328993958160605e-05
2021-01-03 14:15:00,281,105,1257.5,1177.0,7.530051874286187e-05,8.215596018017975e-05
2021-01-03 14:30:00,277,107,1296.5,1171.5,7.383455355817243e-05,8.317857195607237e-05
2021-01-03 14:45:00,273,116,1296.5,1034.0,7.456304824666221e-05,9.311270972433822e-05
2021-01-03 15:00:00,272,99,1289.0,1218.0,7.453061468302431e-05,7.759903871251437e-05
2021-01-03 15:15:00,267,97,1297.0,1235.5,7.378803158127752e-05,7.71766398245783e-05
2021-01-03 15:30:00,259,98,1328.5,1238.0,7.17069152875544e-05,7.687824133962689e-05
2021-01-03 15:45:00,259,104,1318.5,1158.0,7.22152315027934e-05,8.320246279289867e-05
2021-01-03 16:00:00,238,88,1433.0,1415.0,6.583934094266446e-05,6.74429761972278e-05
2021-01-03 16:15:00,275,103,1250.0,1207.0,7.612635868248803e-05,7.981043858548008e-05
2021-01-03 16:30:00,244,99,1370.0,1190.0,7.001410612072497e-05,8.152046369498502e-05
2021-01-03 16:45:00,242,106,1387.0,1101.5,6.994553208462253e-05,8.779914867957536e-05
2021-01-03 17:00:00,233,104,1410.0,1131.0,6.758138408414897e-05,8.546404511186751e-05
2021-01-03 17:15:00,260,97,1282.5,1173.0,7.593610969379932e-05,8.126090110799657e-05
2021-01-03 17:30:00,259,102,1282.0,1117.0,7.618012275294375e-05,8.578601435654182e-05
2021-01-03 17:45:00,217,76,1476.0,1410.0,6.386600030196551e-05,6.508454139376833e-05
2021-01-03 18:00:00,233,101,1360.5,1114.5,6.942706284788025e-05,8.574079623487545e-05
2021-01-03 18:15:00,241,101,1351.0,1098.0,7.151670612450079e-05,8.739503942295046e-05
2021-01-03 18:30:00,281,103,1161.0,1050.0,8.398872937008154e-05,9.053544242824847e-05
2021-01-03 18:45:00,289,88,1132.0,1228.0,8.693298038743833e-05,7.734264726303706e-05
2021-01-03 19:00:00,329,75,1014.5,1456.0,9.764283083483432e-05,6.308808610934932e-05
2021-01-03 19:15:00,349,75,949.5,1432.5,0.00010435729065748083,6.578439559051582e-05
2021-01-03 19:30:00,316,90,1021.5,1228.5,9.5396888793492e-05,7.824644500318202e-05
2021-01-03 19:45:00,315,91,1030.0,1203.5,9.535401920218048e-05,7.986435346734162e-05
2021-01-03 20:00:00,297,80,1074.0,1293.0,9.131538427481442e-05,7.200020160056448e-05
2021-01-03 20:15:00,325,99,998.0,1088.5,9.959231502795941e-05,9.085085959596144e-05
2021-01-03 20:30:00,283,95,1141.0,1111.5,8.569296845287553e-05,8.658418990920508e-05
2021-01-03 20:45:00,289,96,1074.0,1040.5,8.921226190127073e-05,8.983178997327504e-05
2021-01-03 21:00:00,293,79,1075.5,1280.0,9.011358617626833e-05,7.334822580854813e-05
2021-01-03 21:15:00,289,77,1078.0,1301.0,8.937230336856272e-05,7.221821530969891e-05
2021-01-03 21:30:00,301,89,994.5,1091.5,9.559181975384312e-05,8.661041855214628e-05
2021-01-03 21:45:00,340,105,906.0,926.5,0.00010644989293958562,0.00010349252783949
2021-01-03 22:00:00,265,81,1217.0,1231.5,8.063662156290204e-05,7.730438649902749e-05
2021-01-03 22:15:00,228,80,1364.5,1223.5,7.056483747958495e-05,7.720323558760346e-05
2021-01-03 22:30:00,267,94,1190.5,1097.5,8.247234164924297e-05,8.820998480723772e-05
2021-01-03 22:45:00,233,69,1392.0,1531.5,7.120746156401536e-05,6.291395559186532e-05
2021-01-03 23:00:00,282,101,1182.0,1100.0,8.467865800542123e-05,9.203614013185772e-05
2021-01-03 23:15:00,239,87,1335.0,1221.5,7.355163293857548e-05,8.053020345446804e-05
2021-01-03 23:30:00,237,72,1286.0,1378.5,7.513688704389611e-05,7.058553643537159e-05
2021-01-03 23:45:00,213,68,1356.0,1326.0,7.019814993270206e-05,7.15367030627177e-05
2021-01-04 00:00:00,204,67,1387.0,1325.5,6.951778172847784e-05,7.215698775808239e-05
2021-01-04 00:15:00,198,76,1386.0,1094.0,7.051904869091002e-05,8.758757316731647e-05
2021-01-04 00:30:00,184,63,1405.0,1267.0,6.7926982923378e-05,7.439456990491665e-05
2021-01-04 00:45:00,177,58,1389.5,1307.0,6.758655661386005e-05,7.216811687253244e-05
2021-01-04 01:00:00,177,53,1366.0,1413.0,6.75922605716014e-05,6.574997146699352e-05
2021-01-04 01:15:00,165,54,1398.5,1312.5,6.654567453115548e-05,7.09030820519352e-05
2021-01-04 01:30:00,187,47,1223.0,1427.0,7.807538742301537e-05,6.410011619850851e-05
2021-01-04 01:45:00,184,41,1226.0,1593.0,7.881135346078214e-05,5.8032226286050745e-05
2021-01-04 02:00:00,156,48,1422.0,1401.0,6.686294082929763e-05,6.663769777860458e-05
2021-01-04 02:15:00,138,36,1610.0,1817.0,5.9229959028319654e-05,5.06207367848239e-05
2021-01-04 02:30:00,140,43,1594.0,1513.0,6.067758660967019e-05,6.232760257601432e-05
2021-01-04 02:45:00,144,51,1577.0,1274.0,6.197226741033388e-05,7.530809872153428e-05
2021-01-04 03:00:00,122,44,1886.0,1599.0,5.103342689461598e-05,5.7811898477050646e-05
2021-01-04 03:15:00,124,36,1765.0,1793.5,5.431038296265767e-05,5.199073987155399e-05
2021-01-04 03:30:00,136,41,1583.0,1579.5,5.99945387324301e-05,5.916544968627881e-05
2021-01-04 03:45:00,135,44,1573.0,1454.0,6.0827360236749094e-05,6.473596553692599e-05
2021-01-04 04:00:00,119,41,1845.5,1637.0,5.210082341192093e-05,5.706705936226866e-05
2021-01-04 04:15:00,128,49,1611.0,1285.5,5.834962640284126e-05,7.32291984242272e-05
