time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,151,33,1947.0,2861.5,4.876034098655409e-05,2.907386523822949e-05
2021-01-02 16:15:00,112,31,2433.5,2931.0,3.7085871673612544e-05,2.8125388425223212e-05
2021-01-02 16:30:00,134,49,2069.0,1965.0,4.483563723820505e-05,4.496679339960888e-05
2021-01-02 16:45:00,95,36,2838.5,2591.0,3.1320791169778805e-05,3.2572376272471554e-05
2021-01-02 17:00:00,146,35,1936.0,2653.0,4.841832905693366e-05,3.146573695902532e-05
2021-01-02 17:15:00,161,50,1731.0,1892.5,5.479509866351011e-05,4.697645446149481e-05
2021-01-02 17:30:00,133,31,2125.0,2817.0,4.4969638731504546e-05,2.9443862426877118e-05
2021-01-02 17:45:00,233,30,1277.0,2876.0,7.796689117562027e-05,2.873040347063274e-05
2021-01-02 18:00:00,277,39,1059.0,2350.0,9.279191095728424e-05,3.633612593542232e-05
2021-01-02 18:15:00,219,30,1291.5,2880.5,7.370121795469359e-05,2.872058413838726e-05
2021-01-02 18:30:00,223,32,1254.5,2673.5,7.684119956348685e-05,3.0960021904215504e-05
2021-01-02 18:45:00,211,40,1333.0,2226.0,7.276163151578687e-05,3.905452890962685e-05
2021-01-02 19:00:00,172,43,1647.5,2214.5,5.760573163633101e-05,3.9601589589386775e-05
2021-01-02 19:15:00,199,45,1445.5,1999.0,6.735739018883763e-05,4.367236024844721e-05
2021-01-02 19:30:00,160,37,1753.0,2321.5,5.533439091187964e-05,3.6977850267689646e-05
2021-01-02 19:45:00,204,41,1371.0,2079.0,7.16018599636094e-05,4.155576682552457e-05
2021-01-02 20:00:00,199,28,1397.0,2961.5,6.933996023579768e-05,2.8026933883462013e-05
2021-01-02 20:15:00,217,46,1281.0,1877.0,7.660135665591659e-05,4.711854719178581e-05
2021-01-02 20:30:00,202,43,1337.5,1974.5,7.144911178496506e-05,4.4536186687408786e-05
2021-01-02 20:45:00,162,34,1668.0,2402.5,5.7080581925962254e-05,3.556503956610652e-05
2021-01-02 21:00:00,165,35,1638.5,2444.5,5.743403527006702e-05,3.58396880513552e-05
2021-01-02 21:15:00,181,37,1504.0,2241.5,6.320315694531112e-05,3.844231730288702e-05
2021-01-02 21:30:00,143,33,1937.0,2477.0,4.939689158833114e-05,3.453168753217725e-05
