time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,246,69,1202.5,1487.5,7.943737670657157e-05,6.0790809134479835e-05
2021-01-02 16:15:00,240,56,1205.5,1765.5,7.946972501488402e-05,5.080715328427418e-05
2021-01-02 16:30:00,235,51,1223.0,1889.5,7.862966232073273e-05,4.6802172722041886e-05
2021-01-02 16:45:00,224,57,1295.0,1756.5,7.385112865295211e-05,5.157292909807995e-05
2021-01-02 17:00:00,229,62,1269.0,1615.0,7.594381749340964e-05,5.573930547027343e-05
2021-01-02 17:15:00,249,51,1150.5,1863.5,8.474521470319265e-05,4.791598355072471e-05
2021-01-02 17:30:00,240,56,1210.5,1686.5,8.114822026737662e-05,5.318891277113286e-05
2021-01-02 17:45:00,314,78,984.5,1260.5,0.00010507126106929082,7.469904902364513e-05
2021-01-02 18:00:00,277,61,1059.0,1601.5,9.279191095728424e-05,5.683342774514773e-05
2021-01-02 18:15:00,222,62,1275.5,1541.0,7.471082368010037e-05,5.9355873886000344e-05
2021-01-02 18:30:00,225,45,1245.5,2034.5,7.753035830396656e-05,4.353753080280305e-05
2021-01-02 18:45:00,208,50,1355.5,1806.5,7.172710594921171e-05,4.881816113703355e-05
2021-01-02 19:00:00,195,54,1492.5,1812.0,6.530882365746829e-05,4.973222878667176e-05
2021-01-02 19:15:00,175,57,1636.5,1616.5,5.9233885844455204e-05,5.531832298136645e-05
2021-01-02 19:30:00,169,49,1656.0,1824.5,5.8446950400672864e-05,4.897066657072413e-05
2021-01-02 19:45:00,153,33,1761.0,2501.5,5.370139497270706e-05,3.344732451810514e-05
2021-01-02 20:00:00,210,42,1343.5,2076.5,7.317282235938448e-05,4.2040400825193014e-05
2021-01-02 20:15:00,173,35,1553.5,2398.0,6.106928433858788e-05,3.58510685154892e-05
2021-01-02 20:30:00,175,35,1544.0,2364.5,6.189898298202418e-05,3.625038451300716e-05
2021-01-02 20:45:00,176,47,1517.0,1817.0,6.201347172203308e-05,4.916343704726489e-05
2021-01-02 21:00:00,158,25,1712.0,3210.0,5.499743983436721e-05,2.559977717953943e-05
2021-01-02 21:15:00,131,25,2071.5,3185.0,4.5743721325059415e-05,2.5974538718166904e-05
2021-01-02 21:30:00,139,25,1980.0,3132.0,4.801516035509111e-05,2.6160369342558524e-05
2021-01-02 21:45:00,120,28,2246.0,2867.5,4.165752515420227e-05,2.9707907608407337e-05
2021-01-02 22:00:00,123,26,2296.0,3124.0,4.16264925889614e-05,2.700342008701333e-05
2021-01-02 22:15:00,133,29,2069.0,2704.5,4.5714631397427536e-05,3.0739714120658676e-05
2021-01-02 22:30:00,157,33,1815.5,2387.5,5.359623938743254e-05,3.5573876700943355e-05
2021-01-02 22:45:00,160,25,1740.0,3033.0,5.562000136964253e-05,2.7527491705966748e-05
2021-01-02 23:00:00,155,30,1766.0,2601.0,5.4520467862998153e-05,3.3143201832156203e-05
2021-01-02 23:15:00,158,33,1732.0,2368.0,5.6152541577758483e-05,3.716735219782943e-05
2021-01-02 23:30:00,158,33,1716.5,2369.5,5.6357681516321265e-05,3.714104028677385e-05
2021-01-02 23:45:00,140,18,1855.5,3896.0,5.135266590028926e-05,2.0850298333018647e-05
2021-01-03 00:00:00,153,24,1699.0,3080.5,5.590019221628186e-05,2.7872654487090893e-05
2021-01-03 00:15:00,173,30,1494.0,2411.0,6.443085396206922e-05,3.601271969259542e-05
2021-01-03 00:30:00,140,26,1795.0,2674.5,5.331913520932902e-05,3.188595619850725e-05
2021-01-03 00:45:00,232,24,1135.0,2801.0,8.737357664865842e-05,2.8478973617790808e-05
2021-01-03 01:00:00,228,24,1075.0,2901.0,8.898057530625125e-05,2.831417407554222e-05
2021-01-03 01:15:00,179,28,1333.0,2388.0,7.258877526109655e-05,3.567137996007353e-05
2021-01-03 01:30:00,169,23,1360.5,2798.5,7.078110085971815e-05,2.9889655190338623e-05
2021-01-03 01:45:00,181,19,1257.5,3252.0,7.868545727553559e-05,2.5884006953261654e-05
2021-01-03 02:00:00,180,26,1266.0,2473.5,7.78934158426553e-05,3.5945512133684116e-05
2021-01-03 02:15:00,159,18,1346.5,3194.0,7.155664045623434e-05,2.6071993464620307e-05
2021-01-03 02:30:00,170,21,1203.0,2734.5,7.89545305502945e-05,3.146119261890458e-05
2021-01-03 02:45:00,188,27,1120.5,2162.5,8.830204560143087e-05,4.13322454278117e-05
2021-01-03 03:00:00,194,36,1125.0,1857.0,8.715125459621791e-05,4.9444980098395505e-05
2021-01-03 03:15:00,183,33,1156.5,1859.5,8.445599035263375e-05,5.002334422730608e-05
2021-01-03 03:30:00,196,36,1057.5,1658.5,9.119935527639452e-05,5.531211396753794e-05
2021-01-03 03:45:00,254,56,785.5,1092.0,0.00012063528249553558,8.811016287792966e-05
2021-01-03 04:00:00,269,56,769.0,1161.5,0.00012474581301576482,8.339227876847474e-05
2021-01-03 04:15:00,231,44,877.5,1403.0,0.00011016987144940627,6.882560062068178e-05
2021-01-03 04:30:00,305,66,663.5,990.5,0.0001414829359982224,9.95757469689746e-05
2021-01-03 04:45:00,276,67,761.0,1017.0,0.00012484033102589805,9.986079107632048e-05
2021-01-03 05:00:00,289,70,738.0,993.5,0.00012840997350044699,9.944509636229837e-05
2021-01-03 05:15:00,297,76,704.0,901.0,0.0001328692602269067,0.00011161271562548647
2021-01-03 05:30:00,350,64,584.5,1088.5,0.00015662758435514186,9.2205866886424e-05
2021-01-03 05:45:00,305,59,655.0,1111.5,0.00013783940127987273,8.801031063164552e-05
2021-01-03 06:00:00,318,67,671.5,1046.5,0.0001393471105850782,9.142214653742032e-05
2021-01-03 06:15:00,300,51,687.0,1308.0,0.00013329316765881214,7.417016672290026e-05
2021-01-03 06:30:00,275,65,790.5,1083.5,0.0001196490237292295,8.977813750419541e-05
2021-01-03 06:45:00,271,46,799.5,1479.5,0.00011770101683254837,6.44912551260033e-05
2021-01-03 07:00:00,302,77,780.5,1010.5,0.0001224515282518382,9.563185956771916e-05
2021-01-03 07:15:00,260,64,905.0,1147.0,0.00010507534104020548,8.32662216260592e-05
2021-01-03 07:30:00,255,44,990.5,1721.0,9.82765757203673e-05,5.3113924539598855e-05
2021-01-03 07:45:00,283,67,912.5,1177.5,0.00010477492273312237,8.048067382744464e-05
2021-01-03 08:00:00,296,66,943.5,1329.0,0.00010236915423711464,7.208065169646181e-05
2021-01-03 08:15:00,309,73,952.0,1177.5,0.0001040043351968846,8.197623363001993e-05
2021-01-03 08:30:00,344,66,879.5,1379.0,0.00011179818607443093,6.971695970676624e-05
2021-01-03 08:45:00,283,74,1067.0,1246.5,9.170366947534808e-05,7.751840538354849e-05
2021-01-03 09:00:00,293,62,1143.5,1577.5,8.781639001506666e-05,5.673909442575002e-05
2021-01-03 09:15:00,315,60,1116.0,1631.0,8.87538953098497e-05,5.73236723837476e-05
2021-01-03 09:30:00,308,64,1153.0,1524.5,8.567385687292092e-05,6.065269885555939e-05
2021-01-03 09:45:00,312,45,1106.0,2112.0,8.608155123369762e-05,4.164707711557897e-05
2021-01-03 10:00:00,336,63,1177.5,1722.0,8.383823412725146e-05,5.220556063800167e-05
2021-01-03 10:15:00,286,61,1370.0,1749.0,7.190238371486429e-05,5.0959841138960795e-05
2021-01-03 10:30:00,270,63,1448.5,1775.0,6.803228459466869e-05,5.07123474906645e-05
2021-01-03 10:45:00,321,72,1183.0,1526.0,8.329553463277827e-05,6.031034699390614e-05
2021-01-03 11:00:00,301,75,1235.5,1532.0,7.836509072126084e-05,5.9470239110008043e-05
2021-01-03 11:15:00,300,62,1220.5,1760.0,7.921601494330906e-05,5.0958848264275874e-05
2021-01-03 11:30:00,300,64,1206.5,1716.0,8.044377074276147e-05,5.22043703214892e-05
2021-01-03 11:45:00,307,59,1193.0,1937.5,8.046376483403235e-05,4.60083111284747e-05
2021-01-03 12:00:00,320,85,1159.5,1523.5,8.324761430547816e-05,6.161121295082192e-05
2021-01-03 12:15:00,419,89,883.5,1386.5,0.0001093429506417048,6.747868545455235e-05
2021-01-03 12:30:00,573,82,633.5,1447.5,0.0001512182969388983,6.342650067487344e-05
2021-01-03 12:45:00,533,78,673.5,1499.5,0.0001449734600649797,6.153894705283671e-05
2021-01-03 13:00:00,543,88,654.0,1412.5,0.00014749971681684199,6.704072343035193e-05
2021-01-03 13:15:00,534,70,679.5,1724.0,0.00014403718425107137,5.402043207085011e-05
2021-01-03 13:30:00,489,83,758.0,1456.5,0.00013107955134873892,6.406337797701746e-05
2021-01-03 13:45:00,458,76,796.0,1558.5,0.00012186607291103457,5.9305501365587205e-05
2021-01-03 14:00:00,433,87,857.0,1419.0,0.00011469569748095933,6.641900774583051e-05
2021-01-03 14:15:00,399,78,915.0,1514.5,0.00010692137714733764,6.1030141848133544e-05
2021-01-03 14:30:00,461,103,788.0,1212.5,0.00012287988877370936,8.006909263061174e-05
2021-01-03 14:45:00,477,84,761.0,1393.0,0.0001302804908925197,6.742644497279663e-05
2021-01-03 15:00:00,500,83,704.0,1433.0,0.00013700480640261822,6.505777993069386e-05
2021-01-03 15:15:00,474,92,748.0,1292.5,0.00013099448303193086,7.319846251403303e-05
2021-01-03 15:30:00,500,81,708.5,1469.0,0.0001384303383929622,6.354221988275284e-05
2021-01-03 15:45:00,416,69,852.0,1668.0,0.00011599048766471836,5.520163396836546e-05
2021-01-03 16:00:00,427,77,832.0,1585.0,0.00011812352345595678,5.9012604172574305e-05
2021-01-03 16:15:00,407,107,881.5,1164.5,0.00011266701085008228,8.290987309365407e-05
2021-01-03 16:30:00,386,79,877.5,1460.5,0.00011076002033852395,6.505168315054359e-05
2021-01-03 16:45:00,331,64,1023.5,1720.0,9.566930214880188e-05,5.301080674993229e-05
2021-01-03 17:00:00,383,76,872.5,1476.0,0.00011108871289368694,6.245449450482626e-05
2021-01-03 17:15:00,419,94,794.0,1219.0,0.0001223739613911612,7.874767736238844e-05
2021-01-03 17:30:00,425,79,779.5,1407.5,0.00012500599293436716,6.644210915849809e-05
2021-01-03 17:45:00,369,74,899.0,1455.0,0.00010860163184988604,6.337179030445865e-05
2021-01-03 18:00:00,333,62,971.0,1695.5,9.92240855293739e-05,5.2632964025369095e-05
2021-01-03 18:15:00,365,53,894.0,1937.0,0.00010831368354955514,4.586076326154826e-05
2021-01-03 18:30:00,346,66,948.0,1571.0,0.00010341672726707547,5.801300194431455e-05
2021-01-03 18:45:00,315,54,1036.5,1870.5,9.475394056070268e-05,4.746026082050002e-05
2021-01-03 19:00:00,304,55,1103.0,1939.5,9.022316283826636e-05,4.62645964801895e-05
2021-01-03 19:15:00,335,62,991.5,1666.0,0.00010017103831018934,5.438176702149308e-05
2021-01-03 19:30:00,278,36,1158.0,2687.5,8.3925111027186e-05,3.129857800127281e-05
2021-01-03 19:45:00,294,40,1103.5,2469.5,8.89970845887018e-05,3.5105210315315006e-05
2021-01-03 20:00:00,294,52,1085.0,1914.5,9.03930066558769e-05,4.680013104036691e-05
2021-01-03 20:15:00,237,41,1338.0,2300.5,7.262578049731193e-05,3.762510346903454e-05
2021-01-03 20:30:00,272,37,1188.5,2557.5,8.236214635753408e-05,3.372226343832198e-05
2021-01-03 20:45:00,262,42,1174.5,2216.5,8.087755231187866e-05,3.930140811330783e-05
2021-01-03 21:00:00,253,33,1214.5,2738.0,7.781139011124876e-05,3.063913229977327e-05
2021-01-03 21:15:00,263,53,1175.5,1789.5,8.133188853263667e-05,4.9708641706675874e-05
2021-01-03 21:30:00,275,48,1095.5,1887.5,8.733471904420882e-05,4.671123697194406e-05
2021-01-03 21:45:00,257,47,1189.5,1881.0,8.04635955455103e-05,4.632522674720028e-05
2021-01-03 22:00:00,223,32,1437.5,2781.0,6.7856477768027e-05,3.054000454282568e-05
2021-01-03 22:15:00,213,27,1461.0,3152.5,6.59224139611912e-05,2.605609201081617e-05
2021-01-03 22:30:00,210,37,1507.0,2512.0,6.486588669041582e-05,3.472095146667868e-05
2021-01-03 22:45:00,228,49,1423.0,2037.5,6.967940444890771e-05,4.467802643480291e-05
2021-01-03 23:00:00,200,45,1630.0,2183.5,6.0055785819447694e-05,4.10062010488475e-05
2021-01-03 23:15:00,257,48,1247.0,2078.5,7.909108646533009e-05,4.443045707832719e-05
2021-01-03 23:30:00,220,36,1386.0,2510.5,6.974732130657023e-05,3.5292768217685795e-05
2021-01-03 23:45:00,218,42,1320.0,2033.0,7.18459938278359e-05,4.418443424461976e-05
2021-01-04 00:00:00,195,27,1453.0,2926.5,6.645082076986854e-05,2.9078189096540667e-05
2021-01-04 00:15:00,170,29,1612.5,2607.0,6.0546657966942946e-05,3.342157397173918e-05
2021-01-04 00:30:00,168,30,1522.5,2450.5,6.202028875612774e-05,3.542598566900793e-05
2021-01-04 00:45:00,152,28,1603.0,2499.5,5.80404327983431e-05,3.483978055915359e-05
2021-01-04 01:00:00,136,32,1788.0,2236.0,5.19352962584056e-05,3.969809598007156e-05
2021-01-04 01:15:00,165,30,1398.5,2225.5,6.654567453115548e-05,3.9390601139964e-05
2021-01-04 01:30:00,140,27,1603.5,2359.5,5.845216170707032e-05,3.6823471007653835e-05
2021-01-04 01:45:00,136,28,1605.0,2235.0,5.825186994927375e-05,3.9631764292912704e-05
2021-01-04 02:00:00,144,36,1524.5,1837.5,6.171963768858242e-05,4.997827333395344e-05
2021-01-04 02:15:00,166,38,1349.5,1737.5,7.124763187464537e-05,5.3432999939536344e-05
2021-01-04 02:30:00,190,54,1222.5,1234.5,8.234815325598096e-05,7.827187300243657e-05
2021-01-04 02:45:00,182,57,1260.0,1140.0,7.832606019917199e-05,8.416787504171478e-05
2021-01-04 03:00:00,169,41,1395.0,1704.5,7.069384545237786e-05,5.387017812634265e-05
2021-01-04 03:15:00,210,47,1066.5,1400.0,9.197726146901704e-05,6.787679927675104e-05
