time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,169,53,1752.0,1878.0,5.4572831965083724e-05,4.669438962503524e-05
2021-01-02 16:15:00,157,67,1823.0,1500.5,5.19864451139033e-05,6.0787129822256616e-05
2021-01-02 16:30:00,163,74,1733.0,1375.0,5.4538872162891216e-05,6.790903493002158e-05
2021-01-02 16:45:00,165,60,1770.0,1679.5,5.439926887382633e-05,5.428729378745258e-05
2021-01-02 17:00:00,173,67,1647.5,1494.5,5.737240360855837e-05,6.023441075013418e-05
2021-01-02 17:15:00,163,66,1709.5,1470.5,5.547578311895743e-05,6.200891988917316e-05
2021-01-02 17:30:00,144,56,1972.0,1686.5,4.868893216042598e-05,5.318891277113286e-05
2021-01-02 17:45:00,162,66,1771.0,1442.0,5.420873978734112e-05,6.320688763539203e-05
2021-01-02 18:00:00,129,51,2145.0,1858.5,4.321356142054031e-05,4.751647237709073e-05
2021-01-02 18:15:00,121,56,2251.0,1686.5,4.072076425807272e-05,5.361175705832289e-05
2021-01-02 18:30:00,128,53,2100.0,1749.0,4.4106159390700976e-05,5.1277536278856924e-05
2021-01-02 18:45:00,134,52,2015.0,1755.0,4.620880864035753e-05,5.07708875825149e-05
2021-01-02 19:00:00,139,62,2006.0,1594.5,4.655346917122098e-05,5.7099966384697204e-05
2021-01-02 19:15:00,138,58,2026.5,1593.0,4.671014998019896e-05,5.62888198757764e-05
2021-01-02 19:30:00,137,63,2004.0,1444.0,4.738007221829694e-05,6.296228559093103e-05
2021-01-02 19:45:00,122,51,2182.5,1713.5,4.282072017431543e-05,5.1691319709798854e-05
2021-01-02 20:00:00,140,61,1957.0,1481.0,4.878188157292299e-05,6.10586773889708e-05
2021-01-02 20:15:00,139,52,1932.5,1691.5,4.9067228457015705e-05,5.326444465158395e-05
2021-01-02 20:30:00,129,56,2068.0,1554.5,4.56283931696064e-05,5.800061522081145e-05
2021-01-02 20:45:00,133,54,1999.5,1598.5,4.686245306267272e-05,5.6485651075580946e-05
2021-01-02 21:00:00,145,63,1869.0,1435.0,5.047233402521041e-05,6.451143849243936e-05
2021-01-02 21:15:00,139,56,1959.5,1561.5,4.8537231024299686e-05,5.8182966728693875e-05
2021-01-02 21:30:00,140,55,1969.0,1572.0,4.8360593163401126e-05,5.755281255362876e-05
2021-01-02 21:45:00,122,50,2222.5,1677.0,4.235181724010564e-05,5.304983501501311e-05
2021-01-02 22:00:00,183,52,1568.0,1689.5,6.193209872991818e-05,5.400684017402666e-05
2021-01-02 22:15:00,198,60,1433.0,1419.0,6.805636854654625e-05,6.359940852550071e-05
2021-01-02 22:30:00,194,60,1469.0,1387.0,6.62272002621778e-05,6.467977581989701e-05
2021-01-02 22:45:00,156,42,1775.0,1924.0,5.422950133540147e-05,4.624618606602414e-05
2021-01-02 23:00:00,157,50,1739.0,1641.0,5.5223957770907814e-05,5.523866972026033e-05
