time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,964,199,304.0,556.5,0.0003112911835168089,0.00017532421764871722
2021-01-02 16:15:00,1041,180,274.0,623.0,0.00034469993225205936,0.00016330870698516705
2021-01-02 16:30:00,955,177,300.5,614.5,0.00031953756389914786,0.00016243107003532188
2021-01-02 16:45:00,966,187,299.0,585.5,0.000318482992315856,0.00016919539897089386
2021-01-02 17:00:00,993,206,289.0,546.0,0.000329310964065309,0.00018519833753026329
2021-01-02 17:15:00,926,175,302.0,602.5,0.000315156902872114,0.00016441759061523183
2021-01-02 17:30:00,901,228,312.0,475.0,0.00030464394358710976,0.0002165548591396124
2021-01-02 17:45:00,873,177,332.0,587.5,0.00029212487552067164,0.00016950938047673316
2021-01-02 18:00:00,836,204,346.0,529.0,0.0002800506771129589,0.0001900658895083629
2021-01-02 18:15:00,878,198,341.5,537.5,0.00029547794230237886,0.00018955585531335595
2021-01-02 18:30:00,796,199,365.0,538.5,0.0002742851787109217,0.0001925326362168401
2021-01-02 18:45:00,724,169,403.0,615.5,0.0002496655034001407,0.0001650053846431734
2021-01-02 19:00:00,708,196,442.5,578.5,0.00023712126743326943,0.00018050957115162345
2021-01-02 19:15:00,663,194,466.0,553.0,0.0002244118075135645,0.00018827639751552795
2021-01-02 19:30:00,680,198,437.0,525.0,0.00023517116137548847,0.00019788146900006896
2021-01-02 19:45:00,711,192,394.0,526.0,0.0002495535413437563,0.00019460261537806623
2021-01-02 20:00:00,715,167,389.0,607.0,0.0002491360380331424,0.00016716064137636268
2021-01-02 20:15:00,670,134,416.0,726.5,0.0002365111011956872,0.00013725837660215863
2021-01-02 20:30:00,716,128,390.5,750.5,0.00025325526751502465,0.00013257283479042617
2021-01-02 20:45:00,726,179,375.0,551.0,0.00025580557085338643,0.0001872394730097961
2021-01-02 21:00:00,663,149,419.5,665.5,0.00023078039626699652,0.000152574671990055
2021-01-02 21:15:00,694,155,396.0,621.5,0.00024233696640909346,0.00016104214005263482
2021-01-02 21:30:00,675,128,418.5,734.5,0.00023316714560925542,0.00013394109103389963
2021-01-02 21:45:00,856,142,309.0,653.0,0.0002971570127666429,0.00015066153144263722
2021-01-02 22:00:00,807,189,339.0,527.5,0.00027311040259586866,0.0001962940921709815
2021-01-02 22:15:00,734,165,375.0,590.5,0.0002522897702685099,0.00017489837344512695
2021-01-02 22:30:00,816,162,335.0,578.5,0.0002785638938862736,0.0001746353947137219
2021-01-02 22:45:00,760,153,360.5,611.0,0.00026419500650580203,0.0001684682492405165
2021-01-02 23:00:00,705,138,383.0,661.0,0.0002479801925381529,0.0001524587284279185
2021-01-02 23:15:00,768,198,342.0,471.0,0.00027294399956783865,0.00022300411318697656
2021-01-02 23:30:00,727,175,368.0,526.5,0.0002593166738124402,0.00019696006212683104
2021-01-02 23:45:00,693,152,367.0,588.5,0.00025419569620643183,0.0001760691859232686
2021-01-03 00:00:00,668,132,396.0,660.0,0.0002440609699377535,0.00015329959967899992
2021-01-03 00:15:00,641,116,405.0,711.0,0.00023872934907333165,0.00013924918281136897
2021-01-03 00:30:00,624,132,413.0,622.0,0.00023765100264729503,0.0001618825468539599
2021-01-03 00:45:00,547,113,480.5,725.0,0.00020600580356386277,0.00013408850078376508
2021-01-03 01:00:00,489,122,513.5,675.5,0.00019083991809103884,0.00014393038488400627
2021-01-03 01:15:00,444,113,543.5,693.5,0.00018005260455825067,0.00014395949769601104
2021-01-03 01:30:00,471,109,501.5,707.5,0.00019726567162678846,0.00014165097459769175
2021-01-03 01:45:00,419,94,527.0,776.0,0.0001821503126986156,0.0001280577186108735
2021-01-03 02:00:00,389,94,578.0,775.5,0.00016833632645996062,0.0001299568515602426
2021-01-03 02:15:00,385,93,559.0,744.0,0.00017326607909213978,0.0001347052995672049
2021-01-03 02:30:00,366,73,565.5,906.0,0.00016998445989063404,0.0001093650981514302
2021-01-03 02:45:00,359,97,577.0,688.5,0.00016861933176017915,0.00014848991875917537
2021-01-03 03:00:00,332,78,640.5,921.5,0.00014914544601002242,0.00010713079021319028
2021-01-03 03:15:00,356,91,602.0,723.0,0.00016429689926523292,0.00013794316135408644
2021-01-03 03:30:00,326,78,633.5,832.0,0.00015168872357196233,0.00011984291359633221
2021-01-03 03:45:00,374,98,541.5,648.5,0.00017762832934382005,0.0001541927850363769
2021-01-03 04:00:00,351,93,583.0,734.5,0.00016277241772689015,0.00013849074866907412
2021-01-03 04:15:00,285,64,693.5,986.0,0.0001359238673726441,0.0001001099645391735
2021-01-03 04:30:00,340,83,599.0,789.0,0.00015771868275211683,0.0001252240454306802
2021-01-03 04:45:00,337,83,615.0,838.5,0.00015243185346278131,0.00012370814416917312
2021-01-03 05:00:00,319,87,669.0,790.0,0.00014173972853509547,0.00012359604833599942
2021-01-03 05:15:00,362,83,571.5,822.0,0.00016194839125299742,0.00012189283416993916
2021-01-03 05:30:00,325,86,632.5,806.0,0.000145439899758346,0.00012390163362863222
2021-01-03 05:45:00,315,76,636.5,864.0,0.00014235872591199968,0.00011336921369500103
2021-01-03 06:00:00,347,97,599.0,741.0,0.0001520548659528998,0.00013235743603178766
2021-01-03 06:15:00,323,104,637.0,642.5,0.0001435123105126544,0.00015124896743493383
2021-01-03 06:30:00,347,90,613.5,790.5,0.00015097531357833682,0.0001243081903904244
2021-01-03 06:45:00,378,109,557.5,647.5,0.00016417337403211544,0.00015281623497248606
2021-01-03 07:00:00,390,107,586.5,746.5,0.00015813276827224138,0.00013289102563306427
2021-01-03 07:15:00,397,104,574.5,703.5,0.00016044196304985218,0.00013530761014234622
2021-01-03 07:30:00,416,110,587.0,748.5,0.0001603257078418541,0.00013278481134899712
2021-01-03 07:45:00,540,100,463.0,802.0,0.00019992388083351967,0.00012012040869767856
2021-01-03 08:00:00,582,123,464.5,735.5,0.00020127989110135377,0.0001343321236161334
2021-01-03 08:15:00,632,124,449.5,712.0,0.00021272084092048885,0.0001392473009605818
2021-01-03 08:30:00,635,119,466.0,812.5,0.0002063716516199525,0.00012570179098644215
2021-01-03 08:45:00,746,154,376.5,610.5,0.00024173476123183623,0.0001613220868792766
2021-01-03 09:00:00,1288,205,254.0,561.0,0.00038603245849626566,0.0001876050702786896
2021-01-03 09:15:00,1089,172,327.5,610.0,0.00030683489521405184,0.00016432786083340976
2021-01-03 09:30:00,1063,192,332.0,568.0,0.00029568607096076274,0.00018195809656667815
2021-01-03 09:45:00,1001,182,353.0,594.5,0.0002761783102081132,0.00016843928966745272
2021-01-03 10:00:00,990,208,418.0,589.0,0.00024702336841065167,0.00017236121607467218
2021-01-03 10:15:00,910,198,424.0,599.0,0.0002287803118200228,0.00016541063189367606
2021-01-03 10:30:00,988,189,392.0,670.5,0.0002489477673316025,0.0001521370424719935
