time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,156,50,1893.5,1978.0,5.0374921813923434e-05,4.4051310967014375e-05
2021-01-02 16:15:00,182,58,1588.0,1715.0,6.0264541469620386e-05,5.262169447299826e-05
2021-01-02 16:30:00,172,49,1652.0,1965.0,5.7550220932621396e-05,4.496679339960888e-05
2021-01-02 16:45:00,190,55,1539.5,1801.0,6.264158233955761e-05,4.9763352638498186e-05
2021-01-02 17:00:00,195,54,1473.0,1827.5,6.466831620617852e-05,4.85471370224962e-05
2021-01-02 17:15:00,201,55,1380.0,1729.5,6.840878777245671e-05,5.1674099907644285e-05
2021-01-02 17:30:00,192,59,1503.0,1608.0,6.491857621390129e-05,5.6038318812443555e-05
2021-01-02 17:45:00,168,59,1713.5,1595.0,5.6216470890575974e-05,5.650312682557772e-05
2021-01-02 18:00:00,172,67,1654.5,1474.0,5.761808189405375e-05,6.242360096598193e-05
2021-01-02 18:15:00,910,90,332.5,1115.5,0.00030624707004005107,8.616175241516178e-05
2021-01-02 18:30:00,506,73,577.0,1314.5,0.00017435716134136479,7.062754996899159e-05
2021-01-02 18:45:00,463,71,622.5,1342.0,0.00015966177910810102,6.932178881458765e-05
2021-01-02 19:00:00,403,70,755.5,1449.0,0.0001349715688921011,6.446770398272264e-05
2021-01-02 19:15:00,363,64,834.5,1462.5,0.00012286800320878422,6.211180124223604e-05
2021-01-02 19:30:00,327,64,917.0,1421.5,0.000113089661426154,6.396168694951724e-05
2021-01-02 19:45:00,346,61,842.5,1454.0,0.00012144237033043557,6.182687259407313e-05
2021-01-02 20:00:00,364,62,807.0,1458.0,0.00012683289208959976,6.205963931338016e-05
2021-01-02 20:15:00,482,77,599.5,1196.5,0.0001701467922034645,7.887235073407625e-05
2021-01-02 20:30:00,496,60,578.0,1449.5,0.00017543940319476569,6.214351630801227e-05
2021-01-02 20:45:00,449,73,624.0,1234.5,0.0001582048227454139,7.636023200958164e-05
2021-01-02 21:00:00,386,69,732.5,1313.5,0.00013436083402573254,7.065538501552882e-05
2021-01-02 21:15:00,320,57,885.5,1530.5,0.0001117403879696108,5.9221948277420544e-05
2021-01-02 21:30:00,375,52,756.5,1650.5,0.00012953730311625298,5.441356823252173e-05
2021-01-02 21:45:00,343,61,830.5,1413.5,0.00011907109273242815,6.472079871831599e-05
2021-01-02 22:00:00,395,64,755.5,1396.5,0.0001336785737612988,6.646995713726357e-05
2021-01-02 22:15:00,269,40,1079.0,2037.5,9.246041989404517e-05,4.239960568366714e-05
2021-01-02 22:30:00,331,76,874.5,1128.5,0.0001129958932308291,8.19277160385362e-05
2021-01-02 22:45:00,328,56,857.0,1506.0,0.00011402100280776721,6.166158142136551e-05
2021-01-02 23:00:00,285,56,990.5,1484.0,0.00010024731187712564,6.186731008669156e-05
2021-01-02 23:15:00,319,59,873.0,1418.5,0.00011337127065382884,6.645072059611928e-05
2021-01-02 23:30:00,269,45,1043.5,1808.5,9.595073625247099e-05,5.064687311832798e-05
2021-01-02 23:45:00,304,52,878.5,1526.0,0.00011150864595491384,6.02341951842761e-05
2021-01-03 00:00:00,318,42,867.5,1877.5,0.00011618471323384072,4.877714535240907e-05
2021-01-03 00:15:00,300,38,889.0,1950.0,0.00011172980455850154,4.561611161062087e-05
2021-01-03 00:30:00,227,51,1150.0,1499.0,8.64531692322692e-05,6.254552946630267e-05
2021-01-03 00:45:00,209,43,1248.5,1712.5,7.871154103262762e-05,5.102482773187521e-05
2021-01-03 01:00:00,225,38,1087.0,1954.0,8.780977826274792e-05,4.483077561960851e-05
2021-01-03 01:15:00,202,39,1190.5,1825.0,8.191582459632127e-05,4.968513637295957e-05
2021-01-03 01:30:00,178,42,1288.0,1670.0,7.455050859780964e-05,5.4581109478009664e-05
2021-01-03 01:45:00,196,36,1148.5,1860.5,8.520635152488938e-05,4.904338159565367e-05
2021-01-03 02:00:00,144,32,1566.5,2073.5,6.231473267412424e-05,4.424063031838046e-05
2021-01-03 02:15:00,115,20,1845.5,2933.0,5.1754802845704075e-05,2.896888162735589e-05
2021-01-03 02:30:00,131,28,1556.5,2141.0,6.084143236522694e-05,4.194825682520611e-05
2021-01-03 02:45:00,89,19,2240.5,2940.0,4.180256414110291e-05,2.908565418994157e-05
2021-01-03 03:00:00,93,26,2246.5,2452.0,4.177869421365085e-05,3.571026340439676e-05
2021-01-03 03:15:00,89,17,2237.5,3301.5,4.107422481630822e-05,2.5769601571642527e-05
2021-01-03 03:30:00,85,20,2329.0,2795.0,3.955074080864048e-05,3.072895220418774e-05
2021-01-03 03:45:00,83,18,2351.5,3022.0,3.942019073673012e-05,2.8321123782191683e-05
2021-01-03 04:00:00,102,32,2003.0,1954.0,4.7301386347985166e-05,4.765273072484271e-05
2021-01-03 04:15:00,82,28,2399.0,2074.0,3.910791973528707e-05,4.3798109485888397e-05
2021-01-03 04:30:00,94,24,2147.0,2460.5,4.360457699617347e-05,3.620936253417259e-05
2021-01-03 04:45:00,93,21,2232.5,2761.0,4.2065763715248246e-05,3.12996509343691e-05
2021-01-03 05:00:00,106,23,2006.0,2735.0,4.709846778909129e-05,3.267481737618375e-05
2021-01-03 05:15:00,89,20,2343.0,2975.0,3.9816040943416476e-05,2.937176726986486e-05
2021-01-03 05:30:00,107,18,2004.5,3222.0,4.788329007428623e-05,2.5932900061806744e-05
2021-01-03 05:45:00,92,22,2245.5,2657.0,4.157778661556817e-05,3.28174039643424e-05
2021-01-03 06:00:00,108,35,1988.0,1904.5,4.732543378361147e-05,4.775783774342852e-05
