time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,622,199,487.0,556.5,0.00020085385492474598,0.00017532421764871722
2021-01-02 16:15:00,602,213,497.0,526.0,0.00019933656024566742,0.00019324863659911436
2021-01-02 16:30:00,660,178,445.0,609.5,0.00022083224311354727,0.00016334875969653838
2021-01-02 16:45:00,721,201,416.5,553.5,0.0002377083203516896,0.00018186243418796613
2021-01-02 17:00:00,751,171,387.5,650.0,0.0002490559254914875,0.000153732600571238
2021-01-02 17:15:00,678,170,427.0,622.0,0.00023075203039664503,0.00015971994516908236
2021-01-02 17:30:00,691,174,411.0,601.5,0.00023363925085315517,0.00016526555039601994
2021-01-02 17:45:00,716,170,415.0,611.0,0.00023958924498602616,0.00016280561966691885
2021-01-02 18:00:00,731,209,400.0,516.5,0.0002448768480497284,0.00019472436719239142
2021-01-02 18:15:00,744,214,405.0,501.5,0.0002503822199008769,0.00020487350018716247
2021-01-02 18:30:00,723,180,401.5,589.0,0.0002491308846834125,0.00017415012321121218
2021-01-02 18:45:00,693,137,425.5,729.5,0.00023897540587886401,0.00013376176151547195
2021-01-02 19:00:00,672,157,467.0,699.5,0.00022506425383496758,0.00014459185036124942
2021-01-02 19:15:00,704,175,442.0,597.5,0.00023828946076855117,0.0001698369565217391
2021-01-02 19:30:00,647,176,463.5,577.5,0.00022375844324991332,0.0001758946391111724
2021-01-02 19:45:00,650,172,445.5,581.5,0.00022814318125659858,0.00017433150960951768
2021-01-02 20:00:00,653,192,440.0,549.0,0.00022753263333656225,0.00019218468948659664
2021-01-02 20:15:00,632,160,453.5,621.5,0.0002230970387398124,0.00016389059892795061
2021-01-02 20:30:00,649,174,430.0,579.0,0.00022955679974476402,0.0001802161972932356
2021-01-02 20:45:00,672,205,408.0,478.0,0.00023677871021139898,0.0002144362679721128
2021-01-02 21:00:00,597,153,471.5,646.5,0.00020780678215896972,0.0001566706363387813
2021-01-02 21:15:00,623,149,448.0,651.5,0.00021754456782833604,0.00015480825076027475
2021-01-02 21:30:00,597,173,479.0,560.0,0.0002062233865610748,0.000181029755850505
2021-01-02 21:45:00,574,188,492.5,515.0,0.00019926182865426755,0.00019946737965644928
2021-01-02 22:00:00,596,154,489.0,644.5,0.00020170235433350403,0.00015994333436154047
2021-01-02 22:15:00,644,176,447.0,550.5,0.00022135505729280704,0.00018655826500813544
2021-01-02 22:30:00,595,153,488.5,613.5,0.00020311950595874116,0.00016493342834073737
2021-01-02 22:45:00,554,147,511.5,626.0,0.00019258425474238727,0.00016186165123108448
2021-01-02 23:00:00,541,138,512.0,661.0,0.0001902940200895613,0.0001524587284279185
2021-01-02 23:15:00,556,124,494.5,718.5,0.00019760008302046654,0.0001396591415918439
2021-01-02 23:30:00,573,147,474.5,630.5,0.0002043857690433676,0.00016544645218653802
2021-01-02 23:45:00,532,143,500.0,613.5,0.0001951401304210992,0.00016564403675675926
2021-01-03 00:00:00,522,165,514.5,546.5,0.0001907183028555499,0.00019162449959874992
2021-01-03 00:15:00,515,156,502.5,554.0,0.00019180283115876102,0.0001872661424014962
2021-01-03 00:30:00,485,121,537.5,665.5,0.00018471271840374693,0.00014839233461612987
2021-01-03 00:45:00,481,111,545.0,734.0,0.00018114952744829608,0.00013171525298228252
2021-01-03 01:00:00,525,125,477.0,659.5,0.0002048894826130785,0.00014746965664344904
2021-01-03 01:15:00,460,104,526.5,738.0,0.00018654098670449392,0.00013249369699455885
2021-01-03 01:30:00,449,117,524.0,664.5,0.0001880515638225648,0.0001520473764030269
2021-01-03 01:45:00,506,133,436.0,578.0,0.00021997149934486747,0.0001811880486728316
2021-01-03 02:00:00,460,144,485.0,522.0,0.00019906095159789687,0.00019908283643271208
2021-01-03 02:15:00,475,145,455.0,496.0,0.00021376983784095164,0.00021002439179833025
2021-01-03 02:30:00,483,121,413.0,565.0,0.00022432375444583676,0.00018127639556606928
2021-01-03 02:45:00,510,131,393.0,513.5,0.00023954278328047735,0.00020053793152012344
2021-01-03 03:00:00,592,151,343.0,512.5,0.00026594609649979896,0.0002073942220793812
2021-01-03 03:15:00,505,127,407.5,532.0,0.00023306161272174892,0.00019251408232932944
2021-01-03 03:30:00,490,127,413.5,535.5,0.0002279983881909864,0.00019512884649659212
2021-01-03 03:45:00,473,105,413.5,610.0,0.0002246475929936548,0.00016520655539611808
2021-01-03 04:00:00,465,124,429.5,554.5,0.00021563867305699117,0.0001846543315587655
2021-01-03 04:15:00,456,110,420.0,584.0,0.00021747818779623056,0.00017206400155170444
2021-01-03 04:30:00,456,116,440.0,590.0,0.0002115285862793096,0.00017501191891516752
2021-01-03 04:45:00,439,82,471.0,846.0,0.00019856849753756967,0.00012221768460086982
2021-01-03 05:00:00,455,85,466.5,815.0,0.0002021679513588352,0.00012075475986850516
2021-01-03 05:15:00,452,101,461.0,683.0,0.0002022118034429691,0.00014832742471281753
2021-01-03 05:30:00,489,112,428.0,638.0,0.0002188311107133268,0.00016136026705124197
2021-01-03 05:45:00,531,134,377.0,509.0,0.0002399761379659424,0.00019988782414644918
2021-01-03 06:00:00,525,136,396.0,573.5,0.00023005419200366683,0.0001855733123744651
2021-01-03 06:15:00,502,137,415.0,518.0,0.000223043900549079,0.000199241428255634
