time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,123,82,2325.5,1269.5,3.971868835328577e-05,7.224414998590356e-05
2021-01-02 16:15:00,110,61,2472.5,1635.5,3.642362396515517e-05,5.5343506256084385e-05
2021-01-02 16:30:00,125,77,2185.0,1327.0,4.182428846847486e-05,7.066210391367109e-05
2021-01-02 16:45:00,111,70,2465.0,1456.0,3.6595871787846805e-05,6.333517608536134e-05
2021-01-02 17:00:00,110,67,2461.0,1494.5,3.64795629881007e-05,6.023441075013418e-05
2021-01-02 17:15:00,123,71,2183.0,1388.0,4.186209401001083e-05,6.670656533532263e-05
2021-01-02 17:30:00,117,77,2346.0,1272.5,3.9559757380346114e-05,7.313475506030768e-05
2021-01-02 17:45:00,123,68,2226.0,1402.5,4.115848761631456e-05,6.512224786676755e-05
2021-01-02 18:00:00,106,60,2553.0,1622.5,3.550881791145173e-05,5.5901732208342026e-05
2021-01-02 18:15:00,105,62,2519.0,1541.0,3.533620038923666e-05,5.9355873886000344e-05
2021-01-02 18:30:00,134,82,2021.0,1180.5,4.617363561214008e-05,7.933505612955222e-05
2021-01-02 18:45:00,112,62,2348.5,1503.5,3.8622287818806295e-05,6.053451980992161e-05
2021-01-02 19:00:00,130,77,2121.5,1330.0,4.353921577164552e-05,7.091447438099493e-05
2021-01-02 19:15:00,111,66,2449.5,1415.5,3.757120759276873e-05,6.40527950310559e-05
2021-01-02 19:30:00,99,54,2623.5,1660.0,3.423815437672553e-05,5.396767336365517e-05
2021-01-02 19:45:00,103,56,2509.0,1566.0,3.615191949143024e-05,5.6759096151935985e-05
2021-01-02 20:00:00,106,57,2473.5,1583.0,3.693485319092741e-05,5.705482969133337e-05
2021-01-02 20:15:00,102,60,2550.5,1492.0,3.600616764471656e-05,6.145897459798148e-05
2021-01-02 20:30:00,98,62,2606.5,1414.0,3.466343046993354e-05,6.421496685161268e-05
2021-01-02 20:45:00,93,61,2766.5,1437.0,3.276848221675611e-05,6.380786510389699e-05
2021-01-02 21:00:00,110,63,2406.0,1435.0,3.828935684671135e-05,6.451143849243936e-05
2021-01-02 21:15:00,106,62,2457.0,1429.0,3.701400351493358e-05,6.441685602105393e-05
2021-01-02 21:30:00,89,50,2932.0,1720.0,3.074351993959071e-05,5.232073868511705e-05
2021-01-02 21:45:00,102,57,2609.0,1493.5,3.540889638107193e-05,6.047681191711494e-05
2021-01-02 22:00:00,122,72,2314.0,1258.0,4.128806581994545e-05,7.477870177942153e-05
2021-01-02 22:15:00,105,58,2555.0,1459.0,3.609049847165332e-05,6.147942824131735e-05
2021-01-02 22:30:00,97,44,2791.0,1829.5,3.311360013108889e-05,4.743183560125781e-05
2021-01-02 22:45:00,111,59,2451.5,1425.0,3.858637595018951e-05,6.496488042608152e-05
2021-01-02 23:00:00,284,38,995.5,2111.0,9.989556692317081e-05,4.198138898739785e-05
2021-01-02 23:15:00,181,44,1531.5,1829.0,6.43266457314828e-05,4.9556469597105896e-05
2021-01-02 23:30:00,174,52,1563.0,1572.0,6.206478850531582e-05,5.852527560340122e-05
2021-01-02 23:45:00,149,42,1756.0,1831.5,5.4653908708165e-05,4.865069611037685e-05
2021-01-03 00:00:00,143,44,1825.5,1793.0,5.2246584881884353e-05,5.109986655966664e-05
2021-01-03 00:15:00,142,53,1825.5,1453.5,5.28854408243574e-05,6.362247145691858e-05
2021-01-03 00:30:00,132,46,1896.0,1633.5,5.027232748308165e-05,5.641361481274359e-05
2021-01-03 00:45:00,108,31,2283.0,2267.0,4.067390637092719e-05,3.6785340922979796e-05
2021-01-03 01:00:00,122,41,1959.5,1815.0,4.7612413102467765e-05,4.8370047379051284e-05
2021-01-03 01:15:00,102,37,2226.0,1898.5,4.1363436182300826e-05,4.713718066152574e-05
2021-01-03 01:30:00,82,26,2603.0,2490.5,3.434349272483365e-05,3.378830586733931e-05
2021-01-03 01:45:00,80,37,2631.5,1821.5,3.4778102663220154e-05,5.040569775108849e-05
2021-01-03 02:00:00,70,29,2969.5,2246.0,3.0291883938810394e-05,4.0093071226032285e-05
2021-01-03 02:15:00,88,32,2361.0,1965.5,3.960367522106052e-05,4.6350210603769425e-05
2021-01-03 02:30:00,96,35,2082.5,1755.0,4.4586087840166296e-05,5.243532103150763e-05
2021-01-03 02:45:00,82,31,2426.5,1928.0,3.8514722017645376e-05,4.745554104674677e-05
2021-01-03 03:00:00,78,28,2615.0,2307.0,3.504019514693297e-05,3.845720674319651e-05
2021-01-03 03:15:00,94,25,2127.5,2347.5,4.338176553632554e-05,3.78964728994743e-05
2021-01-03 03:30:00,88,40,2252.5,1514.0,4.094664930776897e-05,6.145790440837548e-05
2021-01-03 03:45:00,69,20,2760.5,2775.5,3.277100193776359e-05,3.1467915313546306e-05
2021-01-03 04:00:00,81,33,2507.5,1891.0,3.756286562928234e-05,4.914187855999405e-05
2021-01-03 04:15:00,83,37,2375.5,1616.5,3.9584845585717405e-05,5.787607324920968e-05
2021-01-03 04:30:00,75,34,2617.5,1814.5,3.4790885901202234e-05,5.129659692341117e-05
2021-01-03 04:45:00,93,45,2232.5,1436.0,4.2065763715248246e-05,6.707068057364809e-05
2021-01-03 05:00:00,114,45,1863.5,1510.0,5.065306913166421e-05,6.392899051862039e-05
2021-01-03 05:15:00,91,40,2297.0,1631.0,4.071078343652696e-05,5.874353453972972e-05
