time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,39,15,6074.0,5596.0,1.2593730453480859e-05,1.3215393290104315e-05
2021-01-02 16:15:00,49,15,4912.5,5385.0,1.6225068857205492e-05,1.3609058915430588e-05
2021-01-02 16:30:00,33,11,6699.5,6892.5,1.1041612155677363e-05,1.0094586273381586e-05
2021-01-02 16:45:00,41,20,5701.0,4265.0,1.351739408379927e-05,1.8095764595817526e-05
2021-01-02 17:00:00,36,14,6318.0,5770.0,1.1938766068832954e-05,1.2586294783610127e-05
2021-01-02 17:15:00,53,22,4534.5,3797.0,1.8038138069354255e-05,2.066963996305772e-05
2021-01-02 17:30:00,43,12,5352.5,6251.0,1.4539056131238312e-05,1.1397624165242755e-05
2021-01-02 17:45:00,33,12,6513.0,6156.5,1.104252106779171e-05,1.1492161388253094e-05
2021-01-02 18:00:00,24,9,8446.0,8005.0,8.039732357309825e-06,8.385259831251302e-06
2021-01-02 18:15:00,29,10,7183.0,7189.5,9.759522012265365e-06,9.573528046129088e-06
2021-01-02 18:30:00,30,10,6932.5,7177.5,1.033738110719554e-05,9.675006845067342e-06
2021-01-02 18:45:00,38,18,5767.0,4319.0,1.3103990509952135e-05,1.757453800933208e-05
2021-01-02 19:00:00,27,16,7657.5,4982.5,9.042760198726376e-06,1.4735475196050891e-05
2021-01-02 19:15:00,36,15,6074.5,5073.0,1.218525651657364e-05,1.4557453416149066e-05
2021-01-02 19:30:00,18,9,10245.5,7558.0,6.225118977586459e-06,8.994612227275862e-06
2021-01-02 19:45:00,46,12,4919.5,5914.0,1.6145517442774672e-05,1.216266346112914e-05
2021-01-02 20:00:00,33,12,6502.0,6027.0,1.149858637076042e-05,1.2011543092912289e-05
2021-01-02 20:15:00,43,17,5223.0,4397.0,1.5179070673753055e-05,1.7413376136094755e-05
2021-01-02 20:30:00,33,14,6467.0,5145.0,1.1672379648038844e-05,1.4500153805202862e-05
2021-01-02 20:45:00,35,9,6234.5,7339.5,1.2332224490177029e-05,9.41427517926349e-06
2021-01-02 21:00:00,31,15,7019.0,4971.0,1.0790636929527742e-05,1.5359866307723653e-05
2021-01-02 21:15:00,35,17,6317.5,4434.5,1.2221604934176182e-05,1.7662686328353495e-05
2021-01-02 21:30:00,36,20,6279.5,3842.0,1.2435581099160287e-05,2.092829547404682e-05
2021-01-02 21:45:00,40,21,5732.5,3636.0,1.3885841718067425e-05,2.2280930706305505e-05
2021-01-02 22:00:00,43,27,5608.5,3029.0,1.4552351067685694e-05,2.804201316728307e-05
2021-01-02 22:15:00,35,15,6440.0,4758.5,1.2030166157217773e-05,1.5899852131375178e-05
2021-01-02 22:30:00,34,16,6598.0,4450.0,1.1606828911928065e-05,1.72479402186392e-05
2021-01-02 22:45:00,59,20,4237.0,3637.5,2.0509875505055687e-05,2.20219933647734e-05
2021-01-02 23:00:00,82,12,3153.0,5634.5,2.8843086224295802e-05,1.325728073286248e-05
2021-01-02 23:15:00,61,14,4036.0,4920.0,2.167914579900802e-05,1.576796759907915e-05
2021-01-02 23:30:00,68,22,3662.5,3346.5,2.425520470322687e-05,2.47606935245159e-05
2021-01-02 23:45:00,50,18,4654.0,3896.0,1.8340237821531877e-05,2.0850298333018647e-05
