time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,184,47,1598.5,2105.0,5.9416574447191734e-05,4.1408232308993515e-05
2021-01-02 16:15:00,144,38,1962.5,2437.5,4.768183500893041e-05,3.447628258575749e-05
2021-01-02 16:30:00,181,39,1570.5,2390.5,6.05615697023516e-05,3.5789896787443797e-05
2021-01-02 16:45:00,185,44,1581.0,2185.0,6.099311964641135e-05,3.981068211079856e-05
2021-01-02 17:00:00,152,29,1865.0,3128.0,5.040812340173915e-05,2.607161062319241e-05
2021-01-02 17:15:00,154,23,1799.5,3668.5,5.241270306944445e-05,2.1609169052287613e-05
2021-01-02 17:30:00,167,40,1701.0,2267.0,5.6465636602716236e-05,3.799208055080919e-05
2021-01-02 17:45:00,136,36,2052.0,2455.0,4.5508571673323404e-05,3.447648416475929e-05
2021-01-02 18:00:00,149,36,1897.0,2533.0,4.9913338384965164e-05,3.354103932500522e-05
2021-01-02 18:15:00,141,31,1967.5,2798.5,4.7451469094117795e-05,2.9677936943000172e-05
2021-01-02 18:30:00,140,34,1933.0,2542.5,4.824111183357919e-05,3.289502327322897e-05
2021-01-02 18:45:00,123,28,2175.5,3013.5,4.241554822958192e-05,2.733817023673879e-05
2021-01-02 19:00:00,136,37,2044.0,2520.0,4.554871803802916e-05,3.407578639086769e-05
2021-01-02 19:15:00,143,43,1963.0,2084.0,4.840254671861197e-05,4.173136645962733e-05
2021-01-02 19:30:00,181,29,1545.5,2855.0,6.259702971906384e-05,2.8982639399e-05
2021-01-02 19:45:00,142,32,1906.0,2580.5,4.984051036682616e-05,3.243376922967771e-05
2021-01-02 20:00:00,140,30,1957.0,2794.0,4.878188157292299e-05,3.002885773228072e-05
2021-01-02 20:15:00,137,28,1956.5,2868.5,4.836122516986439e-05,2.868085481239136e-05
2021-01-02 20:30:00,111,20,2352.5,3838.0,3.926164063431248e-05,2.071450543600409e-05
2021-01-02 20:45:00,103,28,2518.0,2842.0,3.629197492823527e-05,2.928885611326419e-05
2021-01-02 21:00:00,131,38,2058.0,2255.5,4.559914315381078e-05,3.8911661312899936e-05
2021-01-02 21:15:00,99,29,2614.5,2766.5,3.4569682528098344e-05,3.013046491307361e-05
2021-01-02 21:30:00,88,23,2966.5,3374.0,3.0398087131280705e-05,2.406753979515384e-05
2021-01-02 21:45:00,104,18,2564.5,4162.5,3.6103188466975306e-05,1.9097940605404722e-05
2021-01-02 22:00:00,135,36,2106.5,2352.0,4.568761381715276e-05,3.738935088971077e-05
2021-01-02 22:15:00,99,32,2681.0,2489.0,3.4028184273273134e-05,3.391968454693371e-05
2021-01-02 22:30:00,81,25,3263.5,3044.5,2.7651562996063923e-05,2.694990659162375e-05
2021-01-02 22:45:00,100,27,2700.0,2861.5,3.4762500856026585e-05,2.9729691042444092e-05
2021-01-02 23:00:00,76,25,3366.5,3014.0,2.673261650056684e-05,2.7619334860130165e-05
2021-01-02 23:15:00,77,30,3261.0,2571.5,2.7365479123337992e-05,3.378850199802676e-05
2021-01-02 23:30:00,68,29,3662.5,2630.5,2.425520470322687e-05,3.263909600958915e-05
2021-01-02 23:45:00,61,14,3933.0,4823.0,2.237509014226889e-05,1.621689870345895e-05
2021-01-03 00:00:00,93,31,2660.0,2450.0,3.397854820989681e-05,3.600217871249241e-05
2021-01-03 00:15:00,85,24,2849.5,2964.5,3.16567779582421e-05,2.8810175754076342e-05
2021-01-03 00:30:00,87,24,2758.5,2864.0,3.313403402294018e-05,2.9433190337083613e-05
2021-01-03 00:45:00,79,20,2984.0,3302.0,2.975220928984489e-05,2.3732478014825682e-05
2021-01-03 01:00:00,96,30,2450.5,2403.0,3.746550539210577e-05,3.539271759442777e-05
2021-01-03 01:15:00,80,23,2776.0,2835.5,3.2441910731216336e-05,2.930149068148897e-05
2021-01-03 01:30:00,94,29,2319.0,2257.0,3.936936970895565e-05,3.7686956544340004e-05
2021-01-03 01:45:00,75,27,2803.0,2379.0,3.26044712467689e-05,3.6782536196740255e-05
2021-01-03 02:00:00,93,28,2320.5,2316.0,4.024493151870524e-05,3.8710551528582895e-05
2021-01-03 02:15:00,73,23,2786.5,2614.0,3.28530487629252e-05,3.331421387145928e-05
2021-01-03 02:30:00,70,20,2786.5,2855.0,3.2510689050121274e-05,2.996304058943293e-05
2021-01-03 02:45:00,88,27,2266.5,2162.5,4.133287240918041e-05,4.13322454278117e-05
2021-01-03 03:00:00,61,20,3236.0,3081.0,2.7403229537986042e-05,2.7469433387997504e-05
2021-01-03 03:15:00,75,25,2618.5,2347.5,3.4613110800259744e-05,3.78964728994743e-05
2021-01-03 03:30:00,92,19,2158.0,2909.0,4.280786063994029e-05,2.9192504593978357e-05
2021-01-03 03:45:00,89,20,2207.5,2775.5,4.226984307914434e-05,3.1467915313546306e-05
2021-01-03 04:00:00,63,18,3148.0,3247.5,2.921556215610849e-05,2.6804661032724028e-05
2021-01-03 04:15:00,81,19,2423.5,2892.5,3.8630993884856754e-05,2.9720145722567134e-05
2021-01-03 04:30:00,124,26,1657.5,2304.0,5.752093135665436e-05,3.922680941202029e-05
2021-01-03 04:45:00,120,29,1737.0,2086.5,5.427840479386871e-05,4.322332748079543e-05
2021-01-03 05:00:00,106,29,2006.0,2248.5,4.709846778909129e-05,4.1198682778666465e-05
2021-01-03 05:15:00,99,23,2112.5,2620.5,4.4289753408968895e-05,3.3777532360344594e-05
2021-01-03 05:30:00,101,24,2110.0,2536.0,4.519824577105522e-05,3.457720008240899e-05
2021-01-03 05:45:00,86,21,2385.0,2761.0,3.886619183629199e-05,3.132570378414502e-05
2021-01-03 06:00:00,98,24,2189.5,2637.5,4.294344917401781e-05,3.2748231595493846e-05
2021-01-03 06:15:00,105,25,2009.0,2436.0,4.6652608680584254e-05,3.63579248641668e-05
2021-01-03 06:30:00,98,23,2206.5,2712.5,4.263856118350723e-05,3.1767648655330684e-05
2021-01-03 06:45:00,113,30,1909.5,2162.5,4.9078283771505405e-05,4.205951421261085e-05
2021-01-03 07:00:00,106,29,2168.0,2413.5,4.2979675479122014e-05,3.601719386316695e-05
2021-01-03 07:15:00,94,19,2403.5,3388.5,3.7988777145305055e-05,2.4719659545236332e-05
2021-01-03 07:30:00,102,24,2359.0,2898.5,3.931063028814692e-05,2.8971231567053914e-05
2021-01-03 07:45:00,107,26,2352.0,2766.0,3.9614546757752975e-05,3.1231306261396424e-05
2021-01-03 08:00:00,99,24,2709.0,3221.0,3.423833199146739e-05,2.6211146071440666e-05
2021-01-03 08:15:00,124,27,2247.5,2843.0,4.173636752237439e-05,3.0319976822062164e-05
2021-01-03 08:30:00,122,24,2344.0,3303.5,3.964935668918772e-05,2.5351621711551363e-05
