time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,2623,1224,110.0,105.0,0.0008470091020379562,0.0010783760924725119
2021-01-02 16:15:00,2573,1277,110.5,96.0,0.0008519816769304024,0.001158584549000324
2021-01-02 16:30:00,2542,1235,112.0,98.0,0.0008505387302949048,0.0011333467316023869
2021-01-02 16:45:00,2440,1192,120.0,103.0,0.0008044497942553713,0.0010785075699107243
2021-01-02 17:00:00,2661,1165,107.0,103.0,0.000882473791921236,0.001047359530207557
2021-01-02 17:15:00,2539,1205,109.0,98.0,0.0008641289161903862,0.001132132552522025
2021-01-02 17:30:00,2505,1216,114.0,97.0,0.0008469845490407435,0.0011549592487445992
2021-01-02 17:45:00,2600,1183,109.0,99.0,0.0008700168114017711,0.0011329355768586178
2021-01-02 18:00:00,2744,1188,105.0,99.0,0.00091920939951909,0.0011068542977251722
2021-01-02 18:15:00,2608,1185,108.0,98.5,0.0008776839106202783,0.0011344630734662971
2021-01-02 18:30:00,2593,1210,105.0,94.0,0.0008934943070319346,0.0011706758282531485
2021-01-02 18:45:00,2592,1144,106.0,100.0,0.0008938300895209457,0.0011169595268153275
2021-01-02 19:00:00,2474,1198,113.0,101.0,0.000828584767838854,0.0011033187053043107
2021-01-02 19:15:00,2487,1203,112.0,92.0,0.0008417981376866291,0.0011675077639751552
2021-01-02 19:30:00,2361,1091,116.0,101.0,0.0008165281058934239,0.0010903468822175515
2021-01-02 19:45:00,2348,1109,114.0,98.0,0.0008241233686007592,0.001124032814866018
2021-01-02 20:00:00,2277,1032,120.0,102.0,0.0007934024595824689,0.0010329927059904568
2021-01-02 20:15:00,2241,1102,121.0,98.0,0.0007910766832530372,0.0011287965001162599
2021-01-02 20:30:00,2143,1003,128.0,104.0,0.000757997260174159,0.0010388324476156053
2021-01-02 20:45:00,2295,1030,120.0,99.0,0.0008086415772844653,0.0010774114927379328
2021-01-02 21:00:00,2321,1053,119.5,99.0,0.0008079054294656094,0.0010782626148022009
2021-01-02 21:15:00,2338,1060,121.0,100.0,0.0008164032096029688,0.0011013204416502767
2021-01-02 21:30:00,2188,1013,131.0,104.0,0.0007558069845822975,0.0010600181657604718
2021-01-02 21:45:00,2268,965,126.0,107.0,0.0007873272254144229,0.0010238618157897526
2021-01-02 22:00:00,2250,963,128.0,107.0,0.0007614602302858793,0.0010001651362997626
2021-01-02 22:15:00,2310,963,120.0,113.0,0.0007939909663763732,0.0010207705068342864
2021-01-02 22:30:00,2271,993,120.0,104.0,0.0007752678958526069,0.0010704502898192952
2021-01-02 22:45:00,2159,960,124.5,105.0,0.0007505223934816138,0.0010570556815091233
2021-01-02 23:00:00,2090,825,131.0,114.0,0.000735146953765588,0.0009114380503842957
2021-01-02 23:15:00,2168,947,126.0,102.0,0.0007704981654467112,0.0010665903797377114
2021-01-02 23:30:00,2038,917,132.0,107.0,0.0007269427527231817,0.0010320707255445946
