time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,273,112,1107.5,983.5,8.815611317436601e-05,9.86749365661122e-05
2021-01-02 16:15:00,292,137,1022.5,784.5,9.668816543477556e-05,0.00012429607142759935
2021-01-02 16:30:00,310,123,946.5,852.0,0.00010372423540181764,0.00011287582832963044
2021-01-02 16:45:00,316,137,961.5,796.0,0.00010418284220684317,0.00012395598748135006
2021-01-02 17:00:00,291,115,1011.5,937.5,9.650502572306639e-05,0.00010338742143679748
2021-01-02 17:15:00,314,133,943.0,795.0,0.00010686745950523091,0.0001249573688675762
2021-01-02 17:30:00,260,114,1135.5,891.5,8.791057195632467e-05,0.00010827742956980618
2021-01-02 17:45:00,284,146,1074.0,706.0,9.503260555311652e-05,0.00013982129689041266
2021-01-02 18:00:00,291,123,1007.5,856.0,9.748175483238164e-05,0.00011459855102710118
2021-01-02 18:15:00,244,102,1178.0,991.5,8.211459899974995e-05,9.764998607051668e-05
2021-01-02 18:30:00,267,111,1066.5,897.5,9.200269185404032e-05,0.00010739257598024752
2021-01-02 18:45:00,268,97,1080.5,1011.5,9.241761728071506e-05,9.47072326058451e-05
2021-01-02 19:00:00,274,117,1103.0,907.0,9.176727016485288e-05,0.00010775316237112216
2021-01-02 19:15:00,311,132,972.5,774.5,0.00010526707712928897,0.0001281055900621118
2021-01-02 19:30:00,298,121,1002.5,797.5,0.00010306030307337582,0.00012092756438893103
2021-01-02 19:45:00,245,94,1157.5,998.0,8.599242985825641e-05,9.527419711217829e-05
2021-01-02 20:00:00,256,116,1122.5,838.0,8.920115487620202e-05,0.00011611158323148545
2021-01-02 20:15:00,236,99,1185.5,944.0,8.330838788385399e-05,0.00010140730808666944
2021-01-02 20:30:00,243,112,1149.5,835.0,8.595115922646786e-05,0.0001160012304416229
2021-01-02 20:45:00,249,105,1132.5,879.0,8.773496851583087e-05,0.00010983321042474072
2021-01-02 21:00:00,249,98,1134.5,948.0,8.667318049846477e-05,0.00010035112654379456
2021-01-02 21:15:00,273,97,1043.0,959.0,9.532851848657422e-05,0.00010078121022648758
2021-01-02 21:30:00,237,98,1200.0,922.0,8.186757556947189e-05,0.00010254864782282942
2021-01-02 21:45:00,322,108,889.0,835.5,0.00011178102583044274,0.0001145876436324283
2021-01-02 22:00:00,259,88,1142.0,1057.0,8.765253317513008e-05,9.13961910637374e-05
2021-01-02 22:15:00,313,101,924.0,883.5,0.00010758405734883323,0.00010705900435125955
2021-01-02 22:30:00,246,85,1187.5,1035.5,8.397882095100893e-05,9.162968241152076e-05
2021-01-02 22:45:00,254,87,1118.0,1001.0,8.829675217430752e-05,9.579567113676429e-05
2021-01-02 23:00:00,271,100,1047.0,888.0,9.532288252175806e-05,0.00011047733944052066
2021-01-02 23:15:00,248,95,1137.0,912.5,8.813816652711457e-05,0.00010699692299375138
2021-01-02 23:30:00,249,92,1129.5,936.0,8.881685251622779e-05,0.00010354471837524831
2021-01-02 23:45:00,228,93,1191.0,907.0,8.363148446618538e-05,0.000107726541387263
2021-01-03 00:00:00,232,96,1164.0,867.5,8.476369015802218e-05,0.0001114906179483636
2021-01-03 00:15:00,214,92,1253.0,880.0,7.970059391839775e-05,0.00011043900705729265
2021-01-03 00:30:00,186,76,1392.0,1034.5,7.083827963525141e-05,9.320510273409812e-05
2021-01-03 00:45:00,186,75,1379.0,1043.5,7.004950541659683e-05,8.899679255559629e-05
2021-01-03 01:00:00,179,73,1357.5,1089.5,6.985755692903058e-05,8.612227947977424e-05
2021-01-03 01:15:00,163,75,1452.5,1013.5,6.61003931148533e-05,9.554833917876839e-05
2021-01-03 01:30:00,169,63,1360.5,1177.0,7.078110085971815e-05,8.18716642170145e-05
2021-01-03 01:45:00,136,55,1612.5,1304.0,5.912277452747427e-05,7.492738854891533e-05
2021-01-03 02:00:00,149,74,1513.5,975.0,6.447843866975356e-05,0.00010230645761125482
2021-01-03 02:15:00,177,71,1203.5,968.5,7.965739220599671e-05,0.00010283952977711341
2021-01-03 02:30:00,146,63,1407.0,1042.5,6.780800859025291e-05,9.438357785671374e-05
2021-01-03 02:45:00,139,75,1463.5,868.5,6.528715073722815e-05,0.00011481179285503249
2021-01-03 03:00:00,170,59,1266.0,1182.5,7.636965608946929e-05,8.103482849459264e-05
2021-01-03 03:15:00,244,68,861.0,956.5,0.00011260798713684499,0.00010307840628657008
2021-01-03 03:30:00,124,53,1610.5,1203.0,5.769755129731083e-05,8.143172334109751e-05
