time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,1201,516,249.0,228.5,0.0003878223147341157,0.00045460952917958836
2021-01-02 16:15:00,1163,484,246.0,237.0,0.00038509704246795877,0.00043911896767122685
2021-01-02 16:30:00,1183,483,240.5,232.5,0.0003958250660656461,0.00044324410636757325
2021-01-02 16:45:00,1190,468,245.0,239.0,0.0003923341209688081,0.0004234408915421301
2021-01-02 17:00:00,1196,516,241.0,225.5,0.0003966323393978949,0.00046389486488163036
2021-01-02 17:15:00,1188,477,238.0,228.5,0.00040432656653571433,0.00044815537556266055
2021-01-02 17:30:00,1345,472,209.0,231.5,0.00045476815108175657,0.00044830655049954833
2021-01-02 17:45:00,1283,464,229.0,229.0,0.0004293198342417202,0.00044436357367911975
2021-01-02 18:00:00,1210,454,243.0,236.0,0.0004053365063477037,0.000422989773709788
2021-01-02 18:15:00,1218,456,254.0,231.0,0.00040989992451514524,0.0004365528789034864
2021-01-02 18:30:00,1172,448,245.0,232.0,0.0004038470219211058,0.00043344030665901697
2021-01-02 18:45:00,1165,427,245.0,242.5,0.0004017407616866905,0.00041690709611026655
2021-01-02 19:00:00,1226,476,246.0,243.0,0.00041060829643105697,0.00043838038708251403
2021-01-02 19:15:00,1172,420,247.0,262.0,0.00039669779548400847,0.0004076086956521739
2021-01-02 19:30:00,1241,429,227.0,240.5,0.0004291873695102664,0.0004287431828334828
2021-01-02 19:45:00,1356,463,206.0,222.0,0.00047594177505222717,0.00046927609854189944
2021-01-02 20:00:00,1314,433,212.0,248.0,0.0004578528027630059,0.00043341651326925175
2021-01-02 20:15:00,1202,417,225.0,248.5,0.0004243079755779343,0.0004271398734559713
2021-01-02 20:30:00,1180,405,233.0,251.5,0.00041737599953593454,0.0004194687350790828
2021-01-02 20:45:00,1252,405,223.5,244.5,0.00044114128747718977,0.00042364238306685705
2021-01-02 21:00:00,1171,387,234.0,260.5,0.0004076076078863544,0.0003962845507392704
2021-01-02 21:15:00,1129,402,240.5,252.0,0.0003942340563052831,0.0004176705825881238
2021-01-02 21:30:00,1182,405,238.0,241.0,0.00040830157942242944,0.00042379798334944816
2021-01-02 21:45:00,1099,395,252.0,249.5,0.0003815135012039025,0.0004190936966186035
2021-01-02 22:00:00,1245,451,231.0,221.5,0.0004213413274248532,0.0004684054792016543
