time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,565,263,546.5,435.0,0.0001824476334927355,0.0002317098956864956
2021-01-02 16:15:00,569,249,523.5,456.5,0.00018840947305612086,0.0002259103779961477
2021-01-02 16:30:00,516,226,575.0,486.5,0.00017265066279786422,0.00020739786343493082
2021-01-02 16:45:00,550,260,561.0,441.0,0.00018133089624608782,0.00023524493974562784
2021-01-02 17:00:00,536,260,560.5,444.5,0.00017775496146929068,0.00023374547455275952
2021-01-02 17:15:00,528,225,552.0,487.0,0.00017970069623809526,0.00021139404507672664
2021-01-02 17:30:00,549,235,525.0,463.5,0.00018562655386162406,0.000223203473236004
2021-01-02 17:45:00,523,249,586.0,436.5,0.00017500722783197166,0.0002384623488062517
2021-01-02 18:00:00,562,256,521.0,442.0,0.0001882637327003384,0.00023851405742225933
2021-01-02 18:15:00,494,214,603.0,501.5,0.00016624840945031344,0.00020487350018716247
2021-01-02 18:30:00,497,214,589.0,499.0,0.00017125594700920612,0.00020704514648444116
2021-01-02 18:45:00,530,231,551.5,459.5,0.00018276618342827976,0.00022553990445309502
2021-01-02 19:00:00,505,234,605.0,504.0,0.00016913310742062298,0.00021550632474224432
2021-01-02 19:15:00,513,250,585.5,438.0,0.00017363990536117439,0.00024262422360248447
2021-01-02 19:30:00,539,234,552.5,454.5,0.0001864077293843945,0.00023385991790917242
2021-01-02 19:45:00,504,227,575.0,455.5,0.00017689871285127032,0.00023007705047302623
2021-01-02 20:00:00,504,202,578.5,517.0,0.00017561477366252276,0.00020219430873069018
2021-01-02 20:15:00,550,233,521.0,445.0,0.0001941509039666089,0.0002386656846888281
2021-01-02 20:30:00,537,226,524.0,448.5,0.00018994145063626848,0.0002340739114268462
2021-01-02 20:45:00,512,210,541.5,467.5,0.00018040282682773253,0.00021966642084948144
2021-01-02 21:00:00,540,200,523.5,494.5,0.0001879659336111284,0.00020479821743631544
2021-01-02 21:15:00,563,218,502.0,457.0,0.00019659324508403402,0.00022649797762241543
2021-01-02 21:30:00,553,215,518.5,457.0,0.0001910243429954344,0.00022497917634600333
2021-01-02 21:45:00,547,201,513.0,479.0,0.000189888885494572,0.00021326033676035268
2021-01-02 22:00:00,563,223,520.5,448.5,0.00019053427095597775,0.0002316062569001528
2021-01-02 22:15:00,602,223,479.0,447.0,0.00020691885790414567,0.00023637780168644432
2021-01-02 22:30:00,499,174,578.5,548.5,0.0001703472831485913,0.0001875713498777013
2021-01-02 22:45:00,552,201,514.0,478.5,0.00019188900472526675,0.00022132103331597267
2021-01-02 23:00:00,475,177,586.5,528.5,0.00016707885312854272,0.0001955448908097216
2021-01-02 23:15:00,497,216,561.0,425.5,0.00017663172888699976,0.00024327721438579262
2021-01-02 23:30:00,460,182,584.5,506.5,0.00016407932593359354,0.00020483846461190425
2021-01-02 23:45:00,480,190,551.5,475.5,0.00017606628308670602,0.00022008648240408573
2021-01-03 00:00:00,455,172,595.5,520.0,0.00016623913371508658,0.00019975402382415143
2021-01-03 00:15:00,451,187,578.5,471.5,0.00016796713951961397,0.00022447928608384482
2021-01-03 00:30:00,476,163,542.5,513.5,0.00018128505971171867,0.0001999004177060262
2021-01-03 00:45:00,442,190,598.5,461.0,0.0001664617279254613,0.000225458541140844
2021-01-03 01:00:00,463,173,536.0,500.0,0.00018069301038067684,0.00020409800479453347
2021-01-03 01:15:00,455,194,531.5,436.5,0.00018451336728379287,0.0002471517040090809
2021-01-03 01:30:00,435,170,544.5,479.0,0.00018218804067442242,0.00022092353836337245
2021-01-03 01:45:00,484,181,455.5,430.0,0.00021040752111248196,0.0002465792241337032
2021-01-03 02:00:00,420,181,536.5,421.0,0.0001817513036328624,0.0002502360652383395
2021-01-03 02:15:00,370,169,588.5,424.5,0.00016651545263400444,0.00024478704975115735
