time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,245,60,1208.5,1694.0,7.91144605410977e-05,5.286157316041725e-05
2021-01-02 16:15:00,227,58,1268.5,1715.0,7.516511490991114e-05,5.262169447299826e-05
2021-01-02 16:30:00,223,45,1285.0,2117.0,7.461453062775915e-05,4.129603475474285e-05
2021-01-02 16:45:00,213,51,1372.0,1922.0,7.022451072803037e-05,4.6144199719334696e-05
2021-01-02 17:00:00,211,50,1361.5,1945.5,6.997443445899316e-05,4.49510527986076e-05
2021-01-02 17:15:00,227,49,1239.0,1925.0,7.725768569327201e-05,4.603692537226491e-05
2021-01-02 17:30:00,209,54,1388.0,1760.0,7.066657514950714e-05,5.12893087435924e-05
2021-01-02 17:45:00,201,43,1449.5,2094.5,6.725899195836769e-05,4.11802449745736e-05
2021-01-02 18:00:00,173,42,1646.0,2191.0,5.7953070742274986e-05,3.9131212545839424e-05
2021-01-02 18:15:00,177,33,1596.5,2662.5,5.956673779899894e-05,3.159264255222599e-05
2021-01-02 18:30:00,153,36,1775.0,2435.5,5.272064364669726e-05,3.483002464224243e-05
2021-01-02 18:45:00,183,45,1532.5,1991.0,6.310605956108529e-05,4.39363450233302e-05
2021-01-02 19:00:00,208,45,1420.0,2119.5,6.966274523463282e-05,4.144352398889314e-05
2021-01-02 19:15:00,180,37,1589.0,2381.0,6.09262825828682e-05,3.5908385093167704e-05
2021-01-02 19:30:00,160,51,1753.0,1758.0,5.533439091187964e-05,5.0969469287896554e-05
2021-01-02 19:45:00,209,51,1338.5,1713.5,7.335680751173709e-05,5.1691319709798854e-05
2021-01-02 20:00:00,209,43,1346.5,2026.5,7.282438034814932e-05,4.3041362749602366e-05
2021-01-02 20:15:00,213,42,1305.0,2039.5,7.518935008161398e-05,4.302128221858704e-05
2021-01-02 20:30:00,207,48,1316.0,1804.0,7.321765415588003e-05,4.9714813046409805e-05
2021-01-02 20:45:00,186,29,1439.5,2758.0,6.553696443351222e-05,3.033488668873791e-05
2021-01-02 21:00:00,227,44,1228.0,1978.5,7.90153091291225e-05,4.50556078359894e-05
2021-01-02 21:15:00,226,36,1241.0,2297.5,7.891664900353764e-05,3.740333575416034e-05
2021-01-02 21:30:00,220,44,1293.0,1927.0,7.599521782820176e-05,4.6042250042903006e-05
2021-01-02 21:45:00,241,42,1189.5,1982.5,8.366219635135622e-05,4.456186141261101e-05
2021-01-02 22:00:00,206,40,1399.0,2130.5,6.971591441728494e-05,4.1543723210789736e-05
2021-01-02 22:15:00,159,30,1751.5,2628.0,5.465132625707503e-05,3.179970426275036e-05
2021-01-02 22:30:00,195,52,1463.0,1584.5,6.656857758311685e-05,5.60558057105774e-05
2021-01-02 22:45:00,222,32,1270.0,2453.5,7.717275190037902e-05,3.523518938363744e-05
2021-01-02 23:00:00,174,29,1591.5,2684.0,6.120362198813987e-05,3.203842843775099e-05
2021-01-02 23:15:00,185,35,1498.5,2228.5,6.574822906256531e-05,3.9419918997697883e-05
2021-01-02 23:30:00,159,27,1701.5,2805.0,5.6714375703133425e-05,3.038812387099679e-05
2021-01-02 23:45:00,160,33,1643.5,2280.0,5.868876102890202e-05,3.822554694386752e-05
2021-01-03 00:00:00,151,23,1720.0,3198.5,5.5169470749402356e-05,2.671129388346211e-05
2021-01-03 00:15:00,158,35,1626.0,2095.5,5.884436373414414e-05,4.201483964136133e-05
2021-01-03 00:30:00,163,29,1549.5,2426.0,6.207870742229022e-05,3.55651049906427e-05
2021-01-03 00:45:00,144,25,1744.5,2694.0,5.423187516123626e-05,2.966559751853209e-05
2021-01-03 01:00:00,146,27,1648.5,2616.0,5.697878945049422e-05,3.185344583498499e-05
2021-01-03 01:15:00,111,14,2067.0,4390.5,4.501315113956267e-05,1.7835689980036767e-05
2021-01-03 01:30:00,120,17,1842.0,3612.0,5.025876984121998e-05,2.2092353836337242e-05
2021-01-03 01:45:00,132,26,1664.0,2465.5,5.738386939431326e-05,3.5420220041305424e-05
2021-01-03 02:00:00,136,33,1643.0,2016.0,5.885280308111733e-05,4.562315001582985e-05
2021-01-03 02:15:00,105,18,2016.5,3194.0,4.72543852069472e-05,2.6071993464620307e-05
2021-01-03 02:30:00,110,27,1848.5,2218.0,5.108822565019056e-05,4.045010479573446e-05
2021-01-03 02:45:00,87,15,2292.0,3610.0,4.0863180677257896e-05,2.2962358571006506e-05
2021-01-03 03:00:00,120,19,1771.5,3228.0,5.3907992533743044e-05,2.6095961718597628e-05
2021-01-03 03:15:00,108,15,1867.0,3662.0,4.9842879552374016e-05,2.273788373968458e-05
2021-01-03 03:30:00,98,18,2037.5,3044.5,4.559967763819727e-05,2.765605698376897e-05
2021-01-03 03:45:00,95,17,2086.0,3177.5,4.511949542155857e-05,2.674772801651436e-05
2021-01-03 04:00:00,97,23,2098.5,2626.0,4.498269093877021e-05,3.425040020848069e-05
2021-01-03 04:15:00,82,21,2399.0,2644.5,3.910791973528707e-05,3.28485821144163e-05
2021-01-03 04:30:00,107,14,1895.5,3908.5,4.963499721904852e-05,2.1122128144934007e-05
2021-01-03 04:45:00,115,32,1822.0,1924.0,5.201680459412418e-05,4.76947061857053e-05
2021-01-03 05:00:00,165,29,1269.0,2248.5,7.331365269056663e-05,4.1198682778666465e-05
2021-01-03 05:15:00,107,22,1980.0,2735.0,4.7868723381410826e-05,3.230894399685135e-05
2021-01-03 05:30:00,160,29,1334.0,2147.5,7.160118141949342e-05,4.1780783432910874e-05
2021-01-03 05:45:00,119,33,1753.0,1873.5,5.377996312231101e-05,4.92261059465136e-05
2021-01-03 06:00:00,109,20,1972.0,3055.0,4.776363224457083e-05,2.729019299624487e-05
2021-01-03 06:15:00,139,29,1518.5,2154.5,6.175916768191629e-05,4.217519284243348e-05
2021-01-03 06:30:00,138,31,1578.5,2070.0,6.004205554412242e-05,4.2817265578923965e-05
2021-01-03 06:45:00,163,24,1329.0,2632.0,7.079433853765825e-05,3.364761137008868e-05
2021-01-03 07:00:00,118,22,1963.5,3056.0,4.7845299118267895e-05,2.732338844791976e-05
2021-01-03 07:15:00,129,24,1788.5,2735.5,5.2133534593025017e-05,3.12248331097722e-05
2021-01-03 07:30:00,148,23,1664.0,3016.0,5.703895375142887e-05,2.776409691842667e-05
2021-01-03 07:45:00,166,39,1565.5,1933.0,6.145808188585975e-05,4.684695939209464e-05
2021-01-03 08:00:00,152,25,1824.0,3118.5,5.2567944067707506e-05,2.7303277157750688e-05
2021-01-03 08:15:00,181,27,1572.5,2843.0,6.092163323830457e-05,3.0319976822062164e-05
2021-01-03 08:30:00,173,43,1692.5,1977.5,5.622408776417602e-05,4.5421655566529526e-05
2021-01-03 08:45:00,181,25,1634.0,3234.5,5.865146351603534e-05,2.618865046741503e-05
2021-01-03 09:00:00,158,42,2007.5,2206.5,4.735491338696427e-05,3.843616074002421e-05
2021-01-03 09:15:00,186,48,1787.5,1961.5,5.240706199248269e-05,4.585893790699807e-05
2021-01-03 09:30:00,178,35,1888.5,2647.0,4.951281338759715e-05,3.316944468663404e-05
2021-01-03 09:45:00,179,45,1860.0,2112.0,4.9386530996256e-05,4.164707711557897e-05
2021-01-03 10:00:00,157,38,2283.0,2710.5,3.917441297017405e-05,3.148906832133434e-05
2021-01-03 10:15:00,195,49,1937.5,2126.0,4.902435253286203e-05,4.093495435752589e-05
2021-01-03 10:30:00,197,56,1907.0,1970.0,4.9638370611665666e-05,4.5077642213924e-05
2021-01-03 10:45:00,199,49,1825.5,2137.5,5.163804171938591e-05,4.104454170418612e-05
2021-01-03 11:00:00,184,60,1914.5,1855.5,4.790424150402656e-05,4.757619128800644e-05
2021-01-03 11:15:00,184,46,1926.5,2295.0,4.858582249856289e-05,3.7808177744462745e-05
2021-01-03 11:30:00,171,47,2024.5,2258.5,4.585294932337404e-05,3.833758445484363e-05
2021-01-03 11:45:00,149,51,2347.0,2197.0,3.905244612466065e-05,3.976989606020694e-05
2021-01-03 12:00:00,162,57,2191.0,2139.5,4.214410474214832e-05,4.1315754567021774e-05
2021-01-03 12:15:00,151,51,2296.0,2240.5,3.940521610238049e-05,3.8667561327889546e-05
2021-01-03 12:30:00,166,45,2090.5,2457.0,4.380844204512586e-05,3.4807225980113474e-05
2021-01-03 12:45:00,168,53,2000.0,2111.5,4.5695199420106156e-05,4.181492556154289e-05
2021-01-03 13:00:00,184,61,1852.0,1970.5,4.998148783480466e-05,4.6471410559675764e-05
2021-01-03 13:15:00,192,58,1815.5,2024.5,5.178865051723915e-05,4.4759786572990094e-05
2021-01-03 13:30:00,172,46,1984.5,2457.5,4.6105690862951096e-05,3.5505004661961484e-05
2021-01-03 13:45:00,160,49,2114.5,2296.0,4.257330058027408e-05,3.8236441669918064e-05
2021-01-03 14:00:00,168,45,2049.0,2548.5,4.450087107806274e-05,3.435465917887784e-05
2021-01-03 14:15:00,149,49,2257.0,2249.5,3.9928033070058425e-05,3.8339448084083896e-05
2021-01-03 14:30:00,156,53,2156.0,2160.0,4.158191463925957e-05,4.1200601062353615e-05
2021-01-03 14:45:00,138,47,2385.5,2308.5,3.7691211201609474e-05,3.772670135382669e-05
2021-01-03 15:00:00,174,44,1931.0,2477.5,4.767767262811114e-05,3.448846165000639e-05
2021-01-03 15:15:00,127,32,2540.5,3205.0,3.5097677943154475e-05,2.546033478748975e-05
2021-01-03 15:30:00,154,60,2147.0,1903.0,4.263654422503236e-05,4.7068311024261356e-05
2021-01-03 15:45:00,158,34,2075.0,3046.5,4.4054079449580516e-05,2.7200805143832262e-05
2021-01-03 16:00:00,120,37,2667.0,2955.5,3.319630635764594e-05,2.8356705901107134e-05
2021-01-03 16:15:00,156,52,2175.5,2211.5,4.318440710715685e-05,4.0292648606261785e-05
2021-01-03 16:30:00,152,52,2130.5,2090.5,4.3615344796517206e-05,4.281882941554768e-05
2021-01-03 16:45:00,202,50,1627.5,2114.0,5.838428711195765e-05,4.14146927733846e-05
2021-01-03 17:00:00,220,50,1488.5,2154.0,6.381074892065569e-05,4.1088483226859376e-05
2021-01-03 17:15:00,191,39,1663.5,2606.0,5.578383442890642e-05,3.267190869290584e-05
2021-01-03 17:30:00,181,53,1759.0,2002.5,5.323784640263636e-05,4.457508589114427e-05
2021-01-03 17:45:00,177,41,1788.5,2458.5,5.209346568409169e-05,3.51113973308487e-05
2021-01-03 18:00:00,171,49,1808.0,2092.0,5.095290878535417e-05,4.159701995553363e-05
2021-01-03 18:15:00,164,49,1892.5,2080.5,4.866697014281382e-05,4.239957358143141e-05
2021-01-03 18:30:00,166,38,1862.5,2512.0,4.961611770616917e-05,3.340142536187807e-05
2021-01-03 18:45:00,167,50,1855.5,1996.0,5.0234628805197934e-05,4.394468594490743e-05
2021-01-03 19:00:00,170,44,1886.5,2354.0,5.0453742376662124e-05,3.70116771841516e-05
2021-01-03 19:15:00,117,26,2581.5,3557.0,3.498510890236464e-05,2.2805257138045485e-05
2021-01-03 19:30:00,122,46,2484.0,2179.0,3.6830444407614e-05,3.9992627446070814e-05
2021-01-03 19:45:00,179,40,1768.5,2469.5,5.418529980060415e-05,3.5105210315315006e-05
2021-01-03 20:00:00,129,32,2318.5,2892.0,3.966223761431333e-05,2.880008064022579e-05
2021-01-03 20:15:00,129,44,2315.0,2176.5,3.953048811879004e-05,4.0378159820427304e-05
2021-01-03 20:30:00,124,43,2447.0,2248.0,3.754744907475818e-05,3.91907385904823e-05
2021-01-03 20:45:00,125,34,2340.0,2674.5,3.858661846940776e-05,3.1815425615534915e-05
2021-01-03 21:00:00,132,45,2264.5,2107.5,4.059724701456457e-05,4.178063495423628e-05
2021-01-03 21:15:00,106,31,2749.5,2879.5,3.278015279262162e-05,2.9074865903904755e-05
2021-01-03 21:30:00,95,28,2927.5,3051.0,3.01701756698176e-05,2.724822156696737e-05
2021-01-03 21:45:00,87,33,3219.5,2646.0,2.7238649075717496e-05,3.252622303526828e-05
2021-01-03 22:00:00,110,35,2718.0,2573.5,3.347180517705368e-05,3.3403129968715584e-05
2021-01-03 22:15:00,183,26,1687.0,3246.5,5.6637566924403696e-05,2.509105156597113e-05
2021-01-03 22:30:00,203,29,1548.5,3078.5,6.270369046740196e-05,2.721371871712653e-05
2021-01-03 22:45:00,185,23,1705.0,3774.0,5.6538113258982155e-05,2.097131853062177e-05
2021-01-03 23:00:00,181,28,1766.5,3282.0,5.435048616660016e-05,2.5514969541505108e-05
2021-01-03 23:15:00,132,19,2299.0,4398.5,4.0622659196200675e-05,1.7587055926837847e-05
2021-01-03 23:30:00,140,16,2162.0,4914.5,4.438465901327197e-05,1.5685674763415908e-05
2021-01-03 23:45:00,173,27,1680.5,3039.0,5.701539877163125e-05,2.840427915725556e-05
