time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,789,129,371.0,855.0,0.00025478085455888196,0.00011365238229489709
2021-01-02 16:15:00,772,131,372.0,825.5,0.0002556276154645436,0.00011885244786142712
2021-01-02 16:30:00,763,154,374.0,696.0,0.00025529545681157056,0.0001413242078273422
2021-01-02 16:45:00,774,116,382.0,934.0,0.00025518202489903987,0.00010495543465574166
2021-01-02 17:00:00,728,127,406.0,851.0,0.00024142838050306647,0.00011417567410846329
2021-01-02 17:15:00,714,120,398.5,866.5,0.00024300435059469702,0.00011274349070758755
2021-01-02 17:30:00,762,133,365.0,775.0,0.0002576455993489208,0.00012632366783144053
2021-01-02 17:45:00,775,126,385.5,811.0,0.0002593319341678356,0.00012066769457665749
2021-01-02 18:00:00,822,114,355.0,926.5,0.0002753608332378615,0.00010621329119584987
2021-01-02 18:15:00,814,143,371.0,723.0,0.00027393968682703465,0.00013690145105964594
2021-01-02 18:30:00,808,110,355.0,902.0,0.0002784201311537999,0.00010642507529574078
2021-01-02 18:45:00,750,123,389.5,806.0,0.00025863139164379216,0.00012009267639710254
2021-01-02 19:00:00,770,129,403.0,834.0,0.00025788612418590036,0.00011880476876816033
2021-01-02 19:15:00,906,134,318.0,763.5,0.0003066622890004366,0.0001300465838509317
2021-01-02 19:30:00,802,127,355.0,763.5,0.0002773636344457966,0.0001269239725404483
2021-01-02 19:45:00,861,137,321.0,718.5,0.0003022019677875868,0.0001388570745145577
2021-01-02 20:00:00,817,99,334.0,958.0,0.0002846771231791292,9.909523051652638e-05
2021-01-02 20:15:00,852,107,321.5,881.0,0.00030075740032645587,0.00010960183803306698
2021-01-02 20:30:00,875,132,301.0,731.0,0.0003094949149101209,0.000136715735877627
2021-01-02 20:45:00,913,114,285.0,811.5,0.00032169488455804647,0.0001192474856040042
2021-01-02 21:00:00,923,105,284.0,876.0,0.0003212825124501324,0.00010751906415406559
