time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,41,15,5846.0,5596.0,1.3239562784428595e-05,1.3215393290104315e-05
2021-01-02 16:15:00,32,12,6866.5,6474.5,1.0595963335317867e-05,1.088724713234447e-05
2021-01-02 16:30:00,20,8,9772.5,8897.0,6.691886154955977e-06,7.341517289732062e-06
2021-01-02 16:45:00,41,7,5701.0,9962.0,1.351739408379927e-05,6.333517608536134e-06
2021-01-02 17:00:00,38,12,6044.5,6545.0,1.2602030850434787e-05,1.0788252671665823e-05
2021-01-02 17:15:00,29,6,7310.0,10962.5,9.869924603986293e-06,5.637174535379378e-06
2021-01-02 17:30:00,25,10,8218.5,7206.0,8.452939611185065e-06,9.498020137702296e-06
2021-01-02 17:45:00,46,14,5025.5,5418.0,1.5392605124800567e-05,1.3407521619628612e-05
2021-01-02 18:00:00,30,7,7119.5,9781.5,1.0049665446637282e-05,6.521868757639902e-06
2021-01-02 18:15:00,30,11,6990.0,6631.5,1.0096057254067618e-05,1.0530880850741998e-05
2021-01-02 18:30:00,35,11,6190.5,6617.5,1.2060277958394796e-05,1.0642507529574076e-05
2021-01-02 18:45:00,26,4,7678.0,14966.5,8.965888243651462e-06,3.9054528909626836e-06
2021-01-02 19:00:00,22,6,8930.0,11175.0,7.368174976740012e-06,5.525803198519085e-06
2021-01-02 19:15:00,28,13,7340.0,5684.5,9.477421735112833e-06,1.2616459627329194e-05
2021-01-02 19:30:00,37,13,5853.0,5567.5,1.2796077898372165e-05,1.299221766162069e-05
2021-01-02 19:45:00,21,5,9084.0,12134.0,7.370779702136262e-06,5.067776442137142e-06
2021-01-02 20:00:00,27,10,7595.0,7007.5,9.407934303349434e-06,1.0009619244093572e-05
2021-01-02 20:15:00,26,10,7718.5,6803.5,9.178042732966963e-06,1.0243162432996913e-05
2021-01-02 20:30:00,21,6,9216.5,10317.5,7.427877957842903e-06,6.214351630801226e-06
2021-01-02 20:45:00,34,2,6378.0,28483.5,1.1979875219029115e-05,2.0920611509474417e-06
2021-01-02 21:00:00,35,4,6369.5,15092.5,1.2182977178499065e-05,4.095964348726309e-06
2021-01-02 21:15:00,41,4,5545.0,14679.5,1.4316737208606384e-05,4.155926194906705e-06
2021-01-02 21:30:00,40,7,5782.5,9178.5,1.381731233240032e-05,7.324903415916388e-06
2021-01-02 21:45:00,37,6,6081.0,10379.0,1.2844403589212368e-05,6.365980201801572e-06
2021-01-02 22:00:00,32,9,7018.0,7542.0,1.0829656608510282e-05,9.347337722427693e-06
2021-01-02 22:15:00,38,10,6054.5,6640.5,1.3061323256407867e-05,1.0599901420916783e-05
2021-01-02 22:30:00,33,13,6761.0,5316.5,1.1265451590989004e-05,1.401395142764435e-05
2021-01-02 22:45:00,24,5,8597.0,11797.0,8.34300020544638e-06,5.5054983411933495e-06
2021-01-02 23:00:00,34,3,6497.0,18611.5,1.1959328434464113e-05,3.31432018321562e-06
2021-01-02 23:15:00,15,3,12212.5,18209.5,5.330937491559349e-06,3.3788501998026758e-06
2021-01-02 23:30:00,20,8,9841.0,7867.5,7.1338837362431974e-06,9.003888554369419e-06
2021-01-02 23:45:00,31,6,6876.0,9816.0,1.1370947449349766e-05,6.950099444339549e-06
2021-01-03 00:00:00,28,7,7496.0,8643.5,1.0230100536313021e-05,8.129524225401511e-06
2021-01-03 00:15:00,29,11,7128.0,5750.0,1.0800547773988485e-05,1.320466388728499e-05
2021-01-03 00:30:00,25,7,7877.0,8270.5,9.521274144523039e-06,8.58468051498272e-06
2021-01-03 00:45:00,16,5,11115.0,10721.0,6.025763906804029e-06,5.9331195037064205e-06
2021-01-03 01:00:00,14,2,12029.0,26150.0,5.46371953634876e-06,2.359514506295184e-06
2021-01-03 01:15:00,56,10,3772.0,5789.5,2.270933751185144e-05,1.2739778557169119e-05
2021-01-03 01:30:00,44,7,4513.0,7763.0,1.8428215608447326e-05,9.096851579668277e-06
2021-01-03 01:45:00,23,3,7577.0,16018.5,9.998704515675797e-06,4.086948466304472e-06
2021-01-03 02:00:00,22,6,7906.5,8571.0,9.52030638076898e-06,8.295118184696336e-06
2021-01-03 02:15:00,26,6,6693.0,8283.0,1.170108586076788e-05,8.690664488206768e-06
2021-01-03 02:30:00,16,3,9759.5,15195.5,7.431014640027718e-06,4.49445608841494e-06
2021-01-03 02:45:00,19,3,8421.0,14919.5,8.924142906527587e-06,4.5924717142013e-06
2021-01-03 03:00:00,17,7,9489.5,7530.0,7.63696560894693e-06,9.614301685799128e-06
2021-01-03 03:15:00,12,2,12205.5,22939.5,5.538097728041558e-06,3.0317178319579436e-06
2021-01-03 03:30:00,11,5,13126.5,9387.5,5.118331163471122e-06,7.682238051046935e-06
2021-01-03 03:45:00,12,2,12068.5,22647.0,5.699304684828452e-06,3.1467915313546306e-06
2021-01-03 04:00:00,28,5,6142.5,9603.5,1.2984694291603772e-05,7.445739175756672e-06
2021-01-03 04:15:00,82,10,2399.0,5092.5,3.910791973528707e-05,1.564218195924586e-05
2021-01-03 04:30:00,135,11,1516.0,4812.5,6.262359462216402e-05,1.6595957828162436e-05
2021-01-03 04:45:00,68,6,2908.5,8175.5,3.07577627165256e-05,8.942757409819742e-06
2021-01-03 05:00:00,67,8,3035.0,6612.0,2.9769786244048267e-05,1.1365153869976958e-05
2021-01-03 05:15:00,52,7,3764.5,7232.0,2.3263304820872554e-05,1.02801185444527e-05
2021-01-03 05:30:00,42,7,4479.0,7161.5,1.8795310122617018e-05,1.0085016690702625e-05
