time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,300,156,1015.5,706.0,9.687484964216044e-05,0.0001374400902170849
2021-01-02 16:15:00,292,152,1022.5,722.0,9.668816543477556e-05,0.00013790513034302995
2021-01-02 16:30:00,280,143,1051.5,752.0,9.368640616938367e-05,0.0001312296215539606
2021-01-02 16:45:00,244,136,1208.5,802.5,8.044497942553712e-05,0.00012305119925155918
2021-01-02 17:00:00,266,139,1118.0,782.5,8.821421595304351e-05,0.0001249639267801291
2021-01-02 17:15:00,264,143,1091.5,733.5,8.985034811904763e-05,0.00013435265975987517
2021-01-02 17:30:00,278,149,1062.5,700.5,9.399668847637792e-05,0.0001415205000517642
2021-01-02 17:45:00,297,153,1033.5,677.5,9.938268961012538e-05,0.00014652505770022695
2021-01-02 18:00:00,324,149,922.5,701.0,0.00010853638682368264,0.00013882263498404937
2021-01-02 18:15:00,289,138,1018.0,745.0,9.725868488085138e-05,0.0001321146870365814
2021-01-02 18:30:00,283,129,1024.5,789.0,9.751596177787794e-05,0.00012480758830136872
2021-01-02 18:45:00,295,136,994.0,735.5,0.0001017283473798916,0.00013278539829273127
2021-01-02 19:00:00,274,136,1103.0,789.0,9.176727016485288e-05,0.00012525153916643258
2021-01-02 19:15:00,279,120,1079.5,849.0,9.443573800344572e-05,0.00011645962732919253
2021-01-02 19:30:00,270,125,1090.5,774.5,9.337678466379688e-05,0.00012492516982327582
2021-01-02 19:45:00,290,136,992.0,723.5,0.00010178695779140552,0.00013784351922613026
2021-01-02 20:00:00,260,118,1108.0,827.5,9.059492292114267e-05,0.00011811350708030418
2021-01-02 20:15:00,299,130,955.0,751.5,0.00010554749142912008,0.0001331611116289599
2021-01-02 20:30:00,261,121,1084.5,788.5,9.231791176176178e-05,0.00012532275788782474
2021-01-02 20:45:00,268,123,1058.5,765.5,9.442960466764126e-05,0.0001286617607832677
2021-01-02 21:00:00,302,122,948.0,770.5,0.0001051216887973348,0.00012492691263615242
2021-01-02 21:15:00,318,121,889.5,782.0,0.00011104201054480074,0.0001257167673959278
2021-01-02 21:30:00,329,125,865.0,748.5,0.00011364739393399262,0.00013080184671279262
2021-01-02 21:45:00,295,110,983.5,823.0,0.00010240808267074724,0.00011670963703302881
2021-01-02 22:00:00,298,119,985.0,800.0,0.000100851177166752,0.0001235925765520995
2021-01-02 22:15:00,300,136,970.0,698.5,0.00010311570991900949,0.00014415865932446828
2021-01-02 22:30:00,299,109,976.0,813.0,0.00010207181896077916,0.00011750159273947957
2021-01-02 22:45:00,292,106,975.0,825.5,0.00010150650249959762,0.000116716564833299
2021-01-02 23:00:00,301,112,939.0,797.0,0.00010587523114040285,0.00012373462017338313
2021-01-02 23:15:00,274,100,1034.0,875.0,9.737845817915078e-05,0.00011262833999342251
2021-01-02 23:30:00,256,105,1097.5,826.5,9.131371182391292e-05,0.0001181760372760986
2021-01-02 23:45:00,287,113,933.0,753.5,0.000105272965095593,0.00013089353953506152
2021-01-03 00:00:00,282,114,965.5,751.5,0.00010303172683000972,0.00013239510881368177
2021-01-03 00:15:00,276,127,976.5,660.0,0.0001027914201938214,0.00015245384669865396
2021-01-03 00:30:00,234,92,1111.0,867.0,8.911912599273564e-05,0.00011282722962548721
2021-01-03 00:45:00,243,97,1087.0,818.0,9.15162893345862e-05,0.00011510251837190456
2021-01-03 01:00:00,245,76,1002.5,1060.5,9.56150918861033e-05,8.9661551239217e-05
2021-01-03 01:15:00,222,85,1082.5,896.0,9.002630227912534e-05,0.00010828811773593753
2021-01-03 01:30:00,254,90,922.0,845.0,0.0001063810628305823,0.0001169595203100207
2021-01-03 01:45:00,233,75,976.5,970.0,0.00010129122400662869,0.00010217371165761179
2021-01-03 02:00:00,236,82,980.5,876.5,0.00010212692299370362,0.00011336661519084992
2021-01-03 02:15:00,194,79,1104.5,869.0,8.730810219188341e-05,0.00011442708242805582
2021-01-03 02:30:00,233,73,899.5,906.0,0.00010821415069540364,0.0001093650981514302
2021-01-03 02:45:00,234,79,894.0,830.0,0.00010990786526986608,0.00012093508847396758
2021-01-03 03:00:00,187,72,1155.0,1001.0,8.400662169841624e-05,9.888996019679101e-05
2021-01-03 03:15:00,188,68,1119.5,956.5,8.676353107265107e-05,0.00010307840628657008
2021-01-03 03:30:00,224,86,928.0,748.5,0.00010422783460159376,0.0001321344944780073
2021-01-03 03:45:00,194,57,1054.0,1074.5,9.213875907139327e-05,8.968355864360699e-05
2021-01-03 04:00:00,190,62,1088.5,1070.0,8.811042555016845e-05,9.232716577938276e-05
2021-01-03 04:15:00,195,71,1046.0,900.0,9.300054083391441e-05,0.00011105949191064561
2021-01-03 04:30:00,227,78,906.5,846.0,0.00010530041466097209,0.00011768042823606091
2021-01-03 04:45:00,210,68,1013.0,1004.5,9.498720838927024e-05,0.00010135125064462375
2021-01-03 05:00:00,241,64,878.5,1084.5,0.00010708236544500943,9.092123095981566e-05
2021-01-03 05:15:00,214,58,994.0,1150.5,9.573744676282168e-05,8.517812508260809e-05
2021-01-03 05:30:00,200,59,1046.0,1159.0,8.950147677436678e-05,8.50022835359221e-05
2021-01-03 05:45:00,204,59,1041.5,1111.5,9.21942224953903e-05,8.801031063164552e-05
2021-01-03 06:00:00,239,78,894.0,903.0,0.00010472943216928832,0.000106431752685355
