time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,239,108,1238.5,1011.0,7.71769635482545e-05,9.515083168875104e-05
2021-01-02 16:15:00,264,101,1122.5,1055.0,8.741669751637242e-05,9.163433003056594e-05
2021-01-02 16:30:00,214,83,1322.5,1234.0,7.160318185802896e-05,7.616824188097015e-05
2021-01-02 16:45:00,213,88,1372.0,1199.5,7.022451072803037e-05,7.962136422159711e-05
2021-01-02 17:00:00,263,106,1128.5,1009.0,8.721931878064077e-05,9.52962319330481e-05
2021-01-02 17:15:00,222,98,1257.5,1054.0,7.555597455465367e-05,9.207385074452982e-05
2021-01-02 17:30:00,237,111,1230.5,910.5,8.013386751403442e-05,0.00010542802352849548
2021-01-02 17:45:00,227,97,1310.0,1045.0,7.59591600723854e-05,9.289497122171252e-05
2021-01-02 18:00:00,219,108,1306.0,966.5,7.336255776045216e-05,0.00010062311797501564
2021-01-02 18:15:00,239,83,1195.0,1193.0,8.043192279073868e-05,7.946028278287142e-05
2021-01-02 18:30:00,253,91,1125.5,1072.5,8.717858067068238e-05,8.804256229011282e-05
2021-01-02 18:45:00,218,76,1294.5,1262.0,7.517552450446225e-05,7.4203604928291e-05
2021-01-02 19:00:00,232,84,1280.0,1233.0,7.770075430016739e-05,7.736124477926719e-05
2021-01-02 19:15:00,226,98,1302.5,1006.0,7.649633257626786e-05,9.510869565217393e-05
2021-01-02 19:30:00,219,93,1297.0,1034.0,7.573894756063525e-05,9.294432634851723e-05
2021-01-02 19:45:00,179,89,1522.0,1057.5,6.2827122222971e-05,9.020642067004113e-05
2021-01-02 20:00:00,177,83,1548.0,1139.0,6.167423598862406e-05,8.307983972597667e-05
2021-01-02 20:15:00,216,95,1288.0,980.5,7.624835501234094e-05,9.731004311347068e-05
2021-01-02 20:30:00,207,84,1316.0,1087.0,7.321765415588003e-05,8.700092283121718e-05
2021-01-02 20:45:00,202,85,1338.5,1080.5,7.117455277187887e-05,8.891259891526629e-05
2021-01-02 21:00:00,205,90,1341.5,1029.5,7.135743775978024e-05,9.215919784634194e-05
2021-01-02 21:15:00,211,89,1318.5,1037.5,7.367881831746213e-05,9.246935783667418e-05
2021-01-02 21:30:00,215,93,1326.0,970.5,7.426805378665172e-05,9.731657395431772e-05
2021-01-02 21:45:00,208,77,1358.0,1142.5,7.220637693395061e-05,8.169674592312019e-05
2021-01-02 22:00:00,181,76,1589.5,1198.5,6.125524519188628e-05,7.89330741005005e-05
2021-01-02 22:15:00,187,76,1511.0,1156.5,6.427545918284926e-05,8.055925079896757e-05
2021-01-02 22:30:00,180,75,1586.5,1143.0,6.144791776903093e-05,8.084971977487125e-05
2021-01-02 22:45:00,206,90,1373.5,959.5,7.161075176341476e-05,9.90989701414803e-05
2021-01-02 23:00:00,195,88,1434.5,1000.5,6.859026602119123e-05,9.722005870765818e-05
2021-01-02 23:15:00,227,79,1246.5,1085.5,8.067485403893149e-05,8.897638859480378e-05
2021-01-02 23:30:00,199,77,1399.0,1103.0,7.09821431756198e-05,8.666242733580565e-05
2021-01-02 23:45:00,192,69,1384.0,1190.0,7.042651323468242e-05,7.992614360990482e-05
2021-01-03 00:00:00,213,81,1260.0,1019.0,7.78218362226669e-05,9.407020889393176e-05
2021-01-03 00:15:00,199,95,1318.0,857.0,7.411410369047269e-05,0.00011404027902655215
2021-01-03 00:30:00,201,64,1294.0,1213.5,7.655104412196523e-05,7.84885075655563e-05
2021-01-03 00:45:00,203,74,1274.0,1055.5,7.645187956757611e-05,8.781016865485502e-05
2021-01-03 01:00:00,175,66,1384.0,1187.5,6.829649420435951e-05,7.78639787077411e-05
2021-01-03 01:15:00,170,43,1396.0,1681.0,6.893906030383472e-05,5.478104779582722e-05
2021-01-03 01:30:00,174,64,1322.0,1153.5,7.287521626976898e-05,8.317121444268138e-05
2021-01-03 01:45:00,170,62,1330.0,1150.5,7.390346815934284e-05,8.446360163695909e-05
2021-01-03 02:00:00,192,60,1191.0,1175.5,8.308631023216565e-05,8.295118184696335e-05
2021-01-03 02:15:00,169,51,1263.0,1316.5,7.605705809499121e-05,7.387064814975753e-05
2021-01-03 02:30:00,164,55,1257.0,1176.5,7.616790006028411e-05,8.239836162094057e-05
2021-01-03 02:45:00,161,43,1272.0,1458.0,7.562036883952324e-05,6.582542790355198e-05
2021-01-03 03:00:00,159,49,1366.0,1416.5,7.142809010720952e-05,6.730011180059388e-05
2021-01-03 03:15:00,174,50,1220.0,1273.0,8.030241705660258e-05,7.57929457989486e-05
2021-01-03 03:30:00,151,43,1352.0,1428.5,7.026072778946722e-05,6.606724723900365e-05
2021-01-03 03:45:00,152,49,1341.0,1233.5,7.219119267449371e-05,7.709639251818845e-05
2021-01-03 04:00:00,173,42,1206.0,1523.0,8.022686115883759e-05,6.254420907635606e-05
2021-01-03 04:15:00,165,44,1220.5,1403.0,7.869276532100448e-05,6.882560062068178e-05
2021-01-03 04:30:00,187,57,1110.0,1124.5,8.674527551366423e-05,8.599723601865991e-05
2021-01-03 04:45:00,177,56,1187.0,1170.5,8.006064707095635e-05,8.346573582498428e-05
2021-01-03 05:00:00,178,52,1179.0,1331.0,7.908987987224763e-05,7.387350015485022e-05
2021-01-03 05:15:00,155,39,1358.5,1657.0,6.934254321606241e-05,5.7274946176236476e-05
2021-01-03 05:30:00,184,58,1141.5,1171.0,8.234135863241744e-05,8.356156686582173e-05
2021-01-03 05:45:00,160,41,1308.0,1540.5,7.230919411403159e-05,6.115970738809266e-05
2021-01-03 06:00:00,188,50,1145.0,1383.5,8.23813106603607e-05,6.822548249061218e-05
2021-01-03 06:15:00,161,39,1320.5,1665.5,7.153399997689585e-05,5.6718362788100195e-05
2021-01-03 06:30:00,200,54,1090.0,1279.5,8.701747180307596e-05,7.458491423425464e-05
2021-01-03 06:45:00,164,41,1318.0,1634.0,7.12286596329813e-05,5.748133609056815e-05
2021-01-03 07:00:00,158,46,1489.5,1617.5,6.406404458208754e-05,5.7130721300195865e-05
2021-01-03 07:15:00,172,59,1358.5,1227.0,6.951137945736667e-05,7.676104806152333e-05
2021-01-03 07:30:00,190,53,1300.5,1442.5,7.322568387007758e-05,6.397813637724407e-05
2021-01-03 07:45:00,165,54,1578.0,1450.0,6.108785247690879e-05,6.486502069674642e-05
2021-01-03 08:00:00,212,54,1308.0,1592.0,7.331844830496047e-05,5.897507866074149e-05
2021-01-03 08:15:00,229,75,1247.5,1146.0,7.707764647277206e-05,8.422215783906156e-05
2021-01-03 08:30:00,181,55,1632.0,1597.5,5.8824045579860474e-05,5.80974664223052e-05
2021-01-03 08:45:00,206,63,1438.5,1454.0,6.675249438841591e-05,6.599539917788589e-05
2021-01-03 09:00:00,228,92,1438.5,1111.0,6.833493830523958e-05,8.419349495433876e-05
2021-01-03 09:15:00,249,91,1374.0,1108.0,7.015784105445263e-05,8.694090311535052e-05
2021-01-03 09:30:00,287,97,1234.0,1055.0,7.983245754067629e-05,9.19267467029572e-05
