time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,668,360,456.5,317.5,0.00021570799853654396,0.0003171694389625035
2021-01-02 16:15:00,715,371,406.0,305.5,0.00023675355577350865,0.0003365973905083165
2021-01-02 16:30:00,652,359,450.0,305.0,0.00021815548865156486,0.0003294505883767263
2021-01-02 16:45:00,679,377,448.0,302.0,0.00022386123372926107,0.00034110516263116035
2021-01-02 17:00:00,612,341,487.0,335.5,0.00020295902317016024,0.0003065661800865038
2021-01-02 17:15:00,599,332,488.0,332.0,0.00020386499440647548,0.00031192365762432547
2021-01-02 17:30:00,680,370,421.5,296.0,0.00022991995742423373,0.00035142674509498496
2021-01-02 17:45:00,660,359,455.0,297.5,0.00022085042135583418,0.0003438071615319051
2021-01-02 18:00:00,659,374,450.0,299.5,0.00022075765097779898,0.000348454130765332
2021-01-02 18:15:00,632,319,483.5,338.5,0.00021269027281902448,0.0003053955446715179
2021-01-02 18:30:00,588,305,498.5,346.0,0.0002026126697010326,0.00029508770877455394
2021-01-02 18:45:00,620,326,464.0,325.5,0.00021380195042553489,0.0003182944106134588
2021-01-02 19:00:00,647,350,483.0,324.5,0.00021669132772503578,0.00032233851991361333
2021-01-02 19:15:00,604,307,510.5,346.5,0.0002044415260002911,0.00029794254658385087
2021-01-02 19:30:00,582,304,506.0,345.0,0.00020127884694196217,0.00030381801301020687
2021-01-02 19:45:00,621,311,472.5,327.5,0.00021796448547745803,0.00031521569470093023
2021-01-02 20:00:00,614,305,481.5,335.5,0.00021394339489839084,0.000305293386944854
2021-01-02 20:15:00,680,307,404.0,334.0,0.0002400411176314437,0.00031446508669300525
2021-01-02 20:30:00,630,272,442.0,374.5,0.00022283633873528707,0.0002817172739296556
2021-01-02 20:45:00,703,302,396.0,327.5,0.0002477015376169844,0.00031590123379306384
2021-01-02 21:00:00,679,295,407.5,338.0,0.00023634975726288183,0.00030207737071856526
2021-01-02 21:15:00,673,293,410.0,348.0,0.0002350040034485877,0.0003044215937769161
2021-01-02 21:30:00,661,308,430.0,326.0,0.00022833108629291527,0.00032229575030032106
2021-01-02 21:45:00,609,271,464.0,361.0,0.00021141194015757652,0.000287530105781371
2021-01-02 22:00:00,683,289,418.0,350.0,0.0002311454832378913,0.0003001534001979558
2021-01-02 22:15:00,665,350,425.5,286.0,0.0002285731569871377,0.0003709965497320875
2021-01-02 22:30:00,587,294,496.5,334.5,0.00020038848739122863,0.00031693090151749536
2021-01-02 22:45:00,652,263,428.5,360.0,0.00022665150558129327,0.00028958921274677016
2021-01-02 23:00:00,629,292,436.5,328.5,0.00022124757603758608,0.0003225938311663203
2021-01-02 23:15:00,613,286,448.0,326.0,0.00021785764548839205,0.0003221170523811884
2021-01-02 23:30:00,599,274,452.0,332.0,0.00021365981790048372,0.00030838318298715263
2021-01-02 23:45:00,600,285,434.0,312.5,0.00022008285385838252,0.0003301297236061286
2021-01-03 00:00:00,535,262,502.0,342.0,0.00019546799239026665,0.00030427647815074233
2021-01-03 00:15:00,549,249,477.0,347.0,0.00020446554234205785,0.00029890557344854204
2021-01-03 00:30:00,500,228,518.0,374.5,0.00019042548289046078,0.00027961530820229435
2021-01-03 00:45:00,518,226,512.5,393.0,0.00019508410648278046,0.00026817700156753015
2021-01-03 01:00:00,526,262,475.0,340.5,0.00020527974829424628,0.00030909640032466916
2021-01-03 01:15:00,505,236,482.0,363.0,0.00020478956149080316,0.0003006587739491913
2021-01-03 01:30:00,549,248,428.0,326.0,0.00022993387202358145,0.0003222884559653904
2021-01-03 01:45:00,654,230,320.0,343.0,0.0002843109892718248,0.0003133327157500096
2021-01-03 02:00:00,520,225,427.5,330.0,0.00022502542354544864,0.00031106693192611265
2021-01-03 02:15:00,456,192,468.5,378.0,0.0002052190443273136,0.00027810126362261663
2021-01-03 02:30:00,438,214,464.0,315.5,0.0002034240257707588,0.00032060453430693235
2021-01-03 02:45:00,434,184,466.0,366.0,0.00020384621165436698,0.00028167159847101314
2021-01-03 03:00:00,651,389,314.5,193.5,0.00029245085949555603,0.0005342804793965515
2021-01-03 03:15:00,540,222,373.5,301.0,0.00024921439776187014,0.00033652067934733184
2021-01-03 03:30:00,451,198,453.5,338.0,0.000209851577702316,0.0003042166268214586
2021-01-03 03:45:00,404,186,501.5,359.0,0.0001918765910558912,0.00029265161241598067
2021-01-03 04:00:00,535,262,365.0,255.0,0.00024810040878600067,0.00039015673280964967
2021-01-03 04:15:00,413,167,471.5,402.5,0.0001969703762277264,0.00026122443871940586
2021-01-03 04:30:00,440,197,463.0,337.0,0.00020410653062038646,0.00029721851746799995
2021-01-03 04:45:00,469,195,442.5,359.0,0.00021213809873603688,0.0002906396158191417
2021-01-03 05:00:00,548,287,381.5,250.5,0.0002434901919662455,0.00040772489508542336
2021-01-03 05:15:00,515,224,400.0,305.5,0.0002303961919759493,0.00032896379342248644
2021-01-03 05:30:00,607,346,337.0,206.0,0.00027163698201020315,0.0004984879678547297
2021-01-03 05:45:00,455,198,442.0,342.0,0.00020562927076177737,0.00029535663567908157
2021-01-03 06:00:00,627,338,324.0,218.0,0.00027475043502152204,0.0004612042616365383
2021-01-03 06:15:00,441,202,464.0,339.5,0.00019594095645845383,0.0002937720329024677
2021-01-03 06:30:00,589,290,347.5,242.5,0.0002562664544600588,0.0004005486134802564
2021-01-03 06:45:00,451,204,485.0,359.0,0.00019587881399069857,0.0002860046966457537
2021-01-03 07:00:00,635,373,351.5,219.5,0.00025747258423813657,0.00046325563141245773
2021-01-03 07:15:00,492,230,463.0,329.0,0.00019883487612223496,0.00029923798396865026
2021-01-03 07:30:00,628,332,379.0,254.0,0.0002420301551074144,0.0004007687033442458
2021-01-03 07:45:00,599,260,408.5,315.5,0.00022176741596162646,0.00031231306261396424
2021-01-03 08:00:00,682,364,377.5,250.5,0.0002358640648301087,0.00039753571541685013
2021-01-03 08:15:00,604,237,482.0,389.5,0.0002032964998670495,0.0002661420187714345
