time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,1072,379,278.0,295.0,0.00034616612938798667,0.000333908937129969
2021-01-02 16:15:00,1004,355,286.0,320.0,0.0003324483496455981,0.0003220810609985239
2021-01-02 16:30:00,973,350,292.0,314.0,0.0003255602614386083,0.0003211913814257777
2021-01-02 16:45:00,1010,351,285.5,323.5,0.000332989464015543,0.0003175806686565976
2021-01-02 17:00:00,936,324,304.0,352.0,0.00031040791778965684,0.0002912828221349772
2021-01-02 17:15:00,1000,349,280.0,315.0,0.00034034222772366527,0.0003278956521412338
2021-01-02 17:30:00,947,382,287.0,287.5,0.00032019735247169033,0.0003628243692602277
2021-01-02 17:45:00,930,319,316.0,342.5,0.00031119832100140276,0.00030549995690439484
2021-01-02 18:00:00,932,345,315.0,324.0,0.00031220960654219817,0.00032143496019796666
2021-01-02 18:15:00,1039,376,294.0,286.5,0.00034966011623254183,0.0003599646545344537
2021-01-02 18:30:00,961,347,300.0,304.0,0.00033114077480049715,0.0003357227375238368
2021-01-02 18:45:00,945,404,300.0,252.5,0.0003258755534711781,0.0003944507419872311
2021-01-02 19:00:00,896,339,331.0,336.0,0.0003000856717799568,0.0003122078807163282
2021-01-02 19:15:00,1166,350,249.0,302.0,0.00039466691939791295,0.0003396739130434782
2021-01-02 19:30:00,1127,304,248.0,345.0,0.0003897616159855522,0.00030381801301020687
2021-01-02 19:45:00,1075,330,256.0,312.0,0.0003773137228474515,0.00033447324518105136
2021-01-02 20:00:00,1103,305,251.0,335.5,0.0003843315383923861,0.000305293386944854
2021-01-02 20:15:00,1080,333,252.0,307.0,0.0003812417750617047,0.00034109730901879715
2021-01-02 20:30:00,999,306,267.0,333.0,0.00035335476570881233,0.00031693193317086264
2021-01-02 20:45:00,1210,340,227.0,291.0,0.0004263426180889773,0.00035565039566106516
2021-01-02 21:00:00,1348,322,201.0,316.5,0.00046921866390333534,0.00032972513007246783
2021-01-02 21:15:00,1165,275,233.0,369.5,0.0004068048499518644,0.00028571992589983595
2021-01-02 21:30:00,1113,292,248.5,351.0,0.00038446671564903886,0.00030555311392108363
2021-01-02 21:45:00,1057,270,259.0,364.5,0.00036693336739993166,0.00028646910908107075
2021-01-02 22:00:00,1044,295,263.0,343.0,0.000353317546852648,0.0003063849586795743
2021-01-02 22:15:00,1017,287,274.0,341.5,0.0003495622566254421,0.00030421717078031173
2021-01-02 22:30:00,1133,302,257.0,320.0,0.0003867805046239559,0.00032555487162681487
2021-01-02 22:45:00,1171,285,240.0,339.0,0.0004070688850240713,0.0003138134054480209
2021-01-02 23:00:00,1188,293,226.0,327.0,0.00041787300529833423,0.0003236986045607255
2021-01-02 23:15:00,1031,296,258.0,315.0,0.00036641310358651263,0.0003333798863805306
2021-01-02 23:30:00,1046,294,252.5,306.0,0.0003731021194055192,0.0003308929043730761
2021-01-02 23:45:00,946,296,266.0,293.5,0.00034699729958338315,0.00034287157258741776
2021-01-03 00:00:00,1392,289,187.0,305.5,0.000508582140948133,0.0003356332144487196
2021-01-03 00:15:00,1279,291,202.0,288.0,0.0004763414001010782,0.00034932338101817563
2021-01-03 00:30:00,1228,315,203.0,264.5,0.0004676849859789717,0.00038631062317422235
2021-01-03 00:45:00,1170,289,236.0,306.5,0.0004406339856850446,0.00034293430731423106
2021-01-03 01:00:00,1067,267,246.0,331.5,0.000416413481806009,0.0003149951865904072
2021-01-03 01:15:00,1143,297,214.0,276.5,0.00046351379957225344,0.0003783714231479229
2021-01-03 01:30:00,1122,294,208.0,273.0,0.0004699194980154068,0.0003820677663460677
2021-01-03 01:45:00,997,277,222.5,275.5,0.0004334221044403812,0.0003773615750554463
2021-01-03 02:00:00,946,288,234.0,251.0,0.0004093731743730662,0.00039816567286542415
2021-01-03 02:15:00,847,234,250.0,298.0,0.0003811853740027074,0.000338935915040064
