time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,473,183,656.5,612.5,0.00015273934626913965,0.00016122779813927264
2021-01-02 16:15:00,491,190,617.0,592.0,0.00016258181242628358,0.00017238141292878742
2021-01-02 16:30:00,445,155,669.0,691.0,0.00014889446694777052,0.00014224189748855869
2021-01-02 16:45:00,518,171,592.5,646.5,0.00017078073500995176,0.00015471878729423984
2021-01-02 17:00:00,525,177,571.5,622.0,0.00017410700517048059,0.00015912672690707088
2021-01-02 17:15:00,468,163,620.5,648.5,0.00015928016257467533,0.00015314324154447307
2021-01-02 17:30:00,452,179,647.5,590.5,0.00015282914817022598,0.0001700145604648711
2021-01-02 17:45:00,451,168,688.5,619.0,0.00015091445459315336,0.00016089025943554335
2021-01-02 18:00:00,459,157,644.5,665.5,0.0001537598813335504,0.00014627619927849497
2021-01-02 18:15:00,495,195,601.0,542.0,0.0001665849446921157,0.00018668379689951717
2021-01-02 18:30:00,427,145,677.0,704.5,0.00014713539109241652,0.0001402875992534765
2021-01-02 18:45:00,464,165,619.0,632.0,0.00016000662096362609,0.00016109993175221073
2021-01-02 19:00:00,475,167,639.0,663.0,0.00015908559608870482,0.0001538015223587812
2021-01-02 19:15:00,476,153,632.0,674.5,0.00016111616949691818,0.00014848602484472052
2021-01-02 19:30:00,438,151,670.0,663.5,0.0001514778951212705,0.00015090960514651725
2021-01-02 19:45:00,468,166,624.0,598.0,0.000164263090504751,0.00016825017787895313
2021-01-02 20:00:00,377,149,777.5,672.5,0.00013136263823565692,0.00014914332673699425
2021-01-02 20:15:00,428,137,667.0,716.0,0.00015108470345037928,0.0001403313253320577
2021-01-02 20:30:00,401,144,707.0,680.0,0.00014183709814738114,0.00014914443913922944
2021-01-02 20:45:00,446,154,631.5,625.0,0.00015714777493197016,0.00016108870862295305
2021-01-02 21:00:00,445,147,639.5,674.5,0.00015489785269805952,0.00015052668981569185
2021-01-02 21:15:00,454,148,623.5,655.5,0.00015853167543188534,0.00015376926921154807
2021-01-02 21:30:00,438,157,644.5,608.5,0.0001512995700397835,0.00016428711947126754
2021-01-02 21:45:00,440,129,630.5,710.0,0.00015274425889874168,0.00013686857433873378
2021-01-02 22:00:00,432,137,676.0,707.0,0.00014620036421488886,0.00014228725199695483
2021-01-02 22:15:00,456,138,637.5,686.0,0.00015673587907689442,0.00014627863960865164
2021-01-02 22:30:00,491,130,585.0,708.5,0.0001676162645810788,0.00014013951427644354
2021-01-02 22:45:00,509,139,563.0,665.5,0.00017694112935717532,0.00015305285388517512
2021-01-02 23:00:00,487,152,567.5,604.5,0.00017129979257600063,0.0001679255559495914
2021-01-02 23:15:00,450,135,608.0,670.5,0.00015992812474678047,0.00015204825899112038
2021-01-02 23:30:00,472,146,571.0,634.0,0.00016835965617533944,0.0001643209661172419
2021-01-02 23:45:00,479,145,553.5,607.5,0.00017569947833027543,0.00016796073657153912
2021-01-03 00:00:00,469,164,577.0,551.0,0.00017135418398324308,0.00019046313899512109
2021-01-03 00:15:00,453,131,573.0,640.0,0.0001687120048833373,0.00015725554265766668
2021-01-03 00:30:00,438,137,595.0,605.5,0.00016681272301204362,0.00016801446150751896
2021-01-03 00:45:00,438,141,603.0,589.0,0.0001649552869487603,0.00016731397000452106
2021-01-03 01:00:00,491,132,509.5,626.5,0.00019162044945337438,0.0001557279574154822
2021-01-03 01:15:00,406,120,599.0,658.5,0.0001646426969609229,0.00015287734268602942
2021-01-03 01:30:00,386,126,618.5,625.5,0.0001616657096559243,0.000163743328434029
2021-01-03 01:45:00,396,132,564.5,582.5,0.00017215160818293977,0.00017982573251739678
2021-01-03 02:00:00,366,116,618.0,648.5,0.00015838327888006577,0.00016037228490412914
2021-01-03 02:15:00,378,128,572.5,545.5,0.00017011578674500994,0.0001854008424150777
2021-01-03 02:30:00,382,115,534.5,588.5,0.00017741547453066178,0.00017228748338923936
2021-01-03 02:45:00,346,109,600.0,619.0,0.00016251333924518658,0.00016685980561598058
2021-01-03 03:00:00,363,107,588.5,690.5,0.0001630716774145727,0.00014696146862578665
2021-01-03 03:15:00,317,97,677.5,681.0,0.00014629808164909786,0.00014703831484996028
2021-01-03 03:30:00,351,105,579.0,622.5,0.00016332129439803307,0.00016132699907198564
2021-01-03 03:45:00,321,87,627.0,727.5,0.00015245640031916107,0.00013688543161392643
2021-01-03 04:00:00,303,92,677.0,742.0,0.00014051294179842654,0.00013700160083392275
2021-01-03 04:15:00,344,119,564.5,555.5,0.00016406249254803356,0.0001861419653150257
2021-01-03 04:30:00,308,110,655.5,620.0,0.0001428745714342705,0.00016595957828162436
2021-01-03 04:45:00,352,124,591.0,553.5,0.00015921665406201492,0.00018481698646960804
2021-01-03 05:00:00,329,112,637.0,626.5,0.00014618298021331163,0.00015911215417967742
2021-01-03 05:15:00,329,95,632.5,728.5,0.00014718514011667443,0.00013951589453185811
2021-01-03 05:30:00,322,101,636.5,698.5,0.00014409737760673048,0.00014551238368013786
2021-01-03 05:45:00,313,105,641.0,637.0,0.00014145486098557432,0.0001566285189207251
2021-01-03 06:00:00,321,91,659.0,792.0,0.0001406617059679563,0.00012417037813291417
2021-01-03 06:15:00,316,102,647.5,657.0,0.00014040213660061542,0.00014834033344580052
2021-01-03 06:30:00,328,100,644.0,732.5,0.0001427086537570446,0.00013812021154491598
2021-01-03 06:45:00,335,100,643.0,696.5,0.000145497566933224,0.0001401983807087028
2021-01-03 07:00:00,334,104,682.5,765.5,0.0001354265246228939,0.00012916510902652976
2021-01-03 07:15:00,337,99,666.5,738.5,0.0001361938074251894,0.00012880243657781033
2021-01-03 07:30:00,362,123,676.0,676.5,0.00013951419768930574,0.00014847756178115132
2021-01-03 07:45:00,347,108,740.0,744.5,0.00012846960490598395,0.00012973004139349285
2021-01-03 08:00:00,407,134,674.5,682.5,0.00014075758707603265,0.00014634556556554368
2021-01-03 08:15:00,383,127,760.5,694.5,0.00012891152226668866,0.00014261618727414425
2021-01-03 08:30:00,330,113,918.0,849.0,0.00010724825989698315,0.00011936388555855432
2021-01-03 08:45:00,406,128,737.5,743.5,0.0001315607413674605,0.00013408589039316497
2021-01-03 09:00:00,427,111,779.0,931.0,0.00012797815200147938,0.00010158128195577828
2021-01-03 09:15:00,424,112,846.5,916.0,0.00011946556067103578,0.00010700418844966216
2021-01-03 09:30:00,405,113,867.0,905.5,0.00011265555855043171,0.00010708992141684704
2021-01-03 09:45:00,432,136,808.5,785.5,0.00011918984016973516,0.00012586672194930533
2021-01-03 10:00:00,432,138,915.5,870.0,0.00010779201530646618,0.00011435503758800366
2021-01-03 10:15:00,453,158,895.5,742.5,0.0001138873420378795,0.00013199434262222638
2021-01-03 10:30:00,534,148,758.0,847.0,0.00013455274064278917,0.00011913376870822771
2021-01-03 10:45:00,589,138,642.0,849.5,0.00015283822398350904,0.00011559483173832012
2021-01-03 11:00:00,540,156,688.0,800.5,0.0001405885348487736,0.00012369809734881675
2021-01-03 11:15:00,530,144,682.5,830.0,0.00013994829306651266,0.00011835603467831816
2021-01-03 11:30:00,543,193,658.0,642.0,0.00014560322504439825,0.00015742880425074086
2021-01-03 11:45:00,498,148,735.5,872.5,0.00013052428302067788,0.00011541067876295348
2021-01-03 12:00:00,461,170,803.5,806.5,0.0001199285943588295,0.00012322242590164385
2021-01-03 12:15:00,472,173,786.0,763.0,0.00012317392053194428,0.00013116643352401752
2021-01-03 12:30:00,465,184,782.5,684.5,0.00012271641898182846,0.00014232287956313065
2021-01-03 12:45:00,454,173,789.0,724.5,0.00012348583652814404,0.00013649022871975322
2021-01-03 13:00:00,464,167,774.5,782.0,0.00012604027367037698,0.00012722500923714514
2021-01-03 13:15:00,418,152,863.0,839.5,0.00011274820789690606,0.00011730150963956023
2021-01-03 13:30:00,397,162,926.5,771.5,0.00010641836786390458,0.00012503936424429913
2021-01-03 13:45:00,438,187,835.5,679.5,0.00011654441033850032,0.00014592274678111586
2021-01-03 14:00:00,462,167,808.0,773.5,0.00012237739546467252,0.00012749395739716888
2021-01-03 14:15:00,457,171,788.5,733.5,0.00012246383297326644,0.00013379684943629275
2021-01-03 14:30:00,431,184,846.0,693.0,0.0001148833667276979,0.00014303604897118993
2021-01-03 14:45:00,448,193,803.5,645.0,0.00012235987404580464,0.00015492028428273514
2021-01-03 15:00:00,462,180,776.0,702.5,0.00012659244111601922,0.0001410891612954807
2021-01-03 15:15:00,394,147,884.5,833.5,0.00010888570952443199,0.00011695841293003103
