time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,849,420,346.0,266.5,0.00027415582448731414,0.0003700310121229208
2021-01-02 16:15:00,742,356,386.5,319.0,0.0002456938998376831,0.00032298833159288587
2021-01-02 16:30:00,824,400,352.0,271.5,0.00027570570958418633,0.00036707586448660314
2021-01-02 16:45:00,837,437,351.0,254.0,0.00027595265483268264,0.0003953924564186129
2021-01-02 17:00:00,769,381,379.5,295.0,0.000255025308525904,0.0003425270223253899
2021-01-02 17:15:00,718,374,395.0,288.0,0.00024436571950559163,0.0003513838793719812
2021-01-02 17:30:00,723,376,391.5,293.0,0.00024445901355547205,0.0003571255571776063
2021-01-02 17:45:00,700,344,424.0,318.5,0.0002342352953773999,0.0003294419597965888
2021-01-02 18:00:00,750,389,387.5,290.0,0.00025124163616593203,0.0003624295638174175
2021-01-02 18:15:00,664,309,452.0,348.5,0.00022345940055669658,0.00029582201662538884
2021-01-02 18:30:00,869,340,333.0,311.0,0.00029943947273843084,0.0003289502327322897
2021-01-02 18:45:00,883,352,327.0,303.0,0.0003044953584286246,0.00034367985440471625
2021-01-02 19:00:00,855,389,341.0,294.5,0.00028635407295966864,0.0003582562407039873
2021-01-02 19:15:00,885,380,328.0,279.0,0.000299554222699102,0.00036878881987577637
2021-01-02 19:30:00,820,348,347.0,300.5,0.0002835887534233831,0.000347791672788
2021-01-02 19:45:00,765,330,356.0,312.0,0.0002685069748635353,0.00033447324518105136
2021-01-02 20:00:00,721,297,383.0,342.0,0.00025122669010055337,0.00029728569154957915
2021-01-02 20:15:00,782,330,350.0,309.5,0.00027604728527616025,0.0003380243602888981
2021-01-02 20:30:00,776,312,351.0,326.5,0.0002744777759660044,0.00032314628480166376
2021-01-02 20:45:00,733,325,368.0,300.0,0.00025827201575142185,0.00033995993702895934
2021-01-02 21:00:00,730,330,384.5,303.0,0.0002541020954372662,0.0003379170587699205
2021-01-02 21:15:00,728,284,369.0,359.0,0.0002542093826308646,0.00029507075983837595
2021-01-02 21:30:00,817,346,330.0,283.5,0.0002822186043892765,0.00036205951170101
2021-01-02 21:45:00,783,321,344.5,303.0,0.00027181535163116983,0.00034057994079638414
2021-01-02 22:00:00,719,300,391.5,333.5,0.00024332884692246544,0.000311577924080923
2021-01-02 22:15:00,677,295,412.0,331.5,0.0002326977853838981,0.0003126970919170452
2021-01-02 22:30:00,731,306,389.5,317.5,0.0002495468216064534,0.00032986685668147473
2021-01-02 22:45:00,763,323,358.0,296.5,0.0002652378815314829,0.0003556551928410904
2021-01-02 23:00:00,760,338,347.0,276.0,0.0002673261650056684,0.0003734134073089599
2021-01-02 23:15:00,760,309,344.0,298.0,0.0002701008329056737,0.00034802157057967553
2021-01-02 23:30:00,718,276,372.5,330.0,0.0002561064261311308,0.00031063415512574494
2021-01-02 23:45:00,791,265,322.0,343.5,0.0002901425623366344,0.0003069627254583301
2021-01-03 00:00:00,754,287,345.0,308.0,0.00027548199301357203,0.000333310493241462
2021-01-03 00:15:00,649,278,397.5,304.0,0.000241708810528225,0.00033371786915138425
2021-01-03 00:30:00,719,295,340.5,286.5,0.00027383184439648263,0.00036178296455998614
2021-01-03 00:45:00,1037,292,263.0,298.5,0.00039054482320973616,0.0003464941790164549
2021-01-03 01:00:00,868,287,285.0,303.5,0.00033875061125362315,0.00033859033165335896
2021-01-03 01:15:00,862,237,284.0,361.0,0.000349561588128856,0.00030193275180490813
2021-01-03 01:30:00,818,278,281.0,288.5,0.00034259728108431624,0.00036127496273539734
2021-01-03 01:45:00,808,265,260.0,300.5,0.00035125883689852364,0.0003610137811902284
2021-01-03 02:00:00,755,269,276.5,270.5,0.00032671960534002637,0.00037189779861388574
2021-01-03 02:15:00,705,268,295.0,263.0,0.0003172794435323599,0.00038818301380656896
2021-01-03 02:30:00,702,252,284.0,270.0,0.0003260357673312161,0.00037753431142685496
2021-01-03 02:45:00,668,240,289.0,273.5,0.00031375407692423306,0.0003673977371361041
2021-01-03 03:00:00,755,284,269.0,256.5,0.00033917111969146657,0.00039006595410956456
2021-01-03 03:15:00,806,263,250.0,261.0,0.0003719755640667913,0.0003986708949024696
2021-01-03 03:30:00,728,232,266.0,272.5,0.0003387404624551797,0.0003564558455685778
2021-01-03 03:45:00,713,242,263.0,271.5,0.0003386336866902238,0.0003807617752939103
2021-01-03 04:00:00,737,237,262.0,285.5,0.000341775703318285,0.0003529280369308663
2021-01-03 04:15:00,721,222,259.0,289.0,0.00034386353816026806,0.00034725643949525805
2021-01-03 04:30:00,741,256,269.0,255.0,0.00034373395270387806,0.00038623320036450763
2021-01-03 04:45:00,746,253,275.0,262.0,0.00033743074980188383,0.0003770862707807325
2021-01-03 05:00:00,704,248,289.5,276.5,0.00031280491814641764,0.0003523197699692857
2021-01-03 05:15:00,728,278,277.0,248.5,0.00032568626749221566,0.00040826756505112164
2021-01-03 05:30:00,676,236,299.0,302.0,0.00030251499149735973,0.00034000913414368846
2021-01-03 05:45:00,697,256,283.0,262.0,0.00031499692685925016,0.00038187524613052975
2021-01-03 06:00:00,684,253,292.5,278.5,0.00029972774729620594,0.0003452209414024976
2021-01-03 06:15:00,688,244,292.0,267.5,0.00030568566449754253,0.0003548533466742679
2021-01-03 06:30:00,653,265,308.5,268.0,0.000284112045437043,0.0003660185605940274
2021-01-03 06:45:00,688,249,304.0,282.5,0.00029881291358226303,0.00034909396796467003
2021-01-03 07:00:00,736,266,299.0,302.0,0.0002984249165342812,0.0003303646057793935
2021-01-03 07:15:00,735,265,295.0,287.5,0.00029703990640211935,0.00034477419892040137
2021-01-03 07:30:00,744,267,312.0,309.0,0.00028673636210177754,0.0003223049511834748
2021-01-03 07:45:00,810,317,300.0,269.0,0.00029988582125027954,0.00038078169557164104
2021-01-03 08:00:00,822,305,312.0,296.0,0.00028428190805036564,0.0003330999813245584
2021-01-03 08:15:00,875,319,310.5,279.0,0.0002945106579199806,0.0003582249113421419
2021-01-03 08:30:00,929,329,308.0,284.5,0.0003019201013463557,0.00034752848096251656
2021-01-03 08:45:00,879,323,310.0,289.5,0.0002848322454729009,0.00033835736403900224
2021-01-03 09:00:00,857,356,355.5,336.0,0.00025685544792802774,0.0003257922196059196
2021-01-03 09:15:00,1114,378,320.0,280.0,0.00031387885515927805,0.0003611391360176098
2021-01-03 09:30:00,1128,378,303.0,278.5,0.00031376659270342463,0.0003582300026156476
