time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,412,197,745.0,564.5,0.0001330414601752337,0.00017356216521003664
2021-01-02 16:15:00,433,169,703.0,650.0,0.00014337662888101992,0.00015332873044718458
2021-01-02 16:30:00,451,202,664.0,535.5,0.00015090203279425729,0.00018537331156573457
2021-01-02 16:45:00,393,172,768.5,641.5,0.00012956916768129542,0.00015562357552403072
2021-01-02 17:00:00,431,177,700.5,622.0,0.00014293356043519454,0.00015912672690707088
2021-01-02 17:15:00,389,155,763.0,677.0,0.00013239312658450578,0.0001456270088306339
2021-01-02 17:30:00,469,154,621.0,678.5,0.00015857714710583183,0.00014626951012061535
2021-01-02 17:45:00,395,171,773.0,605.5,0.00013217563096296138,0.00016376329978260665
2021-01-02 18:00:00,402,176,745.5,606.0,0.00013466551698493954,0.00016397841447780332
2021-01-02 18:15:00,415,155,721.5,675.5,0.00013966212534793538,0.00014838968471500086
2021-01-02 18:30:00,429,167,673.0,634.0,0.00014782454983289624,0.00016157261431262463
2021-01-02 18:45:00,479,144,599.0,702.5,0.00016517924879650193,0.00014059630407465664
2021-01-02 19:00:00,404,163,752.5,677.0,0.00013530648593649842,0.00015011765355976846
2021-01-02 19:15:00,515,156,581.5,661.5,0.00017431686405653958,0.00015139751552795033
2021-01-02 19:30:00,372,116,798.5,820.5,0.00012865245887012017,0.000115930557596
2021-01-02 19:45:00,405,163,706.0,606.0,0.00014215075139834221,0.00016520951201367084
2021-01-02 20:00:00,401,160,719.0,641.0,0.00013972524650530084,0.00016015390790549716
2021-01-02 20:15:00,344,129,824.0,756.0,0.00012143256539002446,0.00013213679538566018
2021-01-02 20:30:00,338,150,839.0,652.0,0.00011955346427385242,0.0001553587907700307
2021-01-02 20:45:00,336,143,851.0,668.5,0.00011838935510569949,0.00014958237229274212
2021-01-02 21:00:00,357,151,800.5,656.0,0.00012426636722069043,0.00015462265416441818
2021-01-02 21:15:00,321,149,882.0,651.5,0.00011208957668201585,0.00015480825076027475
2021-01-02 21:30:00,371,135,764.0,703.0,0.00012815557188301297,0.00014126599444981604
2021-01-02 21:45:00,387,138,728.0,670.5,0.00013434551862230232,0.00014641754464143618
2021-01-02 22:00:00,498,150,587.5,658.5,0.00016853653096994127,0.0001557889620404615
2021-01-02 22:15:00,527,132,539.0,719.5,0.0001811399304243933,0.00013991869875610156
2021-01-02 22:30:00,525,148,552.0,629.0,0.00017922309349300688,0.00015954344702241266
2021-01-02 22:45:00,440,135,640.5,686.0,0.00015295500376651697,0.00014864845521222043
2021-01-02 23:00:00,366,141,756.5,645.0,0.0001287386531474666,0.00015577304861113413
2021-01-02 23:15:00,367,128,740.0,699.5,0.00013043027062681873,0.00014416427519158082
2021-01-02 23:30:00,352,108,780.0,801.5,0.00012555635375788028,0.00012155249548398716
2021-01-02 23:45:00,374,111,711.5,767.5,0.00013718497890505846,0.00012857683972028163
2021-01-03 00:00:00,419,114,656.0,751.5,0.00015308614731125556,0.00013239510881368177
2021-01-03 00:15:00,369,105,717.5,788.0,0.00013742765960695692,0.00012604451892408398
2021-01-03 00:30:00,389,113,667.0,705.5,0.00014815102568877848,0.00013858127117043534
2021-01-03 00:45:00,457,138,578.0,603.5,0.00017211088158809008,0.0001637540983022972
2021-01-03 01:00:00,437,126,569.0,654.5,0.00017054610267031487,0.00014864941389659662
2021-01-03 01:15:00,436,120,554.5,658.5,0.00017680841348512904,0.00015287734268602942
2021-01-03 01:30:00,378,127,635.0,619.5,0.00015831512499984293,0.00016504287865969587
2021-01-03 01:45:00,364,106,622.0,704.0,0.00015824036711765168,0.00014440551247609136
2021-01-03 02:00:00,423,134,532.5,564.0,0.00018304952723023998,0.00018525763945821815
2021-01-03 02:15:00,378,112,572.5,624.0,0.00017011578674500994,0.00016222573711319302
2021-01-03 02:30:00,353,100,590.5,665.5,0.00016394676049561152,0.00014981520294716464
2021-01-03 02:45:00,330,106,622.5,633.0,0.0001549982715344265,0.00016226733390177928
2021-01-03 03:00:00,386,113,543.5,663.0,0.00017340404265020677,0.00015520229864218591
2021-01-03 03:15:00,402,113,527.0,594.0,0.0001855262738893922,0.00017129205750562382
2021-01-03 03:30:00,407,121,503.0,557.5,0.00018937825304843152,0.00018591016083533584
2021-01-03 03:45:00,427,128,471.5,512.5,0.00020280025836847903,0.00020139465800669642
2021-01-03 04:00:00,396,119,506.0,576.0,0.0001836406764098248,0.00017720859238300882
2021-01-03 04:15:00,363,109,534.5,588.5,0.00017312408370620986,0.00017049978335577986
2021-01-03 04:30:00,446,101,455.0,671.0,0.00020688980149248263,0.00015238106733130965
2021-01-03 04:45:00,479,123,436.0,558.5,0.00021666129913552597,0.00018332652690130477
2021-01-03 05:00:00,473,121,445.0,581.5,0.00021016580437962433,0.00017189795228340148
2021-01-03 05:15:00,471,135,442.0,519.5,0.00021071185712751868,0.00019825942907158783
2021-01-03 05:30:00,452,113,473.0,633.5,0.0002022733375100689,0.00016280098372134234
2021-01-03 05:45:00,424,105,476.5,637.0,0.00019161936440218372,0.0001566285189207251
2021-01-03 06:00:00,437,112,484.0,671.0,0.0001914927274392427,0.00015282508077897128
2021-01-03 06:15:00,387,122,522.0,565.5,0.00017194818627986767,0.00017742667333713394
2021-01-03 06:30:00,412,110,510.0,679.5,0.00017925599191433652,0.0001519322326994076
2021-01-03 06:45:00,411,124,521.0,577.0,0.00017850597017777633,0.00017384599207879149
2021-01-03 07:00:00,455,143,502.0,605.0,0.00018448822965094828,0.00017760202491147844
2021-01-03 07:15:00,442,131,518.0,576.5,0.00017862807976834933,0.0001704355473908399
2021-01-03 07:30:00,398,124,614.5,671.5,0.00015338853779100464,0.00014968469642977856
2021-01-03 07:45:00,555,162,447.0,509.5,0.00020547732196778408,0.00019459506209023924
2021-01-03 08:00:00,673,172,382.5,548.5,0.0002327514891945208,0.00018784654684532475
2021-01-03 08:15:00,764,148,363.0,604.5,0.0002571498773152745,0.00016619839146908146
2021-01-03 08:30:00,642,172,455.5,565.0,0.00020864661470867637,0.0001816866222661181
2021-01-03 08:45:00,626,174,466.0,547.0,0.00020284981304440956,0.00018227300725320863
2021-01-03 09:00:00,757,159,423.5,686.0,0.000226883983759063,0.00014550832280152024
2021-01-03 09:15:00,803,182,432.0,581.5,0.0002262519934406645,0.00017388180623070104
2021-01-03 09:30:00,765,203,463.0,537.5,0.00021279383281748213,0.00019238277918247744
2021-01-03 09:45:00,915,214,388.0,519.5,0.00025245070313728633,0.0001980549889496422
2021-01-03 10:00:00,930,199,442.5,613.0,0.00023205225517364242,0.00016490327884067195
2021-01-03 10:15:00,1101,227,346.0,531.5,0.000276799036608621,0.00018963744161547708
2021-01-03 10:30:00,1051,226,364.0,579.0,0.0002648219670703585,0.00018192048464905043
2021-01-03 10:45:00,1011,214,366.5,565.5,0.0002623420109462269,0.00017925575356522104
2021-01-03 11:00:00,923,219,393.0,580.0,0.00024030225493595927,0.0001736530982012235
2021-01-03 11:15:00,954,197,371.0,618.0,0.0002519069275197228,0.00016191763077519914
2021-01-03 11:30:00,884,202,399.5,611.5,0.00023704097778867045,0.00016477004382720026
2021-01-03 11:45:00,917,212,396.0,628.0,0.00024034290668666991,0.00016531799930909552
2021-01-03 12:00:00,818,226,440.0,620.0,0.00021280171406837852,0.0001638133426692442
2021-01-03 12:15:00,787,211,461.5,623.0,0.00020537685478525463,0.00015997755765068027
2021-01-03 12:30:00,791,203,461.0,631.0,0.0002087498654077985,0.00015701926386584518
2021-01-03 12:45:00,712,215,491.5,591.0,0.0001936606070661642,0.00016962658482512683
2021-01-03 13:00:00,653,200,539.5,654.5,0.00017737995410938828,0.0001523652805235271
2021-01-03 13:15:00,637,196,569.0,666.0,0.00017181963739313196,0.00015125720979838032
2021-01-03 13:30:00,629,195,579.5,657.0,0.0001686074392604433,0.00015051034584961934
2021-01-03 13:45:00,647,213,577.0,606.5,0.00017215578422148333,0.000166211470932501
2021-01-03 14:00:00,697,223,531.0,582.0,0.00018462563774648648,0.00017024642215310575
2021-01-03 14:15:00,601,208,611.5,620.5,0.00016105199916177927,0.0001627470449283561
2021-01-03 14:30:00,590,214,628.0,609.5,0.0001572649335715586,0.00016635714391214474
2021-01-03 14:45:00,573,216,630.0,576.5,0.00015650046390233496,0.00017338228707290565
2021-01-03 15:00:00,584,231,621.5,561.5,0.00016002161387825811,0.00018106442366253356
2021-01-03 15:15:00,529,212,670.5,584.5,0.00014619426481833636,0.00016867471796711955
2021-01-03 15:30:00,531,217,667.0,584.0,0.00014701301937332587,0.00017023039153774526
2021-01-03 15:45:00,538,209,655.5,602.0,0.00015000692875869823,0.00016720494926649829
2021-01-03 16:00:00,592,192,612.0,682.5,0.00016376844469771998,0.00014714831170304244
2021-01-03 16:15:00,485,195,744.0,664.5,0.00013425921440366072,0.00015109743227348168
2021-01-03 16:30:00,476,208,717.5,590.0,0.00013658489554698808,0.00017127531766219072
2021-01-03 16:45:00,490,213,686.5,562.0,0.00014162525091514482,0.00017642659121461842
2021-01-03 17:00:00,527,214,644.5,566.5,0.00015285574855084338,0.00017585870821095812
2021-01-03 17:15:00,481,177,703.0,674.0,0.00014048180293352877,0.00014828020099088036
2021-01-03 17:30:00,558,189,596.0,633.0,0.00016412551542912204,0.00015895643836653334
2021-01-03 17:45:00,639,176,513.0,661.5,0.0001880662405205344,0.00015072209585925296
2021-01-03 18:00:00,446,175,733.0,683.5,0.00013289472115946176,0.00014856078555547728
2021-01-03 18:15:00,476,190,701.0,610.0,0.00014125291334133767,0.00016440650980555037
2021-01-03 18:30:00,434,179,761.0,648.5,0.0001297192474968519,0.0001573382931520046
2021-01-03 18:45:00,420,188,783.5,606.5,0.00012633858741427026,0.00016523201915285193
2021-01-03 19:00:00,412,158,816.5,760.5,0.00012227612858343998,0.00013290556807036256
2021-01-03 19:15:00,424,177,779.0,650.0,0.00012678364251797098,0.00015525117359361734
2021-01-03 19:30:00,405,148,809.5,785.5,0.00012226499987773502,0.00012867193178301044
2021-01-03 19:45:00,476,168,694.5,699.0,0.00014409051790551718,0.000147441883324323
2021-01-03 20:00:00,434,132,751.0,828.0,0.0001334372955396278,0.0001188003326409314
2021-01-03 20:15:00,439,130,729.5,844.5,0.00013452623476084362,0.0001192991085603534
2021-01-03 20:30:00,470,150,692.0,740.5,0.00014231694407368018,0.00013671187880400803
2021-01-03 20:45:00,462,163,693.0,669.5,0.00014261614186293107,0.00015252689339212324
2021-01-03 21:00:00,451,163,712.5,660.0,0.0001387072606330956,0.0001513387443897892
2021-01-03 21:15:00,450,169,696.0,632.5,0.00013916102600641255,0.00015850491412128722
2021-01-03 21:30:00,429,155,705.5,667.5,0.00013624216170896579,0.00015083836938856938
2021-01-03 21:45:00,433,152,718.5,665.5,0.0001355670695377664,0.00014981775458669026
2021-01-03 22:00:00,432,153,761.5,698.5,0.00013145290760442898,0.00014601939672038527
2021-01-03 22:15:00,374,147,854.0,703.0,0.00011575109305861741,0.00014186094539222138
2021-01-03 22:30:00,378,134,870.0,809.5,0.00011675859604274849,0.00012574614855499845
