time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,718,219,408.0,519.0,0.00023185380681023732,0.00019294474203552294
2021-01-02 16:15:00,742,226,386.5,500.0,0.0002456938998376831,0.00020504315432582086
2021-01-02 16:30:00,625,197,476.0,545.0,0.00020912144234237428,0.000180784863259652
2021-01-02 16:45:00,601,190,511.0,576.5,0.0001981452157161796,0.00017190976366026652
2021-01-02 17:00:00,589,175,513.5,634.0,0.0001953314781817392,0.0001573286847951266
2021-01-02 17:15:00,562,202,515.5,534.5,0.00019127233198069988,0.00018978487602443905
2021-01-02 17:30:00,592,190,484.0,553.5,0.00020016560999286235,0.00018046238261634363
2021-01-02 17:45:00,528,173,575.0,599.0,0.00017668033708466736,0.00016567866001398213
2021-01-02 18:00:00,549,200,529.0,544.5,0.00018390887767346224,0.0001863391073611401
2021-01-02 18:15:00,540,177,560.5,592.5,0.0001817290305732171,0.00016945144641648485
2021-01-02 18:30:00,538,193,545.0,552.5,0.00018538370118904003,0.00018672763210979973
2021-01-02 18:45:00,526,184,555.0,560.0,0.00018138681600617955,0.00017965083298428347
2021-01-02 19:00:00,550,213,568.5,542.0,0.00018420437441850031,0.00019616601354742748
2021-01-02 19:15:00,608,219,506.0,498.0,0.0002057954433910215,0.00021253881987577642
2021-01-02 19:30:00,656,209,455.5,498.5,0.0002268710027387065,0.00020887488394451723
2021-01-02 19:45:00,672,208,418.0,490.5,0.0002358649504683604,0.00021081949999290515
2021-01-02 20:00:00,660,219,434.5,482.5,0.0002299717274152084,0.0002192106614456493
2021-01-02 20:15:00,640,181,445.0,550.0,0.00022592105188841757,0.00018540124003724412
2021-01-02 20:30:00,596,201,464.0,499.5,0.00021081025061306518,0.00020818077963184108
2021-01-02 20:45:00,595,200,478.0,490.5,0.00020964781633300958,0.00020920611509474423
2021-01-02 21:00:00,608,181,456.0,545.5,0.00021163571784364092,0.00018534238677986548
2021-01-02 21:15:00,672,204,411.0,480.0,0.00023465481473618267,0.00021195223594024196
2021-01-02 21:30:00,596,188,480.0,517.0,0.0002058779537527648,0.0001967259774560401
2021-01-02 21:45:00,581,200,483.5,480.0,0.00020169185095492931,0.00021219934006005243
2021-01-02 22:00:00,524,175,567.0,568.0,0.00017733562696435587,0.0001817537890472051
2021-01-02 22:15:00,584,197,493.0,495.0,0.00020073191530900516,0.00020881805799206064
2021-01-02 22:30:00,597,232,486.5,419.5,0.0002038022606006193,0.0002500951331702684
2021-01-02 22:45:00,547,175,520.5,541.5,0.00019015087968246542,0.00019269244194176723
2021-01-02 23:00:00,562,162,494.0,574.0,0.00019768066412261263,0.00017897328989364346
2021-01-02 23:15:00,560,181,490.0,518.0,0.00019902166635154904,0.00020385729538809476
2021-01-02 23:30:00,558,199,489.5,466.5,0.00019903535624118517,0.00022397172778993932
2021-01-02 23:45:00,548,204,483.0,444.5,0.0002010090065239894,0.00023630338110754468
2021-01-03 00:00:00,521,192,516.0,472.0,0.00019035294212211014,0.0002229812358967272
2021-01-03 00:15:00,445,170,596.0,503.5,0.00016573254342844396,0.00020407207825804077
2021-01-03 00:30:00,496,188,523.5,456.0,0.0001889020790273371,0.00023055999097382164
2021-01-03 00:45:00,444,162,594.0,530.0,0.00016721494841381182,0.00019223307192008798
2021-01-03 01:00:00,373,146,670.0,570.5,0.00014556909907557767,0.00017224455895954851
2021-01-03 01:15:00,416,173,582.0,486.0,0.00016869793580232494,0.0002203981690390258
2021-01-03 01:30:00,354,149,670.5,545.5,0.00014826337103159896,0.0001936329836243676
2021-01-03 01:45:00,379,168,600.0,465.5,0.0001647612613670055,0.00022886911411305045
2021-01-03 02:00:00,315,144,726.5,522.0,0.00013631347772464678,0.00019908283643271208
2021-01-03 02:15:00,361,148,603.5,488.5,0.00016246507675912324,0.00021436972404243365
2021-01-03 02:30:00,363,123,570.5,554.0,0.00016859114464562883,0.00018427269962501252
