time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,645,356,472.5,323.0,0.00020828092673064497,0.0003136453340851424
2021-01-02 16:15:00,661,350,446.0,322.5,0.0002188728676451597,0.0003175447080267136
2021-01-02 16:30:00,601,337,497.0,324.0,0.00020109117895642715,0.00030926141582996315
2021-01-02 16:45:00,692,400,434.5,283.5,0.00022814723673144136,0.0003619152919163505
2021-01-02 17:00:00,684,385,432.0,291.0,0.00022683655530782612,0.0003461231065492785
2021-01-02 17:15:00,705,377,403.0,285.5,0.000239941270545184,0.0003542024666396709
2021-01-02 17:30:00,720,388,397.0,283.5,0.00024344466080212983,0.0003685231813428491
2021-01-02 17:45:00,683,371,439.5,285.0,0.00022854672391823448,0.0003552993229201582
2021-01-02 18:00:00,706,368,420.5,306.5,0.00023650212684419732,0.0003428639575444978
2021-01-02 18:15:00,718,363,416.5,294.5,0.00024163230361401832,0.0003475190680744859
2021-01-02 18:30:00,635,362,464.0,289.0,0.0002188079001023056,0.00035023524779143777
2021-01-02 18:45:00,718,370,409.5,285.0,0.0002475964522669904,0.0003612543924140483
2021-01-02 19:00:00,822,393,359.0,291.0,0.0002753018104945586,0.000361940109503
2021-01-02 19:15:00,724,369,425.5,289.0,0.0002450590477222032,0.00035811335403726713
2021-01-02 19:30:00,699,344,422.5,306.5,0.00024174212029627417,0.0003437940673536552
2021-01-02 19:45:00,733,365,382.0,278.5,0.0002572753105555181,0.0003699476802760114
2021-01-02 20:00:00,676,351,413.5,292.5,0.00023554679959497104,0.00035133763546768446
2021-01-02 20:15:00,655,334,425.0,304.5,0.0002312160765420524,0.0003421216252620969
2021-01-02 20:30:00,678,344,409.0,291.0,0.00023981434549607086,0.00035628949349927034
2021-01-02 20:45:00,706,367,393.5,268.0,0.00024875858543042806,0.0003838932211988556
2021-01-02 21:00:00,675,334,411.0,298.5,0.0002349574170139105,0.00034201302311864676
2021-01-02 21:15:00,678,343,408.0,286.0,0.00023674994701061288,0.00035637067121324986
2021-01-02 21:30:00,677,332,416.0,297.5,0.00023385801122587538,0.0003474097048691772
2021-01-02 21:45:00,676,334,403.5,295.0,0.0002346707250353395,0.00035437289790028753
2021-01-02 22:00:00,631,311,464.5,317.5,0.0002135472912490621,0.0003230024479638902
2021-01-02 22:15:00,758,368,363.0,270.0,0.0002605390270620307,0.0003900763722897377
2021-01-02 22:30:00,679,311,420.5,308.0,0.00023179520091762222,0.00033525683799979947
2021-01-02 22:45:00,675,339,412.0,280.0,0.00023464688077817945,0.0003732727875329091
2021-01-02 23:00:00,658,320,413.0,294.0,0.00023144817970227602,0.00035352748620966613
2021-01-02 23:15:00,689,311,385.5,294.0,0.00024486772877895945,0.000350274137379544
2021-01-02 23:30:00,713,345,375.5,260.0,0.00025432295519706995,0.0003882926939071812
2021-01-02 23:45:00,623,313,418.0,275.5,0.00022851936325628722,0.0003625635210130465
2021-01-03 00:00:00,649,308,407.0,280.5,0.00023711911600239824,0.0003576990659176665
