time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,8784,4031,32.0,29.0,0.002836495597522458,0.0035514166901606994
2021-01-02 16:15:00,8220,3863,32.0,29.0,0.002721838081759777,0.003504786306020557
2021-01-02 16:30:00,8357,3711,31.0,30.0,0.0027962046298483554,0.0034055463327744605
2021-01-02 16:45:00,8673,3884,31.0,29.0,0.00285942338753149,0.0035141974845077635
2021-01-02 17:00:00,8307,3765,32.0,31.0,0.0027548702703832045,0.003384814275735152
2021-01-02 17:15:00,7968,3545,32.0,31.0,0.0027118468705021647,0.0033306306213199822
2021-01-02 17:30:00,8293,3574,31.0,31.0,0.0028040091278223093,0.003394592397214801
2021-01-02 17:45:00,8121,3506,32.0,31.0,0.002717464048228378,0.0033576264856012795
2021-01-02 18:00:00,8181,3674,33.0,30.0,0.002740543767297987,0.0034230494022241434
2021-01-02 18:15:00,7771,3459,36.0,31.0,0.0026152153640453158,0.0033114833511560518
2021-01-02 18:30:00,7857,3550,34.0,31.0,0.0027073601119745124,0.003434627429998907
2021-01-02 18:45:00,7717,3556,35.0,30.0,0.002661144599086859,0.0034719476200658268
2021-01-02 19:00:00,7817,3795,36.0,30.0,0.002618046536053485,0.0034950705230633212
2021-01-02 19:15:00,7850,3522,37.0,30.0,0.002657062879308419,0.0034180900621118013
2021-01-02 19:30:00,7498,3502,37.0,31.0,0.0025931078941079594,0.003499903557768897
2021-01-02 19:45:00,7542,3512,37.0,30.0,0.002647162881595795,0.003559606172957128
2021-01-02 20:00:00,7678,3341,37.0,31.0,0.0026753377622635906,0.003344213789451663
2021-01-02 20:15:00,7465,3311,38.0,31.0,0.002635157269292246,0.0033915110815652787
2021-01-02 20:30:00,7636,3330,37.0,31.0,0.002700917908861352,0.003448965155094681
2021-01-02 20:45:00,7640,3266,37.0,31.0,0.0026919484315700718,0.003416335859497173
2021-01-02 21:00:00,7766,3184,37.0,31.0,0.002703228593377821,0.003260387621586141
2021-01-02 21:15:00,7463,3257,38.0,31.0,0.002605995360678767,0.003383962904202784
2021-01-02 21:30:00,7483,3215,38.0,31.0,0.00258487370458379,0.0033642234974530266
2021-01-02 21:45:00,7564,3265,38.0,30.0,0.00262581266888655,0.003464154226480356
2021-01-02 22:00:00,7695,3178,38.0,31.0,0.002604193987577707,0.0033006488090972447
2021-01-02 22:15:00,7527,3134,37.0,31.0,0.002587173161867948,0.003322009105315321
2021-01-02 22:30:00,7308,2928,39.0,31.0,0.002494785461422656,0.0031563730600109737
2021-01-02 22:45:00,7444,3098,38.0,31.0,0.0025877205637226193,0.0034112067722034
2021-01-02 23:00:00,7163,2881,37.0,31.0,0.0025195491051784244,0.0031828521492814
2021-01-02 23:15:00,7393,2871,37.0,31.0,0.0026274413916732176,0.00323355964121116
2021-01-02 23:30:00,7513,2924,36.0,31.0,0.002679843425519757,0.0032909212666220227
2021-01-02 23:45:00,7187,2891,37.0,31.0,0.0026362257844669925,0.003348789582264273
2021-01-03 00:00:00,6809,2794,38.0,31.0,0.002487741233991263,0.003244841526538832
2021-01-03 00:15:00,6742,2717,38.0,31.0,0.0025109411411113913,0.003261551980159392
2021-01-03 00:30:00,6671,2643,38.0,32.0,0.002540656792724528,0.0032413300858713328
2021-01-03 00:45:00,6211,2483,40.0,39.0,0.002339126226572489,0.0029463871455406077
2021-01-03 01:00:00,6143,2567,38.0,36.0,0.0023974020794136023,0.003028436868829869
2021-01-03 01:15:00,6193,2427,37.0,36.0,0.002511409414480285,0.003091944255824945
2021-01-03 01:30:00,5809,2522,40.0,33.0,0.002432943283397057,0.003277465669131913
2021-01-03 01:45:00,5599,2193,38.0,36.0,0.002434032460142121,0.002987559328868569
2021-01-03 02:00:00,5355,2226,43.0,34.0,0.002317329121318995,0.003077488846522341
